Title	Description	Link	pubDate	Image
Witkoff and Waltz: We are discussing with partners the transfer o...	ويتكوف ووالتز: نبحث مع الشركاء نقل سكان غزة ويمكننا التوصل لحل جماعي	https://www.al-ayyam.ps/ar/Article/410762	2025-02-05T00:09:37-08:00	
Trump repeats his statements: The Palestinians of Gaza have no al...	ترامب يكرر أقواله: فلسطينيو غزة ليس لديهم بديل سوى المغادرة وإعادة توطينهم بشكل دائم	https://www.al-ayyam.ps/ar/Article/410763	2025-02-05T00:09:36-08:00	
Concern in America about Musk's 'control': He is a tiger in a pet...	قلق في أميركا من 'سيطرة' ماسك: إنه نمر في حديقة للحيوانات الأليفة	https://www.al-ayyam.ps/ar/Article/410744	2025-02-04T23:09:39-08:00	
Prime Minister of Qatar: We will be 'present' in supporting recon...	رئيس وزراء قطر: سنكون 'حاضرين' في دعم إعادة الإعمار في لبنان	https://www.al-ayyam.ps/ar/Article/410745	2025-02-04T23:09:38-08:00	
Ankara: Erdogan calls for support for Syria, and Al-Sharaa apprec...	أنقرة: أردوغان يدعو لدعم سورية والشرع يثمّن الوقفة التاريخية لتركيا	https://www.al-ayyam.ps/ar/Article/410751	2025-02-04T23:09:37-08:00	
Sudan: 5 killed in the bombing of a hospital in Omdurman, and the...	السودان: 5 قتلى بقصف مستشفى في أم درمان والجيش يعلن التقدم في محور مدينة الكاملين	https://www.al-ayyam.ps/ar/Article/410748	2025-02-04T23:09:37-08:00	
Egypt and Jordan: A Palestinian state is the only guarantee for a...	مصر والأردن: دولة فلسطينية الضمان الوحيد لتحقيق السلام	https://www.al-ayyam.ps/ar/Article/410758	2025-02-04T23:09:36-08:00	
Al-Sharaa meets Bin Salman: A real Saudi desire to support 'build...	الشرع يلتقي بن سلمان: رغبة سعودية حقيقية في دعم 'بناء مستقبل' سورية	https://www.al-ayyam.ps/ar/Article/410684	2025-02-03T00:09:33-08:00	
Egypt: We have a vision to reconstruct the Gaza Strip without any...	مصر: لدينا رؤية لإعمار القطاع دون خروج أيّ مواطن من أرضه	https://www.al-ayyam.ps/ar/Article/410683	2025-02-03T00:09:33-08:00	
The American Democratic Party elects a new leader and discusses w...	الحزب الديمقراطي الأميركي ينتخب زعيماً جديداً، ويبحث سبل النهوض	https://www.al-ayyam.ps/ar/Article/410679	2025-02-02T23:09:39-08:00	
Iran unveils a new long-range ballistic missile	إيران تكشف عن صاروخ باليستي جديد بعيد المدى	https://www.al-ayyam.ps/ar/Article/410680	2025-02-02T23:09:38-08:00	
Hezbollah sets February 23 as the date for Nasrallah's funeral	حزب الله' يحدد 23 شباط موعداً لتشييع نصر الله	https://www.al-ayyam.ps/ar/Article/410682	2025-02-02T23:09:37-08:00	
Kyiv and Moscow exchange accusations of bombing a school in Kursk...	كييف وموسكو تتبادلان اتهامات بقصف مدرسة في كورسك الروسية	https://www.al-ayyam.ps/ar/Article/410681	2025-02-02T23:09:37-08:00	
Trump: Egypt and Jordan will accept displaced people from the Gaz...	ترامب: مصر والأردن ستقبلان باستقبال نازحين من قطاع غزة	https://www.al-ayyam.ps/ar/Article/410626	2025-02-01T01:09:34-08:00	
The commander of the support forces threatens to 'expel' the army...	قائد قوّات الدعم يتوعّد بـ'طرد' الجيش من الخرطوم	https://www.al-ayyam.ps/ar/Article/410619	2025-02-01T00:09:34-08:00	
Germany: Loud debate over passing a law on immigration with the h...	ألمانيا: جدل صاخب حول تمرير قانون حول الهجرة بمساعدة اليمين المتطرف	https://www.al-ayyam.ps/ar/Article/410621	2025-02-01T00:09:33-08:00	
The UNRWA headquarters in occupied Jerusalem was evacuated as the...	إخلاء مقر 'الأونروا' في القدس المحتلة مع دخول قرار حظرها إسرائيلياً حيز التنفيذ	https://www.al-ayyam.ps/ar/Article/410585	2025-01-31T00:09:35-08:00	
Trump signs an executive order allowing the deportation of foreig...	ترامب يوقع أمراً تنفيذياً يتيح ترحيل داعمي فلسطين الأجانب	https://www.al-ayyam.ps/ar/Article/410582	2025-01-30T23:09:33-08:00	
Trump's envoy discussed the displacement of Gaza residents in Isr...	مبعوث ترامب ناقش في إسرائيل تهجير سكان غزة	https://www.al-ayyam.ps/ar/Article/410565	2025-01-30T00:09:34-08:00	
Syria demands the withdrawal of Israeli forces from the south of ...	سورية تطالب بانسحاب القوات الإسرائيلية من جنوب البلاد	https://www.al-ayyam.ps/ar/Article/410555	2025-01-29T23:09:40-08:00	
The Israeli Supreme Court gives the green light to close UNRWA an...	العليا' الإسرائيلية تعطي الضوء الأخضر لإغلاق 'الأونروا' وحظر نشاطها بالقدس	https://www.al-ayyam.ps/ar/Article/410557	2025-01-29T23:09:38-08:00	
The Knesset initially approves a draft law allowing settlers to o...	الكنيست' يقرّ مبدئياً مشروع قانون يسمح للمستوطنين بتملك أراضٍ بالضفة	https://www.al-ayyam.ps/ar/Article/410556	2025-01-29T23:09:38-08:00	
Katz storms Jenin camp: 'We will stay to prevent the return of te...	كاتس يقتحم مخيم جنين: 'سنبقى لمنع عودة الإرهاب'	https://www.al-ayyam.ps/ar/Article/410558	2025-01-29T23:09:37-08:00	
Mustafa discusses with Shara in Damascus: Palestine supports Syri...	مصطفى يتباحث والشرع في دمشق: فلسطين تدعم سورية ووحدة أراضيها	https://www.al-ayyam.ps/ar/Article/410508	2025-01-28T23:09:40-08:00	
