Title	Description	Link	pubDate	Image
Elon Musk wants to use AI to run US gov’t, but experts say ‘very bad’ idea	Gov't use of AI can go wrong in many ways, experts say, including lack of transparency on how tools are trained.	https://www.aljazeera.com/economy/2025/3/13/elon-musk-wants-to-use-ai-to-run-us-govt-but-experts-say-very-bad-idea?traffic_source=rss	2025-03-13T12:23:48-07:00	
Actor Khalid Abdalla concerned about eroding protest rights in UK	British actor Khalid Abdalla has told Al Jazeera he is concerned about the erosion of the right to protest.	https://www.aljazeera.com/program/newsfeed/2025/3/13/actor-khalid-abdalla-concerned-about-eroding-protest-rights-in-uk?traffic_source=rss	2025-03-13T12:00:22-07:00	
Russia’s Putin backs idea of Ukraine ceasefire, but voices doubts	Russian president indicates insists on guarantees for a long-lasting peace to address root causes of conflict.	https://www.aljazeera.com/news/2025/3/13/russias-putin-backs-idea-of-ukraine-ceasefire-but-voices-doubts?traffic_source=rss	2025-03-13T11:32:58-07:00	
Syria’s interim leader signs constitutional declaration, hails a new future	Syria's interim President Ahmed al-Sharaa signed a constitutional declaration, saying it will shape a new future.	https://www.aljazeera.com/program/newsfeed/2025/3/13/syrias-interim-leader-signs-constitutional-declaration-hails-a-new-future?traffic_source=rss	2025-03-13T10:52:17-07:00	
Putin says he is open to Ukraine ceasefire, but with conditions	Russian President Vladimir Putin said he supports -proposals to end hostilities- with Ukraine, but with conditions.	https://www.aljazeera.com/program/newsfeed/2025/3/13/putin-says-he-is-open-to-ukraine-ceasefire-but-with-conditions?traffic_source=rss	2025-03-13T10:39:01-07:00	
Trump vows 200% retaliatory tariff on European wine and spirits	Warning comes after EU announced retaliatory tariffs on $28bn of US goods in response to US levies on steel, aluminium.	https://www.aljazeera.com/news/2025/3/13/trump-vows-massive-retaliatory-tariffs-on-european-wine-and-spirits?traffic_source=rss	2025-03-13T10:14:06-07:00	
South Sudan: surge in violence pushes country to -precipice-	Nyagoah Tut Pur of Human Rights Watch analyses the recent surge in violence in South Sudan.	https://www.aljazeera.com/program/quotable/2025/3/13/aje-onl-qtnyagoahtutpurfinal-130325?traffic_source=rss	2025-03-13T09:49:05-07:00	
Armenia and Azerbaijan finalise draft peace deal to resolve conflict	Peace talks progress after Azerbaijan's recapture of Karabakh, pushing towards a treaty to end decades-long hostilities.	https://www.aljazeera.com/news/2025/3/13/armenia-and-azerbaijan-finalise-draft-peace-deal-to-resolve-conflict?traffic_source=rss	2025-03-13T09:24:35-07:00	
Syria’s al-Sharaa signs temporary constitution	President hails ‘new history’ as he signs document while Israel launches air attack on Damascus.	https://www.aljazeera.com/news/2025/3/13/syrias-al-sharaa-signs-five-year-temporary-constitution?traffic_source=rss	2025-03-13T09:22:02-07:00	
Dr Hussam Abu Safiya’s lawyer reveals abuse he faces in Israeli prison	Dr Hussam Abu Safiya’s lawyer reveals the abuse and degrading treatment he faces in Israeli prison.	https://www.aljazeera.com/video/newsfeed/2025/3/13/dr-hussam-abu-safiyas-lawyer-reveals-abuse-he-faces-in-israeli-prison?traffic_source=rss	2025-03-13T08:58:19-07:00	
