Title	Description	Link	pubDate	Image
IOF Kills one Palestinian in Balata, Sparking Confrontations in W...	In a series of violent confrontations across the occupied West Bank, at least one Palestinian was killed by Israeli occupation forces during a raid on the Balata refugee camp near Nablus. Israeli army occupation assassinated 25-year-old Muhammad Brahma and withheld his body in the city of Qalqilya, the occupied West Bank. pic.twitter.com/n0LhzEs35Z — Quds News Network (@QudsNen) December 12, 2024 The al-Quds Brigades, the military wing of the Palestinian Islamic Jihad, reported fierce battles with Israeli occupation troops who stormed multiple areas around the al-Ein and Balata camps. The brigades said their fighters exchanged heavy fire with the Israeli occupation forces and detonated explosives, resulting in confirmed injuries to the Israeli side. Separately, the al-Quds Brigades in Jenin reported that their fighters engaged Israeli occupation troops who had stormed several areas of Qabatiya town, showering the forces with artillery fire and explosive devices. The deadly clashes came amid a widespread campaign of arrests carried out by the Israeli military across the West Bank. In the southern city of Hebron, 15 Palestinians were detained, while 17 were arrested in Jericho. Further north, one person was detained in Silat al-Harithiya near Jenin, and two others were seized in Nablus. Confrontations also erupted when Israeli occupation forces entered the village of Madama south of Nablus, with the military firing live ammunition, tear gas and stun grenades at Palestinian youths. The troops also stormed the town of Burqa in the Nablus governorate. Incursions were also reported in the towns of Silwad and Deir Jarir east of Ramallah, as well as in the village of Marda in the Salfit district, where the Israeli forces used sonic grenades. Israeli occupation forces storm the town of Qaffin, north of Tulkarm city in the occupied West Bank. pic.twitter.com/e3hnb12jDP — Quds News Network (@QudsNen) December 11, 2024 In addition to the arrests, Israeli authorities seized 94 dunums (23 acres) of agricultural land in Beit Jala, west of Bethlehem, as part of ongoing settlement expansion in the occupied Palestinian territory.	https://english.almanar.com.lb/2288838	2024-12-12T01:28:38-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-09273240017339957052.jpg
Israeli Killed, 3 Others Injured in Bus Shooting in West Bank	An Israeli was killed and several others were wounded in a shooting targeting a bus bounded for occupied Al-Quds (Jerusalem) in the West Bank late Wednesday night. The bus was shot up by a Palestinian gunman at a junction by the Palestinian town of al-Khader. The killed Israeli was a 10-year-old boy who was brought in critical condition to a hospital and then was declared dead early on Thursday, Israeli media reported. Three others were injured, including one moderately, according to The Times of Israel (TOI). A video clip filmed shortly after the shooting showed passengers fleeing the bus after it arrived at the checkpoint, as Israeli occupation forces there rushed toward the vehicle amid the sound of gunfire. It was not clear from the footage where all the shots emanated from. At least three settlers injured, some critically, after shooting in al-Quds, occupied West Bank pic.twitter.com/sh5HncK1Yp — Palestine Highlights (@PalHighlight) December 11, 2024 Israeli occupation forces launched a hunt for the attacker, encircling Bethlehem’s entrances. The Israeli occupation forces closed a number of entrances to the city of Bethlehem, following the shooting operation that led to the killing of a settler and the injury of three others at the Beit Al-Quds & #Bethlehem tunnel checkpoint.pic.twitter.com/qM3ZzjHK7A #Westbank… — ⚡️🌎 World News 🌐⚡️ (@ferozwala) December 12, 2024 The occupation authorities then declared that he turned himself in, 'amid their pursuit of the gunman and exertion of military pressure in the area,' according to TOI.	https://english.almanar.com.lb/2288761	2024-12-11T23:51:27-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-02164030017339897752.jpg
Lebanon’s House Speaker Discusses Presidential Elections with Amb...	The ambassadors of the Quintet Committee on Wednesday met at the second presidency headquarters in Ain al-Tineh with House Speaker, Nabih Berri to discuss the presidential elections. The delegation included U.S. Ambassador Lisa Johnson, Saudi Ambassador Walid Bukhari, French Ambassador Hervé Magro, Qatari Ambassador Sheikh Saud bin Abdulrahman bin Faisal Al Thani, and Egyptian Ambassador Alaa Moussa. Speaker Berri underlined the national need for electing anew president amid the critical conditions in the region, especially in Syria. For their part, the ambassadors of the Quintet Committee hailed Speaker Berri's decision of setting the presidential vote date on January 9, 2025, welcoming the conclusion of the ceasefire agreement. On the other hand, Speaker Berri met with the Free Patriotic Movement Chief Gebran Bassil as talks tackled the latest developments, especially the presidential elections. After the meeting, Bassil said that the atmosphere is positive, reporting serious efforts exerted to elect a new Lebanese president.	https://english.almanar.com.lb/2288453	2024-12-11T10:54:25-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-06791400017339432579.png
Lebanese Army Enters Khiam as Israeli Enemy Withdraws amid Contin...	The Lebanese Army entered the southern border city of Khiam as the Israeli enemy forces withdrew from some points but kept up its violations that caused civilian casualties, Al-Manar correspondent reported on Wednesday. Our correspondent reported that the Israeli enemy forces have withdrawn from some points, while procrastinated their withdrawal from some points in the southern border city. 'The Lebanese Army units of the engineering force entered the northern and western neighborhoods of Khiam,' Ali Shoaib, Al-Manar correspondent in the southern border region reported It added that UNIFIL peacekeeping forces entered Khiam and that the Lebanese army was readying to enter the city, located in the Eastern Sector of south Lebanon area. 'Three UNIFIL patrol forces entered the city and toured its neighborhoods,' Shoaib said. هذه هي أجواء مدينة #الخيام و محيطها في ظل انتظار تحرك الجيش اللبناني ومماطلة قوات الاحتلال بالانسحاب pic.twitter.com/kHL2BgVskn — شعيب 🇱🇧 (@cheib1970) December 11, 2024 The city of Khiam was venue of epic battles between Hezbollah resistance fighters and Israeli occupation fighters who failed to capture the city during the latest Israeli aggression on Lebanon. Meanwhile, the Israeli occupation forces went ahead with violations of the ceasefire deal which followed at least 65 days of fighting between Lebanon’s resistance and the Zionist entity and took effect on November 27. The violations on Wednesday caused new casualties, with an Israeli drone striking the southern border town of Aynata, killing a person and injuring another, National News Agency (NNA) reported. Elsewhere in the border town of Beit Leef, another drone strike targeted a van, killing the citizen Hamza Murshid Badah, according to NNA. Our correspondent also reported three other violations in Al-Jebbain, Bint Jbeil and Burj Al Mulouk. An Israeli drone also struck Bint Jbeil, our correspondent said, with local media reporting at least two casualties, including a martyr. Image circulated on social media shows Israeli drone strike on Bint Jbeil (Wednesday, December 11, 2024). An Israeli Merkava shells the intersection between Al-Jebbain and Teir Harfa border towns, according to our correspondent. He added that Israeli occupation forces stormed a house in the southern outskirts of Burj Al-Mulouk border town and ordered two Lebanese civilians to evacuate after seizing their mobile phones.	https://english.almanar.com.lb/2288365	2024-12-11T07:15:40-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-011003900173393005510.jpg
Russia Completed its Mission in Syria Some Time ِِِAgo: Kremlin	Russia assisted Syria in countering terrorists and stabilizing the situation after 2015, but subsequent actions were up to the country’s government, Kremlin Spokesman Dmitry Peskov said. 'A while ago, Russia helped the Syrian Arab Republic in combating terrorists and ensuring stability when the situation posed a threat to the entire region. We put in significant effort toward that goal. Russia completed its mission at that point,' he said. 'Afterward, it was the [Bashar] Assad government that took charge in its own country, striving to ensure development, but unfortunately, the situation reached the point it did,' Peskov said, adding that 'now, we need to proceed based on the realities on the ground.' Asked how a potential change of government in Syria would affect Moscow’s geopolitical influence in the Middle East, the presidential spokesman emphasized that 'Russia maintains dialogue with all countries in the region.' 'We are committed to continuing in this manner,' Peskov said. In late November, armed opposition forces launched a large-scale offensive on the Syrian army’s positions and entered Damascus on December 8, while government troops withdrew from the capital. A Kremlin source told TASS on Sunday that Assad and his family members had arrived in Moscow. Russia granted them asylum on humanitarian grounds.	https://english.almanar.com.lb/2288343	2024-12-11T06:59:23-08:00	https://english.almanar.com.lb/framework/includes/uploads/2016/08/manar-08251680014726505203.jpg
Israeli Occupation Forces Conduct Sweeping Detention Campaign in ...	Israeli occupation forces carried out a widespread arrest campaign across the occupied West Bank on Tuesday, detaining dozens of Palestinians in multiple cities and towns. Israeli occupation soldiers wreak havoc after raiding a house in Qalqilia, north of the occupied West Bank, and detaining its owner, Mohammad Hamed, a former prisoner in Israeli jails. pic.twitter.com/fXfqAyaPH6 — Quds News Network (@QudsNen) December 11, 2024 In the southern West Bank city of Hebron (al-Khalil), 15 individuals were taken into custody by Israeli troops. Another 17 Palestinians were arrested in the city of Ariha. Further north, one person was detained in the town of Silat al-Harithiya near Jenin, while two others were arrested in Nablus. Confrontations erupted when Israeli forces entered the village of Madama south of Nablus, with clashes breaking out as soldiers fired live ammunition, tear gas and stun grenades. #متابعة | الضفة الغربية: قوات الاحتلال تعتلي أسطح المنازل خلال اقتحام بلدة جبع جنوب جنين. pic.twitter.com/mM8GHiOGKk — وكالة شهاب للأنباء (@ShehabAgency) December 11, 2024 The Israeli occupation army also stormed the town of Burqa in the Nablus governorate, as well as the towns of Silwad and Deir Jarir east of Ramallah, and the village of Marda in the Salfit district, using sonic grenades during the incursions. In addition to the arrests, Israeli authorities seized 94 dunums (23 acres) of agricultural land in Beit Jala, west of Bethlehem, as part of ongoing settlement expansion. #متابعة | جانب من اقتحام قوات الاحتلال لمدينة قلقيلية. pic.twitter.com/gNZxxJZKB0 — وكالة شهاب للأنباء (@ShehabAgency) December 11, 2024 The crackdown came a day after similar confrontations in Tubas, where the military wing of Hamas, the al-Qassam Brigades, engaged Israeli occupation forces in fierce gun battles, forcing them to withdraw. During the incursion, Israeli airstrikes killed two Palestinians, and medical teams were prevented from reaching the bodies. An undercover Israeli occupation unit also infiltrated central Tubas, storming a money exchange company and detaining a local youth. This latest wave of detentions is part of Israel's broader campaign of suppression that has escalated sharply since the beginning of its ongoing genocidal onslaught on Gaza in October 2023. Since then, over 11,900 Palestinians have been detained from the West Bank and Jerusalem, according to local authorities.	https://english.almanar.com.lb/2288057	2024-12-11T02:38:08-08:00	https://english.almanar.com.lb/framework/includes/uploads/2023/08/manar-08674120016920888243.jpg
Imam Khamenei: US, ‘Israel’ Orchestrated Syria Plot	Leader of the Islamic Revolution in Iran Imam Sayyed Ali Khamenei stressed that the recent events in Syria have been orchestrated by the US and the Zionist entity, voicing confidence that the Arab country will be liberated by the Syrian youth. The moment when Imam Khamenei entered the Imam Khomeini Hussainiyah to speak about recent developments in region on Wednesday, December 11, 2024 pic.twitter.com/sD3kaAZlZ9 — Khamenei Media (@Khamenei_m) December 11, 2024 In a televised speech tackling the recent developments, Imam Khamenei said 'it should not be doubted that what happened in Syria is the product of a joint American and Zionist plan.' The 'real command room' for the plot in Syria belongs to the US and the Israeli regime, the Leader told thousands of Iranians at Imam Khomeini Hussainiya in Tehran, pointing to unquestionable evidence for it. No one should doubt that what has taken place in #Syria is the product of a joint US-Israeli plot. — Khamenei.ir (@khamenei_ir) December 11, 2024 Pointing the finger to Turkey’s role in the recent developments, Imam Khamenei said: 'Yes, a neighboring government of Syria has played an obvious role in this regard and is still playing it now, everyone can see this. But the main agent and the main conspirator are the US and the Zionist regime.' A government in a neighboring country of Syria has played and is still playing a clear role in what’s happening. However, the primary conspirators and control room are in the United States and the Zionist regime. We have evidence of this that leaves no room for doubt for anyone. — Khamenei.ir (@khamenei_ir) December 11, 2024 His eminence affirmed that Syria will be liberated by the Syrian youth. 'With God’s help, the occupied Syrian regions will be liberated by the hands of the Syrian youth,' he said in remarks carried by Al-Manar, adding: 'Don’t have doubt that Syria will be liberated and that the Resistance Front will force the US out of the region.' 'The ignorant analyst who doesn’t know the meaning of resistance believes that if the resistance weakens, Islamic Iran will also weaken… I tell him, with God’s help, Iran is strong and capable and will become even stronger,' Imam Khamenei stated. 'I tell you, with the help of God Almighty, he domain of resistance will expand to include the entire region,' his eminence added. The more pressure you bring on the Resistance, the stronger it will become pic.twitter.com/OfDF7xfBEI — Khamenei Media (@Khamenei_m) December 11, 2024 Imam Khamenei touched on divisions among the militant groups in Syria, saying each group has its own agenda and all seek to stake out their own turf. Ultimately, the Leader said, they will be evicted from Syria by the 'zealous Syrian youth, so will the Americans who seek to strengthen their foothold in the country. 'Each of these attackers has their own agenda and their goals are different. Some of them are seeking to seize land in the north of Syria or in the south. The US is looking to strengthen its foothold in the region.'	https://english.almanar.com.lb/2287958	2024-12-11T01:45:30-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-00658010017339102662.jpg
Deadly Airstrikes Ravage Gaza: Dozens Killed, Hundreds Injured	The Israeli occupation forces have unleashed a deadly assault on the Gaza Strip, leaving dozens dead and hundreds more injured. The aggression, which began in the early hours of Tuesday morning, have targeted civilian homes and medical facilities, sparking outrage and international condemnation. Formidable destruction after an Israeli airstrike targeted the home of the Bayoumi family in Nuseirat refugee camp, central Gaza, while they were asleep last night. pic.twitter.com/JEArW4ffoK — Quds News Network (@QudsNen) December 11, 2024 According to eyewitness reports, the first strike hit a residential area in the Nuseirat refugee camp, where a house was reduced to rubble with 30 people inside, including women and children. Seven people were killed in this attack, with many more unaccounted for and feared trapped under the debris. Moments later, the occupation forces bombed a second house near the Kamal Adwan Hospital in Beit Lahia, northern Gaza. Palestinian media reported that at least 18 people were killed in this strike, with the toll expected to rise as search and rescue efforts continue. Deadly Attack: Over 22 people were killed in an Israeli airstrike targeting a residential building sheltering a displaced family near the Kamal Adwan Hospital in Beit Lahiya in northern Gaza on Tuesday night. — Quds News Network (@QudsNen) December 11, 2024 The airstrikes were accompanied by intense artillery shelling around the Kamal Adwan Hospital, with the occupation forces also launching a series of raids on the Tal al-Zaatar area in Jabalia camp, north of the Strip. Homes in the Al-Alami area of Jabalia were reportedly destroyed using explosive barrels and robots. Grieving families in Gaza mourn their lost loved ones on the 432nd day of the ongoing Israeli genocide. pic.twitter.com/LOSr3zxObN — Quds News Network (@QudsNen) December 11, 2024 The ongoing aggression by the Israeli occupation forces has resulted in the deaths of 44,786 Palestinian citizens, the majority of whom are women and children, with a further 106,188 injured in the incomplete toll. Thousands of victims remain trapped under the rubble, with rescue efforts hampered by the continued bombardment.	https://english.almanar.com.lb/2287859	2024-12-11T00:47:41-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/10/manar-04607990017291978246.jpg
Russia Strongly Believes Syria Should Be Sovereign and Unified, A...	Russia is providing sanctuary to Bashar Al-Assad, having transported the former Syrian leader there 'in the most secure way possible' after the collapse of his government, Russia’s deputy foreign minister said in an interview Tuesday. 'He is secured, and it shows that Russia acts as required in such an extraordinary situation,' Sergei Ryabkov told NBC News, becoming the first Russian official to confirm Assad’s presence in the country. 'I have no idea what is going on with him right now,' Ryabkov said, adding that it 'would be very wrong for me to elaborate on what happened and how it was resolved.' President Bashar Al-Assad during a visit to Moscow in March 2023. The Kremlin said on Monday that President Vladimir Putin had made the decision to grant asylum in Russia to Assad. Asked if the Kremlin would hand over Assad for trial, Ryabkov said Russia is not a party to the convention that established the International Criminal Court. Assad 'was accused by the same group of countries and governments that continuously defeat attempts to live their own ways as it happened in Iraq, in Libya and in many more,' Ryabkov said, adding that it was 'amazing, but it is also very revealing,' that the U.S. 'configures its reaction and response' depending on whom the court is prosecuting. Whoever ends up governing Syria, be it the Hayat Tahrir al-Sham (HTS) militant group, which led militants as they stormed across Syria, or someone else, Ryabkov said, Russia 'forcefully and strongly' believes that Syria 'should be sovereign, unified and integral.' 'We will not have a situation there, hopefully, that will mean separation of parts of Syria from one another,' he added.	https://english.almanar.com.lb/2287771	2024-12-11T00:09:57-08:00	https://english.almanar.com.lb/framework/includes/uploads/2019/07/manar-08865710015637816978.jpg
Convoy of Israeli Merkava Tanks Withdraws from Wata Khiam Area on...	For the first time after the ceasefire concluded in South Lebanon on November 27, 2024, the UNIFIL vehicles were seen on Tuesday with Lebanese army soldiers at the Ainatha-Bint Jbeil junction near Al-Maslakh neighborhood. The Israeli occupation army carried out a large-scale bombing operation in Khiam, blowing up houses and buildings. Media reports indicated that 'a column of Israeli Merkava tanks withdrew from Wata Khiam towards the Sarda and Al-Amra areas adjacent to the Wazzani orchards.' The Israeli army also fired its machine guns at the surroundings of the town of Shaqra, Qalaat Dubiyeh and the valleys adjacent to the towns of Qabrikha and Majdal Salm, while a number of Israeli artillery shells were recorded falling on the outskirts of Sheheen and Al-Jbeen. Meanwhile, a missile fired by Israeli warplanes penetrated a three-story house in the town of Qleiaat in the Akkar plain, but did not explode.	https://english.almanar.com.lb/2287584	2024-12-10T15:50:46-08:00	https://english.almanar.com.lb/framework/includes/uploads/2024/12/manar-09021120017338746358.png
