Title	Description	Link	pubDate	Image
Egypt follows Ethiopia-Somalia agreement, hopes for stability: President al-Sisi	Al-Sisi receives call from French counterpart, according to Egyptian presidency	https://www.aa.com.tr/en/live/egypt-follows-ethiopia-somalia-agreement-hopes-for-stability-president-al-sisi/3436963	2024-12-28T22:12:23-08:00	
Russian, Kazakh presidents discuss Aktau plane crash investigation	Leaders exchange condolences, emphasize importance of maintaining transparency in investigation	https://www.aa.com.tr/en/live/russian-kazakh-presidents-discuss-aktau-plane-crash-investigation/3436962	2024-12-28T22:10:23-08:00	
12 more Palestinians killed in fresh Israeli attacks on northern, southern Gaza	Israel’s offensive so far has killed nearly 45,500 people in Gaza since October 2023, reducing enclave to rubble	https://www.aa.com.tr/en/live/12-more-palestinians-killed-in-fresh-israeli-attacks-on-northern-southern-gaza/3436961	2024-12-28T22:08:03-08:00	
Trump's green card proposal for college grads sparks controversy	Many US universities are advising international students to return to the US from winter break before Trump is sworn in as president again	https://www.aa.com.tr/en/live/trumps-green-card-proposal-for-college-grads-sparks-controversy-/3436957	2024-12-28T22:05:25-08:00	
Türkiye 'neutralized' 3,038 terrorists in 2024: National Defense Ministry	Turkish forces this year destroyed 1,330 caves/shelters and seized 2,450 weapons and more than 910,000 pieces of ammunition as part of counterterrorism efforts	https://www.aa.com.tr/en/live/turkiye-neutralized-3-038-terrorists-in-2024-national-defense-ministry-/3436955	2024-12-28T22:01:43-08:00	
Morning Briefing: Dec. 29, 2024	Anadolu’s recap of top stories from around the globe	https://www.aa.com.tr/en/live/morning-briefing-dec-29-2024/3436952	2024-12-28T21:52:49-08:00	
Death toll in South Korean plane crash at Muan airport rises to 96	Jeju Air flight, carrying 181 passengers from Bangkok veered off runway, caught fire on landing, according to media reports	https://www.aa.com.tr/en/live/death-toll-in-south-korean-plane-crash-at-muan-airport-rises-to-96/3436949	2024-12-28T21:05:56-08:00	
Death toll in South Korean plane crash at Muan airport rises to 85	Jeju Air flight, carrying 181 passengers from Bangkok veered off runway, caught fire on landing, according to media reports	https://www.aa.com.tr/en/live/death-toll-in-south-korean-plane-crash-at-muan-airport-rises-to-85/3436949	2024-12-28T21:05:56-08:00	
Russia says it expanded entry ban list in response to new EU sanctions	EU's new leadership continues to pursue aggressive policies against Moscow, says Russian Foreign Ministry	https://www.aa.com.tr/en/live/russia-says-it-expanded-entry-ban-list-in-response-to-new-eu-sanctions/3436905	2024-12-28T12:02:16-08:00	
Inter Milan secures 3-0 win over Cagliari in Serie A	Goals by Bastoni, Martinez, and Calhanoglu seal Nerazzurri's 3-0 away victory	https://www.aa.com.tr/en/live/inter-milan-secures-3-0-win-over-cagliari-in-serie-a/3436902	2024-12-28T12:00:37-08:00	
Lebanon hands over 70 ex-regime officers to Syria	Handover took place in presence of Lebanese security delegation at Arida border crossing between 2 countries, says Lebanon’s National News Agency	https://www.aa.com.tr/en/live/lebanon-hands-over-70-ex-regime-officers-to-syria/3436899	2024-12-28T11:56:53-08:00	
US, UK carry out airstrikes in Yemen's Hajjah province, says Houthi group	American-British aggressors conducted 2 airstrikes in area of Bahis in Midi district in Hajjah province, says pro-Houthi TV channel Al-Masirah	https://www.aa.com.tr/en/live/us-uk-carry-out-airstrikes-in-yemens-hajjah-province-says-houthi-group/3436890	2024-12-28T11:11:53-08:00	
UAE welcomes Türkiye’s efforts to resolve Sudan crisis, expresses willingness to cooperate	Primary focus remains on ‘reaching an immediate cease-fire and an urgent cessation of hostilities in the internal fighting in Sudan,’ says UAE Foreign Ministry	https://www.aa.com.tr/en/live/uae-welcomes-turkiye-s-efforts-to-resolve-sudan-crisis-expresses-willingness-to-cooperate/3436889	2024-12-28T11:09:21-08:00	
Israel's attacks on hospitals in northern Gaza 'unacceptable:' Norway	Norwegian prime minister stresses need for access for UN and aid groups to provide critical assistance.	https://www.aa.com.tr/en/live/israels-attacks-on-hospitals-in-northern-gaza-unacceptable-norway/3436887	2024-12-28T11:05:44-08:00	
Philadelphia 76ers' Joel Embiid fined $75,000 for obscene gestures	Incidents took place on Wednesday, during first half of Philadelphia 76ers’ 118-114 win over Boston Celtics	https://www.aa.com.tr/en/live/philadelphia-76ers-joel-embiid-fined-75-000-for-obscene-gestures/3436886	2024-12-28T11:03:46-08:00	
Paris Basketball vs. Fenerbahce Beko EuroLeague clash rescheduled for March	Round 17 clash, originally for earlier this month, was suspended due to several Paris players getting flu	https://www.aa.com.tr/en/live/paris-basketball-vs-fenerbahce-beko-euroleague-clash-rescheduled-for-march/3436885	2024-12-28T11:02:55-08:00	
Russia ‘limits to zero’ gas supplies to Moldova starting Wednesday	Russian company Gazprom cites contract breaches, payment disputes	https://www.aa.com.tr/en/live/russia-limits-to-zero-gas-supplies-to-moldova-starting-wednesday/3436884	2024-12-28T11:00:29-08:00	
21 killed in attack by paramilitary group forces on Sudan shelter	Rapid Support Forces target civilian shelter in El Fasher, western Sudan	https://www.aa.com.tr/en/live/21-killed-in-attack-by-paramilitary-group-forces-on-sudan-shelter/3436848	2024-12-28T09:38:16-08:00	
Iraq set to resume flights to Lebanon after 3-week suspension	Iraq’s transport minister says flights with Lebanon will resume next week, according to state-run news agency	https://www.aa.com.tr/en/live/iraq-set-to-resume-flights-to-lebanon-after-3-week-suspension/3436838	2024-12-28T09:11:23-08:00	
Yemen’s Houthis targeted Israeli air base with hypersonic missile: Spokesperson	Group says it targeted Nevatim Air Base in southern Israel with hypersonic missile	https://www.aa.com.tr/en/live/yemen-s-houthis-targeted-israeli-air-base-with-hypersonic-missile-spokesperson/3436830	2024-12-28T08:52:25-08:00	
