Title	Description	Link	pubDate	Image
Arab foreign ministers urge international community to enforce UN court opinion on occupied Palestinian territory	CAIRO: Arab foreign ministers have urged the international community the UN court’s advisory opinion declaring Israel’s settlement policy in the West Bank and east Jerusalem violative of international law. At the conclusion of the Arab League meeting in Cairo, the Arab foreign ministers also called for Israel to end its illegal presence as soon as possible and to immediately cease all settlement activities, state news agency SPA reported.	https://www.arabnews.com/node/2570901/saudi-arabia	2024-09-10T22:09:34-07:00	
Saudi Arabia reaffirms strong support for Sudan	GENEVA: Saudi Arabia reiterated its support for Sudan during the 57th session of the UN Human Rights Council in Geneva on Tuesday, reported state news agency SPA. Abdulmohsen bin Majed bin Khothaila, Saudi Arabia’s permanent representative to the United Nations, delivered a statement on the Independent International Fact-Finding Mission on Sudan. In his statement, Khothaila emphasized the need to protect Sudan and its people from further destruction and the worsening humanitarian situation.	https://www.arabnews.com/node/2570900/saudi-arabia	2024-09-10T22:09:48-07:00	
Flash flood sweeps away hamlet as Vietnam storm toll rises to 141 dead	HANOI, Vietnam: A flash flood swept away an entire hamlet in northern Vietnam, killing 16 people and leaving dozens missing as deaths from a typhoon and its aftermath climbed to 141 on Wednesday. Vietnamese state broadcaster VTV said the torrent of water gushing down from a mountain in Lao Cai province Tuesday buried Lang Nu hamlet with 35 families in mud and debris. Only about a dozen are known so far to have survived. Rescuers have recovered 16 bodies and are continuing the search for about 40 others.	https://www.arabnews.com/node/2570899/world	2024-09-10T21:09:31-07:00	
Anti-war protesters clash with police at Melbourne defense expo	SYDNEY: Anti-war protesters and police clashed outside a defense exhibition in Australia’s second-largest city of Melbourne on Wednesday, with police using sponge grenades, flash-bang devices and irritant sprays to control parts of the hostile crowd. Police were pelted with rocks, horse manure and bottles filled with liquid as they tried to protect attendees of the expo, some of whom were assaulted by protesters, a Victoria state police spokesperson said in a statement.	https://www.arabnews.com/node/2570898/world	2024-09-10T21:09:31-07:00	
Iran’s president visits Iraq on first foreign trip	TEHRAN: Iranian President Masoud Pezeshkian arrived in Baghdad on Wednesday, making an official visit to Iraq, a strategic ally of both Tehran and Washington, Iran’s state media said. Iraq hosts several Iran-aligned parties and armed groups, as Tehran has steadily increased its sway in the major oil producer since a US-led invasion toppled its enemy Saddam Hussein in 2003.	https://www.arabnews.com/node/2570897/middle-east	2024-09-10T21:09:53-07:00	
Colombia down Argentina, Brazil stunned in World Cup qualifiers	MONTEVIDEO: Colombia avenged their Copa America final defeat with a 2-1 victory over Argentina while Brazil crashed to a 1-0 defeat against Paraguay in South American qualifying for the 2026 World Cup on Tuesday. Skipper James Rodriguez buried a nerveless 60th-minute spot-kick to seal a hard-fought win for Colombia over the reigning world champions, who were without injured captain Lionel Messi. It was sweet revenge for Colombia, who were beaten 1-0 by Argentina in a bitterly disappointing Copa America final loss in Miami two months ago.	https://www.arabnews.com/node/2570894/sport	2024-09-10T21:09:22-07:00	
IMF agreement could give Ukraine access to $1.1 bn	SAN FRANCISCO: The International Monetary Fund late Tuesday said it has reached an agreement with Ukraine on an aid program review that could open the door to $1.1 billion for the war-battered country. A staff-level agreement on the fifth review of the four-year Extended Fund Facility Agreement, subject to approval by the IMF executive board, would clear the way for Ukraine to access the money, according to the IMF. It would raise to $8.7 billion the amount of funds dispersed so far to Ukraine as part of an IMF program tallying about $15.6 billion.	https://www.arabnews.com/node/2570893/world	2024-09-10T21:09:06-07:00	
Blinken set to arrive in Ukraine in show of support for Kyiv	WASHINGTON: US Secretary of State Antony Blinken is set to arrive in Ukraine on Wednesday, where he will meet with senior government officials at what he said was a critical moment for supporting the country in its fight against Russia’s invasion. The top US diplomat, who is traveling to Ukraine alongside Britain’s Foreign Secretary David Lammy, said he will use his visit to hear directly from Ukrainian President Volodymyr Zelensky and others what Kyiv’s current goals in the war are and what Washington can do to help it achieve them.	https://www.arabnews.com/node/2570891/world	2024-09-10T21:09:38-07:00	
Pope Francis heads to Singapore on final stop of Asia tour	SINGAPORE: Pope Francis left East Timor for Singapore on Wednesday for the last leg of a gruelling 12-day Asia-Pacific tour, flying from one of the world’s poorest regions to one of its richest. The marathon four-nation tour has already taken in Indonesia and Papua New Guinea but the 87-year-old pontiff has appeared in good spirits throughout despite fears over his health. A formal leaving ceremony was held at the airport in capital Dili, where the pope’s plane took off for the Southeast Asian city-state shortly after 12:25 p.m. local time (0325 GMT).	https://www.arabnews.com/node/2570890/world	2024-09-10T21:09:09-07:00	
Palestinian medics say five killed in Israeli strikes on West Bank	RAMALLAH: The Palestinian Red Crescent Society said Israeli strikes in the occupied West Bank on Wednesday killed five Palestinians, while the Israeli military said it hit a 'terrorist cell.' The five people were killed 'as a result of Israeli air strikes (on) a group of citizens in Tubas,' Palestinian Red Crescent spokesman Ahmed Jibril told AFP, adding that the dead were 'transferred to the Turkish government hospital in Tubas.' According to the Red Crescent, the drone fire occurred near a mosque in the Tubas region around dawn.	https://www.arabnews.com/node/2570886/middle-east	2024-09-10T19:09:18-07:00	
Iran's President U-Turns on Fuel Prices	Iranian President Masoud Pezeshkian said that it was 'irrational' for the government to sell imported petrol at heavily subsidized rates ...	https://iranwire.com/en/economy/133323-irans-president-u-turns-on-fuel-prices/	2024-08-28T03:48:13-07:00	
