Title	Description	Link	pubDate
-Let HIMARS not let you down-: Volodymyr Zelenskyi honored the soldiers of the 27th brigade	He wrote about this in his Telegram channel. The head of state congratulated the soldiers on the Day of the Ground Forces and the Day of the Missile Forces and Artillery, and also presented them with state awards. -Thank you for your service and protection of our state and people. Let HIMARS not fail and accurately hit enemy targets,- Volodymyr Zelenskyi noted. The President expressed his support for the military and thanked them for their courage and dedication in the fight for the independence of Ukraine. As reported by ArmyInform, on the Day of the Ground Forces of the Armed Forces of Ukraine President Volodymyr Zelenskyy congratulated defenders on the holiday.	https://armyinform.com.ua/2024/12/12/nehaj-himars-ne-pidvodyat-volodymyr-zelenskyj-vidznachyv-voyiniv-27-brygady/	2024-12-12T05:23:45-08:00
Donetsk collaborators were tasked with improving the demographic situation	This is reported by Center of national resistance. To do this, the Donetsk collaborators received from the Kremlin the task of improving the demographic situation in the territories occupied by Russia, in particular due to the increase in the number of Russians in these regions. The so-called heads of municipalities and heads of relevant departments of the quasi-formation of the National People's Republic of Ukraine will have to submit 10 proposals each on how to do this by December 20. Such a demographic policy of the Kremlin is part of an overall strategy of genocide, which includes forced deportations, terror and the destruction of the cultural, social and ethnic foundations of the occupied territories. We remind you that the occupiers force schoolchildren to pass knowledge tests. of the Constitution of the Russian Federation.	https://armyinform.com.ua/2024/12/12/doneczki-kolaboranty-otrymaly-zavdannya-pokrashhyty-demografichnu-sytuacziyu/	2024-12-12T05:09:44-08:00
-Spartans- destroyed the invaders who launched kamikaze drones	The video of the combat operation was released by 3 operational brigade -Spartan- named after Colonel Petro Bolbochan NGU at its channels -Thanks to the effective work of scouts, the exact location of the enemy was established. To destroy the target, the drones of the -Spartan- brigade took to the sky, which eliminated the enemy's FPV calculation with high accuracy,- the defenders said. Earlier, ArmyInform showed how Russians tried to advance to the Ukrainian positions, but did not take into account that the defense here is held by the soldiers of the brigade -Spartan-, which successfully repelled the enemy assault.	https://armyinform.com.ua/2024/12/12/spartanczi-znyshhyly-okupantiv-yaki-zapuskaly-drony-kamikadze/	2024-12-12T04:57:55-08:00
- Package of services - involves detention at the border: the border guards have exposed another sch...	About this informs State Border Service of Ukraine. The law enforcement officers established that a 20-year-old resident of the Yavoriv district together with a 25-year-old accomplice planned to organize an illegal exit through the -green section- of the border. For their services, they demanded 2.5 thousand US dollars from a person, which customers had to transfer to a crypto wallet. The -service package- included detailed instructions, a driving route and delivery to the border. The men searched for clients via the Internet. One of the criminals was caught red-handed near the border while trying to transport another -client-. Suspicion was announced to both involved parties under part. 3 Art. 332 of the Criminal Code of Ukraine (illegal transportation of persons across the state border). A pre-trial investigation is ongoing. Violators face imprisonment for seven to nine years with confiscation of property and deprivation of the right to hold certain positions or engage in certain activities for up to three years . ArmyInform reminds that it is better not to break the law or risk your life, but to use the aggregator of vacancies in the Armed Forces and recruiting centers.	https://armyinform.com.ua/2024/12/12/paket-poslug-vklyuchaye-v-sebe-zatrymannya-na-kordoni-prykordonnyky-vykryly-chergovyh-shemshhykiv/	2024-12-12T04:41:59-08:00
A missile aimed at Ukraine is a bullet to the temple: a Russian designer was eliminated in the Mosco...	This is reported by Army TV sources. Mykhailo Shatskyi, the deputy general designer, head of the functional software department of KB -Mars- was shot dead in the Kuzminsky forest park near Kotelniki, in the suburbs of Moscow. Mykhailo Shatskyi was the head of the functional software department of the Russian federal state unitary enterprise Moscow Research and Design Bureau -Mars-, which is a subsidiary of the Russian state atomic energy holding -Rosatom-. In particular, Shatsky was engaged in the modernization of X-59 cruise missiles to the level of X-69, and his colleagues considered the destroyed designer to be the main ideologist of the introduction of artificial intelligence in UAVs and other Russian aircraft and space vehicles. As reported by ArmyInform, in Russia, a pilot guilty of missile strikes on the Dnipro was beaten to death with a hammer.	https://armyinform.com.ua/2024/12/12/raketa-na-ukrayinu-kulya-v-skronyu-u-pidmoskov%ca%bcyi-likviduvaly-rosijskogo-konstruktora/	2024-12-12T04:30:00-08:00
A missile aimed at Ukraine is a bullet to the temple: GUR eliminated a Russian designer in the subur...	This is reported by Army TV sources. Mykhailo Shatskyi, the deputy general designer, head of the functional software department of KB -Mars- was shot dead in the Kuzminsky forest park near Kotelniki, in the suburbs of Moscow. Mykhailo Shatskyi was the head of the functional software department of the Russian federal state unitary enterprise Moscow Research and Design Bureau -Mars-, which is a subsidiary of the Russian state atomic energy holding -Rosatom-. In particular, Shatsky was engaged in the modernization of X-59 cruise missiles to the level of X-69, and his colleagues considered the destroyed designer to be the main ideologist of the introduction of artificial intelligence in UAVs and in other Russian aircraft and space vehicles.	https://armyinform.com.ua/2024/12/12/raketa-na-ukrayinu-kulya-v-skronyu-gur-likviduvalo-rosijskogo-konstruktora-v-pidmoskov%ca%bcyi/	2024-12-12T04:30:00-08:00
-Spartans- eliminated the invaders who launched kamikaze drones	The video of the combat operation was released by 3 operational brigade -Spartan- named after Colonel Petro Bolbochan NGU at its channels -Thanks to the effective work of scouts, the exact location of the enemy was established. To destroy the target, the drones of the -Spartan- brigade took to the sky, which eliminated the enemy's FPV calculation with high accuracy,- the defenders said. Earlier, ArmyInform showed how Russians tried to advance to the Ukrainian positions, but did not take into account that the defense here is held by the soldiers of the brigade -Spartan-, which successfully repelled the enemy assault.	https://armyinform.com.ua/2024/12/12/spartanczi-likviduvaly-okupantiv-yaki-zapuskaly-drony-kamikadze/	2024-12-12T04:27:55-08:00
In Zaporizhzhia, the search and rescue operation was completed: the body of the last victim was reco...	informs about this on December 12, Ivan Fedorov, the head of Zaporizhzhya OVA. -Unfortunately, the number of dead in Zaporizhzhia has increased to 11. The rescuers have just retrieved the body of a woman from under the rubble of a house destroyed by an enemy strike on December 10. They had hope until the last, but unfortunately&#8230; a Russian rocket killed 11 Zaporozhians. We will not forgive,- he wrote. The Prosecutor General's Office reported that the search and rescue operation was completed. -The body of the last victim was retrieved from under the rubble. The search and rescue operation has been completed. 22 people were injured, including a five-year-old girl. Condolences to the families of the victims,- ​​the message reads. It will be recalled that on the afternoon of December 10, Russian invaders attacked the civilian infrastructure in Zaporizhzhia. A private clinic was destroyed and nearby buildings were damaged. Doctors are among the injured.	https://armyinform.com.ua/2024/12/12/u-zaporizhzhi-zavershylas-poshukovo-ryatuvalna-operacziya-distaly-tilo-ostannoyi-zhertvy/	2024-12-12T04:09:14-08:00
The head of the State Duma of the Russian Federation, who was preparing a large-scale invasion, was ...	About informs December 12 SBU. During the court session in absentia, he was found guilty under Part 3 of Article 110 of the Criminal Code of Ukraine (encroachment on the territorial integrity and inviolability of our state). According to the case materials, on February 15, 2022, he put to a vote in the session hall a resolution on appealing to Putin with a request to recognize the -independence- of the temporarily occupied regions of Donetsk and Luhansk regions. -At the same time, Volodin publicly supported this decision and secured the necessary number of -votes- of Russian deputies. Subsequently, the speaker of the State Duma of the Russian Federation organized the ratification of the so-called -agreement on friendship, cooperation and mutual assistance- between the Kremlin and the terrorist organizations of the L/DNR,- the report says. Later, the Kremlin used Volodin's -legislative initiatives- to start a full-scale war against Ukraine. Currently, the official continues to justify the temporary seizure of the territories of our state and supports the armed aggression of the Russian Federation. He often states this during meetings of the State Duma of Russia and on the broadcasts of Kremlin propagandists. Since the convicted person is on the territory of the Russian Federation, the beginning of the term of serving the sentence is determined from the day of his actual detention. As reported by ArmyInform, the Security Service of Ukraine detained in Kyiv a supporter of the banned Sharia party, who publicly called to the violent seizure of power and the assassination of state leaders.	https://armyinform.com.ua/2024/12/12/golovu-derzhdumy-rf-yakyj-gotuvav-povnomasshtabne-vtorgnennya-zaochno-zasudyly-do-15-rokiv-tyurmy/	2024-12-12T03:51:24-08:00
Everything was on fire: the occupiers threw a bunch of equipment at the assault, from which only one...	His fighters publishedon their channel. They repelled the enemy attack together with the guardsmen of the 1st BrOP -Bureviy- and paratroopers of the 77th OAeMBr. It was noted that 8 enemy armored vehicles were moving in the direction of Kruglyakivka. According to updated data, the -Achilles- battalion damaged and stopped 8 BBMs and finally destroyed 7: Earlier, ArmiyaInform showed how in Kharkiv Oblast fighters of the -Achilles- unmanned air strike battalion of the 92nd Assault Brigade named after Kosh Ataman Ivan Sirkwere impressed BM-21 -Grad-, T-72 tank, M-46 gun, three anti-aircraft guns, two -loaves-, buggies and injured two occupants.	https://armyinform.com.ua/2024/12/12/palalo-vse-okupanty-kynuly-na-shturm-kupu-tehniky-z-yakyh-vczilila-lysh-odna-bbm/	2024-12-12T03:33:33-08:00
