Title	Description	Link	pubDate	Image
Archbishop of Nagpur appeal for peace after violence breaks out between Muslims and Hindus	More than 50 people have been arrested in the wake of communal violence that included several vehicles and houses vandalised. The authorities imposed a curfew imposed in some areas of the city in Maharashtra. Hindu nationalists want to remove the tomb of a Mughal ruler. Rumours that a copy of the Qur'an was burnt sparked a violent a reaction by Muslims. Archbishop Gonsalves urges respect for everyone, and warns against spreading 'rumours and false news.'	https://www.asianews.it/news-en/Archbishop-of-Nagpur-appeal-for-peace-after-violence-breaks-out-between-Muslims-and-Hindus-62709.html	2025-03-18T07:34:00-07:00	
Beyond Papua New Guinea as a Christian country	The parliament of Papua New Guinea has approved an amendment that identifies the nation as an 'independent Christian state'. Fr Giorgio Licini (Caritas Papua New Guinea): it risksbeingan empty statement, without resolving the real challenges facing the country.	https://www.asianews.it/news-en/Beyond-Papua-New-Guinea-as-a-Christian-country-62708.html	2025-03-18T06:54:00-07:00	
Shanghai Catholics and Bishop Ma Daqin's restrictions	A Catholic voice from Shanghai reminds AsiaNews of the case of the auxiliary bishop who resigned from the Patriotic Association when he was ordained and has been living in seclusion ever since. It was hoped that the tormented appointment of Mgr Shen Bin as ordinary bishop would unblock the situation, but two years later nothing has happened. Ma Daqin remains the icon of the 'suffering righteous'.	https://www.asianews.it/news-en/Shanghai-Catholics-and-Bishop-Ma-Daqin%26rsquo%3Bs-restrictions-62710.html	2025-03-18T06:31:00-07:00	
Letter from Pope Francis: 'Disarming words, minds, the Earth'	The pontiff writes from the Gemelli Polyclinic to the editor of the Italian daily Corriere della Sera. In illness, 'war appears even more absurd,' he reiterates. Human frailty 'has the power to make us more lucid about what lasts and what passes'.To information professionals: 'Feel the full importance of words'. Peace is built with 'commitment, work, silence, words'.	https://www.asianews.it/news-en/Letter-from-Pope-Francis%3A-%26lsquo%3BDisarming-words%2C-minds%2C-the-Earth%26rsquo%3B-62706.html	2025-03-18T06:10:00-07:00	
Truce is over, Israel bombs Gaza and blames Hamas: hundreds dead	In today's news: The Indian authorities have imposed a curfew in Nagpur after an attack by Hindu radicals on the tomb of an ancient Muslim ruler;Jakarta repatriates - and interrogates - over 500 of its citizens returning from Myanmar who were victims of 'cyberscam';Beijing has put the publisher Li Yanhe on trial for 'pro-Taiwan secessionism';After 14 years, the leader of the Iranian opposition Karroubi has been released from house arrest.	https://www.asianews.it/news-en/Truce-is-over%2C-Israel-bombs-Gaza-and-blames-Hamas%3A-hundreds-dead-62705.html	2025-03-18T01:48:00-07:00	
The 'modern' Ramadan of today's Central Asia	While mosques are filling up with large crowds from Kyrgyzstan to Kazakhstan, commercial initiatives related to the Muslim holy month are multiplying. And most telephone operators are also offering electronic almsgiving services, with QR codes approved by religious administrations.	https://www.asianews.it/news-en/The-%26lsquo%3Bmodern%26rsquo%3B-Ramadan-of-today%27s-Central-Asia-62704.html	2025-03-18T01:35:00-07:00	
Lahore pays tribute to Akash Bashir 10 years after his martyrdom	On 15 March 2015, the 21-year-old died to stop a suicide bomber at St John's Church, saving over 800 worshippers. In Youhanabad, thousands of people gathered to remember him. Fr Khalid Rashid Asi told AsiaNews that the state must learn from his example, and put an end to terrorism and extremism. His cause of beatification is progressing.	https://www.asianews.it/news-en/Lahore-pays-tribute-to-Akash-Bashir-10-years-after-his-martyrdom-62699.html	2025-03-17T11:56:00-07:00	
Patron saint unites Indian and Sri Lankan fishermen despite conflicts	About 10,000 people visit Kachchatheevu to honour Saint Anthony in celebrations promoted by the Diocese of Jaffna and led by the bishop of Sivagangai. The latter calls on both parties 'to work together to find a lasting solution to the conflict in the sea.'	https://www.asianews.it/news-en/Patron-saint-unites-Indian-and-Sri-Lankan-fishermen-despite-conflicts-62703.html	2025-03-17T10:47:00-07:00	
Myanmar troops torch the cathedral in Bhamo, while anger grows against ethnic militias	Junta soldiers attack St Patrick's Catholic Church in Bhamo, Kachin, a day before Saint Patrick's. In Mandalay at least 27 dead are killed in an airstrike today. Meanwhile, civilians protest against ethnic militias for abuses and forced recruitment. In Rakhine Chinese security personnel are already present to protect Chinese investments.	https://www.asianews.it/news-en/Myanmar-troops-torch-the-cathedral-in-Bhamo%2C-while-anger-grows-against-ethnic-militias-62702.html	2025-03-17T09:29:00-07:00	
Prabowo's wall against Indonesian coastal erosion	Thepresident has decided to build a 700-kilometre-long barrage to stop the sea advancing and causing cities to sink. But there are strong doubts about the feasibility and effectiveness of this colossal work	https://www.asianews.it/news-en/Prabowo%27s-wall-against-Indonesian-coastal-erosion-62701.html	2025-03-17T08:44:00-07:00	
Even in West Bank colonies Gulf business (with Trump's son-in-law)	Middle East Eye investigation: Saudi Arabia, Qatar and the United Arab Emirates are linked through Kushner's Affinity Partners to UN blacklisted companies. Involved are banks and companies in telecommunications, transportation, energy, engineering and retail. Business in settlements stronger than solidarity with Palestinians.	https://www.asianews.it/news-en/Even-in-West-Bank-colonies-Gulf-business-%28with-Trump%27s-son-in-law%29-62698.html	2025-03-17T08:39:00-07:00	
White House gutting independent information in Asia	Trump's latest wave of executive orders has reached Radio Free Asia and other related news outlets such as Voice of America. Funded by the US government, the latter have been an essential source of information in at-risk regions like Tibet and Xinjiang, against Chinese censorship. For a former US ambassador, this is a giant gift to China.	https://www.asianews.it/news-en/White-House-gutting-independent-information-in-Asia-62700.html	2025-03-17T06:33:00-07:00	
Yemen: at least 53 dead in US raids against Houthis (attacking in Red Sea)	Today's news: Talksbetween Trump and Putin on Ukraine are scheduled for tomorrow;Burmese military junta ravages St. Patrick's Cathedral in Bhamo;Taipei expels pro-reunification Chinese influencer; Jakarta is set to sign a moratorium to reinstate sending Indonesian workers to Saudi Arabia; NorthKorean soldiers sell military equipment to buy food; In Afghanistan, a woman dies in childbirth every two hours.	https://www.asianews.it/news-en/Yemen%3A-at-least-53-dead-in-US-raids-against-Houthis-%28attacking-in-Red-Sea%29-62697.html	2025-03-16T16:00:00-07:00	
Historic peace between Kyrgyzstan and Tajikistan	The agreement between Kyrgyz and Tajiks-sealed by the embrace between Žaparov and Rakhmon-affects as much as 1,000 kilometers of border and and comes after discussions and clashes dating back to the twentieth century, when both states were under Moscow's control. As recently as three years ago, armed clashes had occurred with several casualties on both sides.	https://www.asianews.it/news-en/Historic-peace-between-Kyrgyzstan-and-Tajikistan--62696.html	2025-03-17T01:12:00-07:00	
Hospitals and places of care are full of light, says pope	Francis's conditions are stable at the Rome hospital where he has been treated since 14 February. 'I am facing a period of trial, and I join with so many brothers and sisters who are sick: fragile, at this time, like me,' he says in today's Angelus. He devotes once more thoughts to 'countries wounded by war'.	https://www.asianews.it/news-en/Hospitals-and-places-of-care-are-full-of-light%2C-says-pope-62695.html	2025-03-16T07:12:00-07:00	
Indonesia, Holy See mark 75 years of diplomatic relations	By opening a nunciature in the Southeast Asian country in 1950, the Holy See made a great contribution to the development of the post-colonial world, and unity among the country's many religious communities. For the Indonesian ambassador to the Holy See, the two parties 'share a common perspective on many global issues,' as Pope Francis's trip showed.	https://www.asianews.it/news-en/Indonesia%2C-Holy-See-mark-75-years-of-diplomatic-relations-62694.html	2025-03-16T05:57:00-07:00	
In Odisha Christians denied the right to bury their dead, forced to convert to Hinduism	In Siunaguda, Odisha, a Christian family was denied the right to bury a loved one until they agreed to convert him back to Hinduism. The incident, which is part of a broader pattern of religious discrimination, has raised concern among activists and religious leaders, who slam increasing pressure on Christian minorities in India's states with large tribal communities.	https://www.asianews.it/news-en/In-Odisha-Christians-denied-the-right-to-bury-their-dead%2C-forced-to-convert-to-Hinduism-62691.html	2025-03-15T08:17:00-07:00	
