Title	Description	Link	pubDate	Image
Los microestados de Europa: las monarquías medievales que sobrevi...	Estos Estados existen desde la época medieval y su pequeño tamaño les ha permitido desarrollar y mantener disposiciones constitucionales singulares. Todos ellos han desarrollado soluciones originales a los problemas de la arquitectura estatal, muchas de las cuales sobreviven hoy en día Por Elisa Bertolini Europa continental alberga cuatro microestados con poblaciones de entre 30.000 y 80.000 habitantes: Andorra, en la frontera entre Francia y España; Liechtenstein, enclavado entre Suiza y Austria; Mónaco, situado en la Costa Azul francesa; y San Marino, rodeado por el norte de Italia. Estos Estados existen desde la época medieval y su pequeño tamaño les ha permitido desarrollar y mantener disposiciones constitucionales singulares. Todos ellos han desarrollado soluciones originales a los problemas de la arquitectura estatal, muchas de las cuales sobreviven hoy en día. Los microestados de Europa: las monarquías medievales que sobreviven entre nosotros Los cuatro microestados participan en el Consejo de Europa (la organización europea de derechos humanos) y, por tanto, han tenido que modernizarse para cumplir las normas internacionales de gobernanza. Esto incluye la independencia del poder judicial. Sin embargo, los cuatro han llevado a cabo estas reformas sin alterar su identidad institucional. Su compromiso de preservar su carácter distintivo frente a otros países impide una reforma más amplia de sus instituciones. Para ellos, la protección de la tradición y la identidad nacionales es una forma de autopreservación más que una mera expresión de ideología. El carácter distintivo de los cuatro microestados reside en la pervivencia de disposiciones institucionales que ya no se encuentran prácticamente en ningún otro lugar del mundo. En los principados de Liechtenstein y Mónaco, por ejemplo, la monarquía sigue teniendo un papel central en la Constitución. A diferencia de la mayoría de los Estados europeos con monarquía, en Liechtenstein y Mónaco el jefe del Estado real sigue ejerciendo un poder significativo. Andorra y San Marino, por su parte, funcionan con una doble jefatura de Estado. De hecho, tienen dos monarcas. Los acuerdos institucionales de estos principados se han visto condicionados por su diminuto tamaño, tanto en términos de territorio como de población, y por su situación geográfica. Y estas disposiciones han sobrevivido desde la Edad Media porque se han convertido en su identidad. Mientras que en otras naciones la tradición nacional es un debate ideológico, en estas preservar el pasado es un mecanismo de supervivencia. Liechtenstein y Mónaco Liechtenstein y Mónaco son monarquías constitucionales que ofrecen un poder sustancial a la familia real. Todo se organiza en torno a un príncipe, que ejerce el poder ejecutivo. Las monarquías contemporáneas de tradición jurídica occidental suelen tener un rey o una reina ceremoniales, pero el poder ejecutivo lo ejerce un gobierno elegido. Liechtenstein y Mónaco han mantenido su organización histórica de gobierno, centrada en un monarca muy poderoso. Aunque sus poderes no son ilimitados, en Mónaco el príncipe ni siquiera es responsable ante el Parlamento de los poderes que ostenta. El príncipe de Liechtenstein goza de aún más poderes, incluido el derecho a nombrar a la mitad de los miembros del Tribunal Constitucional. Sin embargo, el poder soberano del príncipe de Liechtenstein se ejerce en asociación con el pueblo de Liechtenstein. La arquitectura institucional está concebida para permitir un sistema de frenos y contrapesos entre el príncipe y el pueblo. Desde una enmienda constitucional de 2003, por ejemplo, el pueblo puede presentar una moción de censura contra el príncipe si más de 1.500 ciudadanos están de acuerdo en hacerlo, lo que desencadena un referéndum de confianza en él. El mismo número de ciudadanos puede presentar una iniciativa para abolir totalmente la monarquía, si así lo deciden. Andorra y San Marino El Principado de Andorra debería llamarse más bien coprincipado, por su régimen de copríncipes. Uno de los príncipes es el obispo de Urgell -de Cataluña- y el otro es el presidente de la República Francesa (y anteriormente el rey o emperador de Francia). Otra peculiaridad andorrana es que ninguno de los dos príncipes tiene la nacionalidad andorrana. Tras una reforma de 1993 que estableció una constitución de pleno derecho, ninguno de los dos príncipes ostenta el poder soberano. Su papel constitucional actual es casi exclusivamente ceremonial. Sin embargo, sigue preocupando el hecho de que no sean nacionales del Estado y que los jefes de Estado no sean elegidos ni por el pueblo andorrano ni por sus representantes. La razón histórica de un jefe de Estado extranjero es la situación geográfica de Andorra, encajada entre Cataluña y Francia. Permitir esta doble soberanía era una garantía de supervivencia. San Marino también tiene un Estado bicéfalo, pero ambos líderes, llamados Capitanes Regentes, son nacionales de San Marino. Son elegidos por el Gran y General Consejo (el órgano legislativo sammarinés) y su rasgo distintivo es que sólo ejercen un mandato de seis meses. La razón de un mandato tan corto es que San Marino tiene una población de poco menos de 34.000 habitantes. Todo el mundo se conoce, lo que puede ir en detrimento de la independencia de los cargos electivos. Los Capitanes Regentes no consiguen apuntalar el poder lo suficiente en su breve mandato como para poder derrocar a la república. Los Capitanes Regentes se establecieron por primera vez en 1243, poco antes de que varias repúblicas italianas fueran derrocadas por familias adineradas. Una de las razones por las que San Marino ha podido sobrevivir es haber evitado durante siglos que una familia fuera más poderosa que las demás. Los microestados no son, por tanto, como los Estados europeos de tamaño normal. Tienen arquitecturas institucionales distintivas, y a menudo por razones comprensibles. Artículo publicado originalmente en The ConversationFuente: INFOBAE La entrada Los microestados de Europa: las monarquías medievales que sobreviven entre nosotros se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/los-microestados-de-europa-las-monarquias-medievales-que-sobreviven-entre-nosotros/	2025-01-07T14:22:15-08:00	
Murió Jean-Marie Le Pen, histórico dirigente de la extrema derech...	El hombre, de 96 años, llevaba varias semanas ingresado en un centro asistencial Jean-Marie Le Pen, líder histórico de la extrema derecha francesa, falleció el martes a los 96 años, según informó su familia a la agencia de noticias AFP. Le Pen, que llevaba varias semanas ingresado en un centro asistencial, falleció a mediodía del martes 'rodeado de sus seres queridos', indicó la familia en un comunicado. Figura polarizadora de la política francesa, Le Pen era conocido por su retórica vehemente contra la inmigración y el multiculturalismo, que le granjeó tanto seguidores incondicionales como una condena generalizada. Sus declaraciones controvertidas, incluida la negación del Holocausto, dieron lugar a múltiples condenas y tensaron sus alianzas políticas. Foto: Captura de pantalla del YouTube Le Pen, que llegó a la segunda vuelta de las elecciones presidenciales de 2002, acabó distanciándose de su hija, Marine Le Pen. En 2011, ella rebautizó el partido para deshacerse de su imagen 'demonizada' y ampliar su atractivo electoral, lo que culminó con sus propios éxitos presidenciales. Ahora se llama Agrupación Nacional. A pesar de su exclusión del partido en 2015, el legado divisivo de Le Pen perdura, marcando décadas de la historia política francesa y moldeando la trayectoria de la extrema derecha. Nacido el 20 de junio de 1928 en el puerto de La Trinite-sur-Mer, en la región occidental de Bretaña, era hijo de una costurera y un pescador. El barco de pesca de su padre chocó contra una mina durante la Segunda Guerra Mundial, matándolo, una pérdida que golpeó duramente al joven Le Pen. Adicto a la guerra colonial Ansioso por ver acción, Le Pen se ofreció como voluntario para servir en dos guerras en las colonias francesas: la Primera Guerra de Indochina (1946-1954) en Vietnam y luego en Argelia (1954-1962). Poco después de su regreso de Argelia, entró en política y se convirtió en el diputado más joven de Francia a los 27 años, cuando fue elegido para el parlamento en 1956. Pero no pudo resistir la tentación del campo de batalla. Más tarde ese mismo año, participó en la expedición militar franco-británica para apoderarse del Canal de Suez, y unos años más tarde se unió a las fuerzas que luchaban para mantener a Argelia como Francia. Al igual que en Vietnam, se enfureció al ver que Francia perdía sus posesiones coloniales, acusando al héroe de la Segunda Guerra Mundial, Charles de Gaulle, de 'ayudar a hacer a Francia pequeña' al conceder a Argelia su independencia. Orador consumado y abogado de formación, aprovechó la ira de los derechistas nostálgicos del imperio y de los colonos franceses obligados a huir del país norteafricano. El parche en el ojo que llevó durante muchos años se sumó a su aire pugilístico. Años más tarde, Le Pen reveló que perdió un ojo al clavar una estaca de una tienda de campaña en un agujero, y no, como se pensaba, en una pelea. Apartamento bombardeado En 1972, cofundó el Frente Nacional (FN), anunciado como un partido 'nacional, social y popular', y dos años más tarde se postuló por primera vez a la presidencia. Los primeros años fueron tumultuosos, con su racismo y antisemitismo descarados tocando una fibra sensible en un país todavía perseguido por el régimen colaboracionista de Vichy durante la Segunda Guerra Mundial. En 1976, una bomba destruyó el edificio de apartamentos de París donde Le Pen vivía con su esposa Pierrette y sus tres hijas, hiriendo levemente a seis personas, pero salvando a Le Pen. Ocho años después, Pierrette abandonó el matrimonio y reapareció poco después para posar casi desnuda para la revista Playboy con un traje de sirvienta francesa, su respuesta al consejo de su esposo de conseguir un trabajo como limpiadora. El primer gran avance electoral del FN se produjo a mediados de la década de 1980, cuando el partido ganó 35 escaños en el parlamento. Pero su suerte fluctuó bruscamente durante las siguientes dos décadas, en parte como resultado de cambios en el sistema electoral que favorecían a los grandes partidos. Sin embargo, el mensaje de Le Pen no cambió, y la inmigración, la élite política y la Unión Europea fueron golpeados, a pesar de que él mismo fue miembro del Parlamento Europeo durante más de 30 años. En 2007, Le Pen sostuvo que Nicolas Sarkozy, hijo de un inmigrante húngaro que ganó la presidencia, no era lo suficientemente francés para ocupar el cargo. Advirtió en repetidas ocasiones que la inmigración africana 'sumergiría' el país y afirmó que la ocupación nazi de la mitad norte de Francia en la Segunda Guerra Mundial 'no fue particularmente inhumana'. Pero fueron los comentarios sobre el Holocausto, al que llamó repetidamente un 'detalle' de la historia, los que causaron la mayor conmoción. El comentario le valió al político el apodo de 'Diablo de la República' y una de una serie de condenas por antisemitismo y racismo. ¿Qué hay en un nombre? Cuatro años de incómoda convivencia política entre padre e hija terminaron en una ardiente disputa en 2015, cuando la joven Le Pen lo echó del partido por sus comentarios sobre el Holocausto. La humillación definitiva para Le Pen padre se produjo cuando Marine abandonó la marca del Frente Nacional a principios de 2018. 'Tendría que suicidarse para cortar sus vínculos conmigo', había dicho al periódico Journal du Dimanche. Sin embargo, le esperaba una mayor ignominia. Su adorada nieta, Marion Marechal-Le Pen, una telegénica exdiputada señalada como una futura líder de la extrema derecha, también se distanció de la marca familiar. Eliminó Le Pen de su nombre en sus cuentas de redes sociales, convirtiéndose simplemente en Marion Marechal. 'Marion tal vez piense que es demasiado peso para llevarlo', refunfuñó su abuelo. Su antiguo partido, ahora Agrupación Nacional, ha hecho desde entonces importantes avances en la política europea y francesa bajo la dirección de Marine Le Pen. Mostró fuertes ganancias en las elecciones al Parlamento Europeo de este año, y se convirtió en el partido más grande en una elección general posterior en Francia. (con información de AFP y AP)Fuente: INFOBAE La entrada Murió Jean-Marie Le Pen, histórico dirigente de la extrema derecha de Francia se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/murio-jean-marie-le-pen-historico-dirigente-de-la-extrema-derecha-de-francia/	2025-01-07T14:09:36-08:00	
Israel invertirá más de 200 millones de euros en impulsar la fabr...	Las autoridades israelíes anunciaron este martes la firma de dos acuerdos por valor de mil millones de shekels (unos 260 millones de euros) para impulsar la fabricación local de bombas y de materias primas para la industria militar. Ambos acuerdos son con la empresa israelí de tecnología militar Elbit, con sede en la ciudad de Haifa. El primer acuerdo establece que Elbit 'suministrará al Ministerio de Defensa de Israel miles de municiones aéreas pesadas', según un comunicado emitido hoy. El segundo estipula la construcción de una planta nacional de producción de materias primas energéticas necesarias para la industria militar del país. Desde que comenzó la guerra en la Franja de Gaza, en octubre de 2023, las autoridades israelíes han impulsado la industria militar local para tratar de reducir la dependencia del país de Estados Unidos, su principal suministrador de armas y munición. 'Ambos acuerdos asegurarán la capacidad soberana de producir bombas y municiones de todo tipo', dijo en el comunicado el director general del Ministerio de Defensa israelí, Eyal Zamir. El responsable explicó que el impulso a las capacidades nacionales comenzó antes de la guerra pero 'se ha acelerado' desde el 7 de octubre. Zamir dijo que las capacidades iniciales contempladas en los dos acuerdos se irán expandiendo hasta logar una independencia total en ambos ámbitos, una 'lección central de la guerra'. Agencias contribuyeron con este artículo de Aurora. La entrada Israel invertirá más de 200 millones de euros en impulsar la fabricación local de bombas se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/israel-invertira-mas-de-200-millones-de-euros-en-impulsar-la-fabricacion-local-de-bombas/	2025-01-07T08:03:06-08:00	
Las conversaciones de tregua en Gaza continúan con 'reuniones téc...	Qatar, uno de los principales mediadores entre Israel y el grupo terrorista Hamás, afirmó este martes que se están llevando a cabo 'reuniones técnicas' entre las partes para alcanzar un acuerdo de tregua en la Franja de Gaza que permita también la liberación de los rehenes cautivos en el enclave. 'Las reuniones técnicas siguen celebrándose entre ambas partes', dijo el portavoz del Ministerio de Exteriores de Qatar, Majed al Ansari, en declaraciones recogidas por la televisión privada qatarí Al Jazeera. El funcionario añadió que, hasta el momento, 'no se están celebrando reuniones importantes' y que los encuentros se están centrando en resolver aspectos técnicos sobre una posible tregua, mientras que se negó a valorar si hay avances o los detalles sobre los temas que se están discutiendo. Por su parte, una fuente palestina en El Cairo dijo que las conversaciones han logrado avances muy limitados, especialmente respecto al regreso de los desplazados al norte de la Franja de Gaza, al tiempo que deseó que los puntos en discordia 'se aclaren en los próximos días'. Asimismo, aseguró que Israel insiste en que se libere a un gran número de rehenes con vida, aunque celebró que la reanudación de las negociaciones el pasado fin de semana en Qtar indica 'el deseo de las dos partes de llegar a un acuerdo'. 'Todo apunta a que Hamás busca llegar a una tregua en este momento', añadió la fuente, que pidió mantener el anonimato por la sensibilidad del asunto. Las negociaciones para un alto el fuego en la Franja de Gaza han recibido un nuevo impulso en el arranque del año, tras naufragar hace un mes, con mensajes optimistas tanto por Israel como por Hamás, que ha entregado la lista con los nombres de los 34 rehenes que liberaría en una primera fase del acuerdo. Agencias contribuyeron con este artículo de Aurora. La entrada Las conversaciones de tregua en Gaza continúan con 'reuniones técnicas', según Qatar se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/las-conversaciones-de-tregua-en-gaza-continuan-con-reuniones-tecnicas-segun-qatar/	2025-01-07T06:20:48-08:00	
El coordinador israelí para rehenes se reúne con negociadores int...	El coordinador israelí para los asuntos de los rehenes, Gal Hirsch, se reunió este martes con negociadores de Estados Unidos, Reino Unido, Canadá, Alemania y Austria, en pleno impulso de las negociaciones indirectas con Hamás para lograr un acuerdo de alto el fuego y liberación de rehenes en Gaza. Los representantes 'han venido a Israel específicamente con este propósito', dijo la oficina del primer ministro israelí, Benjamín Netanyahu, en un breve mensaje. Después, Hirsch y los negociadores mantuvieron una reunión con el presidente israelí, Isaac Herzog, uno de los altos cargos que más han insistido en la necesidad de lograr un acuerdo para liberar al centenar de israelíes que siguen secuestrados en Gaza. 'Apoyamos y esperamos y rezamos y también hacemos un llamamiento a todas las partes de las negociaciones en Qatar para que avancen todo lo posible y pongan fin a esta enorme tragedia', dijo Herzog al comienzo de la reunión, según un comunicado de su oficina. El responsable aseguró que el hecho de que los representantes internacionales se encuentren en Israel demuestra lo importante que es el asunto de los rehenes. Las conversaciones continuarán mañana, miércoles, y los negociadores internacionales se reunirán también con los familiares de los secuestrados. Tras meses de negociaciones infructuosas, Israel envió este lunes a Doha al jefe del Mossad, David Barnea, quien encabeza el equipo negociador. Por su parte, Hamás ha entregado ya una lista con los nombres de 34 secuestrados, de los 96 que siguen cautivos, que liberaría en una primera fase del acuerdo, incluidos dos niños, diez mujeres y once ancianos, aunque sin aclarar si están vivos o muertos. El grupo terrorista ha pedido una semana de calma, sin que aviones israelíes sobrevuelen Gaza, para comunicarse con los captores y confirmar dónde y en qué estado están estos rehenes, ya que algunos están en manos de otros grupos armados dentro de la Franja, como la Yihad Islámica. Agencias contribuyeron con este artículo de Aurora. La entrada El coordinador israelí para rehenes se reúne con negociadores internacionales en Jerusalén se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/el-coordinador-israeli-para-rehenes-se-reune-con-negociadores-internacionales-en-jerusalen/	2025-01-07T06:04:16-08:00	
Los garantes del alto el fuego discuten la 'retirada gradual' de ...	Los miembros del Mecanismo de Implementación del Alto el Fuego en el Líbano discutieron ayer los 'planes técnicos militares' para la 'retirada gradual' del Ejército israelí del sur del país mediterráneo, tal y como está estipulado en el acuerdo del cese de hostilidades pactado el pasado 27 de noviembre. Según un comunicado conjunto emitido por las embajadas de Estados Unidos, Francia y la misión de paz de la ONU en el sur del Líbano (FINUL), los representantes de este mecanismo -integrado también por los ejércitos israelí y libanés- se reunieron en la víspera en una posición de Naciones Unidas en la localidad de Naqoura (sur). El grupo discutió la retirada de las tropas israelíes de todo el sur del río Litani, cuyo curso alcanza hasta unos 29 kilómetros al norte de la frontera con Israel, así como el despliegue de las Fuerzas Armadas libanesas desde el suroeste hacia el sureste. 'Las Fuerzas Armadas Libanesas se han estado preparando para llevar a cabo esta operación durante el último mes, retirando más de 10.000 piezas de munición sin detonar, con el apoyo de la FINUL, que de otro modo impedirían el despliegue seguro de las tropas', indicó el mecanismo en la nota. Esta operación comenzó el lunes, cuando las unidades del Ejército israelí comenzaron a replegarse al sur de la Línea Azul, la divisoria entre Israel y el Líbano. 'Las Fuerzas Armadas Libanesas son la única institución para la defensa y la seguridad del Líbano, y el mecanismo está trabajando en estrecha colaboración con los líderes de las Fuerzas Armadas Libanesas para apoyar sus acciones', sentenció el comunicado, sin aportar más detalles. Ayer, el mediador estadounidense Amos Hochstein afirmó desde Beirut que las tropas israelíes que aún permanecen en el sur del Líbano se irán retirando hasta que 'estén completamente fuera' del territorio libanés, al tiempo que reconoció que este proceso 'no es fácil'. Esto se produce en cumplimiento del acuerdo de alto el fuego entre Israel y el grupo terrorista Hezbollah, que entró en vigor el 27 de noviembre pasado y estipula un plazo de 60 días desde entonces para que las tropas israelíes que habían participado en la invasión del sur del Líbano se retirasen. Agencias contribuyeron con este artículo de Aurora. La entrada Los garantes del alto el fuego discuten la 'retirada gradual' de Israel del sur del Líbano se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/los-garantes-del-alto-el-fuego-discuten-la-retirada-gradual-de-israel-del-sur-del-libano/	2025-01-07T06:02:47-08:00	
VIDEO: El régimen de Nicolás Maduro rompió relaciones diplomática...	La decisión de la dictadura chavista llega luego de que el paraguayo Santiago Peña respaldara al presidente electo de Venezuela, Edmundo González Urrutia El régimen de Venezuela rompió este lunes relaciones con Paraguay tras el respaldo de ese país al presidente electo Edmundo González Urrutia, rival del dictador Nicolás Maduro en las elecciones del 28 de julio. 'Venezuela ha decidido, en pleno ejercicio de su soberanía, romper relaciones diplomáticas con la República de Paraguay y proceder al retiro inmediato de su personal diplomático acreditado en el país', indicó la Cancillería en un comunicado en reacción a una conversación telefónica en la que el presidente paraguayo, Santiago Peña, expresó su apoyo a González Urrutia. El régimen venezolano 'rechaza categóricamente las declaraciones del presidente de Paraguay, Santiago Peña, quien, ignorando el derecho internacional y el principio de no intervención, reincide en una práctica fracasada que recuerda las fantasías políticas del extinto Grupo de Lima con su ridícula aventura llamada Guaidó', añadió el comunicado. Poco después de la decisión venezolana, el Gobierno paraguayo exigió al embajador Ricardo Capella y el resto del personal diplomático de Caracas abandonar el país en las próximas 48 horas. Peña dijo el domingo en la plataforma X que conversó con González, a quien calificó de 'ganador' de la elección, y que está comprometido a ayudar a restaurar la democracia en Venezuela. La Administración de Maduro consideró que Peña 'reincide en una práctica fracasada que recuerda las fantasías del extinto Grupo de Lima con su ridícula aventura llamada Guaidó', en alusión al otrora líder de oposición Juan Guaidó, quien recibió en su momento el respaldo del Gobierno de Asunción, encabezado entonces por Mario Abdo Benítez (2019-2023). Abdo Benítez rompió relaciones diplomáticas con Venezuela en enero de 2019 y anunció el cierre de su embajada en Caracas, después de que Maduro asumiera su segundo periodo de Gobierno tras un proceso electoral que Asunción tachó de 'ilegítimo'. Peña, que restableció las relaciones con Caracas tres meses después de jurar al cargo, en agosto de 2023, expresó el domingo la 'necesidad de que la región se una para trabajar por el respeto absoluto de la voluntad popular y para evitar que regímenes autoritarios sigan vigentes' y reafirmó su respaldo 'a la democracia y a la victoria de González Urrutia como presidente' de Venezuela. Caracas ya rompió relaciones en 2019 con Estados Unidos por su apoyo al opositor Juan Guaidó, quien encabezó un gobierno interino simbólico que fue respaldado en su momento por medio centenar de gobiernos. Tras los cuestionamientos internacionales a la proclamación de Maduro el régimen venezolano retiró el personal diplomático de Argentina, Chile, Costa Rica, Perú, Panamá, República Dominicana y Uruguay. La ruptura de relaciones con Paraguay se decide cuatro días antes de la investidura de Maduro para un tercer mandato seguido de seis años (2025-2031), entre denuncias de fraude por parte de la oposición que reivindica el triunfo de González Urrutia, en el exilio desde el pasado 8 de septiembre. La reelección del heredero político de Hugo Chávez desató protestas que dejaron 28 muertos, 200 heridos y más de 2.400 detenidos, incluidos adolescentes, acusados de terrorismo y encerrados en prisiones de máxima seguridad. Unos 1.500 han sido excarcelados. (Con información de EFE y Reuters)Fuente: INFOBAE La entrada VIDEO: El régimen de Nicolás Maduro rompió relaciones diplomáticas con Paraguay se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/video-el-regimen-de-nicolas-maduro-rompio-relaciones-diplomaticas-con-paraguay/	2025-01-07T03:30:06-08:00	https://aurora-israel.co.il/wp-content/uploads/2025/01/Informe-desde-Caracas-Venezuela-rompe-relaciones-con-Paraguay-por-su-apoyo-a-la-oposicion.mp4
Despega el primer vuelo internacional desde aeropuerto de Damasco...	El aeropuerto internacional de Damasco reanudó este martes sus vuelos internacionales casi un mes después del derrocamiento del presidente sirio, Bashar al Assad, con el despegue de un avión con 145 pasajeros sirios a bordo con destino a Sharjah, en Emiratos Árabes Unidos (EAU).'El primer avión sirio tras la liberación despegó del aeropuerto de Damasco al aeropuerto de Sharjah. El avión lleva a bordo 145 pasajeros sirios', informó la agencia de noticias oficial siria SANA, que recordó que este martes estaba prevista la reanudación de las operaciones internacionales de la instalación tras un mes de parón.Medios sirios retransmitieron el despegue de un avión de la aerolínea nacional Syrian Airlines, pintado con la nueva bandera de Siria compuesta por los colores verde, blanco, negro y tres estrellas rojas en el medio.Este mismo martes también está programado un vuelo hacia Sharjah operado por la compañía siria Cham Wings, mientras que se espera la llegada al aeropuerto de Damasco de un avión procedente de Doha, el primer vuelo de la compañía Qatar Airways a Siria tras trece años de suspensión por la guerra iniciada en el país en 2011.El presidente de la Autoridad de Aviación Civil y Transporte Aéreo, Ashhad Al Sulaibi, anunció hace unos días que hoy volverían a operar los vuelos internacionales y garantizó a las aerolíneas mundiales que el nuevo Gobierno sirio está en proceso de rehabilitar 'completamente' los aeropuertos de Alepo y Damasco, que requieren también reformas.Al Sulaibi no dio a conocer cuáles son las aerolíneas que regresarán al aeropuerto de Damasco, cerrado para vuelos internacionales desde poco antes del 8 de diciembre, día del derrocamiento de Al Asad, aunque la compañía catarí Qatar Airways anunció hace unos días que operará vuelos semanales a la capital siria a partir del 7 de enero.Desde su llegada al poder, las nuevas autoridades sirias han garantizado que todos los servicios y el trabajo de las instituciones del Estado se reanudarán a mayor brevedad posible con el objetivo de regresar a la normalidad, además de poner el foco en la reconstrucción y la recuperación económica del devastado país árabe. EFE La entrada Despega el primer vuelo internacional desde aeropuerto de Damasco tras la caída de Assad se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/despega-el-primer-vuelo-internacional-desde-aeropuerto-de-damasco-tras-la-caida-de-assad/	2025-01-07T02:27:15-08:00	
Francia acusa a Irán de torturar a los detenidos franceses y pide...	El Gobierno francés pide a sus ciudadanos que no viajen a Irán mientras el régimen de Teherán no libere a los tres franceses que mantiene detenidos a su parecer de forma irregular, y que considera por eso 'rehenes'.'La situación de nuestros compatriotas rehenes en Irán es totalmente inadmisible', subrayó este martes el ministro francés de Exteriores, Jean-Noël Barrot, en un discurso durante la conferencia de los embajadores, que como cada año reúne en París a los responsables de sus legaciones diplomáticas en todo el mundo.Barrot denunció que esos 'rehenes' se encuentran 'en condiciones indignas' que asimiló a 'la tortura', e hizo notar que 'la situación ha empeorado' desde el inicio del mandato en julio pasado del actual presidente iraní, Masud Pezeskhian.Por eso justificó la consigna para que los franceses no vayan a Irán hasta que no sean liberados, y advirtió de que de esa cuestión dependerán las relaciones bilaterales y 'el futuro de las sanciones' a las que está sometido el régimen iraní.Son tres los franceses a los que su Gobierno considera 'rehenes de Estado' en Irán. Por una parte están la pareja formada por Cécile Kohler y Jaques Paris, detenidos en la primavera de 2022 acusados de espionaje cuando hacían un viaje turístico.Por otra, hay un hombre del que las autoridades francesas no han querido revelar su identidad, y del que sólo se conoce su nombre, Olivier.El pasado mes de junio fue liberado Louis Arnaud, un treintañero que estaba dando una vuelta al mundo cuando fue arrestado en Irán en septiembre de 2022, acusado de haber participado en las protestas por el asesinato a manos de la policía religiosa de Masha Amini, una joven iraní detenida por no llevar el velo de acuerdo con las reglas del régimen. EFE y Aurora La entrada Francia acusa a Irán de torturar a los detenidos franceses y pide a sus ciudadanos que no viajen a la República Islámica se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/francia-acusa-a-iran-de-torturar-a-los-detenidos-franceses-y-pide-a-sus-ciudadanos-que-no-viajen-a-la-republica-islamica/	2025-01-07T02:10:29-08:00	
Rescatan a tres israelíes atrapados en una montaña helada de Japó...	Tres israelíes de alrededor de veinte años fueron rescatados de una zona turística montañosa de Japón tras haber quedado atrapados por un temporal, en temperaturas por debajo de los cero grados, durante alrededor de veinticuatro horas, anunció el Ministerio del Exterior. Los jóvenes estaban practicando snowboarding, o tabla sobre nieve, un deporte extremo de invierno, incorporado a al programa de los Juegos Olímpicos de Invierno en 1998, en el que se emplea una tabla para deslizarse en una pendiente cubierta de nieve. Los jóvenes reportaron que estaban sufriendo un 'frío congelador' mientras las baterías de sus teléfonos celulares estaban agotándose en una montaña cerca de Hakuba en el centro de Japón, en tanto que el servicio de un helicóptero militar sería la única manera de rescatarlos debido a las malas condiciones climáticas. El embajador Gilad Cohen apeló a altos funcionarios del gobierno local y oficiales de la policía apara que los jóvenes recibieran la ayuda necesaria, reportó el Ministerio de Exteriores en Jerusalén, sin ofrecer mayores detalles. El cónsul israelí Avinoam Mizrahi arribó a la escena en el marco del rescate y se fotografió con los jóvenes sanos y salvos. La entrada Rescatan a tres israelíes atrapados en una montaña helada de Japón se publicó primero en Aurora Israel Noticias en Español.	https://aurora-israel.co.il/rescatan-a-tres-israelies-atrapados-en-una-montana-helada-de-japon/	2025-01-07T00:00:20-08:00	
