Title	Description	Link	pubDate	Image
Russia's 'meat-grinder' tactics bring battlefield success - but at horrendous cost	As 2024 draws to a close, Russian forces are continuing to push their Ukrainian opponents back.	https://www.bbc.com/news/articles/c0ewneynypwo	2024-12-06T09:04:30-08:00	
Alleged Russian election-meddling in Romania resurrects dark memories	The shock move to annul Romania's election over interference throws any certainty out of the window.	https://www.bbc.com/news/articles/c7vee5n5lp0o	2024-12-06T08:50:23-08:00	
Tracking Syrian rebels' lightning offensive as they approach key city	BBC Verify has been tracking the territory captured by Syrian rebels as they move towards Homs.	https://www.bbc.com/news/videos/c5ydd82n15ro	2024-12-06T08:30:04-08:00	
EU agrees landmark trade deal with South America	The trade pact promises lower tariffs for each bloc, but it still may get pushback from EU member states	https://www.bbc.com/news/articles/clyv0k88dgjo	2024-12-06T06:13:57-08:00	
Far-right extremist who murdered South African hero to be deported	Walus has never expressed remorse for killing Hani and has become a symbol for the far right in Poland.	https://www.bbc.com/news/articles/cn8glw6n547o	2024-12-06T06:11:19-08:00	
Romanian court annuls result of presidential election first round	The move comes after allegations of Russian influence via social media on the first round of voting.	https://www.bbc.com/news/articles/cn4x2epppego	2024-12-06T05:39:37-08:00	
Jury awards $300m payout to family of teen who died on Orlando ride	Tyre Sampson fell 30m (98ft) from the ride at ICON Park in Orlando which had no seat belts.	https://www.bbc.com/news/articles/ckg80jrj2r2o	2024-12-06T04:48:11-08:00	
Analysis: Damascus now in Syrian rebels' crosshairs	The sudden offensive could become the biggest threat to Syria's president in 13 years of civil war.	https://www.bbc.com/news/articles/cn0x169enp4o	2024-12-06T04:42:00-08:00	
Harassment case against Lizzo dropped	The singer cannot be sued as an individual, a judge has ruled.	https://www.bbc.com/news/articles/cvgnwynejd5o	2024-12-06T03:26:37-08:00	
Muslim couple forced to sell house after protests by Hindu residents	The sale of the house by a doctor to a Muslim couple had sparked protests from residents in the housing society.	https://www.bbc.com/news/articles/cp837p125ywo	2024-12-06T02:04:39-08:00	
