Title	Description	Link	pubDate	Image
Uzbekistan’s Navoi gold mining giant issues debut $1bn Eurobond	Uzbekistan’s gold mining national champion Navoi Mining & Metallurgical Combine (NMMC) has issued its debut $1bn Eurobond on October 10.	https://intellinews.com/uzbekistan-s-navoi-gold-mining-giant-issues-debut-1bn-eurobond-347439/?source=uzbekistan	2024-10-13T07:58:44-07:00	
Four reporters convicted in Kyrgyzstan of call for mass riots, pr...	RSF condemns regime moves to 'muzzle independent journalism', says country’s media at 'critical turning point'.	https://intellinews.com/four-reporters-convicted-in-kyrgyzstan-of-call-for-mass-riots-press-freedom-under-siege-warn-watchdogs-347703/?source=kyrgyzstan	2024-10-13T07:58:44-07:00	
Kyrgyzstan: President botches attempt to dispel concerns about gr...	An opaque and massive transfer of wealth appears to be ongoing.	https://intellinews.com/kyrgyzstan-president-botches-attempt-to-dispel-concerns-about-graft-347630/?source=kyrgyzstan	2024-10-13T07:58:44-07:00	
Nine in 10 terrorist Tajiks recruited after migration period in R...	Disillusioned with life under regime back home, migrant workers come under influence of extremist imams and online groups.	https://intellinews.com/nine-in-10-terrorist-tajiks-recruited-after-migration-period-in-russia-study-shows-347507/?source=afghanistan	2024-10-13T07:58:44-07:00	
International consortium should build Kazakhstan’s first nuclear ...	Move in wake of atomic energy referendum 'Yes' vote could rile Moscow if main contractor status does not go to Russia’s Rosatom.	https://intellinews.com/international-consortium-should-build-kazakhstan-s-first-nuclear-plant-says-president-347161/?source=kazakhstan	2024-10-13T07:58:44-07:00	
Kazakhstan and Nasdaq-listed fintech Kaspi fight back against sho...	Regulator argues company is 'one of the country's systemically important banks' that is in full compliance with sanctions regimes.	https://intellinews.com/kazakhstan-and-nasdaq-listed-fintech-kaspi-fight-back-against-short-seller-s-report-345039/?source=kazakhstan	2024-10-13T07:58:44-07:00	
Short seller argues Nasdaq-listed Kazakh fintech heavyweight Kasp...	Company says claims made in Culper Research report misrepresents its business. Share price falls 22% after release of analysis.	https://intellinews.com/short-seller-argues-nasdaq-listed-kazakh-fintech-heavyweight-kaspi-misled-market-over-russia-links-344492/?source=kazakhstan	2024-10-13T07:58:44-07:00	
Uzbekistan expects volume of digital services to reach $3.4bn by ...	Uzbekistan is seeking to expand its tech sector, and boost exports of digital services.	https://intellinews.com/uzbekistan-expects-volume-of-digital-services-to-reach-3-4bn-by-year-end-338696/?source=uzbekistan	2024-10-13T07:58:44-07:00	
US lab invents a Fremen-tech water harvester	An American lab has developed 'Fremen-like' technology that can extract moisture from the air even in a desert.	https://intellinews.com/us-lab-invents-a-fremen-tech-water-harvester-338180/?source=kazakhstan	2024-10-13T07:58:44-07:00	
Turkmen authorities scrambling to control scheme that gives citiz...	Citizens find portal to the outside world.	https://intellinews.com/turkmen-authorities-scrambling-to-control-scheme-that-gives-citizens-open-access-to-the-internet-337638/?source=turkmenistan	2024-10-13T07:58:44-07:00	
