Title	Description	Link	pubDate	Image
The D Brief: Why pagers explode; Russian ammo dump blows up; CNO ...		https://www.defenseone.com/threats/2024/09/the-d-brief-september-18-2024/399621/	2024-09-18T08:28:46-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/18/DB_lander/large.png
NATO considering Arctic combined air operations center to deal wi...	We intercept Russians once or twice per week,' Norway's air chief said.	https://www.defenseone.com/threats/2024/09/nato-considering-arctic-combined-air-operations-center-deal-russian-threats/399614/	2024-09-17T18:31:37-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/GettyImages_1132893105/large.jpg
National security deserves better than House Speaker’s 6-month CR...	Bipartisan leaders should insist on—and meet—a tighter deadline for the fiscal 2025 spending bills.	https://www.defenseone.com/ideas/2024/09/national-security-deserves-better-house-speakers-6-month-cr-plan/399612/	2024-09-17T17:13:21-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/Speaker_of_the_House_2500/large.jpg
Russia’s hasty mobilization could see more drones crash on NATO t...	European militaries should seek out relatively cheap drone detectors, US Air Europe chief says.	https://www.defenseone.com/threats/2024/09/russias-hasty-mobilization-could-lead-more-drone-accidents-nato-territory-says-us-air-europe-chief/399606/	2024-09-17T14:24:51-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/GettyImages_2167978831/large.jpg
Lessons from Ukrainian F-16 crash will shape US training: Air For...	Hecker describes ongoing challenges related to Kyiv’s donated fighter jets.	https://www.defenseone.com/policy/2024/09/lessons-ukrainian-f-16-crash-will-shape-us-training-air-force-general/399604/	2024-09-17T14:14:51-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/Screenshot_2024_09_17_at_11.14.06AM/large.png
Russian disinfo groups target Harris-Walz campaign, Microsoft say...	Fake videos, sham content follow U.S. intel community assessment that Moscow favors Trump.	https://www.defenseone.com/threats/2024/09/russia-backed-disinfo-groups-target-harris-walz-campaign-microsoft-says/399596/	2024-09-17T12:32:00-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/GettyImages_2168154660-1/large.jpg
Intel agencies are awash in young talent. But can they keep it?	The intelligence community needs to improve their career-development processes if they're going to keep young stars, officials say.	https://www.defenseone.com/policy/2024/09/intelligence-agencies-are-attracting-new-talent-do-they-have-career-development-systems-keep-them/399595/	2024-09-17T12:00:00-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/091624_Getty_GovExec_IntelWorkforce/large.jpg
AWACS without a plane? Northrop pitches new connect-everything pr...	NG InSight is a 'toolbox' to integrate sensors, off-board computing, and more.	https://www.defenseone.com/defense-systems/2024/09/awacs-without-plane-northrop-pitches-new-connect-everything-product/399585/	2024-09-17T08:27:56-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/Screenshot_2024_09_17_at_11.25.39AM_2/large.png
The D Brief: Ukraine’s population shrinks; Israel adds war goal; ...		https://www.defenseone.com/threats/2024/09/the-d-brief-september-17-2024/399584/	2024-09-17T08:26:06-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/17/DB_lander/large.png
The Space Force’s plan for a ready fleet of commercial satellites...	Companies have started to weigh in on the service's commercial augmentation space reserve program.	https://www.defenseone.com/defense-systems/2024/09/space-forces-plan-ready-fleet-commercial-satellites-takes-shape/399576/	2024-09-16T17:46:09-07:00	https://cdn.defenseone.com/media/img/cd/2024/09/16/GettyImages_14528301321/large.jpg
