Title	Description	Link	pubDate	Image
Colombia’s president had a bold peace plan. It is not working	Negotiations that are not backed up by military muscle merely let armed groups expand	https://www.economist.com/the-americas/2024/12/01/colombias-president-had-a-bold-peace-plan-it-is-not-working	2024-12-01T11:00:41-08:00	
Suffering from the Bhopal disaster in India continues, 40 years on	So does the search for justice for victims of the world’s worst industrial accident	https://www.economist.com/asia/2024/12/01/suffering-from-the-bhopal-disaster-in-india-continues-40-years-on	2024-12-01T07:21:54-08:00	
Syrian rebels sweep into Aleppo in an embarrassing rout for Bashar al-Assad	The Syrian dictator will not be able to count on help from Russia and Iran, his closest allies	https://www.economist.com/middle-east-and-africa/2024/11/30/syrian-rebels-sweep-into-aleppo-in-an-embarrassing-rout-for-bashar-al-assad	2024-11-30T09:27:13-08:00	
Emmanuel Macron shows off the gloriously restored Notre Dame	Five years after it was gutted by fire, the cathedral is more beautiful than ever	https://www.economist.com/europe/2024/11/29/emmanuel-macron-shows-off-the-gloriously-restored-notre-dame-to-the-world	2024-11-29T07:53:57-08:00	
Entrevista con Javier Milei, presidente de Argentina	Transcripción de su encuentro con nuestro corresponsal	https://www.economist.com/the-americas/2024/11/29/entrevista-con-javier-milei-presidente-de-argentina	2024-11-29T03:19:20-08:00	
An interview with Javier Milei, Argentina’s president	A transcript of his meeting with our journalist	https://www.economist.com/the-americas/2024/11/28/an-interview-with-javier-milei-argentinas-president	2024-11-28T12:01:21-08:00	
Ursula von der Leyen has a new doctrine for handling the hard right	The boss of the European Commission embarks on a second term	https://www.economist.com/europe/2024/11/28/ursula-von-der-leyen-has-a-new-doctrine-for-handling-the-hard-right	2024-11-28T05:53:31-08:00	
Mexico and Canada brace for Donald Trump’s tariff thrashing	Mexico’s Claudia Sheinbaum and Canada’s Justin Trudeau are taking different approaches to looming trade war	https://www.economist.com/the-americas/2024/11/28/mexico-and-canada-brace-for-donald-trumps-tariff-thrashing	2024-11-28T05:53:31-08:00	
Donald Trump’s new Arab pal	Will a Lebanese-American businessman influence the incoming administration in the region?	https://www.economist.com/middle-east-and-africa/2024/11/28/donald-trumps-new-arab-pal	2024-11-28T05:53:31-08:00	
America under Joe Biden plays the pragmatist in Africa	Donald Trump is likely to follow suit	https://www.economist.com/middle-east-and-africa/2024/11/28/america-under-joe-biden-plays-the-pragmatist-in-africa	2024-11-28T05:53:31-08:00	
New cures for Africa’s most gruesome diseases	Sleeping sickness, riverblindess and more could be tackled	https://www.economist.com/middle-east-and-africa/2024/11/28/new-cures-for-africas-most-gruesome-diseases	2024-11-28T05:53:31-08:00	
Nigeria seeks to restore pride in its artefacts, ancient and modern	A new museum in Benin City will showcase 'a cauldron of creativity'	https://www.economist.com/middle-east-and-africa/2024/11/28/nigeria-seeks-to-restore-pride-in-its-artefacts-ancient-and-modern	2024-11-28T05:53:31-08:00	
Fathers are doing more child care in East Asia	About time, too	https://www.economist.com/asia/2024/11/28/fathers-are-doing-more-child-care-in-east-asia	2024-11-28T05:53:31-08:00	
Ice Age antelopes surge back from the brink of extinction	Even better, these peers of sabre-toothed tigers can help with carbon capture	https://www.economist.com/asia/2024/11/28/ice-age-antelopes-surge-back-from-the-brink-of-extinction	2024-11-28T05:53:31-08:00	
Indonesia’s Prabowo is desperate to impress Trump and Xi	The new president’s first foreign tour was a shambles	https://www.economist.com/asia/2024/11/28/indonesias-prabowo-is-desperate-to-impress-trump-and-xi	2024-11-28T05:53:31-08:00	
China suffers eruptions from its simmering discontents	Amid random violence and increasing protests, fears mount for social stability	https://www.economist.com/china/2024/11/28/china-suffers-eruptions-from-its-simmering-discontents	2024-11-28T05:53:31-08:00	
China’s government is badgering women to have babies	It is testing an expanded pro-natalist playbook	https://www.economist.com/china/2024/11/28/chinas-government-is-badgering-women-to-have-babies	2024-11-28T05:53:31-08:00	
Wegovy hits the People’s Republic, at last	China mainlines 'Musk’s miracle medicine', at a fraction of the cost in America	https://www.economist.com/china/2024/11/28/wegovy-hits-the-peoples-republic-at-last	2024-11-28T05:53:31-08:00	
Tariffers' v 'traders': the new contest for Donald Trump’s ear	Eye-witnesses to the drama of the first Trump presidency brace for the sequel	https://www.economist.com/international/2024/11/28/tariffers-v-traders-the-new-contest-for-donald-trumps-ear	2024-11-28T05:53:31-08:00	
Is India’s education system the root of its problems?	A recent comparison with China suggests that may be so	https://www.economist.com/asia/2024/11/28/is-indias-education-system-the-root-of-its-problems	2024-11-28T03:14:00-08:00	
Meet the outspoken maverick who could lead India	Nitin Gadkari, India’s highways minister, talks to The Economist	https://www.economist.com/asia/2024/11/28/meet-the-outspoken-maverick-who-could-lead-india	2024-11-28T03:12:28-08:00	
Javier Milei, free-market revolutionary	Argentina’s president explains how he has overturned the old economic order	https://www.economist.com/the-americas/2024/11/28/javier-milei-free-market-revolutionary	2024-11-28T03:04:24-08:00	
Marine Le Pen spooks the bond markets	She threatens to bring down the French government, but also faces a possible ban from politics	https://www.economist.com/europe/2024/11/27/marine-le-pen-spooks-the-bond-markets	2024-11-27T09:58:31-08:00	
Israel and Hizbullah strike a fragile deal to end their war	Joe Biden’s last roll of the dice on peace in the Middle East	https://www.economist.com/middle-east-and-africa/2024/11/26/israel-and-hizbullah-strike-a-fragile-deal-to-end-their-war	2024-11-26T13:10:51-08:00	
The world is losing the fight against international gangs	Globalisation and technological progress are leading to a boom in organised crime	https://www.economist.com/international/2024/11/26/the-world-is-losing-the-fight-against-international-gangs	2024-11-26T05:10:02-08:00	
The maths of Europe’s military black hole	It needs to spend to defend, but voters may balk	https://www.economist.com/europe/2024/11/25/the-maths-of-europes-military-black-hole	2024-11-25T13:36:31-08:00	
The frightening maths of Europe’s military black hole	It needs to spend to defend, but voters may balk	https://www.economist.com/europe/2024/11/25/the-frightening-maths-of-europes-military-black-hole	2024-11-25T13:36:31-08:00	
Is Uruguay too stable for its own good?	The new president must deal with serious problems with growth, education and crime	https://www.economist.com/the-americas/2024/11/25/is-uruguay-too-stable-for-its-own-good	2024-11-25T04:37:25-08:00	
Half a loaf, at best, from the climate talks	This year’s negotiations made very modest progress	https://www.economist.com/international/2024/11/24/half-a-loaf-at-best-from-the-climate-talks	2024-11-24T09:30:03-08:00	
The Adani scandal creates a storm for Narendra Modi	The tycoon’s indictment clouds the prime minister’s prospects following important state elections	https://www.economist.com/asia/2024/11/24/the-adani-scandal-creates-a-storm-for-narendra-modi	2024-11-24T07:01:09-08:00	
