Title,Description,Link,pubDate
<title>Would you trade a researcher's job at a prestigious university to become a Silicon Valley entrepreneur? Our Bay Area Innovator ???? ...</title>,<description><p>Would you trade a researcher's job at a prestigious university to become a Silicon Valley entrepreneur? Our Bay Area Innovator ???? ???????? did just that!<br><br>Ms. Rustique the CEO of ??????????? tells her story. <br><a href='http://ept.ms/3y9ChHS' target='_blank' rel='noopener'>ept.ms/3y9ChHS</a></p> <video src='https://cdn1.cdn-telegram.org/file/fbeae8f632.mp4?token=KZY9lONNPYnbWL7h0RJk5hPGsqR_9S09avvYJ-iyvf1tM_kQ68UQpbLfmT5pqPKpkAEFUO3MFTPFRF1S7NTF6zqyB6IWNTNvwnsM49_zt7YF34g6ud-II6ZhCCblDb1ZX05xXsA4Rsu5p_2ittkYBqpJaog4ps4sA8jF3jEA-JVO9_fqFCgDabhK6IqdfPiSYcoEjr_i8CIgke7iB0Vry9P2KOB2QVioNjXg8V1fyQjPB6Th2kZv1hjxXXmDAg4nVdq8jCxb49861V2CO0nZylS4qP6OfHmr5iq5F82HP49PMFK5ReWgjfeWdq1AI7t1hVn-5QqCDAxulMEc_UA9VLTKe0oAir6Nvuwa-oopTLzK2xXj2GZouFcrWl6Dxoe7wqXJCVqDrCUaCylariZVO8QzI-MtXc3wtb5LRA-QIvjiGcSM4jN_o64FXrRBjjWNpAsf05iPUIa928xhoWL1qgv5jKYNVV2I6iF7JigLup2W0x0X7ZkjIy1qkXvLG3jjk63rhtMKw1vq6DhWg35l9EowpYdiqpYmlmpJygHHuArJkS_sMJT7Z7sAEe5lNJdE3-_Dpn2QH5accoRDSfGgft5Vu91kAWKFg_2kh-PX8kPzzay07TdgwwZYVe5vr-nc72z0JSLs8TY4toersUGoQucEd2yqN295SkTo0T2q0rM' controls='controls' poster='https://cdn1.cdn-telegram.org/file/YqyVP_oHbl4dir3NpxsSyl9atNiq_rSPNAS-_bt_iydNhJ7MdA2irHc5xQC52xkytdLUqKAY1nauVbmCegNSW-iqpEmWLWnvks5ZQtAXru0GJDJ5-cD8BEDpjbrjcqgFSkZXxV7XC4HwA2i_Fpxn3ep8DLbDUmWlkrXCBtyVHAELsPV0X4E-dfcU-EcubopnSozyoii2mEMePsa1YlSqpHp2dSD1ds1FswN1JCZS6S92m5hSpijpcU2UYb8qs-KP5LGk6U5RgYWXhsuvUu6fldsRxaPgbD8RXtrB-Nd8xepUKMzg0lbd9BiX_J6Cd2HSjxSfCr1JJzQE67WW3DnPyg' style='width:100%'></video></description>,<link>https://t.me/epochtimes/108322</link>,<pubDate>2024-07-29T08:33:31-07:00</pubDate>
<title>CA Park Wildfire Becomes Largest In U.S.</title>,<description><p>CA Park Wildfire Becomes Largest In U.S.</p> <blockquote><b>Video is too big</b><br><img src='https://cdn4.cdn-telegram.org/file/goCwRHB4HeIM2nUxYVq3pbnUVvwj9HEsHDYFoH9GGO-ZlOcEI4lamYcxhBhy4dsj1-mBcsjIqESJgooroYYHx1lJlx5-xvpOHCcKWCc5CXdIjrzqge8EUCtZT6swCllus1EWJstDpH2GCiqTnPexi09zqWeZ_8fY-xgSoP5GyHy1_-T27nvgTOy-WbickNbjcUNqKQm5JVUwxRoWxX1U5y00RzqYilC0nneBDgNdnBa8pUeR9vRxhhd7omesw8NUpBSlGdRPg-dwyAvp70X5VMritHZyK2P6gNneIH7UWXZoEPAun92FTcC4rqXHscNb1kxRGJuDGbryMyQmk-GoxQ' referrerpolicy='no-referrer'></blockquote></description>,<link>https://t.me/epochtimes/108321</link>,<pubDate>2024-07-29T08:18:45-07:00</pubDate>
<title>'Their brains are firing; they are connecting the dots. The problem is that it's unsustainable for long periods of time.' An expert in the bioche...</title>,<description><p>'Their brains are firing; they are connecting the dots. The problem is that it's unsustainable for long periods of time.'<br><br>An expert in the biochemistry of health and disease ??. ????? ????????? gives us insight into bipolar disorder. <br><a href='http://ept.ms/SelfRepair_VS' target='_blank' rel='noopener'>ept.ms/SelfRepair_VS</a></p> <video src='https://cdn1.cdn-telegram.org/file/df9ed5da9e.mp4?token=FoK7XLC_2e0A_iDBc71FoczjNsRjecxot-E5Za0oMV6XB8B6JVSlENnnY6TZewcnlINjw47m-WxZJ7QVp0RrN5YlGUF6F7sjhXjelwuQNz7tfj2oeJ6_C-jsKKmfns3KJzSL2vVCnhciDhR7hRnIVoRA-LE1tSrqeijnm2YsHQVcsJkmcxvD8sktd9YChDRSlB7foSc81nH4BQ-MPtS4WlcHukOvSDN8XKkI9rOf0QNkedy3ppLXuQm39BWw0CY_u_8ugR3OC6gVJvl0tQqgbjpSqauCiRuxHZ6jBkG9DgDdKo5DdDzledYv4TS87F1Bvx5fmW-yzDYYsbfJSYoT8w' controls='controls' poster='https://cdn1.cdn-telegram.org/file/KBZpgraLODlN-EB5usres-cQHDy22qc3I-7H4BchLxK2tpTtmzsTBLWWD-SWGZuOpP2MdUzl5sA4Dw6DZcl2A2KOtLf85U0rHnOPeDA4vCoM6mmnar_yUa2dK9BmmL8kH3StztbJMJKB7dXC2SIBLpDYuxUnkcfFsW3TMrBkUCm-IiHFAuOJsMUuU-jYrWWszoivmQtwYaInEnbdQxSppVa2sfLLxgIU3Qe4VHf_K7oB1OoXAI_MqQEqRK9bX8zkgXj2oXNqYVyLy86TPMruqPm9rvS7f52NOKEm9ZovqPyuo2Es8BYjpPuUAeT1PLGur4rcD883cPWXmuFRnJ46_w' style='width:100%'></video></description>,<link>https://t.me/epochtimes/108320</link>,<pubDate>2024-07-29T08:17:23-07:00</pubDate>
<title>??? ??? ???????? ??? ???? ??? ????? ?????...</title>,<description><p>??? ??? ???????? ??? ???? ??? ????? ??????????? ??????? And how can vitamins alongside dietary and lifestyle changes bring relief?<br><br>We hear from ??. ???? ????? who looked beyond her conventional medical training for answers. <span class='emoji'></span><br><a href='http://ept.ms/migrainesVS' target='_blank' rel='noopener'>ept.ms/migrainesVS</a></p><img src='https://cdn1.cdn-telegram.org/file/pRWzRUesfPJud807HPlZ4hOidsRckCBrkgNlN86X31ghmIafRKw0054NJdZWzfjGxItKEVyBPI9SRmHpfMTMPaZSL_9X4U5ilFb1v9UBjh8UngMMcvGsqqEzEhWxhyQWnwBpq76Jj1xs1RJ-O1HCtF9U8VN5sVcsalad1d5-m19g9O4RRFmntRKIj1Q3BdHoykzuxqYjPo3quipqTlC3_IAVl7mYsSKJ4zancssDFtUsNZ4FnWHcmtipycqviYtbBVgMAR30J2pVY80hnby6UC6B7M_RKK0VyTzCvZTM_7lAy4faAL7t4p1g7iXmLlcCXCkpCNUf4G_atrTG7fJ5yg.jpg' referrerpolicy='no-referrer'></description>,<link>https://t.me/epochtimes/108319</link>,<pubDate>2024-07-29T07:43:45-07:00</pubDate>
<title>Death Threats Against Israeli Athletes: Investigation</title>,<description><p>Death Threats Against Israeli Athletes: Investigation</p> <blockquote><b>Video is too big</b><br><img src='https://cdn4.cdn-telegram.org/file/XB8JUfQM5LA7g8uih92caP-SnIPnuvIbO_tvTg11zzYxK1IXIPTFgBKL77v0mLY-tj1NEgnfZuEkNYDf2pbOfpuG6oC2EC9KKZt5aGKGZXz-v9E0wO-3AltWN_kHTmBgIlT2WV4nSAstKtMTegKnfOWfw88N4wHZLJ5Aa0nAAy4VmHAY9j4qZZ3gMPTBTgzC0Y3cns98sg24qMDMp3HkOtqlkdiOxovJya7kf7IvDQ6OIpW3qELWGNh7rXrCDePZ9Fy4PebhlUlCB4mGNuHx16mDOwP8Ei9S9wWp4rmqaAb3GAcOZ6rGaKwftktpP0xVt6HFompbvJ053tG36IjYjQ' referrerpolicy='no-referrer'></blockquote></description>,<link>https://t.me/epochtimes/108318</link>,<pubDate>2024-07-29T07:39:10-07:00</pubDate>
<title>Biden Proposes to Reform Supreme Court With Term Limits Immunity Limits</title>,<description><p>Biden Proposes to Reform Supreme Court With Term Limits Immunity Limits</p> <blockquote><b>Video is too big</b><br><img src='https://cdn4.cdn-telegram.org/file/RLN_5-Qss7ZjHPYxkdXDkWNoklfCovjCWSK6RMgta73ESNgMuXaLEIXDNg0JPwDV-AHgE6TEb6BrRfTIPuiLfijyV1AuE6hsVNaVoZOjs1ezV2f_GEVNlUeXiY4Xq2VUli9eOS5CnJrPKJ6ES7THbkqnYXzN8eBXH5B-ARx27hrtJ0xV8Sf9RNR1am7QT8Vl3IZWEyhqgtRKSnl-NBJVQKkIu9aEb2XbLvTfc3ngRlGkyXnjXaiRwM2bPKFPf6lF4FaHtJBNjg7V2MKFh1jAttEzrO7XlpCEsIQBFsQ9zzHkm9PyMyOG1JWqFBqLkbOeqNAyo6bKgM8DpnMRqE36IA' referrerpolicy='no-referrer'></blockquote></description>,<link>https://t.me/epochtimes/108317</link>,<pubDate>2024-07-29T07:07:02-07:00</pubDate>
<title>'I was prescribed basically every migraine drug that was available by various different doctors headache specialists in my area and nothing was...</title>,<description><p>'I was prescribed basically every migraine drug that was available by various different doctors headache specialists in my area and nothing was working.'<br><br>Which foods did ??. ???? ????? start eating and which vitamins did she take to improve her migraines? <br><a href='http://ept.ms/migrainesVS' target='_blank' rel='noopener'>ept.ms/migrainesVS</a></p> <video src='https://cdn1.cdn-telegram.org/file/922067cfba.mp4?token=dzFK01FUi7P6tWtkhoDSCYDzipEihSs7QAzxEY9pkpRgfF3yrSYUxSIKEDhTLXTJCnPOdRtWoUdyPWq6YHZXqRgfAO0w_ws7wq3nCqCRgGbwicUhmK89R8O9q-o9LzpFiYUUFxYrqEHV8kWCEBxmeQ5bGwJ0nLgjJrAqTX7VashK7zd_QYBz01j6c2C7y2O6coMseN1B3wDRE22A8uHI2vk32pV3PZvil0A8SW7L7IGKzWluL4roQwKqPyxuxFEah4i1580ndSwfQHNlgwmzjR2CoX2TaaJktBoYtkUB9s4kBOoLSD3Gr3CI4a2pKp14_v0YywcRbIohTnnvnVLzXA' controls='controls' poster='https://cdn1.cdn-telegram.org/file/NSzhFmt1WaRQvh7KLirbRHTz5tx3Lea2sKLt34NDagpiM0rAt8XpGPsJS5DFnjxZAMduTRLnA3Ssjowf6jqtT6m2Tjhwug9nJ5FxrD7OqXBbVdk7IKhv0AwxawVjV6iqVs3wVmibEjy5WCHXf6KVXjVT9jndDvujOIMFvcEl1hNDPcUwm96cey1Xnf2bl_rMRGOOJ2GSFIf8tKV2LFNtXpcsXseNiiv7jT9hu_qZT528f8o3d9pV5_q4gV8RYZqjoibuDCDquzEFepnnZQx_5oQPzTijOO8KhCwB5Ektmw9LN0JQY_coQv4FkMDH519lAqn3XrOFfzJjQDLmW_nmeQ' style='width:100%'></video></description>,<link>https://t.me/epochtimes/108316</link>,<pubDate>2024-07-29T07:01:00-07:00</pubDate>
<title>Paris Opening Ceremony Sparks Outrage</title>,<description><p>Paris Opening Ceremony Sparks Outrage</p> <blockquote><b>Video is too big</b><br><img src='https://cdn4.cdn-telegram.org/file/g_JkQdJIrCYX_DIfvAJ563pcez4plkFR8rsUf3xIIvAAmDtICR6SwXyWGtdvCwXwqlue_u40bFhZjdkGkcYVcbJQ_eMPphmEDX4ssrXsguavVoEOGYfGs464kbj8XSUJQYuUIhQqnkHAS0rJX_PAcMvFKZoXoZuuqA8TuqWgwz3LPii_QAVfR4CdFUYn2VucP2tu9swV4ueR2skoTo0sa2Lws4_ZIQfAMcIYpe45wbKXlGklVqOPT7pEyMUbJfii_7ARJGtpcJvUDfb2a7Y52K7dlJJBEysGVH_a9Y43W94joEO2P0D_KoQiDdZeIA9RyIK7t1KQ45q5eAN_B-sGEg' referrerpolicy='no-referrer'></blockquote></description>,<link>https://t.me/epochtimes/108315</link>,<pubDate>2024-07-29T06:57:03-07:00</pubDate>
<title>The China-Russia alliance is on shaky ground with trade negotiations appearing to favor China. What does this troubled alliance mean for the Ukr...</title>,<description><p>The China-Russia alliance is on shaky ground with trade negotiations appearing to favor China. What does this troubled alliance mean for the Ukraine war? <br><br><a href='https://t.me/crossroads_josh' target='_blank'>@crossroads_josh</a> sheds light on the details.<br><a href='http://ept.ms/TroubledAllianceCR' target='_blank' rel='noopener'>ept.ms/TroubledAllianceCR</a></p> <video src='https://cdn1.cdn-telegram.org/file/a9721c6ad5.mp4?token=jfDF1LRJG-EtPPHudywGEMQDL7zFj-DlE1E-Bp82OM2ZceF_kpTAQyRYwK_Eme548K4ZCEM0wcf5fzmyv1GYQ1gPSQnCppDUVH6LRjRzHClIP5ct6UbxLgRuQjSQeFoNwYrBvO8AXz4cqgxMRPsngWLnsK4EzR7UIlnqeL_AYhvqk9otz2d3kUb1hdwzCvMWEbDYFuQnDGpvzGaUePxLJzUH-puQavC6o5WLZggBPwpAayIzAX953uY6X5doBlpWybNJwQz8U1ITfheLNzrGK4omFkIl-9rt6kRZ-N97TCJpJ39HsEYposqPwU87LaFycwxQlGYy_ZXImwJYJkQhRH46RfI6tGYc5ewxngHAaL19DZoHOlTEZVkY_DJq6IrLQoWc4r7B4h3Ntn99AlGnToYQEUoftXbtix1mPDdkwIKS80zn6kODJWkdyfTdIslGf4JXompE-DFN9audpZNzjlfr5X55s0Vn_9bv8iGojIvXTjbWd3GHBuJjAbsvSrywycLCOj19R2z6W0za1N5nfMHCUKnsYWD_qgt5tZvsOM3aA2GrO59g7S_m0QDZiL6RFNCno4S0vy-tskrAN3pZROTUrm_B2xrOS9vh3bEr0Ahgk9TJUM2uzmPIf5WUXW8fnPYp9I6XQyL_3V5Xkzq6f7K0hTQxYR4YB-7NF2fXcPw' controls='controls' poster='https://cdn1.cdn-telegram.org/file/nKCbjPYd03oKb86X5bHOM3i559BgIxa-TIYw0-FFe1lSvsc8HfxWIr81MNHvsGUavLiXDGMLzZrlzIPn9eee1OuPmDYkSLyILqyjzQ1jPMT-xaXtaTS7Y7Gp-BJm6aAedBN5xsfeC2bKrJsKQpCo333Qy7_r3I-ZxtL33jeaoXcnv7EIyEdrGJx6na7zwbtwWjhgxeeWdaVn3uDkurysf9i68LCJxtUQtl-HcsP50_BlIMn--_vvvGoCI7og7_jP9LxvgMX7aqsUQltkjipgX6BVW6H-Z-DeBAx7KjRYgoqMVirI0t7jn8VYme1T3XAskaQcaUG9oX57Fz0Hli-_5w' style='width:100%'></video></description>,<link>https://t.me/epochtimes/108314</link>,<pubDate>2024-07-29T06:39:34-07:00</pubDate>
<title>Twenty-five years have passed since the Chinese regime launched its unprecedented persecution of Falun Gong severely impacting the lives of the Chine...</title>,<description><p>Twenty-five years have passed since the Chinese regime launched its unprecedented persecution of Falun Gong severely impacting the lives of the Chinese people.<br><br>Why did the free world let this happen? If it continues what's at stake for America? <br><br><a href='https://ept.ms/PersecutionoftheCenturySM' target='_blank' rel='noopener'>https://ept.ms/PersecutionoftheCenturySM</a></p><blockquote><b>EpochTV</b><br><b><a href='https://ept.ms/PersecutionoftheCenturySM'>Special Report: Persecution of the Century</a></b><br><p>This year?s July 20 marks 25 years since the regime launched its unprecedented persecution of Falun Gong severely impacting the lives of the Chinese people and</p><img src='https://cdn4.cdn-telegram.org/file/vuJRPlUhErjZsWKyokLDrlO5kCrkByAq-yJhnwBeaPd-nCi_wDz70y8VaX5vO_1qSyWmAAZVIOLXjLvMF9nOtiVrznugpUqkJtiKRDlQnqWyfHsJ2nGJSryHDTcw9vVA09dDBgWG8Zb9Lq0Dlx_OEI2SqGUqhwLoNA-rGsdI8Mq6BWNcRjUVnaCwIyJIOF-vvsypMIMgP3u9UbWLuHlsEwKUOsfg3TMDFXX9bwzk_gDAMPCcc12eADfXuChATRXlIloAiWJr36Pu-5ixuXPsxH1rhoDCzEPWSvPeOdG8nB-rOG2hBW1TOR4ygrAQ6485m7sQi5OfKXCZVR4rNdfKBA.jpg' referrerpolicy='no-referrer'></blockquote></description>,<link>https://t.me/epochtimes/108313</link>,<pubDate>2024-07-29T06:23:44-07:00</pubDate>
