Title	Description	Link	pubDate	Location	Magnitude
SOUTHEAST OF SHIKOKU, JAPAN, Magnitude 5.5, Mon Sep 16 2024 14:13:54 UTC	Media downloads available for seismic event C202409161413A. MW 5.5, Mon Sep 16 2024 14:13:54 UTC, E31.64 N132.05.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409161413A	2024-09-16T07:13:54-07:00	https://www.google.com/maps/search/?api=1&query=132.05.,31.64	5.5
MARIANA ISLANDS REGION, Magnitude 6.4, Mon Sep 16 2024 11:36:38 UTC	Media downloads available for seismic event C202409161136A. MW 6.4, Mon Sep 16 2024 11:36:38 UTC, E17.1 N147.4.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409161136A	2024-09-16T04:36:38-07:00	https://www.google.com/maps/search/?api=1&query=147.4.,17.1	6.4
QUEEN CHARLOTTE ISLANDS REGION, Magnitude 6.5, Sun Sep 15 2024 22:22:56 UTC	Media downloads available for seismic event C202409152222A. MW 6.5, Sun Sep 15 2024 22:22:56 UTC, E51.46 S130.74.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409152222A	2024-09-15T15:22:56-07:00		6.5
BORNEO, Magnitude 5.5, Sun Sep 15 2024 13:08:12 UTC	Media downloads available for seismic event C202409151308A. MW 5.5, Sun Sep 15 2024 13:08:12 UTC, E1.31 N118.38.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409151308A	2024-09-15T06:08:12-07:00	https://www.google.com/maps/search/?api=1&query=118.38.,1.31	5.5
SOUTH OF MARIANA ISLANDS, Magnitude 5.5, Sat Sep 14 2024 11:41:37 UTC	Media downloads available for seismic event C202409141141A. MW 5.5, Sat Sep 14 2024 11:41:37 UTC, E12.96 N144.1.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409141141A	2024-09-14T04:41:37-07:00	https://www.google.com/maps/search/?api=1&query=144.1.,12.96	5.5
RYUKYU ISLANDS, JAPAN, Magnitude 5.8, Fri Sep 13 2024 23:03:43 UTC	Media downloads available for seismic event C202409132303A. MW 5.8, Fri Sep 13 2024 23:03:43 UTC, E29.86 N130.93.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409132303A	2024-09-13T16:03:43-07:00	https://www.google.com/maps/search/?api=1&query=130.93.,29.86	5.8
VANUATU ISLANDS, Magnitude 5.8, Wed Sep 11 2024 19:22:59 UTC	Media downloads available for seismic event C202409111922A. MW 5.8, Wed Sep 11 2024 19:22:59 UTC, W15.3 N168.15.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409111922A	2024-09-11T12:22:59-07:00		5.8
VANUATU ISLANDS, Magnitude 5.8, Wed Sep 11 2024 18:18:02 UTC	Media downloads available for seismic event C202409111817A. MW 5.8, Wed Sep 11 2024 18:18:02 UTC, W15.24 N168.21.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409111817A	2024-09-11T11:18:02-07:00		5.8
BISMARCK SEA, Magnitude 6.4, Wed Sep 11 2024 16:46:11 UTC	Media downloads available for seismic event C202409111646A. MW 6.4, Wed Sep 11 2024 16:46:11 UTC, W3.35 N146.24.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409111646A	2024-09-11T09:46:11-07:00		6.4
SOUTH SANDWICH ISLANDS REGION, Magnitude 5.4, Tue Sep 10 2024 23:50:42 UTC	Media downloads available for seismic event C202409102350A. MW 5.4, Tue Sep 10 2024 23:50:42 UTC, W55.86 S26.01.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409102350A	2024-09-10T16:50:42-07:00		5.4
CENTRAL EAST PACIFIC RISE, Magnitude 5.5, Mon Sep 09 2024 17:37:12 UTC	Media downloads available for seismic event C202409091737A. MW 5.5, Mon Sep 09 2024 17:37:12 UTC, W6.24 S107.21.	http://global.shakemovie.princeton.edu/shakemovie/event.jsp?evid=C202409091737A	2024-09-09T10:37:12-07:00		5.5
