Title	Description	Link	pubDate
דובר צה-ל: קית' סיגל הגיע לנקודת הקליטה הראשונית במרחב עוטף עזה ג...	Please contact us Please contact us Home page Home page עדכונים שוטפים.	https://t.me/idf_telegram/15231	2025-02-01T01:54:53-08:00
דובר צה-ל: ירדן ביבס ממריא כעת במסוק חיל האוויר עם בני משפחתו לבי...	Please contact us Please contact us.	https://t.me/idf_telegram/15230	2025-02-01T01:31:44-08:00
Please contact us את הגבול לשטח ישרא...	Please contact us את הגבול לשטח ישראל עם כוח צה״ל ושב-כקית› Please contact us Please contact us, please contact us. בני משפחתו.	https://t.me/idf_telegram/15229	2025-02-01T01:23:59-08:00
Please contact us צה״ל ושב-כ ברצועת עזה ...	Please contact us Please contact us Please contact us. All rights reserved. Please contact us. Please contact us.	https://t.me/idf_telegram/15228	2025-02-01T01:10:10-08:00
דובר צה-ל: עופר קלדרון ממריא כעת במסוק חיל האוויר לבית החולים, שם...	Please contact us Home page Please contact us.	https://t.me/idf_telegram/15227	2025-02-01T00:46:41-08:00
Please contact us: Please contact us האדום, חטוף אחד הועבר ...	Please contact us Please contact us, please contact us הרצועה.	https://t.me/idf_telegram/15226	2025-02-01T00:28:46-08:00
דובר צה-ל: עופר קלדרון וירדן ביבס הגיעו לנקודת הקליטה הראשונית במ...	Please contact us Please contact us Please contact us. Home page שוטפים.	https://t.me/idf_telegram/15225	2025-01-31T23:27:18-08:00
About us וירדן ביבס מלווים ע...	Please contact us Please contact us. Home page עוטף עזה.	https://t.me/idf_telegram/15224	2025-01-31T23:09:07-08:00
Please contact us לכוח צה״ל ושב-כ ברצוע...	Please contact us All rights reserved. Please contact us, please contact us. About us About us Please contact us.	https://t.me/idf_telegram/15223	2025-01-31T23:02:40-08:00
Please contact us האדום, שני חטופים הועב...	Please contact us. Please contact us, please contact us בשטח הרצועה.	https://t.me/idf_telegram/15222	2025-01-31T22:46:56-08:00
Please contact us: Please contact us בשטח סוריה, במרחב ...	Please contact us: Please contact us בשטח סוריה, במרחב החיץ. Please contact us. Please contact us. Please contact us על מדינת ישראל ואזרחיה.	https://t.me/idf_telegram/15221	2025-01-31T13:35:37-08:00
דובר צה״ל: לפני זמן קצר שוגר מיירט לעבר מטרה אווירית חשודה שזוהתה...	Please contact us: Please contact us שזוהתה מלבנון והאירוע הסתיים. לא הופעלו התרעות על פי מדיניות.	https://t.me/idf_telegram/15220	2025-01-31T09:11:33-08:00
Please contact us זרעית, הפרטים בבדי...	Please contact us זרעית, הפרטים בבדיקה.	https://t.me/idf_telegram/15219	2025-01-31T08:19:26-08:00
🖼 Please contact us, please contact us סיירת חרוב במבצע ב...	Please contact us, please contact us. www.idf.il/267240	https://t.me/idf_telegram/15218	2025-01-31T06:00:11-08:00
🖼 Please contact us: Please contact us המבצע לסיכול טרור ...	About us: About us Please contact us. Please contact us, please contact us. Home page מנשה, כחלק מהמבצע בצפון השומרון. Please contact us Please contact us. Please contact us, please contact us Please contact us. Please contact us. משתתף בצער המשפחה וימשיך ללוותה.	https://t.me/idf_telegram/15217	2025-01-30T22:48:39-08:00
דובר צה-ל: מטוסי קרב של חיל האוויר תקפו במהלך הלילה, בהכוונה מודי...	Please contact us Please contact us, please contact us Please contact us. About us: About us: About us: About us Home page About us Please contact us Please contact us. Please contact us Please contact us. Please contact us, please contact us. וכוחות צה״ל.	https://t.me/idf_telegram/15216	2025-01-30T21:23:46-08:00
דובר צה״ל: לוחמי יחידה 636 פגעו בשני מחבלים אשר יידו בקבוקי תבערה...	דובר צה״ל:לוחמי יחידה 636 פגעו בשני מחבלים אשר יידו בקבוקי תבערה 60מוקדם יותר הערב (ה׳), במהלך מארב של כוח מיחידה 636 במרחב Please contact us, please contact us. 60 ללא נפגעים.הלוחמים ירו לעבר המחבלים בתגובה וזוהו פגיעות. Home page ביטחון התושבים.	https://t.me/idf_telegram/15215	2025-01-30T14:00:03-08:00
🎬 דובר צה״ל: צה״ל חושף תיעוד חדש מחיסולו של מרואן עיסא, סגן ראש ...	דובר צה״ל:צה״ל חושף תיעוד חדש מחיסולושל מרואן עיסא, סגן ראש Video is too big	https://t.me/idf_telegram/15214	2025-01-30T10:23:28-08:00
🖼 Please contact us האחרונים שני מחבלי...	Please contact us. Home page Home page Please contact us, please contact us. (143) Home page הרצחני ובחטיפת התצפיתניות ממחנה 'נחל עוז' ב-7 באוקטובר. Please contact us, please contact us April 2024, Home page (143) Home page Please contact us. נוספים מארגון הטרור חמאס. המחבל פריג' פשט למחנה 'נחל עוז' בטבח הרצחני ב-7 באוקטובר והיה Please contact us.	https://t.me/idf_telegram/15213	2025-01-30T09:32:10-08:00
🖼 World News >>> https://www.idf.il/267162	צפו בעדכון דובר צה״ל בשידור חי &gt;&gt;&gt; https://www.idf.il/267162	https://t.me/idf_telegram/15212	2025-01-30T09:16:04-08:00
Please contact us למשפחתו: https://IDFANC.activetrai...	Please contact us למשפחתו: https://IDFANC.activetrail.biz/ANC30012025854643מצורף קישור לאתר צה-ל, בו מפורסמים Information about: https://www.idf.il/59780באירוע בו נפל Please contact us, please contact us. Please contact us.	https://t.me/idf_telegram/15211	2025-01-30T09:11:46-08:00
דובר צה-ל: ארבל יהוד ממריאה כעת עם בני משפחתה במסוק חיל האוויר לב...	Please contact us Please contact us.	https://t.me/idf_telegram/15210	2025-01-30T06:21:56-08:00
דובר צה-ל: גד משה מוזס וחמשת האזרחים השבים התאילנדים, ממריאים כעת...	About us במסוקי חיל האוויר לבתי החולים. Please contact us Home page About us לבית החולים.	https://t.me/idf_telegram/15209	2025-01-30T06:07:12-08:00
🎬 הודעה משותפת לדובר צה-ל ודוברות שב-כ: צה״ל ושב״כ חיסלו באמצעות...	Please contact us. Please contact us, please contact us. World Warehouse Please contact us Please contact us. Please contact us מהמבצע באוגדת יהודה ושומרון. Please contact us. New Year's Eve 2025 World War II Please contact us. Please contact us, please contact us. Home page למול תשתיות טרור באזור צפון השומרון. Video is too big	https://t.me/idf_telegram/15208	2025-01-30T05:32:05-08:00
דובר צה-ל: השבים ארבל יהוד, גד משה מוזס וחמישה אזרחים תאילנדים הג...	דובר צה-ל:השבים ארבל יהוד,גד משה מוזס וחמישה אזרחים תאילנדים Home page Please contact us ראשונית. השבים ארבל יהוד וגד משה מוזס ייפגשו עם בני משפחותיהם וחמשת Home page Please contact us. עדכונים שוטפים.	https://t.me/idf_telegram/15206	2025-01-30T04:23:21-08:00
הודעה משותפת לדובר צה-ל ודוברות שב-כ: השבים ארבל יהוד, גד משה מוז...	Please contact us Please contact us Please contact us. Home page עוטף עזה. Please contact us, please contact us בני משפחותיהם וחמשת השבים הזרים Thaenna Pongsak ,Sathian Suwannakhan, Sriaoun Watchara ,Saethao Bannawat ,Rumnao Surasak יפגשו Please contact us.	https://t.me/idf_telegram/15205	2025-01-30T04:00:29-08:00
Please contact us צה״ל ושב-כ ברצועת ע...	Please contact us. Please contact us Please contact us. Please contact us. Home page ומשפחותיהם.	https://t.me/idf_telegram/15204	2025-01-30T03:38:26-08:00
Please contact us: Please contact us האדום, שבעה חטופים, בה...	Please contact us Please contact us, please contact us Please contact us, please contact us. הרצועה.	https://t.me/idf_telegram/15203	2025-01-30T03:15:53-08:00
דובר צה-ל: החיילת השבה אגם ברגר, ממריאה כעת יחד עם הוריה במסוק חי...	About us Please contact us, please contact us טיפול רפואי.	https://t.me/idf_telegram/15202	2025-01-30T02:50:37-08:00
דובר צה-ל: חיל האוויר יירט לפני זמן קצר, כטב-ם איסוף של ארגון הטר...	דובר צה-ל: חיל האוויר יירט לפני זמן קצר, כטב-ם איסוף של ארגון All rights reserved. About us Please contact us.	https://t.me/idf_telegram/15201	2025-01-30T02:01:47-08:00
🎬🖼 דובר צה-ל: חיל האוויר ואגף כוח האדם השלימו את ההיערכות לקליט...	Please contact us Video is too big	https://t.me/idf_telegram/15194	2025-01-30T01:20:21-08:00
דובר צה-ל: החיילת השבה אגם ברגר הגיעה לנקודת הקליטה הראשונית במרח...	Please contact us Home page Please contact us Please contact us. החולים ומעבירים להם עדכונים שוטפים.	https://t.me/idf_telegram/15193	2025-01-30T01:14:20-08:00
Please contact us כעת את הגבול לשטח יש...	Please contact us. Please contact us. Please contact us Please contact us תיפגש עם הוריה.	https://t.me/idf_telegram/15192	2025-01-30T00:29:58-08:00
About us ושב-כ ברצועת עזה השב...	About us Please contact us Please contact us. Home page Please contact us חטופים נוספים בזמן הקרוב.	https://t.me/idf_telegram/15191	2025-01-30T00:21:59-08:00
Please contact us: Please contact us האדום, חטופה אחת הועבר...	Please contact us Please contact us, please contact us בשטח הרצועה.	https://t.me/idf_telegram/15190	2025-01-30T00:05:02-08:00
🎬🖼 דובר צה״ל: אוגדת יהודה ושומרון ממשיכה בהיערכות לשחרור המחבלי...	Please note: Please contact us: Please contact us. Please, contact us, please contact us. Home page Please contact us All rights reserved. Home page Please contact us. All rights reserved. Please contact us, please contact us. Please contact us. Video is too big	https://t.me/idf_telegram/15186	2025-01-29T23:34:55-08:00
🎬 דובר צה-ל: כוחות הביטחון הרסו את בית המחבל ג׳מאל אבו הניה שלקח...	Please contact us Home page Please contact us, please contact us Please contact us. April 22, 2024 November 22, 2024 November 22, 2024 November 22, 2024 אמנון מוכתר ז-ל. Video is too big	https://t.me/idf_telegram/15185	2025-01-29T23:19:25-08:00
Yes, מדובר בזיהוי שווא.	Yes, מדובר בזיהוי שווא.	https://t.me/idf_telegram/15184	2025-01-29T22:39:40-08:00
דובר צה״ל: הופעלו התרעות בעג'ר, הפרטים בבדיקה.	דובר צה״ל:הופעלו התרעות בעג'ר, הפרטים בבדיקה.	https://t.me/idf_telegram/15183	2025-01-29T22:37:10-08:00
דובר צה-ל: אמש (ד'), כלי טיס של חיל האוויר תקף כלי הנדסי במרחב דר...	דובר צה-ל:אמש (ד'), כלי טיס של חיל האוויר תקף כלי הנדסי במרחב דרום לבנון. Home page Please, please, please contact us. Please contact us Please contact us, please contact us. מדינת ישראל ואזרחיה.	https://t.me/idf_telegram/15182	2025-01-29T20:33:38-08:00
דובר צה-ל: מוקדם יותר היום (ד') ארעה תאונת דרכים צבאית כתוצאה מהת...	דובר צה-ל:מוקדם יותר היום (ד') ארעה תאונת דרכים צבאית כתוצאה Please contact us. Home page Please contact us, please contact us. משפחות החיילים עודכנו.	https://t.me/idf_telegram/15181	2025-01-29T11:43:04-08:00
Please contact us: Please contact us הביטחון בצפון השומרון, ...	Please contact us Please contact us, please contact us. Please contact us, please contact us. It's a matter of course.	https://t.me/idf_telegram/15180	2025-01-29T11:34:56-08:00
דובר צה-ל: צה-ל פעל בשעות האחרונות להרחקת חשודים שהיוו איום על כו...	Please contact us כוחות הפועלים ברצועת עזה. All rights reserved. Please contact us. המתווה המוסכם. Please contact us. Home page Please contact us. Please contact us, please contact us. All rights reserved. Please contact us.	https://t.me/idf_telegram/15179	2025-01-29T10:36:16-08:00
🎬 צפו בתיעוד מג'נין: מחבל זורק מטען על הכוחות - ומחוסל מהאוויר h...	צפו בתיעוד מג'נין: מחבל זורק מטען על הכוחות - ומחוסל מהאווירhttps://www.idf.il/267009 Video is too big	https://t.me/idf_telegram/15178	2025-01-29T09:45:10-08:00
🖼 -לא הייתי מוכן שגידול וכמה ברזלים ברגל ימנעו את החלום-: רגע אח...	-: -: -: -: www.idf.il/266912	https://t.me/idf_telegram/15177	2025-01-29T09:08:28-08:00
🖼 -מבטיחים שיהיה בסדר, תודה על הכול-: הפתק על המקרר בבארי - שהוב...	-מבטיחים שיהיה בסדר, תודה על הכול-:הפתק על המקרר בבארי - שהוביל www.idf.il/266832	https://t.me/idf_telegram/15176	2025-01-29T08:32:59-08:00
🎬🖼 דובר צה-ל: הרמטכ״ל בנצרים: אנחנו צבא שגאה לממש את ההחלטה להח...	Please contact us: Please contact us את החטופים - אנחנו נהיה גאים באותה מידה לחזור ולהילחם הרמטכ״ל, Please contact us 99, תת-אלוף יואב ברונר ומפקדים נוספים. Please, please, please contact us. Video is too big Video is too big	https://t.me/idf_telegram/15171	2025-01-29T08:05:39-08:00
🖼 דובר צה-ל: כוחות צה-ל סיכלו הברחת אמצעי לחימה במרחב גבול מצרים...	Please contact us Please contact us. מדינת ישראל במרחב חטיבת פארן. Home page ומחסניות נוספות. Please contact us.	https://t.me/idf_telegram/15170	2025-01-29T02:29:18-08:00
🎬🖼 דובר צה-ל: כוחות הביטחון הרסו את בית המחבל תאמר רג׳אח שלקח ח...	Please contact us Please contact us Please contact us, please contact us, Home page 2 New Year 2023 New Year 2023 New Year's Day 2023 New Year's Day קלייןז-ל ונפצעו ארבעה לוחמי מג-ב Video is too big	https://t.me/idf_telegram/15166	2025-01-29T01:27:03-08:00
Please contact us תשעה חשודים שהשתת...	Please contact us Home page Please contact us, please contact us Please contact us, please contact us. ובמחבלים המשוחררים. Home page Please contact us, please contact us. Home page Home page Home page Home page Please contact us.	https://t.me/idf_telegram/15165	2025-01-29T00:26:00-08:00
🖼 נרניה פינת ג'נין: מה מסתתר בתוך ארון -תמים-? עם הלוחמים בלב מע...	נרניה פינת ג'נין:מה מסתתר בתוך ארון -תמים-? www.idf.il/266610	https://t.me/idf_telegram/15164	2025-01-28T22:07:35-08:00
דובר צה-ל: במהלך היממה האחרונה (ג'), צה-ל פעל להרחקת חשודים שהיוו...	Please contact us Please contact us. Please contact us, please contact us. Please contact us Please contact us. Please contact us. שנעו לעברם והיווו עליהם איום. Yes, please, please, please, please contact us. Please contact us, please contact us. Please contact us, please contact us. Please contact us, Please contact us, please contact us. All rights reserved. Please contact us.	https://t.me/idf_telegram/15163	2025-01-28T12:00:41-08:00
דובר צה-ל: כלי טיס של חיל האוויר תקפו בשעה האחרונה לשם הסרת איום ...	דובר צה-ל: כלי טיס של חיל האוויר תקפו בשעה האחרונה לשם הסרת איום Home page במרחבים שקיף ונבטייה בדרום לבנון. Please contact us About us Please contact us. Please contact us Please contact us.	https://t.me/idf_telegram/15162	2025-01-28T11:11:35-08:00
