			
ولادیمیر زلنسکی، رییسجمهوری اوکراین با اشاره به شواهد ماهوارهای،	ولادیمیر زلنسکی، رییسجمهوری اوکراین با اشاره به شواهد ماهوارهای، از دخالت کره شمالی در جنگ روسیه با اوکراین، خواهان واکنش شدید نسبت به این موضوع شده استگفتوگو با علیرضا محبی، ایراناینترنشنال		
شهروندی با ارسال ویدیویی به ایراناینترنشنال فاکتور کالاهای مورد ن	شهروندی با ارسال ویدیویی به ایراناینترنشنال فاکتور کالاهای مورد نیاز خریداریشده را نشان میدهد و با اشاره به هزینه آن خطاب به سران جمهوری اسلامی میگوید خدا لعنتتان کند با پول مردم ایران موشک و بمب میسازید و بر سر زن و بچه مردم میریزید انشاالله بعد از نصرالله نوبت شماها باشد		
دادستانی تهران از برخورد با شماری از موسسات اعزام دانشجویان به خا	دادستانی تهران از برخورد با شماری از موسسات اعزام دانشجویان به خارج از کشور خبر دادمعاون حقوق عامه دادستان تهران دادستانی مراکز غیرمجاز را شناسایی و پلمپ میکند گفتوگو با امید معماریان، روزنامهنگار و تحلیلگر سیاسی		
بیش از ۵۰۰ روزنامهنگار، هنرمند و فعال اجتماعی در نامهای از رییس ق	بیش از ۵۰۰ روزنامهنگار، هنرمند و فعال اجتماعی در نامهای از رییس قوه قضائیه خواستهاند با استفاده از اختیارات خود، اجرای حکم نیلوفر حامدی و الهه محمدی را متوقف کند پیشتر وکلای آنها از اجرای حکم پنج سال حبس خبر داده بودندگفتوگو با آزاده دواچی، فعال حقوق بشر و زنان		
زهرا بهروز آذر، معاون امور زنان در دولت پزشکیان درباره ابلاغ حکم	زهرا بهروز آذر، معاون امور زنان در دولت پزشکیان درباره ابلاغ حکم پنج سال زندان به الهه محمدی و نیلوفر حامدی به روزنامه هممیهن گفت موضوع این دو خانم خبرنگار از چند مسیر در حال پیگیری است، و معاونت امور زنان و خانواده هم به سهم خود پیگیر است		
ویدیوهای دریافتشده نشان میدهند جمعی از شرکتکنندگان آزمون کیفیتبخش	ویدیوهای دریافتشده نشان میدهند جمعی از شرکتکنندگان آزمون کیفیتبخشی آموزش و پرورش که دارای کارنامه سبز هستند روز یکشنبه ۲۹ مهرماه در اعتراض به عدم پاسخگویی به مطالباتشان از سراسر ایران در تهران حاضر شده و مقابل مجلس، سازمان بازرسی کشور و وزارت آموزش و پرورش تجمع برگزار کردندکارنامه سبزها داوطلبان استخدامی هستند که در مصاحبه پس از آزمون رد شده و در اعتراضاتی خواستار استخدام شدهاند		
درباره ایران	تلویزیول الحره متق ولت آمریکا ، ب یک مقام وللپای الائیلی د ایوگوگوگوگوگوگوگ کشاله خلیج ف ظ الائیرائیل ای و از حمله الائیل وه مواضو دور وریه خو ه و شورای		
سرخط خبرها، دوشنبه ۳۰ مهر	سرخط خبرها، دوشنبه ۳۰ مهر		
پادشاه چارلز و همسرش ملکه کامیلا روز دوشنبه وارد کانبرا پایتخت اس	پا چارلز و ملکه کامیلا وز دوش کاورا پایخ الالیا ش ای هفوه ی ور پاه چارز از لیا و اولی و وه ای کشور از ز پاشاه ش او د ۲۰۲۲ ا گزالی ی،		
گزارش داد دونالد ترامپ، رییسجم هوری پیشی	گزارش داد دونالد ترامپ، رییسجم هوری پیشین آمریکا، اکنون شانس بیشتری برای پیروزی در انتخابات ریاستج است		
