Title	Description	Link	pubDate	Image
Iran Re-Imposes Travel Ban on Two Filmmakers	Iranian filmmaker Maryam Moghadam has revealed that she and her husband, fellow filmmaker Behtash Sanaeeha, have once again been banned ...	https://iranwire.com/en/society/133808-iran-re-imposes-travel-ban-on-two-filmmakers/	2024-09-11T05:45:54-07:00	
Self-Immolation Attempt After School Rejects Child's Enrollment	The father of a Baluch student attempted self-immolation outside the General Directorate of Education in Sistan and Baluchistan province ...	https://iranwire.com/en/news/133805-self-immolation-attempt-after-school-rejects-childs-enrollment/	2024-09-11T05:01:37-07:00	
For Sara Deldar	Iranian Woman Dies from Injuries Sustained During 2022 Protests	https://iranwire.com/en/cartoons/133799-for-sara-deldar/	2024-09-11T03:08:48-07:00	
Political Prisoner Self-Immolates in Iran Prison	Political prisoner Kazem Alinejad set himself on fire in Iran's notorious Evin prison, according to reports received by IranWire. Aline ...	https://iranwire.com/en/prisoners/133797-political-prisoner-self-immolates-in-iran-prison/	2024-09-11T02:51:38-07:00	
Iran's New President Pezeshkian Makes First Foreign Trip to Iraq	Iran's new President Masoud Pezeshkian arrived in Iraq on Wednesday for his first overseas visit since taking office, aiming to strength ...	https://iranwire.com/en/news/133794-irans-new-president-pezeshkian-makes-first-foreign-trip-to-iraq/	2024-09-11T02:15:54-07:00	
Political Prisoners in Iran Jail Sew Lips in Desperate Protest	Several political prisoners in Ward 4 of Tehran's Evin Prison sewed their lips shut and began a sit-in on Monday. The prisoners took th ...	https://iranwire.com/en/prisoners/133759-political-prisoners-in-iran-jail-sew-lips-in-desperate-protest/	2024-09-10T04:00:15-07:00	
No Execution Tuesdays': Iran's Prisoner-Led Campaign Continues	The 'No Execution Tuesdays' campaign, a prisoner-led initiative against capital punishment in Iran, has entered its 33rd consecutive wee ...	https://iranwire.com/en/prisoners/133768-no-execution-tuesdays-irans-prisoner-led-campaign-continues/	2024-09-10T03:57:45-07:00	
Iran Executes Six More Prisoners as Execution Rate Soars	The Islamic Republic's authorities have executed six more prisoners amid a significant rise in the use of the death penalty.The prisone ...	https://iranwire.com/en/news/133764-iran-executes-six-more-prisoners-as-execution-rate-soars/	2024-09-10T02:56:53-07:00	
Iranian Football Coach's Death Penalty Overturned in Sex Abuse Case	Iran has overturned the death sentence initially handed down to a football coach accused of sexually harassing multiple teenage students ...	https://iranwire.com/en/news/133760-iranian-football-coachs-death-penalty-overturned-in-sex-abuse-case/	2024-09-10T02:12:33-07:00	
Iran Prosecutes Trump and Pompeo for Role in Soleimani Assassination	The Islamic Republic’s judiciary has held a court hearing to prosecute U.S. officials behind the assassination of Qassem Soleimani, the ...	https://iranwire.com/en/politics/133778-iran-prosecutes-trump-and-pompeo-for-role-in-soleimani-assassination/	2024-09-10T02:10:05-07:00	
Iranians Defy Internet Restriction with Smuggled Starlink Devices	The Islamic Republic has long maintained a list of prohibitions for Iranians. Over time, many of these bans have been lifted or simply f ...	https://iranwire.com/en/technology/133773-iranians-defy-internet-restriction-with-smuggled-starlink-devices/	2024-09-10T00:16:09-07:00	
Iran Bolsters Surveillance in Mahsa Amini's Home Town Ahead of Her Death Anniversary	As the second anniversary of Mahsa Amini's death approaches, the Islamic Republic's officials in Saqqez, her birthplace, are implementin ...	https://iranwire.com/en/news/133777-iran-bolsters-surveillance-in-mahsa-aminis-home-town-ahead-of-her-death-anniversary/	2024-09-09T21:55:42-07:00	
Zangezur Corridor: Russia and Iran in Conflict over Caucasus Link	Recent remarks by Russian authorities regarding the contentious Zangezur Corridor in the South Caucasus have given rise to new disputes ...	https://iranwire.com/en/politics/133729-zangezur-corridor-russia-and-iran-in-conflict-over-caucasus-link/	2024-09-09T09:29:40-07:00	
Jailed Iranian Rapper Needs Urgent Care; Lawyers Demand Release	The official X page of Toomaj Salehi, the imprisoned Iranian rapper, has issued an urgent plea for his medical treatment, accusing Irani ...	https://iranwire.com/en/prisoners/133725-jailed-iranian-rapper-needs-urgent-care-lawyers-demand-release/	2024-09-09T03:22:23-07:00	
Mother Decries Slow Justice After Morality Police Beat Teen Girl	The mother of a teenage girl beaten by Iran's Morality Police officers has voiced her frustration with the slow pace of justice. 'My la ...	https://iranwire.com/en/news/133722-mother-decries-slow-justice-after-morality-police-beat-teen-girl/	2024-09-09T03:14:59-07:00	
Putin’s Backing of Zangezur Corridor Risks Iran-Armenia Border	Russian President Vladimir Putin’s actions, potentially severing the land connection between Iran and Armenia and altering Iran's northe ...	https://iranwire.com/en/politics/133732-putins-backing-of-zangezur-corridor-risks-iran-armenia-border/	2024-09-09T01:51:40-07:00	
Israel Strikes ‘Chemical Warfare Center’ in Syria, Iran Denies Ties	Israeli airstrikes targeted a 'chemical warfare centre' in Syria late Sunday, killing 14 people and injuring at least 40 others. The cen ...	https://iranwire.com/en/news/133715-israel-strikes-chemical-warfare-center-in-syria-iran-denies-ties/	2024-09-09T01:50:26-07:00	
Iran Continues Arrests Ahead of Mahsa Amini’s Death Anniversary	The Islamic Republic's security forces have arrested four more people in Kurdish towns ahead of the second anniversary of Mahsa Amini's ...	https://iranwire.com/en/news/133716-iran-continues-arrests-ahead-of-mahsa-aminis-death-anniversary/	2024-09-09T01:23:42-07:00	
Leaked Letter Exposes Tehran Stock Exchange’s Loan Scandal	Three days after the revelation of a scandal involving billions of rials in low-interest loans to board members of the Iran Stock Exchan ...	https://iranwire.com/en/economy/133734-leaked-letter-exposes-tehran-stock-exchanges-loan-scandal/	2024-09-08T23:36:43-07:00	
Iran Criticizes Russia Over Zangezur Corridor Stance	Iranian Foreign Minister Abbas Araghchi expressed strong opposition to Russia's support for the opening of the Zangezur Corridor in the ...	https://iranwire.com/en/news/133651-iran-criticizes-russia-over-zangezur-corridor-stance/	2024-09-06T06:24:00-07:00	
Iran Arrests Three in Kurdish Towns Ahead of Mahsa Amini's Death Anniversary	The Islamic Republic's security forces have arrested another Kurdish man as they intensified a crackdown in Kurdish towns in the lead-up ...	https://iranwire.com/en/news/133646-iran-arrests-three-in-kurdish-towns-ahead-of-mahsa-aminis-death-anniversary/	2024-09-06T04:09:59-07:00	
Iran Sentences Baha'i Women to Jail	A Revolutionary Court in Iran's northern city of Rasht has sentenced two Baha'i women to prison terms and additional penalties.Shiva Ka ...	https://iranwire.com/en/bahais-of-iran/133640-iran-sentences-bahai-women-to-jail/	2024-09-06T01:57:24-07:00	
Iran Executes Two People Amid Surge in Death Penalties	Iranian authorities have executed two prisoners in Shiraz Central Prison amid a rise in death penalties in the Islamic Republic.The dea ...	https://iranwire.com/en/news/133641-iran-executes-two-people-amid-surge-in-death-penalties/	2024-09-06T01:55:44-07:00	
How Qatar Replaced Oman in the Islamic Republic’s Foreign Policy	As Oman’s role as mediator between Iran and the West, particularly the US, has declined over the past decade, Qatar has expanded its inf ...	https://iranwire.com/en/politics/133622-how-qatar-replaced-oman-in-the-islamic-republics-foreign-policy/	2024-09-05T08:00:17-07:00	
