Title	Description	Link	pubDate	Image
Iran: Pathways to Support Resistance Open, Hezbollah Stronger than before	Islam Times - The commander of the Islamic Revolutionary Guards Corps [IRGC] Major General Hossein Salami criticized the Syrian army for not fighting to preserve their country, adding that the IRGC forces were the last people to leave the country.	https://www.islamtimes.com/en/news/1177974/iran-pathways-to-support-resistance-open-hezbollah-stronger-than-before	2024-12-12T06:20:40-08:00	https://www.islamtimes.com/images/docs/001177/n01177974-s.jpg
Pezeshkian: ‘Israel’s’ Exploitation of Discord within Muslims Root Cause of Regional Events	Islam Times - Iranian President Masoud Pezeshkian confirmed that the events that have recently unfolded in the region reveal that the 'Israeli' entity is exploiting discord within Muslim countries to press ahead with its acts of aggression.	https://www.islamtimes.com/en/news/1177971/pezeshkian-israel-s-exploitation-of-discord-within-muslims-root-cause-regional-events	2024-12-12T06:14:24-08:00	https://www.islamtimes.com/images/docs/001177/n01177971-s.jpg
Strategic Hypocrisy: How US Interests Shape Terrorist Designations	Islam Times - The United States has long positioned itself as a global leader in the fight against terrorism, designating certain groups as threats to peace and stability. However, the inconsistencies in how the US defines and interacts with these groups reveal a troubling pattern of double standards. Rather than adhering to a principled opposition to terrorism, US policies often reflect shifting political and strategic interests.	https://www.islamtimes.com/en/article/1177970/strategic-hypocrisy-how-us-interests-shape-terrorist-designations	2024-12-12T06:12:28-08:00	https://www.islamtimes.com/images/docs/001177/n01177970-s.jpg
Lebanese Army Takes Strategic Positions in Khiam Following ’Israeli’ Withdrawal	Islam Times - The Lebanese army announced the deployment of troops in the border town of Khiam near the occupied territories following the withdrawal of 'Israeli' forces under a recently implemented ceasefire agreement.	https://www.islamtimes.com/en/news/1177968/lebanese-army-takes-strategic-positions-in-khiam-following-israeli-withdrawal	2024-12-12T06:10:06-08:00	https://www.islamtimes.com/images/docs/001177/n01177968-s.jpg
US Double Standards: Backing Extremism, Weighing HTS Leader Delisting	Islam Times - The United States is once again showing support for far-right militant groups in its efforts to destabilize independent governments, this time targeting Syria.	https://www.islamtimes.com/en/article/1177964/us-double-standards-backing-extremism-weighing-hts-leader-delisting	2024-12-12T06:05:05-08:00	https://www.islamtimes.com/images/docs/001177/n01177964-s.jpg
Qalibaf: Iran’s Support for Resistance Front Continues as Religious Duty	Islam Times - Iranian Parliament Speaker Mohammad Baqer Qalibaf affirmed that the continuation of the Islamic Republic’s support for the resistance front remains a core strategy to secure national security and enhance power.	https://www.islamtimes.com/en/news/1177962/qalibaf-iran-s-support-for-resistance-front-continues-as-religious-duty	2024-12-12T06:03:10-08:00	https://www.islamtimes.com/images/docs/001177/n01177962-s.jpg
’Israeli’ Airstrikes Target Gaza, Killing 35 Palestinians, Including Aid Workers	Islam Times - 'Israeli' airstrikes have claimed the lives of at least 35 Palestinians in the Gaza Strip, including aid workers, shortly after the UN General Assembly called for an immediate ceasefire in response to the ongoing violence.	https://www.islamtimes.com/en/news/1177957/israeli-airstrikes-target-gaza-killing-35-palestinians-including-aid-workers	2024-12-12T05:12:55-08:00	https://www.islamtimes.com/images/docs/001177/n01177957-s.jpg
US: FBI Director Resigns	Islam Times - FBI Director Christopher Wray has announced he will be stepping down from the job, after US President-elect Donald Trump said he wanted to replace him with Kash Patel.	https://www.islamtimes.com/en/news/1177956/us-fbi-director-resigns	2024-12-12T05:12:05-08:00	https://www.islamtimes.com/images/docs/001177/n01177956-s.jpg
96% of Gaza Children Feel Death is Imminent	Islam Times - A recent study examining children enduring the war in Gaza has revealed that 96% feel their death is imminent, while nearly half express a desire to die due to the trauma they have endured, The Guardian reported.	https://www.islamtimes.com/en/news/1177952/96-of-gaza-children-feel-death-is-imminent	2024-12-12T04:49:00-08:00	https://www.islamtimes.com/images/docs/001177/n01177952-s.jpg
Iran: IRGC Navy’s New Drone to Surprise the World	Islam Times - The commander of the Islamic Revolution Guards Corps [IRG] Navy Rear Admiral Alireza Tangsiri announced pending integration of a groundbreaking and uniquely advanced unmanned aerial vehicle into the force.	https://www.islamtimes.com/en/news/1177951/iran-irgc-navy-s-new-drone-to-surprise-the-world	2024-12-12T04:46:18-08:00	https://www.islamtimes.com/images/docs/001177/n01177951-s.jpg
2024 One of Deadliest Years for Journalists, Mostly in Gaza	Islam Times - This year has been 'particularly deadly' for journalists, with 104 killed worldwide, more than half of them in Gaza, according to the International Federation of Journalists [IFJ]. While the death toll in 2024 is lower than the 129 journalists killed in 2023, IFJ General Secretary Anthony Bellanger described it as 'one of the worst years' on record.	https://www.islamtimes.com/en/news/1177937/2024-one-of-deadliest-years-for-journalists-mostly-in-gaza	2024-12-12T03:41:18-08:00	https://www.islamtimes.com/images/docs/001177/n01177937-s.jpg
Bill Clinton Blames ‘Mainstream Media’ for Hillary’s Defeat to Trump	Islam Times - Former US President Bill Clinton has blamed 'mainstream media' coverage of Hillary Clinton’s email controversy for her loss in the 2016 presidential election to Donald Trump.	https://www.islamtimes.com/en/news/1177862/bill-clinton-blames-mainstream-media-for-hillary-s-defeat-to-trump	2024-12-11T11:09:48-08:00	https://www.islamtimes.com/images/docs/001177/n01177862-s.jpg
Liberal World Order Is Over: Orban	Islam Times - Hungarian Prime Minister Viktor Orban has claimed that his country’s refusal to conform to liberal ideology will yield considerable benefits in the future.	https://www.islamtimes.com/en/news/1177861/liberal-world-order-is-over-orban	2024-12-11T11:08:54-08:00	https://www.islamtimes.com/images/docs/001177/n01177861-s.jpg
North Carolina to Hear Republican Plea to Disqualify 60,000 Votes in State Supreme Court Race	Islam Times - The North Carolina state board of elections is set to hear a request on Wednesday from a Republican candidate to disqualify 60,000 ballots in a state supreme court election that a Democrat appears to have won by a little over 700 votes.	https://www.islamtimes.com/en/news/1177860/north-carolina-to-hear-republican-plea-disqualify-60-000-votes-in-state-supreme-court-race	2024-12-11T11:08:03-08:00	https://www.islamtimes.com/images/docs/001177/n01177860-s.jpg
Trump Says He Considers Resolving Ukraine Conflict as Priority	Islam Times - Resolving the conflict in Ukraine is a priority, US president-elect Donald Trump said in an interview with the Paris Match magazine following his visit to France.	https://www.islamtimes.com/en/news/1177859/trump-says-he-considers-resolving-ukraine-conflict-as-priority	2024-12-11T11:07:06-08:00	https://www.islamtimes.com/images/docs/001177/n01177859-s.jpg
Ireland Joins South Africa’s Genocide Case Against ’Israel’ at ICJ	Islam Times - Ireland has officially joined South Africa’s genocide case against 'Israel' at the International Court of Justice [ICJ].	https://www.islamtimes.com/en/news/1177858/ireland-joins-south-africa-s-genocide-case-against-israel-at-icj	2024-12-11T11:04:04-08:00	https://www.islamtimes.com/images/docs/001177/n01177858-s.jpg
