Sheet Name,Summary,Published (Pacific Time),Link
Israel Security Cabinet News,Denmark calls on its citizens in Lebanon to leave as quickly as possible.,2024-07-28T15:04:20-07:00,https://t.me/News_cabinet_news/150168
Israel Security Cabinet News,Preliminary: The security guard at the gate of Havat Gilad in Samaria reports that a shot was fired at him. A suspicious vehicle fled the scene. There were no casualties. Hillel Biton Rosen,2024-07-28T15:01:48-07:00,https://t.me/News_cabinet_news/150167
Israel Security Cabinet News,????? - ?????? ???????? C.B: ???? 11 ?????? ?????? ???? ??? ????? ????? ?? ??? ?????? ????? ?????? ??? ??? ????? ?????? ???? ?? ???? ???? ???????? ???? ?? ????? ???? ?? ????? ??? ?? ????? ????? ????? ??? ?????? ????? ?????? ????? ?????? ????? ????? ????? ????????? ???? ??? ?? ??????? ???? ?????? ?????? ?????? - ????? ??????? ??? ?? ???? ????? ???? ?????? ????? ?????? ??? ???? ?????.,2024-07-28T13:36:05-07:00,https://t.me/News_cabinet_news/150165
Israel Security Cabinet News,???? 11 ?????? ?????? ???? ??? ????? ????? ?? ??? ?????? ????? ????????? ??? ????? ?????? ?????? ???? ???? ???????? ???? ?? ????????? ?? ????? ??? ?? ????? ????? ????? ??? ?????? ????? ??????????? ?????? ????? ????? ????? ????????? ???? ??? ?? ?????????? ???,2024-07-28T13:33:01-07:00,https://t.me/News_cabinet_news/150164
Israel Security Cabinet News,Horn test - on Monday 07/29/24 in the North District and Haifa, on Monday 07/29/2024 horn tests will be held in some localities in the North District and Haifa. Combining the tests, a 'red color' alarm will sound. The activation of the horns will take place in a staggered manner in the following order: North District: 10:05 - Law 12 :05 - Migdal District Haifa: 10:35 - Mitzpe Ilanto activated A true alert will sound another alert.,2024-07-28T13:14:46-07:00,https://t.me/News_cabinet_news/150163
Israel Security Cabinet News,Forwarded From News from the North - Adir Lakhakim, the death of Jivara Ibrahim, the 12th murdered by the rocket hit in Majdal Shams, has been determined.,2024-07-28T13:12:52-07:00,https://t.me/News_cabinet_news/150162
Israel Security Cabinet News,Forwarded From News from the North - Adir Lehakim, the Ma'ale Yosef Regional Council: Following the recent events, we ask the residents of all settlements to adhere to the instructions of the Home Front Command. In the evacuated settlements we ask to maintain vigilance and those who do not have to be asked not to be in the settlements. Those who remain in the settlements are asked to stay close to protected areas and avoid non-essential gatherings. Together we will keep the citizens safe.,2024-07-28T13:10:44-07:00,https://t.me/News_cabinet_news/150161
Israel Security Cabinet News,Forwarded From News from the North - Great for the Hakims, within touching distance of the northern border ? We accompanied the children of the north and checked how they spend the holiday in the shadow of the war? And what happened to one of the girls as a result of the interceptions in the area? Great for Hakim Video is too big,2024-07-28T13:03:46-07:00,https://t.me/News_cabinet_news/150160
Israel Security Cabinet News,*Prime Minister's Office:*The meeting of the political-security cabinet has ended. The members of the cabinet authorized the prime minister and the minister of defense to decide on the manner of response against the terrorist organization Hezbollah and when.,2024-07-28T12:57:30-07:00,https://t.me/News_cabinet_news/150159
Israel Security Cabinet News,Forwarded From News from the North - Great Laws The briefings that are coming out now are simply disgraceful on an indescribable scale - a serious injury to us residents of the North. The feeling of lawlessness is even worse after almost 10 months. Lebanon needs to shake a point.,2024-07-28T12:49:59-07:00,https://t.me/News_cabinet_news/150158
Israel Security Cabinet News,The cabinet meeting is over, now the field is allowed to speak. News - The Defense Cabinet C.B Media and Communication on Telegram https://t.me/News_cabinet_news,2024-07-28T12:31:44-07:00,https://t.me/News_cabinet_news/150157
Israel Security Cabinet News,Official report on flight cancellations over Lebanese skies.,2024-07-28T12:20:40-07:00,https://t.me/News_cabinet_news/150156
Israel Security Cabinet News,28 hours have passed since the massacre in the north of Israel, they still haven't responded properly. Let's hope that Israel will come to its senses and show Nasrallah and the whole world that is watching us now that slaughtering our children is not such a good idea.,2024-07-28T12:12:17-07:00,https://t.me/News_cabinet_news/150155
Israel Security Cabinet News,Forwarded From News from the North - Adir Lehakim The message of the Meta Regional Council to the residents: Due to the tragic event in Majdal Shams and after assessing the situation, we ask residents who are in the evacuated communities - please stay near protected areas and do not move around or gather. Rather, they are taking a precautionary measure at the request of the head of the council, Moshe Davidovitzadir,2024-07-28T12:08:09-07:00,https://t.me/News_cabinet_news/150154
