Title	Description	Link	pubDate
		https://t.me/News_cabinet_news/151315	2024-08-06T07:00:15-07:00
??? ???? (06/08/2024): 17:00: ? ?? ??????: ???? (?????) ???? - ??? ????		https://t.me/News_cabinet_news/151314	2024-08-06T07:00:13-07:00
???? ????: ????? ??????? ??????? ???? ??????? ????? ????, ????? ????? ?????...		https://t.me/News_cabinet_news/151313	2024-08-06T06:50:13-07:00
????????? ???????? ????? ?????		https://t.me/News_cabinet_news/151310	2024-08-06T06:13:59-07:00
???? ???: ????? ????????, ????? ??????? ???? ????? ????? ?? ????? ????? ???...		https://t.me/News_cabinet_news/151309	2024-08-06T06:10:32-07:00
		https://t.me/News_cabinet_news/151308	2024-08-06T05:53:49-07:00
??? ???? (06/08/2024): 15:53: ? ?? ??????: ??? ????, ?????, ?????, ????? (?...		https://t.me/News_cabinet_news/151307	2024-08-06T05:53:48-07:00
		https://t.me/News_cabinet_news/151306	2024-08-06T05:50:56-07:00
?? ????? ??? ??? ???? (06/08/2024): 15:50: ? ???? ?????: ???, ??? ???? - ??...		https://t.me/News_cabinet_news/151305	2024-08-06T05:50:55-07:00
???? ????: ????? ?????? ?? ????? ??? ??? ???? ????? ????? ???? ????? 4 ????...		https://t.me/News_cabinet_news/151301	2024-08-06T05:50:07-07:00
????? ??? ???? ???? ??????? ?????		https://t.me/News_cabinet_news/151300	2024-08-06T05:48:47-07:00
		https://t.me/News_cabinet_news/151299	2024-08-06T05:46:37-07:00
??? ???? (06/08/2024): 15:46: ? ?? ??????: ???? (?????) ???? - ??? ????		https://t.me/News_cabinet_news/151298	2024-08-06T05:46:35-07:00
??????? ?? ??? ?????? ??? ??-??? ???? ???? ????? ???? ????? ????? ????? - ?...		https://t.me/News_cabinet_news/151297	2024-08-06T05:45:37-07:00
??? ????? 6.8 ??? 15:00 ????? ????? ????, ????? ?????? ?????? - ???? ??????...		https://t.me/News_cabinet_news/151296	2024-08-06T05:01:16-07:00
??? ?, 6/8, ??? 14:41 ?????? ????.?. ????? ???????? ????? ????? ???? ????? ...		https://t.me/News_cabinet_news/151295	2024-08-06T04:42:33-07:00
??? ????? 6.8 ??? 14:29 ?????? ????? ?????? ?????, ??? ??????? ??? ???, ???...		https://t.me/News_cabinet_news/151294	2024-08-06T04:32:12-07:00
*????? ?????? ?????* ????? ???? ?????? ?????? ?????? ?????? ????. ??? ?????...		https://t.me/News_cabinet_news/151293	2024-08-06T04:11:25-07:00
