Title	Description	Link	pubDate
🖼 New York Times Faces Backlash After Jewish Business Data Leak ...	New York Times Faces Backlash After Jewish Business Data LeakThe New York Times faces controversy after reporter Natasha Frost shared sensitive information from a private Jewish business group, leading to antisemitic harassment. The incident raises concerns given the paper's history of employing journalists with antisemitic views.Read more &gt;&gt;&gt; https://jewishbreakingnews.com/new-york-times-faces-backlash-after-jewish-jewish-business-data-leak/	https://t.me/JewishBreakingNewsTelegram/5675	2024-08-18T14:56:02-07:00
🎬 Candace Owens: -I just wanna be clear. Anything happens to me,...	Candace Owens: -I just wanna be clear. Anything happens to me, blame the Zionist. Like, 1000% blame the Zionist. Like, I think let that be my parting word.-WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1	https://t.me/JewishBreakingNewsTelegram/5674	2024-08-18T14:55:50-07:00
🖼		https://t.me/JewishBreakingNewsTelegram/5673	2024-08-18T14:45:11-07:00
🎬 LIKELY TERROR ATTACK: Surveillance footage captured a man, sus...	LIKELY TERROR ATTACK: Surveillance footage captured a man, suspected of being linked to the explosion, walking along Hatzel Street with a large bag on his back, heading towards Lahi Street, where the blast occurred. Authorities now suspect it may have been a terrorist attack that failed due to a premature detonation.The investigation is ongoing, with officials treating it as a possible unintentionally thwarted terrorist act.WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1	https://t.me/JewishBreakingNewsTelegram/5672	2024-08-18T14:43:09-07:00
🖼 JUST IN: U.S. Secretary of State Antony Blinken has arrived in...	JUST IN: U.S. Secretary of State Antony Blinken has arrived in Israel, as regional tensions persist and negotiations for a Gaza ceasefire and hostage release continue.His visit signals intensified diplomatic efforts to address Israel's security concerns and the broader situation.WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1	https://t.me/JewishBreakingNewsTelegram/5671	2024-08-18T14:40:33-07:00
🖼 A man was killed in an explosion in Tel Aviv earlier this even...	A man was killed in an explosion in Tel Aviv earlier this evening. Police are investigating all potential causes, while the Shin Bet is also involved, suggesting the blast may be linked to terrorism.Police suspect the explosion was caused by an explosive device carried by the deceased man. The motive remains unclear, and the man's identity has yet to be determined.WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1	https://t.me/JewishBreakingNewsTelegram/5670	2024-08-18T14:39:38-07:00
🎬		https://t.me/JewishBreakingNewsTelegram/5669	2024-08-18T14:39:22-07:00
ISRAELI POLICE: -Today, around eight o'clock in the evening, perh...	ISRAELI POLICE:-Today, around eight o'clock in the evening, perhaps a minute past eight, dozens of phone calls started coming in to the 100 emergency line at the police station here in Tel Aviv, reporting that they heard an explosion and that body parts were scattered somewhere on this street, I believe it’s called Lachish Street. The forces that arrived at the scene indeed noticed a mutilated body, with signs of an explosion on the wall right here next to a business called Tambour. After, of course, scanning the area and clarifying various factors, we have difficulty identifying the person whose body was mutilated. We know that the mutilated body does not belong to an innocent passerby, but rather the one the explosive was carried by. Whether this is a criminal or terrorist incident is too early to say; we currently have difficulty identifying the person since all his body parts are quite mutilated. For the time being, we haven’t found any clear evidence that would allow a positive identification. We are trying different methods, attempting to do so through laboratory procedures. We are exploring all avenues, and I can also say that the terrorist angle is very relevant. It’s very relevant because of the characteristics of the scene. As of this moment, we have another injured individual who happened to be passing by on the road with a scooter; he was injured in his lower body by shrapnel. He is currently receiving treatment, and likely later we will also obtain information and testimony from him, which might shed light on the circumstances.-WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1	https://t.me/JewishBreakingNewsTelegram/5667	2024-08-18T14:34:23-07:00
🎬 Senior Hamas official Osama Hamdan abruptly ended a CNN interv...	Senior Hamas official Osama Hamdan abruptly ended a CNN interview when asked if Hamas accepts any responsibility for the loss of civilian life in Gaza, which some Gazans told CNN they believe it does. He refused to answer and instead responded by saying, -It seems that you support the killing of 40,000 Palestinians.-WHATSAPP GROUP 🔗 https://chat.whatsapp.com/GmbUPJXCg678NpL1mQ3pnETELEGRAM 🔗 https://t.me/JewishBreakingNewsTelegramWHATSAPP CHANNEL 🔗 https://whatsapp.com/channel/0029Va4EEJU7YSdAqzGs362FSTATUS 🔗 https://wa.me/message/2BHKFPEVQP3FK1 Video is too big	https://t.me/JewishBreakingNewsTelegram/5666	2024-08-18T14:16:18-07:00
🎬 🔷 EMERGENCY CAMPAIGN: There are four young girls in Israel wh...	🔷 EMERGENCY CAMPAIGN: There are four young girls in Israel who are currently on their own. This heartbreaking situation arose when their mother was admitted to a long-term mental health facility. Their father has been diagnosed with early-onset Parkinson's and has been moved to a medical facility. The girls have been placed in two different foster families due to their parents' health conditions. These families are financially struggling to support them. The local Rabbanim established an emergency fund for the girls. DONATE HERE: https://cl6t.short.gy/suACoFPaid Advertisement	https://t.me/JewishBreakingNewsTelegram/5664	2024-08-18T14:14:39-07:00
