Title	Description	Link	pubDate	Image
Several hundreds, maybe thousands, may have died in Mayotte cyclo...	Several hundred people, maybe even thousands, may have been killed by Cyclone Chido in the French archipelago of Mayotte in the Indian Ocean, a top local French official said via local media channel Mayotte La 1ere on Sunday.	https://koreatimes.co.kr/www/nation/2024/12/501_388551.html?utm_source=fl	2024-12-15T23:17:12-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/fd1ff334d9f84eeebe0d9e3ea2eede37.png
Brazil's Lula discharged from hospital following emergency surger...	Brazilian President Luiz Inacio Lula da Silva was discharged Sunday from a Sao Paulo hospital following emergency surgery to treat an intracranial hemorrhage.	https://koreatimes.co.kr/www/nation/2024/12/501_388540.html?utm_source=fl	2024-12-15T21:47:12-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/8f790d9268b348a09f9ee3bf02f1d04f.png
200 Russian, NK troops allegedly killed in combat against Ukraine...	Some 200 Russian and North Korean soldiers were estimated to have been killed while fighting in combined units against Ukrainian forces, Kyiv's intelligence authorities said, without specifying the number of casualties for each side.	https://koreatimes.co.kr/www/nation/2024/12/103_388528.html?utm_source=fl	2024-12-15T18:47:11-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/ec4b7db52ca24b99841e3313fce391e0.jpg
Constitutional Court says begins Yoon impeachment hearings	Korea's constitutional court on Monday kicked off proceedings on the impeachment of President Yoon Suk Yeol, suspended from office over his failed bid to impose martial law.	https://koreatimes.co.kr/www/nation/2024/12/501_388525.html?utm_source=fl	2024-12-15T18:17:11-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/4c78f97523ee407d960433bfee8ce419.jpg
N. Korea reports Yoon's impeachment 2 days after parliamentary vo...	North Korea's state media on Monday reported on President Yoon Suk Yeol's impeachment, two days after South Korea's National Assembly voted to impeach Yoon over his botched imposition of martial law earlier this month.	https://koreatimes.co.kr/www/nation/2024/12/103_388515.html?utm_source=fl	2024-12-15T15:47:11-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/fbc023d63c7a4d129d3574fd15088c69.jpg
Syrian authorities reopen schools, a week after upheaval that ove...	Students returned to classrooms in Syria on Sunday after the country's new rulers ordered schools reopened in a potent sign of some normalcy a week after rebels swept into the capital in the dramatic overthrow of President Bashar al-Assad.	https://koreatimes.co.kr/www/nation/2024/12/501_388511.html?utm_source=fl	2024-12-15T04:17:11-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/3f75fe1f7dec444e9e08b96de692801f.png
China stamps out tech misuse to preserve national literature and ...	Beijing is stepping up its defense of classic literature against AI misuse that it says could undermine and endanger China's leading ideology.	https://koreatimes.co.kr/www/nation/2024/12/501_388504.html?utm_source=fl	2024-12-15T01:17:10-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/d572aca9370d43ea849a58df697e2c9f.png
Isak Andic, founder of Spanish fashion brand Mango, dies in accid...	Isak Andic, the founder of Spanish fashion brand Mango, has died after suffering an accident, the company said on Saturday. He was 71.	https://koreatimes.co.kr/www/nation/2024/12/501_388477.html?utm_source=fl	2024-12-14T18:17:10-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/3b5290951b4a4d32bb67e9225b18db87.jpg
N. Korea remains silent about Yoon's impeachment	North Korea's state media on Sunday kept mum about President Yoon Suk Yeol's impeachment, marking a contrast from its swift reporting of the 2016 impeachment of then President Park Geun-hye.	https://koreatimes.co.kr/www/nation/2024/12/103_388475.html?utm_source=fl	2024-12-14T17:47:11-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/882b9d9bfd8a4c1bb2f901f37338baa2.jpg
Trump picks Richard Grenell as envoy for special missions	U.S. President-elect Donald Trump on Saturday said he was picking Richard Grenell, his former intelligence chief, as his presidential envoy for special missions.	https://koreatimes.co.kr/www/nation/2024/12/501_388473.html?utm_source=fl	2024-12-14T16:17:16-08:00	http://img.koreatimes.co.kr/upload/thumbnailV2/28e12805a6e746a4a0b43f3203e3766f.jpg
