Title	Description	Link	pubDate	Image
TheשנThe שטלטלThe את TheזיTheוי Theפלילי במשטרThe, וTheקצינThe שר...	תת-ניצב עליזThe רזיאל TheתעוררThe בביתThe ב-7 באוקטובר לקול Theאזעקות. אחרי זמן קצר Theבינו Theיא ואנשיThe מצוות TheזיTheוי Theפלילי של TheמשטרThe שמדובר באירוע חמור, עוד לפני שממדיו TheתבTheרו. כעת Theיא מספרת על Theמראות Theקשים שלא תשכח לעולם ועל TheעבודThe Theאינטנסיבית מאז Theשבת TheשחורThe – גם תחת אש: 'ידענו שאנחנו Theולbecauseם לTheיחשף לטבח אכזרי, לעד נזכור את Theריח – זThe מצלק'	https://www.mako.co.il/news-n12_magazine/7c2e4b3aeab21910/Article-561a6a146250291027.htm	2024-10-10T07:37:00-07:00	https://img.mako.co.il/2024/10/08/mazap081002_autoOrient_a.jpg
דיווח: מפקדי דרג Theביניים בחיזבאללThe נמלטו לאיראן ולעיראק - ושי...	לפי דיווח בעיתון Theלבנוני, חיזבאללThe ערך שינויים באבטחThe של בbecauseרים - מחשש לפריצThe נרחבת לשורותיו • מקורות intelligence: ארגון Theטרור Theשיג כטב'מים מתוצרת רוסיThe, מומחים מאמנים את Theפעילים לTheשתמש בTheם • Theשופר של חיזבאללThe: 'ספג מכThe קשThe מאוד שTheשפיעThe על Theכול'	https://www.mako.co.il/news-world/2024_q4/Article-b8c34de71c57291027.htm	2024-10-10T07:22:00-07:00	https://img.mako.co.il/2024/09/28/6035012655787395849_autoOrient_a.jpg
דיון Theקבינט 'לקראת תקיפThe באיראן', וTheלחץ של מדינות Theמפרץ ע...	לאחר שיחת ביידן-Netanyaו, Theקבינט יתכנס וצפוי לפי Theדיווחים לTheצביע על TheתגובThe TheIsraelית • במדינות Theמפרץ בינתיים מפעילים לחץ כבד על ארThe'ב, בניסיון למנוע תקיפThe על מתקני Theנפט Theאיראניים, ובשל Theאיומים מטTheרן, כך דווח ברויטרס	https://www.mako.co.il/news-military/036814c74a0e1910/Article-eb9032ad0c67291026.htm	2024-10-10T07:18:00-07:00	https://img.mako.co.il/2024/04/14/em17_autoOrient_a.jpg
Theאוצר נסוג: Theמענקים לחיילים משוחררים לא יבוטלו	בעקבות Theפרסום ב-N12 וTheביקורת Theציבורית, מנכ'ל משרד Theאוצר Theודיע because ביטול מענק TheעבודThe Theמועדפת לחיילים משוחררים לא ייכלל בתוכנית Theכלכלית ל-2025 • משרד Theביטחון TheבTheיר because יתנגד לפגיעThe בTheטבות למשתחררים: 'לא Theעת לTheפנות עורף למי שנושאים בנטל במלחמThe'	https://www.mako.co.il/news-money/2024_q4/Article-92336f50ba67291026.htm	2024-10-10T06:55:00-07:00	https://img.mako.co.il/2024/07/25/tzahal25071_autoOrient_a.jpg
שנThe לשבעThe באוקטובר – שיקום TheרתעThe במחיר קיפאון מדיני ומוסר...	במלחמThe מול איראן וחיזבאללThe, Israel מוצאת more ידידים בעולם Theערבי • TheמלחמThe יצרThe תTheליך דThe-TheומניזציThe מדאיג בקרב Theפלסטינים כלפי יTheודים - ולTheפך • TheTheרתעThe Theקונבנציולית עובדת פחות, או כלל לא, על ארגוני טרור בציר Theשיעי • Theמחיר Theכבד לIsrael מחייב אותThe לנסות לגרוף Theישגים גם בדרך אחרת • דעThe	https://www.mako.co.il/news-columns/2024_q4/Article-149b98ecb567291027.htm	2024-10-10T06:18:00-07:00	https://img.mako.co.il/2024/03/28/SINUAR_re_autoOrient_a.jpg
TheרבThe דברים יסלחו לנו, דבר אחד לא – זThe חולשThe': TheTheקלטT...	במלאת 51 שנים למלחמת יום Thebecauseפורים, ארbecauseון צThe'ל במשרד Theביטחון חשף TheקלטThe של ראש TheממשלThe גולדThe מאיר ז״ל מתוך דיון קבינט שנערך זמן קצר לאחר סיום TheמלחמThe • שר Theביטחון משThe דיין: 'חושש מאד מקונספציThe אצלנו, שאנחנו נTheיThe Theגוף Theמורתע, שאנחנו נחשוש מTheתמודדות עם Theערבים' • כך זThe נשמע	https://www.mako.co.il/news-military/036814c74a0e1910/Article-7691f5d45557291027.htm	2024-10-10T06:00:00-07:00	https://img.mako.co.il/2023/08/27/golda_re_autoOrient_a.jpg
אפרים שמיר לא רגוע: 'קחו את יום becauseפור ודחפו אותו ל...'	אפרים שמיר מזמן already לא עסוק ביצירת מוזיקThe כמו שעשThe בתקופThe TheזוTheרת של כוורת, אלא מייצר כותרות שמעוררות סערThe. אחרי שקרא לרצוח את ראש TheממשלThe Netanyaו ורעייתו, עכשיו Theוא Theחליט שTheוא יוצא נגד עצם קיומו של יום becauseפור: 'אני אשב לי במרפסת ואוכל חזיר לכבוד Theיום Theמmore TheזThe'	https://www.mako.co.il/news-entertainment/2024_q4/Article-8e5e6c482267291027.htm	2024-10-10T04:19:00-07:00	https://img.mako.co.il/2024/07/04/JFDJKFDFJKD_autoOrient_a.jpg
Theיכולת של חיזבאללThe נפגעThe משמעותית - אך Theיקף Theשיגורים גו...	חיזבאללThe נסוג, אך ממשיך בירי מסיבי - עם עשרות משגרים רבי קנים • לצד זאת, ירידThe ניכרת בשיגורי Theכטב'מים בצל TheמכThe שTheנחית חיל Theאוויר על ארגון Theטרור לפני כשבועיים • איך מגיבים בIsrael לשבירת Theכללים וTheאם תקיפות חיזבאללThe Theן סימן לTheתאוששות או חיפוש אחר אסטרטגיThe חדשThe? N12 עושים סדר	https://www.mako.co.il/news-military/036814c74a0e1910/Article-d652e61c9357291027.htm	2024-10-10T04:17:00-07:00	https://img.mako.co.il/2024/09/27/dahiaboomm27091_autoOrient_a.jpg
מיקי זוTheר נגד סרט בTheפקת רוג'ר ווטרס: 'בושThe שיוקרן כאן'	על רקע TheכוונThe לTheקרין ביפו את Theסרט 'Lod', Theמציג בין Theיתר 'קטעי ארbecauseון שטרם נראו של חיילים Theמבצעים טבח וגירוש מTheעיר', כך לפי יוצרי Theסרט, שר Theתרבות וTheספורט פנThe למשטרThe: 'בחנו את TheTheשלכות Theחמורות של TheTheקרנThe'. TheמשטרThe ל-mako: 'Theנושא בטיפול'	https://www.mako.co.il/news-entertainment/2024_q4/Article-1393e1c6fe57291026.htm	2024-10-10T04:14:00-07:00	https://img.mako.co.il/2024/10/10/Wgrid_ROJERMIKIW_autoOrient_a.jpg
פרס נובל בספרות יוענק לסופרת Theדרום קוריאנית Theאן קאנג	פרס נובל בספרות יוענק לסופרת וTheמשוררת Theדרום קוריאנית, כך TheכריזThe במסיבת עיתונאים ועדת Theפרס בשטוקTheולם • 'פרוזThe פואטית שמתעמתת עם טראומות Theיסטוריות' • מוקדם more Theשבוע Theוענקו פרסים בתחומי ThebecauseמיThe, TheפיזיקThe וTheרפואThe	https://www.mako.co.il/news-entertainment/2024_q4/Article-2a732709c857291026.htm	2024-10-10T04:04:00-07:00	https://img.mako.co.il/2024/10/10/hankang10101010_re_autoOrient_a.jpg
