Title	Description	Link	pubDate	Image
Putin signs mutual defense pact with North Korea into law	Vladimir Putin signed the new mutual defense pact between North Korea and Russia into law on Saturday, a move that may seek to provide a legal basis for DPRK troops’ participation in the Ukraine war. The signing comes after the upper house of the Russian parliament ratified the Treaty on Comprehensive Strategic Partnership last week, ...	https://www.nknews.org/2024/11/putin-signs-mutual-defense-pact-with-north-korea-into-law/	2024-11-10T20:44:58-08:00	https://assets.korearisk.com/uploads/2024/06/Screenshot-2024-06-20-at-12.18.28%E2%80%AFPM-500x256.png
South Korea tests precision strike missile in response to North Korean ICBM	South Korea test-fired a Hyunmoo-II surface-to-surface missile on Thursday, seeking to demonstrate its precision strike capabilities in response to North Korea&#8217;s recent ballistic missile launches. Seoul’s Joint Chiefs of Staff announced in a press release that the ROK Army’s Missile Strategy Command launched the missile from the Anheung test site in South Chungcheong Province, which ...	https://www.nknews.org/2024/11/south-korea-tests-precision-strike-missile-in-response-to-north-korean-icbm/	2024-11-08T02:28:59-08:00	https://assets.korearisk.com/uploads/2024/11/2-500x256.png
North Korea defends crackdown on foreign media, admits to public executions	North Korea defended its controversial law dictating harsh penalties for consuming foreign media on Thursday, while admitting that it carries out public executions and imprisons perpetrators of -anti-state- crimes. The DPRK government made the rare acknowledgement of its crackdown on outside media during the U.N.’s Universal Periodic Review (UPR) of the country in Geneva, which ...	https://www.nknews.org/2024/11/north-korea-defends-crackdown-on-foreign-media-admits-to-public-executions/	2024-11-08T01:42:58-08:00	https://assets.korearisk.com/uploads/2023/09/aank-train-1-500x256.jpg
Polish delegation set to visit North Korea to inspect embassy: Sources	A Polish delegation is set to make an imminent visit to North Korea, looking to reopen the country’s embassy in Pyongyang years after closing it during the pandemic, multiple informed sources told NK News this week. The team of over a dozen Polish diplomats will assess the embassy’s premises, with a small number of diplomatic ...	https://www.nknews.org/2024/11/polish-delegation-set-to-visit-north-korea-to-inspect-embassy-sources/	2024-11-08T01:02:01-08:00	https://assets.korearisk.com/uploads/2024/11/Untitled-design-5-500x256.jpg
Putin says Russia could hold military drills with North Korea, defying sanctions	Vladimir Putin suggested Russia could hold joint military exercises with North Korea under their mutual defense pact on Friday, even as Ukrainian President Volodymyr Zelensky claimed DPRK troops deployed to Russia have already suffered casualties in the Kursk region. Speaking at a panel of the Valdai Discussion Club on Thursday, Putin assessed that the Strategic ...	https://www.nknews.org/2024/11/putin-says-russia-could-hold-military-drills-with-north-korea-defying-sanctions/	2024-11-07T21:56:03-08:00	https://assets.korearisk.com/uploads/2024/11/2-3-500x256.jpg
Trump victory sets off renewed calls in ROK to go nuclear to counter North Korea	South Korea must reconsider its stance on not developing nuclear weapons in response to Donald Trump’s election victory, top conservative politicians asserted on Thursday, arguing that Seoul can no longer depend on Washington to help defend against North Korean threats. &#8220;While the ROK-U.S. alliance remains crucial under a second Trump administration, it has become ever ...	https://www.nknews.org/2024/11/trump-victory-sets-off-renewed-calls-in-rok-to-go-nuclear-to-counter-north-korea/	2024-11-07T00:23:27-08:00	https://assets.korearisk.com/uploads/2024/11/us-election-campaign-donald-trump-2024-1-500x256.jpg
Trump voices concern about North Korean ‘provocations’ in phone call with Yoon	South Korean President Yoon Suk-yeol congratulated Donald Trump on his election victory in a phone call on Thursday, with the U.S. president-elect reportedly expressing concern about North Korean -provocations- like launches of trash balloons and intercontinental ballistic missiles (ICBMs). In a press conference after the call, Yoon said Trump appeared highly interested in the DPRK ...	https://www.nknews.org/2024/11/trump-voices-concern-about-north-korean-provocations-in-phone-call-with-yoon/	2024-11-07T00:21:48-08:00	https://assets.korearisk.com/uploads/2024/11/Untitled-design-500x256.jpg
Russian military jet visits North Korea amid troop deployment to Kursk	A Russian air force jet made a quick stopover in North Korea’s capital on Thursday, a trip that one expert said was likely related to the DPRK’s troop deployment in support of Moscow’s war in Ukraine. The Ilyushin Il-62M arrived at Pyongyang’s Sunan International Airport from Vladivostok around 10:30 a.m. KST and stayed less than ...	https://www.nknews.org/2024/11/russian-military-jet-visits-north-korea-amid-troop-deployment-to-kursk/	2024-11-06T22:31:20-08:00	https://assets.korearisk.com/uploads/2024/11/1-2-500x256.jpg
Pro-Russia hackers attack ROK over response to North Korean troop dispatch	A pro-Russian hacktivist group has claimed responsibility for distributed denial of service (DDoS) cyberattacks against South Korean government websites this week, framing it as retaliation for Seoul’s response to North Korean troop deployments. NoName057(16) announced on Telegram on Monday that it orchestrated the campaign in response to ROK foreign minister Cho Tae-yul suggesting Seoul may ...	https://www.nknews.org/2024/11/pro-russia-hackers-attack-rok-over-response-to-north-korean-troop-dispatch/	2024-11-06T20:05:06-08:00	https://assets.korearisk.com/uploads/2024/11/Illustration-of-pro-Russian-hacker-collective-500x256.png
ROK conducts missile interception drill to bolster defenses against North Korea	South Korea’s military conducted a live-fire guided missile interception drill to strengthen defenses against North Korean missiles on Monday, days after Pyongyang test-launched its largest-ever solid-fuel intercontinental ballistic missile (ICBM). The drill took place in the Yellow Sea and simulated an -enemy missile provocation- scenario, the Joint Chiefs of Staff (JCS) announced in a press ...	https://www.nknews.org/2024/11/rok-conducts-missile-interception-drill-to-bolster-defenses-against-north-korea/	2024-11-06T01:58:27-08:00	https://assets.korearisk.com/uploads/2024/11/ROK-missile-interception-drill-20241106-500x256.png
Trump on verge of US election win, setting stage for North Korea policy shift	Former President Donald Trump appeared on the verge of winning the U.S. 2024 presidential election on Wednesday, setting the stage for a sea change in North Korea policy and possible resumption of personal diplomacy with DPRK leader Kim Jong Un. Trump claimed victory in a speech in Florida, while world leaders flocked to congratulate the ...	https://www.nknews.org/2024/11/trump-on-verge-of-us-election-win-setting-stage-for-north-korea-policy-shift/	2024-11-06T01:39:51-08:00	https://assets.korearisk.com/uploads/2024/11/donald-trump-photos-election-coverage-2021-cropped-500x256.jpg
Seoul’s defense ministry hit by DDoS cyberattack, possibly by North Korea	South Korea&#8217;s defense ministry says its website was hit by a distributed denial-of-service (DDoS) cyberattack this week, an incident one expert described as a possible North Korean -demonstration-style- campaign to make its presence felt on the international stage. The ministry said in a statement that the attack began around 5:30 p.m. KST on Tuesday, but ...	https://www.nknews.org/2024/11/seouls-defense-ministry-hit-by-ddos-cyberattack-possibly-by-north-korea/	2024-11-05T22:17:06-08:00	https://assets.korearisk.com/uploads/2024/11/MND-website_archive-20241007-500x256.png
Swiss diplomats visit North Korea to explore reopening development office: Bern	Swiss diplomats visited North Korea last month to assess the possibility of reopening the country’s international cooperation office in Pyongyang, according to Bern, four years after suspending activities during the pandemic. The Federal Department of Foreign Affairs (FDFA) confirmed the visit related to operations of the Swiss Agency for Development and Cooperation (SDC). -Following a ...	https://www.nknews.org/2024/11/swiss-diplomats-visit-north-korea-to-explore-reopening-development-office-bern/	2024-11-05T22:07:49-08:00	https://assets.korearisk.com/uploads/2024/11/Copy-of-Featured-Image-Empty-8-500x256.png
