Title	Description	Link	pubDate	Image
Lori Chavez-DeRemer, Trump's Labor Department pick, to face questions from senators	The confirmation hearing for the former Oregon representative nominated to lead the Labor Department is to start Wednesday. The secretary of labor holds the 11th Cabinet position in the presidential line of succession. (Image credit: Mark Schiefelbein)	https://www.npr.org/2025/02/19/nx-s1-5301097/lori-chavez-deremer-labor-department-confirmation-hearing	2025-02-19T02:00:00-08:00	
She worked for years to get a federal job. Within a month, she was fired	Rose is one of thousands of federal workers who have been terminated by the Trump administration. At 26, she's left wondering what to do now. (Image credit: Ryan Kellman)	https://www.npr.org/2025/02/19/nx-s1-5301098/federal-probationary-employee-job-within-month-fired	2025-02-19T02:00:00-08:00	
Morning news brief	Measles cases are spiking in West Texas, how China is responding as the U.S. ends funding for pro-democracy groups, and former Brazilian President Jair Bolsonaro faces charges over alleged coup plot.	https://www.npr.org/2025/02/19/nx-s1-5299808/morning-news-brief	2025-02-19T01:09:55-08:00	
China sees an opportunity as the U.S. cuts aid to groups around the world	The Trump administration's efforts to shrink the federal government have indefinitely cut off funding to human rights groups abroad. Some in China see these cuts as an opportunity to muscle in.	https://www.npr.org/2025/02/19/nx-s1-5300108/china-sees-an-opportunity-as-the-u-s-cuts-aid-to-groups-around-the-world	2025-02-19T01:09:21-08:00	
China sees an opportunity as the U.S. cuts funding to pro-democracy groups	The Trump administration's efforts to shrink the federal government have indefinitely cut off funding to human rights groups abroad. Some in China see these cuts as an opportunity to muscle in.	https://www.npr.org/2025/02/19/nx-s1-5300108/china-sees-an-opportunity-as-the-u-s-cuts-funding-to-pro-democracy-groups	2025-02-19T01:09:21-08:00	
European leaders plan possible troop deployments to secure peace deal in Ukraine	European leaders are meeting for a second emergency summit in Paris to debate how to monitor a potential ceasefire agreement between Ukraine and Russia. It could mean deploying European troops.	https://www.npr.org/2025/02/19/nx-s1-5300124/european-leaders-plan-possible-troop-deployments-to-secure-peace-deal-in-ukraine	2025-02-19T01:08:59-08:00	
Some Kentucky residents displaced by floods are sheltering in state parks	Winter weather in Kentucky is complicating rescue and recovery efforts after deadly weekend floods displaced more than 1,000 people. Some displaced residents are sheltering in state parks.	https://www.npr.org/2025/02/19/nx-s1-5300962/some-kentucky-residents-displaced-by-floods-are-sheltering-in-state-parks	2025-02-19T01:07:54-08:00	
Pressure grows in Congress to revive payments to many sickened by atomic weapon tests	Some of Trump's most ardent supporters in Congress are pressing colleagues to revive a key federal compensation program that directs payments to those sickened decades ago by atomic weapons testing.	https://www.npr.org/2025/02/19/nx-s1-5276259/pressure-grows-in-congress-to-revive-payments-to-many-sickened-by-atomic-weapon-tests	2025-02-19T01:07:38-08:00	
What have U.S. sanctions on Russia achieved since the war in Ukraine began?	Three years after Russia's full-scale invasion of Ukraine began, what have U.S. sanctions achieved? NPR talks to Edward Fishman, author of 'Chokepoints: American Power in the Age of Economic Warfare.'	https://www.npr.org/2025/02/19/nx-s1-5290058/what-have-u-s-sanctions-on-russia-achieved-since-the-war-in-ukraine-began	2025-02-19T01:06:31-08:00	
Immigration officers are falling short of Trump's expectations for mass deportations	President Trump has called for sweeping efforts to detain and deport migrants in the U.S. without legal status. Arrests are up, but the crackdown is also running into challenges.	https://www.npr.org/2025/02/19/nx-s1-5296689/immigration-officers-are-falling-short-of-trumps-expectations-for-mass-deportations	2025-02-19T01:05:58-08:00	
A Department of Energy employee tells her story of being swept up in mass firings	A 26-years-old had just started her first federal job at the Department of Energy. But she became one of the thousands swept up in the Trump administration's mass terminations of government workers.	https://www.npr.org/2025/02/19/nx-s1-5299939/a-department-of-energy-employee-tells-her-story-of-being-swept-up-in-mass-firings	2025-02-19T01:04:31-08:00	
