Title	Description	Link	pubDate	Image
Trump says wants Iran deal and 'big Middle East Celebration when it is signed'	U.S. President Donald Trump said Wednesday that Iran 'cannot have a Nuclear Weapon', a day after he signed an order reinstating a 'maximum pressure' policy against Tehran over allegations that it was trying to develop such weapons. 'I want Iran to be a great and successful Country, but one that cannot have a Nuclear Weapon,' he said in a post on his Truth Social platform, adding: 'I would much prefer a Verified Nuclear Peace Agreement, which will let Iran peacefully grow and prosper.'	https://www.naharnet.com/stories/en/310853-trump-says-wants-iran-deal-and-big-middle-east-celebration-when-it-is-signed	2025-02-05T04:09:27-08:00	
Netanyahu gifts Trump golden pager in reference to attack on Hezbollah	Israeli Prime Minister Benjamin Netanyahu has gifted U.S. President Donald Trump a golden pager and a regular one, a reference to the clandestine operation against Hezbollah last year.	https://naharnet.com/stories/en/310852-netanyahu-gifts-trump-golden-pager-in-reference-to-attack-on-hezbollah	2025-02-05T03:49:26-08:00	
Progress on govt. as LF will be given 4 portfolios including foreign affairs	Progress has been made in the government formation negotiations and the Lebanese Forces will be granted the foreign affairs portfolio in addition to three other portfolios, informed sources said.	https://naharnet.com/stories/en/310851-progress-on-govt-as-lf-will-be-given-4-portfolios-including-foreign-affairs	2025-02-05T03:27:40-08:00	
Egypt wants Palestinian Authority to 'assume its duties' in Gaza	Egypt's Foreign Minister Badr Abdelatty called on Wednesday for the Palestinian Authority to govern the Gaza Strip, hours after President Donald Trump announced a proposal for the United States to take over the territory. In a meeting with Palestinian Prime Minister Mohammed Mustafa, Abdelatty said Egypt was eager for the Palestinian Authority to 'assume its duties in the Gaza Strip as part of the occupied Palestinian territories', according to a foreign ministry statement.	https://www.naharnet.com/stories/en/310849-egypt-wants-palestinian-authority-to-assume-its-duties-in-gaza	2025-02-05T02:39:48-08:00	
Abbas in Jordan for talks with King Abdullah II on Trump Gaza proposal	A source in the Palestinian president's office said Mahmoud Abbas travelled to Jordan Wednesday for talks with King Abdullah II shortly after U.S. President Donald Trump proposed to take over the Gaza Strip. Abbas travelled to Jordan on Wednesday morning, the source told AFP, and is expected to discuss Trump's surprise proposal for the United States to 'take over' and 'own' the Gaza Strip while its Palestinian residents relocate to Egypt or Jordan.	https://www.naharnet.com/stories/en/310848-abbas-in-jordan-for-talks-with-king-abdullah-ii-on-trump-gaza-proposal	2025-02-05T02:37:04-08:00	
Bassil says against 'isolating' Shiites or 'favoring' them	Free Patriotic Movement chief Jebran Bassil has noted that the FPM supports the principle of rotating ministerial portfolios.	https://naharnet.com/stories/en/310847-bassil-says-against-isolating-shiites-or-favoring-them	2025-02-05T02:28:32-08:00	
Bassil says against 'isolating' Shiites or 'favoring' them	Free Patriotic Movement chief Jebran Bassil has noted that the FPM supports the principle of rotating ministerial portfolios.	https://www.naharnet.com/stories/en/310847-bassil-says-against-isolating-shiites-or-favoring-them	2025-02-05T02:28:32-08:00	
Khamenei names Qassem as Lebanon 'representative'	Iran's supreme leader Ayatollah Ali Khamenei has named Hezbollah leader Sheikh Naim Qassem as his 'representative' in Lebanon, Iranian media reported Wednesday. 'The leader of the revolution in a decree introduced Sheikh Naim Qassem, secretary general of Hezbollah, as his representative in Lebanon,' Tasnim news agency said.	https://naharnet.com/stories/en/310846-khamenei-names-qassem-as-lebanon-representative	2025-02-05T01:27:34-08:00	
Khamenei names Qassem as Lebanon 'representative'	Iran's supreme leader Ayatollah Ali Khamenei has named Hezbollah leader Sheikh Naim Qassem as his 'representative' in Lebanon, Iranian media reported Wednesday. 'The leader of the revolution in a decree introduced Sheikh Naim Qassem, secretary general of Hezbollah, as his representative in Lebanon,' Tasnim news agency said.	https://www.naharnet.com/stories/en/310846-khamenei-names-qassem-as-lebanon-representative	2025-02-05T01:27:34-08:00	
Qatar PM says to help Lebanon rebuild after government is formed	Qatar's prime minister said during a visit to Beirut that Doha would help Lebanon rebuild after a devastating Hezbollah-Israel war, but only after a new government is formed. Reeling from years of crisis and a conflict, Lebanon has pinned hopes on wealthy Gulf states to fund reconstruction, with Qatar having been heavily involved in such efforts after the Hezbollah-Israel war of 2006.	https://naharnet.com/stories/en/310845-qatar-pm-says-to-help-lebanon-rebuild-after-government-is-formed	2025-02-05T01:19:55-08:00	
Qatar PM says to help Lebanon rebuild after government is formed	Qatar's prime minister said during a visit to Beirut that Doha would help Lebanon rebuild after a devastating Hezbollah-Israel war, but only after a new government is formed. Reeling from years of crisis and a conflict, Lebanon has pinned hopes on wealthy Gulf states to fund reconstruction, with Qatar having been heavily involved in such efforts after the Hezbollah-Israel war of 2006.	https://www.naharnet.com/stories/en/310845-qatar-pm-says-to-help-lebanon-rebuild-after-government-is-formed	2025-02-05T01:19:55-08:00	
Qatari PM visits Lebanon, says Doha committed to supporting army	Qatar’s prime minister reaffirmed his country’s commitment to supporting the Lebanese Army during a visit to Beirut. Qatari Prime Minister Sheikh Mohammed bin Abdulrahman Al Thani's remarks came after meeting Lebanon’s president, former army commander Joseph Aoun, whose election in January ended a two-year presidential vacuum.	https://www.naharnet.com/stories/en/310845-qatari-pm-visits-lebanon-says-doha-committed-to-supporting-army	2025-02-05T01:19:55-08:00	
Saudi Arabia says no Israel normalization without Palestinian state	Saudi Arabia said Wednesday it will not formalize ties with Israel unless a Palestinian state is established, after Israel's prime minister remarked that he thought normalization with the Gulf kingdom was 'going to happen'. 'Saudi Arabia will continue its relentless efforts to establish an independent Palestinian state with East Jerusalem as its capital, and will not establish diplomatic relations with Israel without that,' the Saudi foreign ministry said in a statement on X.	https://www.naharnet.com/stories/en/310844-saudi-arabia-says-no-israel-normalization-without-palestinian-state	2025-02-05T01:15:54-08:00	
PLO rejects 'all calls for the displacement of Palestinians from their homeland'	Secretary General Hussein al-Sheikh said the PLO 'affirms its rejection of all calls for the displacement of the Palestinian people from their homeland' and renews its support for a two-state solution.	https://www.naharnet.com/stories/en/310843-plo-rejects-all-calls-for-the-displacement-of-palestinians-from-their-homeland	2025-02-05T01:09:22-08:00	
Hamas rejects Trump proposal to take over Gaza, move Palestinians	Palestinian militant group Hamas lashed out Wednesday at President Donald Trump's shock proposal for the United States to take over the Gaza Strip and resettle Palestinians in other countries, seemingly whether they want to leave or not. Trump made his announcement to audible gasps during a joint press conference with Israeli Prime Minister Benjamin Netanyahu, whom he was hosting at the White House for talks.	https://www.naharnet.com/stories/en/310842-hamas-rejects-trump-proposal-to-take-over-gaza-move-palestinians	2025-02-05T01:06:10-08:00	
ACLU sues University of Michigan over campus bans for pro-Palestinian protesters	Jonathan Zou, a second-year student at the University of Michigan, was among the thousands of students who joined pro-Palestinian protests on university campuses nationwide this past year. Although the campus protests have subsided, the repercussions for students like Zou remain. Since his arrest by university police last Oct. 7 after using a megaphone during a pro-Palestinian march, Zou has been banned from all University of Michigan campuses, except for attending class or seeking medical care.	https://www.naharnet.com/stories/en/310835-aclu-sues-university-of-michigan-over-campus-bans-for-pro-palestinian-protesters	2025-02-04T06:49:26-08:00	
Lebanon files complaint with UN Security Council against Israeli ceasefire violations	Lebanon’s Foreign Affairs Ministry has filed a complaint with the United Nations Security Council, through its Permanent Mission in New York, against Israel's repeated violations of the ceasefire and of the U.N. Security Council Resolution 1701. The National News agency said Tuesday that Lebanon has cited ground and air attacks, the destruction of homes and residential neighborhoods in Lebanon, and the kidnapping and targeting of Lebanese citizens, journalists and Lebanese army members.	https://naharnet.com/stories/en/310825-lebanon-files-complaint-with-un-security-council-against-israeli-ceasefire-violations	2025-02-04T06:19:00-08:00	
Lebanon files complaint with UN Security Council against Israeli ceasefire violations	Lebanon’s Foreign Affairs Ministry has filed a complaint with the United Nations Security Council, through its Permanent Mission in New York, against Israel's repeated violations of the ceasefire and of the U.N. Security Council Resolution 1701. The National News agency said Tuesday that Lebanon has cited ground and air attacks, the destruction of homes and residential neighborhoods in Lebanon, and the kidnapping and targeting of Lebanese citizens, journalists and Lebanese army members.	https://www.naharnet.com/stories/en/310825-lebanon-files-complaint-with-un-security-council-against-israeli-ceasefire-violations	2025-02-04T06:19:00-08:00	
Sunni MP and Tashnag urge Salam to avoid 'double standards'	MP Nabil Bader of Beirut has accused Prime Minister-designate Nawaf Salam of 'selectivity' in his approach toward the cabinet formation process.	https://naharnet.com/stories/en/310824-sunni-mp-and-tashnag-urge-salam-to-avoid-double-standards	2025-02-04T05:16:07-08:00	
Sunni MP and Tashnag urge Salam to avoid 'double standards'	MP Nabil Bader of Beirut has accused Prime Minister-designate Nawaf Salam of 'selectivity' in his approach toward the cabinet formation process.	https://www.naharnet.com/stories/en/310824-sunni-mp-and-tashnag-urge-salam-to-avoid-double-standards	2025-02-04T05:16:07-08:00	
LF MP calls on Salam to show 'modesty', says he 'doesn't have a bloc'	MP Pierre Bou Assi of the Lebanese Forces on Tuesday hurled a jab at Prime Minister-designate Nawaf Salam.	https://naharnet.com/stories/en/310823-lf-mp-calls-on-salam-to-show-modesty-says-he-doesn-t-have-a-bloc	2025-02-04T04:51:01-08:00	
LF MP calls on Salam to show 'modesty', says he 'doesn't have a bloc'	MP Pierre Bou Assi of the Lebanese Forces on Tuesday hurled a jab at Prime Minister-designate Nawaf Salam.	https://www.naharnet.com/stories/en/310823-lf-mp-calls-on-salam-to-show-modesty-says-he-doesn-t-have-a-bloc	2025-02-04T04:51:01-08:00	
15 freed Palestinian prisoners arrive in Turkey	Fifteen Palestinian prisoners freed by Israel under the terms of the Gaza ceasefire have arrived in Turkey, Foreign Minister Hakan Fidan said on Tuesday. 'A few days ago, 15 Palestinians came to Turkey via Cairo after they were released,' he told a joint press conference with his Egyptian counterpart Badr Abdelatty.	https://www.naharnet.com/stories/en/310822-15-freed-palestinian-prisoners-arrive-in-turkey	2025-02-04T04:50:34-08:00	
Lebanese army seizes Hezbollah weapon truck, reports say	The Lebanese Army has seized a Hezbollah truck loaded with weapons in the Iqlim al-Kharoub region near Sidon, media reports said Tuesday. The weapons, including detonators and grenades, were taken from a warehouse in Wardaniyeh after it was targeted by an Israeli strike.	https://naharnet.com/stories/en/310821-lebanese-army-seizes-hezbollah-weapon-truck-reports-say	2025-02-04T04:47:03-08:00	
Lebanese army seizes Hezbollah weapon truck, reports say	The Lebanese Army has seized a Hezbollah truck loaded with weapons in south Lebanon's Iqlim al-Kharoub region, media reports said Tuesday. The weapons, including detonators and grenades, were taken from a warehouse in Wardaniyeh after it was targeted by an Israeli strike.	https://www.naharnet.com/stories/en/310821-lebanese-army-seizes-hezbollah-weapon-truck-reports-say	2025-02-04T04:47:03-08:00	
Netanyahu says war with Hezbollah and allies has 'redrawn' Middle East map	Before leaving for Washington to meet with U.S. President Donald Trump, Israeli Prime Minister Benjamin Netanyahu said Israel's wars with Hamas in Gaza, Hezbollah in Lebanon and its confrontations with Iran had 'redrawn the map' in the Middle East. 'But I believe that working closely with President Trump we can redraw it even further, and for the better,' he said.	https://naharnet.com/stories/en/310820-netanyahu-says-war-with-hezbollah-and-allies-has-redrawn-middle-east-map	2025-02-04T04:35:03-08:00	
Netanyahu says war with Hezbollah and allies has 'redrawn' Middle East map	Before leaving for Washington to meet with U.S. President Donald Trump, Israeli Prime Minister Benjamin Netanyahu said Israel's wars with Hamas in Gaza, Hezbollah in Lebanon and its confrontations with Iran had 'redrawn the map' in the Middle East. 'But I believe that working closely with President Trump we can redraw it even further, and for the better,' he said.	https://www.naharnet.com/stories/en/310820-netanyahu-says-war-with-hezbollah-and-allies-has-redrawn-middle-east-map	2025-02-04T04:35:03-08:00	
Israel commits to new Gaza talks ahead of Trump meeting	Israel said it was sending a team to negotiate the next phase in its fragile ceasefire with Hamas, signaling possible progress ahead of Prime Minister Benjamin Netanyahu's meeting with U.S. President Donald Trump on Tuesday. Netanyahu will be the first foreign leader to meet Trump in the White House since his return to power last month, and will likely face some pressure to honor the ceasefire the U.S. leader has claimed credit for.	https://www.naharnet.com/stories/en/310818-israel-commits-to-new-gaza-talks-ahead-of-trump-meeting	2025-02-04T03:50:29-08:00	
Israel commits to new Gaza talks ahead of Trump meeting	Israel said it was sending a team to negotiate the next phase in its fragile ceasefire with Hamas, signaling possible progress ahead of Prime Minister Benjamin Netanyahu's meeting with U.S. President Donald Trump on Tuesday. Netanyahu will be the first foreign leader to meet Trump in the White House since his return to power last month, and will likely face some pressure to honor the ceasefire the U.S. leader has claimed credit for.	https://naharnet.com/stories/en/310818-israel-commits-to-new-gaza-talks-ahead-of-trump-meeting	2025-02-04T03:50:29-08:00	
Salam says he's the one picking ministers after 'consultations' with blocs	Prime Minister-designate Nawaf Salam has reassured that the government formation process is 'moving forward positively according to the reformist, salvation course' that he had pledged and in line with the 'standards' that he has already announced.	https://www.naharnet.com/stories/en/310817-salam-says-he-s-the-one-picking-ministers-after-consultations-with-blocs	2025-02-04T02:52:01-08:00	
UN special coordinator for Lebanon to discuss ceasefire, 1701 with top Iran officials	United Nations Special Coordinator for Lebanon Jeanine Hennis-Plasschaert has begun a visit to Tehran, where she is set to meet with senior Iranian officials. The trip is part of the Special Coordinator’s ongoing consultations with regional and international stakeholders, her office said in a statement Monday.	https://www.naharnet.com/stories/en/310816-un-special-coordinator-for-lebanon-to-discuss-ceasefire-1701-with-top-iran-officials	2025-02-04T02:39:54-08:00	
Israel says hit weapons storage facilities in Lebanon	The Israeli military said it had located and destroyed several weapons storage facilities in southern Lebanon, where troops are continuing to operate as a fragile ceasefire enters its third month. Israel said Monday soldiers had found mortar shells, missiles, rockets, explosives, firearms and a large amount of military equipment belonging to Hezbollah in southern Lebanon, without providing evidence. The military said it also killed a number of Hezbollah militants located close to Israeli troops.	https://www.naharnet.com/stories/en/310815-israel-says-hit-weapons-storage-facilities-in-lebanon	2025-02-04T02:31:12-08:00	
Lebanese-American charged with stabbing Rushdie to soon go on trial	In 2022, Salman Rushdie was about to deliver a lecture before a live audience in western New York when a man ran towards him and plunged a knife into the author's hand as he raised it in self-defense. 'After that there are many blows, to my neck, to my chest, to my eye, everywhere,' Rushdie recalled in a memoir that followed. 'I feel my legs give way, and I fall.'	https://www.naharnet.com/stories/en/310814-lebanese-american-charged-with-stabbing-rushdie-to-soon-go-on-trial	2025-02-04T01:50:14-08:00	
Japanese court upholds conviction of American who allegedly helped Ghosn hide pay	The conviction of a former American Nissan executive for allegedly helping fugitive former Chairman Carlos Ghosn hide income was upheld by a Japanese appeals court Tuesday, which also rejected prosecutors' bid to overturn his acquittals on other counts. Greg Kelly, a lawyer and former executive vice president at Nissan Motor Corp, was convicted in 2022 of charges related to only one of eight years during which prosecutors said he under-reported Ghosn's income. Kelly, who received a 6-month sentence suspended for three years and was allowed to return to Tennessee, did not attend the hearing.	https://www.naharnet.com/stories/en/310813-japanese-court-upholds-conviction-of-american-who-allegedly-helped-ghosn-hide-pay	2025-02-04T01:40:32-08:00	
Syria leader heads to Turkey to discuss rebuilding, Kurds	Syria's interim president Ahmed al-Sharaa visits Ankara on Tuesday for talks with Turkey's leaders on rebuilding his land and the volatile issue of Kurdish fighters near the countries' border.	https://naharnet.com/stories/en/310812-syria-leader-heads-to-turkey-to-discuss-rebuilding-kurds	2025-02-04T01:25:06-08:00	
Syria leader heads to Turkey to discuss rebuilding, Kurds	Syria's interim president Ahmed al-Sharaa visits Ankara on Tuesday for talks with Turkey's leaders on rebuilding his land and the volatile issue of Kurdish fighters near the countries' border.	https://www.naharnet.com/stories/en/310812-syria-leader-heads-to-turkey-to-discuss-rebuilding-kurds	2025-02-04T01:25:06-08:00	
