Title	Description	Link	pubDate	Image
З початку війни 46 українських військових не повернулися з відпоч...	За інформацією, отриманою від Головного управління Військової служби та заступника Генштабу, від початку повномасштабної агресії Росії 46 українських військовослужбовців виїхали за кордон для відпочинку і не повернулися в Україну.	https://nv.ua/ukr/ukraine/events/ukrajinski-viyskovi-ne-povertayutsya-z-za-kordonu-novini-ukrajini-50458474.html	2024-10-14T15:42:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/966/original/11b0acd00b65598cf591fc0af92c3614.jpg?q=85&stamp=20241015014043&w=900
Поглиблення відносин з США. Ісландія 'полює' на російські підводн...	Офіційні особи США та Ісландії обговорили нещодавню активність підводних човнів Росії. Готовність Росії кинути виклик нормам ведення війни зросла.	https://nv.ua/ukr/world/geopolitics/posilennya-spivpraci-ssha-ta-islandiji-na-tli-zrostannya-aktivnosti-rosiyskih-pidvodnih-chovniv-50458471.html	2024-10-14T15:00:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/959/original/ac87a72df1c7ab9ab7e1afa3ef348095.jpg?q=85&stamp=20241015005923&w=900
Масштабна атака. Інтернет-архів відновив роботу, але з нюансами	Сервіс Wayback Machine частково запрацював через кілька днів після витоку даних і DDoS-атаки, що вивела сайт з ладу.	https://techno.nv.ua/ukr/it-industry/wayback-machine-50458379.html	2024-10-14T14:52:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/766/original/e4067d61571811d67a228cc01492fbad.jpg?q=85&stamp=20241014165924&w=900
Традиції та забобони в спорті. За дотриманням яких дивних ритуалі...	Безліч спортсменів вірять у забобони й у те, що якщо не виконати певні ритуали перед змаганнями, на виграш можна навіть не сподіватися.	https://life.nv.ua/ukr/lifehacks/prikmeti-u-sporti-chomu-vinikayut-ta-yaki-zaboboni-buvayut-u-vidomih-sportsmeniv-50458288.html	2024-10-14T14:43:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/575/original/a7d96b81f674b6f26163a18b6768ff52.jpg?q=85&stamp=20241014131021&w=900
Не завжди кров і смерть'. У 3 ОШБр пояснили ідею реклами з модел...	Креативна група 3 окремої штурмової бригади пояснила мету нової рекламної кампанії з моделями, яка викликала обурення у деяких користувачів соцмереж, в інтерв'ю The Washington Post.	https://nv.ua/ukr/ukraine/events/3-oshbr-poyasnila-reklamu-ya-lyublyu-tretyu-shturmovu-v-interv-yu-wp-50458472.html	2024-10-14T14:41:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/961/original/6c970a1d7e73c484a5b62c5ecbe81a53.jpg?q=85&stamp=20241015010929&w=900
У Китаю є мережа шпигунів, яка складається з 600 тисяч осіб — WSJ	Китай сформував армію шпигунів, яка складається з 600 тисяч осіб, повідомляє The Wall Street Journal.	https://nv.ua/ukr/world/countries/kitayska-merezha-shpiguniv-nalichuye-blizko-600-tisyach-osib-50458469.html	2024-10-14T14:10:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/954/original/ed0b4f1e11bfe913768e1cf6aa536b55.jpg?q=85&stamp=20241015000338&w=900
Рятівний пенальті від Довбика. Україна уникла поразки від Чехії у...	Збірна України зіграла внічию 1:1 з Чехією у четвертому турі Ліги націй.	https://sport.nv.ua/ukr/football/zbirna-ukrajini-zigrala-vnichiyu-z-chehiyeyu-v-lizi-naciy-14-zhovtnya-2024-50458463.html	2024-10-14T13:39:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/941/original/8cd643ed001b7aad5d62a21ebf22f9ca.jpg?q=85&stamp=20241014232950&w=900
Хулігани з битами напали на футбольну команду після матчу — ворот...	Футболісти Авеню Хотспур стали жертвами нападу з боку фанатів після футбольного матчу.	https://sport.nv.ua/ukr/football/na-futbolnu-komandu-uelsu-napali-nevidomi-z-bitami-foto-travmi-50458464.html	2024-10-14T13:21:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/943/original/b411e92ab3851e069e81e10a63fe0641.jpg?q=85&stamp=20241014225231&w=900
Що таке амарето? Все, що ви хотіли знати про класичний італійськи...	З рівними частинами фруктового, горіхового та солодкого, амарето є фірмовим італійським лікером, про який ви повинні знати.	https://nv.ua/ukr/food/drink/amareto-shcho-ce-take-i-yak-yogo-vikoristovuvati-50458295.html	2024-10-14T13:07:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/590/original/9a8bea4af8781f7344bfcdab3017eb6e.jpg?q=85&stamp=20241014133528&w=900
Німеччина заблокувала експорт зброї до Ізраїлю — ЗМІ	Керівництво Німеччини заблокувало продаж зброї Ізраїлю, побоюючись того, що країна буде використовувати її проти цивільного населення. Про це повідомляє Politico в понеділок, 14 жовтня, посилаючись на джерело, знайоме з питанням.	https://nv.ua/ukr/world/geopolitics/zbroya-dlya-izrajilyu-nimechchina-zablokuvala-eksport-povidomlyayut-zmi-50458466.html	2024-10-14T13:05:00-07:00	https://static.nv.ua/shared/system/Article/posters/002/969/947/original/c3a4491f4044cce6f4ea2394261ecb45.jpg?q=85&stamp=20241014230021&w=900
