Title	Description	Link	pubDate
🎬🖼 #Belgorod Incursion: Alongside the offensive in the #Kursk r...	#Belgorod Incursion: Alongside the offensive in the #Kursk region, #Ukrainian forces are attempting to open a new front in Belgorod Oblast. Russian Telegram channels have reported attacks on border checkpoints, with #Russian troops reportedly repelling assaults in Kolotilovka (videos above, Russian footage) and Bezymeno. Via theatlasnews.co @ourwarstoday In response, Russian authorities in Belgorod Oblast announced via Telegram the closure of the Krasnoyaruzhsky district, where Kolotilovka is located, effectively forbidding entry due to safety concerns amid escalating tensions.Additionally, Belgorod Oblast Governor Vyacheslav Gladkov confirmed the evacuation of approximately 11,000 residents from the Krasnoyaruzhsky district, noting that around 1,000 evacuees are currently housed in temporary centers.Read more on theatlasnews.co Video is too big	https://t.me/ourwarstoday/37842	2024-08-13T07:55:22-07:00
↩️🎬🖼 A new method of drone attacks was showcased in these above...	Our Wars, Today: Video A new method of drone attacks was showcased in these above drone strikes in Kursk, according to Russian milbloggers, also demonstrated in this video allegedly. @ourwarstoday Named -Vandal- under the name of the Russian princeship of Novogrod, this new FPV drone is reportedly tethered to its operator by a very long fiber optic cable that is unspooled as the drone flies. According to the channels, the length of the cable is up to 10km some Russian milblogger channels claim. It is unclear how thin/fragile or light the cable is or if it can be wound back up once dispensed.This control method reportedly circumvents electronic warfare defenses and allows for higher quality video for the pilot.The second video and photo show an example test of such an FPV drone in Russia. These types of drones seemingly have been around for at least several months.	https://t.me/ourwarstoday/37839	2024-08-13T07:47:36-07:00
🎬 A Ukrainian convoy of BTR-4s and other armored vehicles apart ...	A Ukrainian convoy of BTR-4s and other armored vehicles apart of an assault on the village of Giri, Kursk region, Russia, are shown taking heavy losses as Russian FPV and dropper drones take out one vehicle after another. @ourwarstoday A number of Ukrainian IFVs, APCs, Humvees, and MRAPs have been shown destroyed, abandoned, or captured by Russian forces in the Kursk region during Ukraine’s incursions. Often these vehicles are taken out in groupings of columns that are targeted. Unclear how comparable, but a few reactionary Russian columns sent to reinforce or retake Kursk settlements have suffered the same fate. Vehicles are often bombarded by drones similarly and then overrun by infantry, which has also been shown for cases of Ukrainian vehicles lost. Artillery of shells, rockets, and missile fire is also frequently reportedly still throughout the incursion lines. Video is too big	https://t.me/ourwarstoday/37836	2024-08-12T20:58:39-07:00
🖼 🇺🇦 🇷🇺 Ukrainian Troops Face Encirclement in Niu York as Ku...	🇺🇦 🇷🇺 Ukrainian Troops Face Encirclement in Niu York as Kursk Offensive Advances – via theatlasnews.co As Atlas News covered on August 7th, 2024, a large #Ukrainian force of now up to two motorized rifle brigades has entered #Kursk Oblast and seized at least 23 settlements and penetrated up to 17km into the #Russian Federation. @ourwarstoday President #Putin made his second public address on the situation today, claiming that Russian advances in #Donetsk Oblast have accelerated in the last twenty four hours despite the Ukrainian troops not being dislodged inside #Russia. The Russian Defense Ministry claimed that the Ukrainian 22nd Motorized Rifle Brigade and elements of the 80th and 82nd Airborne Assault Brigades sustained more than 260 casualties near Martynovka, Borki, and Korenevo in Kursk Oblast today alone.However, Ukrainian and Russian military bloggers have also recognized the success of Russian shock troops in the vicinity of Niu York, Donetsk Oblast, Ukraine, with the Russians claiming that Ukrainian troops are encircled. Ukrainian bloggers confirmed Russian infantry entered #Toretsk at approximately 0220 EST this morning. Read more on Theatlasnews.co Map showing progress of the Ukrainian offensive into Kursk Oblast, Russian Federation – Map showing the forward line of troops (FLOT) near Toretsk and Niu York, Donetsk Oblast. Credit: LiveMap Ukraine	https://t.me/ourwarstoday/37834	2024-08-12T12:35:18-07:00
🖼 #Kursk Incursions Update and Map: Russian miblogger/mapper Ryb...	#Kursk Incursions Update and Map:Russian miblogger/mapper Rybar: -❗️🇷🇺🇺🇦 Kursk direction: the battles at Belitsa and the situation on the outskirts of Korenevowhat is known at 13:00 (Moscow Time) on August 12, 2024 @ourwarstoday In the Kursk direction, the enemy continues to make attempts to build on the successes of the previous days. Despite the transfer of additional formations of the Armed Forces of the Russian Federation, it has not yet been possible to finally stabilize the front line. The enemy is saturating the area with sabotage groups in armored vehicles, which are seeping into frontline villages along the entire line of contact.The situation in Sudzha has become more complicated in the Sudzha district. Footage has appeared indicating the presence of the enemy on the ring road already in the city center. Despite the statements that the video was allegedly shot on the first day of the Ukrainian offensive, given the incoming reports of the battles for Martynovka, where the enemy's attack was repelled, it would not have been possible for the AFU to advance there without control over most of the Sudzha.Apparently, there remains at least a focal presence of Russian troops and volunteers in the city. The situation in the area of Mirny, which is a suburb of Sudzha, as well as at Mikhaylovka remains to be clarified. There is currently no information about the enemy's control over these settlements.There are battles on the outskirts of Korenevo in the Korenevsky district, the enemy does not stop trying to gain a foothold on its outskirts. At the same time, there is no information about the entry of the APU into the settlement itself.In Kremyanoye, the soldiers of the Akhmat Joint Venture, together with the 810th Marine brigade, conducted a sweep of the surrounding area. The footage published online captures the moment of the search of an armored vehicle next to the liquidated members of the Armed Forces of Ukraine. The enemy lost several more BBMs on the approaches.At the turn of the Cranes — Sheptukhovka — Semenovka, the gradual insertion of maneuverable groups of the Armed Forces of Ukraine continues further north in the direction of the route to Kromsky Bulls. An AFU tank was destroyed in the Otradnoye area, an enemy armored vehicle position was covered in the forest belt near Semenovka, and a column of armored personnel carriers was hit by drones near Cranes.As for the Belovsky district, judging by objective evidence, the Ukrainian Armed Forces penetrated beyond the state border, although not on the same scale as described earlier. The enemy has pinned down Russian units at the Borka — Sleeping — Kamyshnoye line with battles. At the same time, according to some reports, the Armed Forces of the Russian Federation had to retreat from these villages. In the Village of Giryi, a single BTR-4E of the Armed Forces of Ukraine was noted moving in the direction of the settlement of Belitsa. It is not yet known how many pieces of equipment the enemy used in the area. Later, reports began to arrive that allegedly the same armored personnel carrier was taken as a trophy in one of the settlements. It is impossible to reliably confirm this, it is likely that there were several cars. Meanwhile, local authorities announced the evacuation of the population from the area, but such a decision is hardly dictated by the presence of a single enemy armored vehicle.-	https://t.me/ourwarstoday/37833	2024-08-12T05:01:35-07:00
🔁🎬 #Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) ambus...	Forwarded From War Noir#Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) ambushed Military convoy with landmine and weapons in #Pakokku.Group used Landmine (IED), MA-1 MK 2 rifle, W85 heavy machine gun, MA-3 rifles, BA-63 rifle, -779/PADING- grenade launcher, Wa-81 rifle.https://x.com/war_noir/status/1822829351362011369 Video is too big	https://t.me/ourwarstoday/37832	2024-08-12T01:29:52-07:00
🔁🎬 #Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) attac...	Forwarded From War Noir#Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) attacked a Military Council Position in the city of #Shwebo, #Sagaing Region. Fighters hiding in a truck bed, used MA-1 MK 2 assault rifle, M16A1 rifle, -Kachin K-09- (M23) rifle, and an AR-15 rifle.https://x.com/war_noir/status/1822479071097287011	https://t.me/ourwarstoday/37831	2024-08-12T01:29:51-07:00
🔁🎬 #Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) carri...	Forwarded From War Noir#Myanmar (#Burma) 🇲🇲: People's Defense Forces (#PDF) carried out an attack on Military Council checkpoint in #Myingyan, #Mandalay.Fighters were armed with 3D-printed FGC-9 MK 2, MA-1 MK 2 rifles, Wa-81 rifles, MA-3 MK 2 carbines and BA-63 rifles.https://x.com/war_noir/status/1822114246441783508 Video is too big	https://t.me/ourwarstoday/37830	2024-08-12T01:29:51-07:00
🎬 A Ukrainian soldier drives through a part of Sudzha, Kursk reg...	A Ukrainian soldier drives through a part of Sudzha, Kursk region, Russia, posted 12 hours ago. @ourwarstoday Via: https://www.tiktok.com/t/ZTNGj6D7n/	https://t.me/ourwarstoday/37829	2024-08-12T00:50:14-07:00
🖼 The juxtapositional current state of Russia's M4 highway, comm...	The juxtapositional current state of Russia's M4 highway, commentary from a Russian milblogger. The -Don- road stretches 1500 kilometers from Moscow to the port city of Novorossiysk which sets on the Black Sea, a popular tourism destination. @ourwarstoday	https://t.me/ourwarstoday/37828	2024-08-11T12:34:59-07:00
