Title	Description	Link	pubDate	Image
How Trump is hammering Congress ‘on every issue’ — with a clear focus	President-elect Donald Trump is beginning to lean on Congress in a big way, but it's all about next year. Trump is focusing his efforts and expending political capital to ensure that Republican lawmakers go along with confirming his Cabinet picks and can ramp up right away on delivering on his campaign pledges in 2025. He regularly talks to senators about his nominees, ensuring they’re on a path to confirmation next year, according to a Trump adviser granted anonymity to discuss the conversations. He’s speaking with incoming Senate Majority Leader John Thune and Speaker Mike Johnson about his legislative priorities, namely how to quickly pass immigration, energy and tax policies in major party-line bills. 'Did you hear we have another member? We have 221 members,' joked Rep. Ryan Zinke (R-...	https://www.politico.com/news/2024/12/12/how-trump-hammering-congress-every-issue-00193871	2024-12-12T07:00:00-08:00	https://static.politico.com/dc/40/b18bbc7b4881a96d44da1c15dc69/trump-47824.jpg
Biden judicial nominations endgame comes into focus	The judicial branch will be top of mind in the legislative branch on Thursday. Senate Democrats are nearing the judicial confirmations total that President-elect Donald Trump achieved in his first term. Meanwhile, the Biden White House is poised to block an expansion of the federal judiciary once it passes the House. First up: The House will consider the Judicial Understaffing Delays Getting Emergencies Solved Act — or JUDGES Act — on Thursday morning. The measure would incrementally create 66 new federal judicial positions over the next decade. But the White House has vowed to veto the measure, accusing the House of waiting until the results of the November election to take it up. House ...	https://www.politico.com/live-updates/2024/12/12/congress/judges-in-focus-on-hill-00193961	2024-12-12T06:02:42-08:00	
What we’re watching: Dems get closer to Musk	Here’s what we’re watching in transition world today: 🗓️ What we're watching 👀 What’s Trump up to? 🚨What’s up with the nominees? 📝ICYMI: Here are the latest Cabinet picks	https://www.politico.com/live-updates/2024/12/12/congress/what-were-watching-00193960	2024-12-12T05:53:03-08:00	
SBA staff at Washington headquarters would shrink under Ernst bill	Sen. Joni Ernst wants to make restructuring the Small Business Administration one of her first legislative acts as chair of the Senate caucus carrying out Donald Trump’s 'Department of Government Efficiency' agenda. The Iowa Republican‘s bill that she will announce Thursday would require the SBA administrator to relocate at least 30 percent of workers at its headquarters outside the Washington metro area, according to a copy of legislation obtained by POLITICO. SBA would then reduce the office space at its headquarters by at least 30 percent, under her legislation. 'The empty SBA headquarters shows its employees clearly don’t want to work in Washington, so we are going to make their wish come true,' Ernst said in a statement. 'Not only will they be closer to the folks they serve but it wil...	https://www.politico.com/live-updates/2024/12/12/congress/senate-doge-plans-00193909	2024-12-12T05:00:00-08:00	
SBA staff at Washington headquarters would shrink under Ernst bill	Sen. Joni Ernst wants to make restructuring the Small Business Administration one of her first legislative acts as chair of the Senate caucus carrying out Donald Trump’s 'Department of Government Efficiency' agenda. The Iowa Republican‘s bill that she will announce Thursday would require the SBA administrator to relocate at least 30 percent of workers at its headquarters outside the Washington metro area, according to a copy of legislation obtained by POLITICO. SBA would then reduce the office space at its headquarters by at least 30 percent, under her legislation. 'The empty SBA headquarters shows its employees clearly don’t want to work in Washington, so we are going to make their wish come true,' Ernst said in a statement. 'Not only will they be closer to the folks they serve but it wil...	https://www.politico.com/live-updates/2024/12/11/congress/senate-doge-plans-00193909	2024-12-12T05:00:00-08:00	
Some Democrats want to thaw their frosty relationship with Elon Musk	Ro Khanna is trading texts with Elon Musk. Josh Shapiro took a call from him. And John Fetterman has compared him to the superhero Tony Stark. As President-elect Donald Trump prepares to install Musk as the federal government’s cutter-in-chief, some ambitious Democrats are taking a warmer approach to the billionaire businessman than their party leaders have in the past as he has become one the most influential people on the planet. 'He’s had an undeniable impact on the Pennsylvania election, and I think the election overall,' Fetterman, the Democratic Pennsylvania senator, told POLITICO. 'I’ve warned Democrats, if you’re just going to make fun of it or to dismiss it, you do it at our peril...	https://www.politico.com/news/2024/12/12/democrats-elon-musk-relationship-000579	2024-12-12T02:00:00-08:00	https://static.politico.com/c8/86/6c2034c74980b0a345c3578115a6/https-delivery-gettyimages.com/downloads/2188387813
Trump picks Kari Lake to lead Voice of America	President-elect Donald Trump has selected Kari Lake to serve as the next director of Voice of America — the publicly funded broadcast network that drew his ire in his first term. Lake, a former local news anchor and staunch Trump ally, will be appointed by the next head of the U.S. Agency for Global Media, which Trump plans to announce soon, the president-elect said in a Truth Social post Wednesday. The U.S. Agency for Global Media oversees Voice of America. Trump said in the post that Lake and the head of the U.S. Agency for Global Media will work 'to ensure that the American values of Freedom and Liberty are broadcast around the World FAIRLY and ACCURATELY, unlike the lies spread by the Fake News Media.' Lake has mimicked Trump’s disdain for the media since she has become a MAGA lightnin...	https://www.politico.com/live-updates/2024/12/11/congress/kari-lake-to-voa-00193921	2024-12-11T19:27:20-08:00	
Trump fills out more of his Latin American diplomatic team	President-elect Donald Trump announced a trio of picks Wednesday for Latin America ambassadorships, elevating major donors to critical diplomatic postings in the Western Hemisphere. In a series of late-night Truth Social posts, Trump said he would tap former Conair executive Leandro Rizzuto Jr. as ambassador to the Organization of American States. He also said he would appoint philanthropist and urgent care network executive Peter Lamelas as ambassador to Argentina and personal injury lawyer and former law enforcement officer Dan Newlin to the role of ambassador to Colombia. Only Rizzuto has diplomatic experience — he served as consul to Bermuda. Lamelas and Newlin will be thrust immediately into complicated diplomatic discussions without that kind of background. Colombia’s leftist preside...	https://www.politico.com/live-updates/2024/12/11/congress/trump-lat-am-picks-00193918	2024-12-11T19:12:14-08:00	
Black Caucus faces internal pressure to stay out of races for panel leaders — a bad signal for one of their own	The powerful Congressional Black Caucus is under intense pressure from within to refrain from endorsing any candidates in contested committee leader races — including one of their own. Several members stood up during the Black Caucus meeting Wednesday afternoon to argue against the group formally endorsing any Democrats in the contested races and instead allow Democratic caucus members to make their own choices, according to two people familiar with the meeting who were granted anonymity to discuss a closed-door event. Such a move would signal a stunning shift for the group, especially if it refrains from backing ailing House Agriculture ranking member Rep. David Scott (D-Ga.). Black Caucus members left the Wednes...	https://www.politico.com/live-updates/2024/12/11/congress/black-caucus-pressured-to-not-endorse-00193887	2024-12-11T15:37:55-08:00	
Trump's bringing several billionaires — and their conflicts — to Washington	Donald Trump has reshaped the Republican Party to embrace a brand of populism that prioritizes its working-class base and is at least outwardly skeptical of corporate power. But since his second election last month, Trump has leaned heavily on aides and Cabinet picks who share a distinctive characteristic with him: wealth from complex business entanglements. Trump has appointed a raft of rich business people and investors — including several billionaires and multiple Wall Street executives with complex financial interests — to fill out top roles in his administration, raising a vast array of potential conflicts of interest that could span the federal government and complicate Senate confirmations. The billionaires set to join the second Trump administration include Howard Lutnick, a Wall S...	https://www.politico.com/news/2024/12/11/trumps-bringing-several-billionaires-and-their-conflicts-to-washington-00193844	2024-12-11T15:22:44-08:00	https://static.politico.com/87/72/c0e2ae8447a3b098a0ce170837c0/https-delivery-gettyimages.com/downloads/2170630919
