Title	Description	Link	pubDate
↩️🖼 🇺🇳🇮🇱🇵🇸 Don’t know if there is any correlation, but the...	PoliticsGR - Geopolitics, Intel, News, Statistics: 🇺🇳🇮🇱🇵🇸 The ICC has issued arrest warrants for Israeli PM Benjamin Netanyahu, ex-defense minister Yoav Gallant, and Hamas leader Mohammed Deif on charges of war crimes and crimes against humanity. 📝 The Guardian 🗺 @PoliticsGR 🇺🇳🇮🇱🇵🇸 Don’t know if there is any correlation, but the ICC arrest warrant was issued a day after Israel paid its share to the United Nations regular budget.Here is the full list of contributions.📝 United Nations🗺 @PoliticsGR	https://t.me/PoliticsGR/3425	2024-11-21T06:20:05-08:00
🖼 🇺🇸 Bitcoin marches towards $100,000. 🗺 @PoliticsGR	🇺🇸 Bitcoin marches towards $100,000.🗺 @PoliticsGR	https://t.me/PoliticsGR/3424	2024-11-21T06:10:19-08:00
🖼 🇮🇱🇱🇧 Israeli strikes in Khiam and near Baalbek. 📝 Bint Jb...	🇮🇱🇱🇧 Israeli strikes in Khiam and near Baalbek.📝 Bint Jbeil🗺️ @PoliticsGR	https://t.me/PoliticsGR/3423	2024-11-21T06:07:05-08:00
🔁 🇫🇷🇮🇱⚠️ The French Foreign Ministry said Paris will follow ...	Forwarded From TabZ - Alternative Media🇫🇷🇮🇱⚠️ The French Foreign Ministry said Paris will follow the ICC's guidelines in responding to the court's request to arrest Netanyahu if he enters France.Follow me on X | Subscribe to this channel @tabzlive ☑️	https://t.me/PoliticsGR/3421	2024-11-21T06:05:43-08:00
↩️ 🇷🇺🇺🇦 Once again, no explosions. 🗺 @PoliticsGR	PoliticsGR - Geopolitics, Intel, News, Statistics: 🇷🇺🇺🇦 If this isn’t again a false alarm, this means the missiles should have arrived in 5 minutes. Otherwise, there is a state of upset. 🗺 @PoliticsGR 🇷🇺🇺🇦 Once again, no explosions.🗺 @PoliticsGR	https://t.me/PoliticsGR/3420	2024-11-21T06:00:34-08:00
📊 🇷🇺🇺🇦 Do you believe Russia will eventually use nuclear wea...	🇷🇺🇺🇦 Do you believe Russia will eventually use nuclear weapons in the war against Ukraine?These ICBMs are non-nuclear so far.Anonymous Poll0% - Yes.0% - No.	https://t.me/PoliticsGR/3419	2024-11-21T05:20:26-08:00
↩️ 🇷🇺🇺🇦 If this isn’t again a false alarm, this means the mis...	PoliticsGR - Geopolitics, Intel, News, Statistics: 🇷🇺🇺🇦 New alerts reported. 🗺 @PoliticsGR 🇷🇺🇺🇦 If this isn’t again a false alarm, this means the missiles should have arrived in 5 minutes.Otherwise, there is a state of upset.🗺 @PoliticsGR	https://t.me/PoliticsGR/3418	2024-11-21T05:18:52-08:00
🔁 ✍️It can be noticed that Israeli parties (left and right) only...	Forwarded From Geopolitics Watch (XLevant)✍️It can be noticed that Israeli parties (left and right) only differ at the methods and the scale of slaughtering Palestinians.Opposition leaders are currently losing their shit over the warrent as much as the coalition itself.	https://t.me/PoliticsGR/3417	2024-11-21T05:17:06-08:00
🖼 🇷🇺🇺🇦 New alerts reported. 🗺 @PoliticsGR	🇷🇺🇺🇦 New alerts reported.🗺 @PoliticsGR	https://t.me/PoliticsGR/3416	2024-11-21T05:10:43-08:00
🔁🖼 🇮🇱🇵🇸 The International Criminal Court’s issuance of arre...	Forwarded From TabZ - Alternative Media🇮🇱🇵🇸 The International Criminal Court’s issuance of arrest warrants for Israeli Prime Minister Benjamin Netanyahu and former Defense Minister Yoav Gallant means that any travel through or emergency landing in one of the 125 ICC member states would lead to their immediate arrest. Follow me on X | Subscribe to this channel @tabzlive ☑️	https://t.me/PoliticsGR/3415	2024-11-21T05:08:55-08:00
