Title	Description	Link	pubDate	Image
MOFA again strongly condemns China for ramming of Philippine offi...	September 1, 2024No. 287As the Philippine Coast Guard patrol vessel BRP Teresa Magbanua (MRRV-9701) was preparing to raise anchor at Sabina Shoal on August 31, it was deliberately rammed multiple times in intimidating and dangerous maneuvers by a China Coast Guard vessel. This marked the third confrontation between the two sides in the same maritime area in recent days.China has recently cited &ldquo;rights protection&rdquo; as a pretext for using illegal, threatening, coercive, and dangerous maneuvers and other nonpeaceful means to obstruct and interfere with the legal navigation of Philippine vessels, leading to several collisions at sea. The Ministry of Foreign Affairs (MOFA) again strongly condemns China's bullying tactics in repeatedly and intentionally causing confrontations in the same maritime area and escalating tensions in the South China Sea.MOFA reiterates that Taiwan opposes any threat to security in the South China Sea or actions that harm regional peace and stability. It urges all sides to exercise restraint, abide by international law and the UN Convention on the Law of the Sea, and resolve differences via peaceful means. Taiwan will continue to work closely with like-minded countries to monitor developments in the South China Sea and jointly maintain regional peace and stability. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117974	2024-09-01T00:25:00-07:00	
MOFA response to New Zealand-US Strategic Dialogue reaffirming su...	August 31, 2024 US Deputy Secretary of State Kurt Campbell and New Zealand Secretary of Foreign Affairs and Trade Bede Corry met for the New Zealand-United States Strategic Dialogue in Auckland on August 30. They reaffirmed the importance of maintaining peace and stability across the Taiwan Strait, encouraged the peaceful resolution of cross-strait issues, and expressed grave concern over China's provocative actions toward Philippine vessels in the South China Sea. The Ministry of Foreign Affairs (MOFA) expresses strong affirmation of and sincere appreciation for their support. Maintaining peace and stability across the Taiwan Strait and the South China Sea has become a matter of global consensus. MOFA welcomes like-minded countries' continued attention on this issue at international events and appreciates their concrete actions to uphold the rules-based international order. The Taiwan government remains committed to promoting values-based diplomacy and jointly safeguarding democracy, peace, and prosperity in the Indo-Pacific.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117975	2024-08-31T00:25:00-07:00	
MOFA expresses sincere condolences over passing of Maori King Tuh...	August 30, 2024 No. 283 Maori King Kiingi Tuheitia Pootatau Te Wherowhero VII passed away in the early morning of August 30 at the age of 69, according to statements released by the New Zealand government and the king's office. The Ministry of Foreign Affairs (MOFA) extends sincere condolences over his passing on behalf of the people and government of the Republic of China (Taiwan). Ambassador Joanne Ou, Taiwan Representative to New Zealand, has expressed sympathies to the queen and other family members of King Tuheitia through the king's office on behalf of Taiwan's people and government. King Tuheitia was friendly toward Taiwan. He made multiple visits to Taiwan and maintained cordial relations with the Taipei Economic and Cultural Office (TECO), New Zealand and TECO in Auckland over the years. During his 18-year reign, King Tuheitia spared no effort in advancing the welfare of the Maori community, earning the love of his people as well as international recognition. Taiwan and New Zealand place great importance on the rights and interests of indigenous peoples, share the core values of freedom and democracy, and maintain close people-to-people exchanges and robust economic and trade cooperation. Taiwan is willing to uphold the spirit of compassion shown by King Tuheitia in working steadily and jointly with New Zealand to deepen friendly bilateral collaboration and enhance the well-being of both peoples. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117976	2024-08-30T00:26:00-07:00	
MOFA response to US National Security Advisor Sullivan stressing ...	August 29, 2024 US National Security Advisor Jake Sullivan met with Wang Yi, Director of the Office of the Chinese Communist Party Central Foreign Affairs Commission and Foreign Minister of China, in Beijing on August 27 and 28. A press release issued afterwards by the White House pointed out that National Security Advisor Sullivan had underscored the importance of maintaining peace and stability across the Taiwan Strait during the meeting. He emphasized concerns about China's support for Russia's defense industrial base and the effect this was having on European and transatlantic security, as well as about China's destabilizing actions in the South China Sea. He also reaffirmed the US commitment to defending its Indo-Pacific allies. The Ministry of Foreign Affairs (MOFA) welcomes staunch US support for maintaining peace and stability across the Taiwan Strait and appreciates high-level US officials' again expressing this position during interactions with their Chinese counterparts. In addition, MOFA notes that China again made spurious claims about Taiwan that do not accord with reality in the press release issued following the meeting. MOFA strongly condemns these false narratives and reiterates that neither the Republic of China (Taiwan) nor the People's Republic of China is subordinate to the other. In fact, China's relentless intimidation and suppression of Taiwan and its naked ambition for military expansion pose the greatest risk to regional peace and stability. By accommodating Russia, China has become a key supporter of Russia's invasion of Ukraine, jeopardizing transatlantic security. This also shows that China's ambitions extend beyond Taiwan to other regions, making it a major global threat. China's malicious actions have elicited a high level of concern among the global democratic community. As a responsible member of the international community, Taiwan will continue to enhance its self-defense capabilities and work with the United States and other like-minded partners to jointly safeguard the rules-based international order and preserve peace, stability, and prosperity across the Taiwan Strait and the Indo-Pacific.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117959	2024-08-29T01:18:00-07:00	
MOFA strongly condemns China’s dangerous maneuvers against Philip...	August 27, 2024No. 278On August 25, official vessel no. 3002 of the Philippine Bureau of Fisheries and Aquatic Resources, heading from Hasa Hasa Shoal toward Sabina Shoal in the South China Sea to carry out a humanitarian supply replenishment, was surrounded by eight Chinese military and coast guard vessels. The Chinese vessels proceeded to engage in dangerous maneuvers, including approaching at close range, spraying water cannons, and even ramming the Philippine vessel. This was the second confrontation between the two sides in the same maritime area this week.The Ministry of Foreign Affairs (MOFA) notes that China has recently taken deliberate action to expand the area of confrontation with the Philippines from Second Thomas Shoal to other locations such as Scarborough Shoal, Sabina Shoal, Sandy Cay, and Subi Reef. Furthermore, China has deployed nearly 100 ships in the South China Sea, including navy, coast guard, maritime militia, and scientific research vessels, and continues to frequently interfere with Philippine humanitarian replenishment missions. At the same time, it is using &ldquo;rights protection&rdquo; as a pretext for using illegal, threatening, coercive, and other nonpeaceful means to interfere with the navigation of other countries' vessels. This is raising regional tensions. MOFA strongly condemns China's hegemonic actions, which are clearly being taken with expansionist objectives in mind.MOFA emphasizes that maintaining freedom of navigation and overflight remains the consensus of the international community. Taiwan opposes any threat to security in the South China Sea or actions that harm the regional status quo of peace and stability. Moreover, it gravely condemns any use of military force or coercion to interfere with other countries' freedom of navigation. Taiwan solemnly urges all sides to exercise restraint, abide by international law and the UN Convention on the Law of the Sea (UNCLOS), and resolve differences via peaceful means.MOFA reiterates that the South China Sea Islands are part of the territory of the Republic of China (Taiwan) and that Taiwan enjoys rights over the South China Seas Islands and associated waters in accordance with international law and the law of the sea. Taiwan will continue to work closely with like-minded countries to monitor developments in the South China Sea and jointly maintain regional peace and stability. The government of Taiwan will continue to handle South China Sea affairs prudently in accordance with the four principles and five actions. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117940	2024-08-27T00:22:00-07:00	
MOFA strongly condemns China for reckless incursion into Japanese...	August 27, 2024No. 277A Chinese Y-9 reconnaissance aircraft intruded into Japanese airspace near the Danjo Islands, Nagasaki Prefecture, on the morning of August 26, seriously violating Japan's sovereignty and raising regional tensions. The Ministry of Foreign Affairs (MOFA) strongly condemns China's reckless infringement on the sovereignty of another country, which has undermined regional peace and stability.Recently, China has been ramping up incursions of military aircraft and vessels into the air defense identification zones and exclusive economic zones of Taiwan and Japan, escalating regional tensions. Moreover, China has been conducting frequent joint military exercises with Russia in the East and South China Seas in an attempt to change the status quo through force. China's military expansionism poses a major threat to the security of countries in the Indo-Pacific region, including Taiwan and Japan.MOFA solemnly denounces China's behavior and once again calls on China to be rational, show restraint, and immediately stop all actions that undermine peace across the Taiwan Strait and increase regional tensions. As a responsible member of the Indo-Pacific, Taiwan will continue to actively strengthen its self-defense capabilities and cooperate with Japan and other like-minded countries to jointly curb authoritarian expansionism and aggression. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117939	2024-08-26T21:03:00-07:00	
MOFA response to Chinese government’s continued attempts to use e...	August 24, 2024The Chinese government has for many years pressured enterprises to comply with its political objectives through such coercive tactics as boycotts, sanctions, tax investigations, and allegations of illegal activities. Moreover, in recent years, it has used the so-called &ldquo;little pinks&rdquo; and other jingoist Chinese nationalists to stir up online abuse against selected targets. Through this disruptive behavior, as well as associated denunciations by local collaborators in related countries, China has attempted to impose pressure or incite fear, and force compromises and concessions upon companies worldwide.In July 2023, an internationally renowned jewelry brand was subjected to criticism by Chinese state media, and insults and intimidation by hordes of Chinese netizens, after it was alleged that the company had listed Taiwan as a country on its official websites outside of China. Elsewhere, when the Canadian government expelled a Chinese diplomat based in Toronto in May 2023, the &ldquo;little pink&rdquo; movement promptly instigated a boycott against Canadian products. These are but two of a long list of examples. In addition to international enterprises, individuals from any sector in any country may also become targets of economic coercion by the Chinese government. Last month, Chinese netizens compiled a list of 94 Taiwanese entertainers who had not stated that Taiwan belonged to China at the time President Lai Ching-te assumed office, pressuring them to take a stand. This is one of many blatant examples of coercion.The Beijing authorities' use of &ldquo;little pink&rdquo; campaigns is a very clear element in China's cognitive warfare against Taiwan and the international community. However, just like its wolf-warrior diplomacy, this will only arouse aversion among the global community and further tarnish its international image.The Ministry of Foreign Affairs (MOFA) of the Republic of China (Taiwan) strongly condemns authoritarian China for using such tactics as economic coercion to engage in political manipulation and thereby influence businesses' international commercial activities. In addition, MOFA urges the international community to recognize China's ubiquitous application of cognitive warfare tactics. It encourages the international community to work together to counter coercive actions by China's authoritarian government and curb the CCP regime's insatiable aspiration for advancement, as well as its continuous undermining of the rules-based international order and routine commercial activities.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117928	2024-08-24T01:53:00-07:00	
MOFA thanks Australian Senate for passing unanimous motion suppor...	August 22, 2024 No. 270 The Australian Senate on August 21 passed an urgency motion stating that United Nations General Assembly (UNGA) Resolution 2758 does not establish the People's Republic of China's sovereignty over Taiwan. The motion added that the resolution determines neither the future status of Taiwan in the United Nations nor Taiwanese participation in UN agencies or international organizations. The motion, moved by Deputy Chair of the Joint Standing Committee on Foreign Affairs, Defence and Trade David Fawcett and Chair of the Parliamentary Committee on Corporations and Financial Services Deborah O'Neill, was passed unanimously. The Ministry of Foreign Affairs (MOFA) strongly affirms and sincerely thanks the Australian Parliament for its firm support of Taiwan's international participation. Senators Fawcett and O'Neill are both staunch friends of Taiwan and visited in July to attend the annual summit of the Inter-Parliamentary Alliance on China (IPAC). Following IPAC's approval of a model resolution on UNGA Resolution 2758 for use by national parliaments, Australia has now become the first country to pass a related motion in its parliament. MOFA thanks Australia and IPAC for righteously speaking out for Taiwan and calls on the international community to oppose China's misrepresentation of UNGA Resolution 2758, as well as its attempts to erroneously conflate the resolution with its so-called &ldquo;one China principle.&rdquo; Taiwan will continue to cooperate with Australia and other like-minded partners so as to jointly defend the core values shared by the global democratic camp and safeguard peace, stability, and prosperity throughout the region. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117914	2024-08-22T01:45:00-07:00	
MOFA response to false claims regarding Taiwan in PRC’s joint sta...	August 21, 2024Following a meeting on August 19, Chinese leader Xi Jinping and General Secretary of the Communist Party of Vietnam Central Committee and President of Vietnam To Lam issued a joint statement on further strengthening the bilateral comprehensive strategic cooperative partnership and building a Vietnam-China community with a shared future. Chinese leader Xi issued another joint statement with Prime Minister of Fiji Sitiveni Rabuka after a meeting on August 20. Both statements falsely claimed that Taiwan was an inseparable part of Chinese territory. The Ministry of Foreign Affairs (MOFA) strongly refutes such claims.MOFA solemnly reaffirms that the Republic of China (Taiwan) is a free and democratic country and that neither democratic Taiwan nor totalitarian China is subordinate to the other. These are long-standing, objective, and internationally recognized facts, as well as the status quo across the Taiwan Strait. Taiwan has never been governed by the PRC, nor has it ever been part of the PRC. Only the democratically elected government of Taiwan has the right to represent the Taiwanese people in the United Nations system and the international arena. China and countries deferring to it have no say in the matter. MOFA strongly condemns and protests the Chinese government's repeated use of meetings with leaders of other countries to make false claims aimed at undermining Taiwan's sovereignty and misleading the international community.MOFA again urges countries deferring to China to not ignore history and to recognize that China is a totalitarian and autocratic regime. MOFA calls on them to refrain from blindly abetting China's deceitful narratives, which only distort the truth, maliciously undermine Taiwan's sovereignty, attempt to rationalize China's expansionist ambitions, and increase international instability. Taiwan will continue to steadfastly safeguard the values of freedom and democracy and bolster cooperation with democratic partners to jointly deter authoritarian expansionism; staunchly ensure cross-strait peace and security; and preserve a free, open, and prosperous Indo-Pacific.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117913	2024-08-20T23:49:00-07:00	
MOFA thanks New Zealand and Australia prime ministers for joint s...	August 20, 2024No. 267While visiting Australia from August 15 to 16, Prime Minister of New Zealand Christopher Luxon held bilateral talks with Prime Minister of Australia Anthony Albanese. In a joint statement issued after their meeting, the leaders reaffirmed the importance of cross-strait peace and stability and expressed concern over rising tensions across the Taiwan Strait. They also called for the peaceful resolution of cross-strait issues through dialogue, without the threat or use of force or coercion, and reiterated their opposition to unilateral changes to the status quo. The Ministry of Foreign Affairs (MOFA) strongly affirms the statement and sincerely thanks the two countries for again underscoring the importance of peace and stability across the Taiwan Strait, following a similar statement at the Australia-New Zealand Foreign and Defence Ministerial Consultations in February.The joint statement also expressed grave concern about dangerous, destabilizing, and provocative behavior in the South China Sea. It called on all parties to adhere to the United Nations Convention on the Law of the Sea, de-escalate tensions, and resolve maritime disputes peacefully in accordance with international law. Maintaining peace and stability across the Taiwan Strait and in the South China Sea has become a matter of global consensus. MOFA welcomes that like-minded countries are continuing to focus attention on the Taiwan Strait and South China Sea at international events and take concrete actions to uphold the rules-based international order. Taiwan remains committed to promoting values-based diplomacy and jointly safeguarding democracy, peace, and prosperity in the Indo-Pacific. (E)	https://en.mofa.gov.tw/News_Content.aspx?n=1328&s=117904	2024-08-20T02:39:00-07:00	
