Title	Description	Link	pubDate	Image
Taiwan, US, Lithuania stage GCTF workshop on foreign information manipulation	A workshop on foreign information manipulation and interference in electoral processes was held Sept. 5-6 in Vilnius under the Global Cooperation and Training Framework to strengthen democratic resilience.	https://taiwantoday.tw/news.php?unit=2&post=258383&unitname=Politics-Top-News&postname=Taiwan%2C-US%2C-Lithuania-stage-GCTF-workshop-on-foreign-information-manipulation	2024-09-08T17:00:00-07:00	
GCTF workshop on net-zero emissions staged in Taipei	Through the Global Cooperation Training Framework, Taiwan, the U.S., Japan, Australia and Canada held a workshop in Taipei City to guide participants in setting an ambitious path toward a net-zero future.	https://taiwantoday.tw/news.php?unit=15&post=258316&unitname=Environment-Top-News&postname=GCTF-workshop-on-net-zero-emissions-staged-in-Taipei	2024-09-08T17:00:00-07:00	
NSTC Minister Cheng-Wen Wu Visits the East Coast of the United States to Strengthen Taiwan-US Bilate...	From September 5 to 9, Eastern Standard Time, National Science and Technology Council (NSTC) Minister Cheng-Wen Wu visited Washington, DC and New York. In Washington DC, Minister Wu led a delegation to the National Institute of Standards and Technology (NIST) and the National Science Foundation (NSF) to enhance Taiwan-US bilateral S&T cooperation. Subsequently, Minister Wu attended several events in New York to strengthen ties in Taiwan-US S&T research cooperation.	https://www.nstc.gov.tw/folksonomy/detail/6d3bbcca-e814-4dc8-b4f7-27e573759545?l=en	2024-09-08T17:00:00-07:00	
NSTC and Germany’s IFA Collaborate to Launch the First Corporate-Driven Startup Competition	Europe’s largest consumer electronics exhibition, IFA 2024, will be held in Berlin, Germany, from September 6th to 10th. On September 5th, the day before the event begins, Taiwan’s National Science and Technology Council (NSTC) held the -AI for All, Partners to Be- Press Conference.	https://www.nstc.gov.tw/folksonomy/detail/437462ed-97d0-4957-8735-c7a37a37aa14?l=en	2024-09-08T17:00:00-07:00	
MOU signed with PMC Tech in India will Strengthen Educational Ties	The Education Division of the Taipei Economic and Cultural Centre (TECC) in India entered into a memorandum of understanding (MOU) with PMC Tech (Er. Perumal Manimekalai College of Engineering) in Hosur in Tamil Nadu on June 6, 2024.	https://english.moe.gov.tw/cp-117-39715-663df-1.html	2024-09-08T17:00:00-07:00	
Ceremony Launches the 5th Taiwan-KMUTT Internship Program (TKIP)	A ceremony was held at King Mongkut’s University of Technology Thonburi in Thailand (KMUTT) on July 1, 2024 to launch the 5th Taiwan-KMUTT Internship program (TKIP).	https://english.moe.gov.tw/cp-117-39714-e4a66-1.html	2024-09-08T17:00:00-07:00	
Taiwan’s powerful #MeToo novel embarks on U.S. fall book tour	Following the success of her spring tour along the East Coast, Jenna Tang, the translator of the Taiwanese novel -Fang Si-Chi’s First Love Paradise (房思琪的初戀樂園),- is preparing for another extensive tour from September to November. This tour will feature over 15 events across the U.S., spanning states including New York, North Carolina, Florida, Texas, California, Minnesota, Illinois and more.	https://www.moc.gov.tw/global_outreach/News_Content2.aspx?n=532&s=223633	2024-09-08T17:00:00-07:00	
2024 Foreign Investment Promotion Outcomes: Securing Future Investment of Nearly NT$115 Billion	The Ministry of Economic Affairs (MOEA) held the 2024 Taiwan Business Alliance and Market Trend Forum on September 3.	https://www.moea.gov.tw/Mns/english/news/News.aspx?kind=6&menu_id=176&news_id=115889	2024-09-08T17:00:00-07:00	
MOFA thanks Australia and Japan for reaffirming support of peace and stability across Taiwan Strait ...	Japanese Minister for Foreign Affairs Yoko Kamikawa and Minister of Defense Minoru Kihara convened the Australia-Japan Foreign and Defence Ministerial Consultations with Australian Minister for Foreign Affairs Penny Wong and Deputy Prime Minister and Minister for Defence Richard Marles near Melbourne on September 5.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&sms=273&s=118002	2024-09-08T17:00:00-07:00	
MOFA appreciates ROK-New Zealand joint statement supporting cross-strait peace and stability	Prime Minister Christopher Luxon of New Zealand visited the Republic of Korea (ROK) from September 4 to 5. After a bilateral meeting with ROK President Yoon Suk Yeol on September 4, the two countries issued a joint statement reaffirming the importance of peace and stability across the Taiwan Strait.	https://en.mofa.gov.tw/News_Content.aspx?n=1328&sms=273&s=118000	2024-09-05T17:00:00-07:00	
Minister Li attends the inauguration of Taiwan-Japan joint art exhibition	Co-hosted by the National Taiwan Museum of Fine Arts (NTMoFA) and the Tokyo University of the Arts (TUA), the exhibition -Huang Tu-Shui and His Time: Taiwan’s First Western-style Sculptor and the Tokyo Fine Arts School in the Early 20th Century (黃土水及其時代：台灣首名西方雕塑家與20世紀初的東京美術學校)- opened on Sep. 6 until Oct. 20. This exhibition features 58 pieces by artists from Taiwan and Japan, including Huang Tu-shui’s -Water of Immortality (甘露水),- recognized as Taiwan’s national treasure in 2023.	https://www.moc.gov.tw/en/News_Content2.aspx?n=467&s=223695	2024-09-05T17:00:00-07:00	
Taiwanese authors to be featured at Toronto International Festival of Authors 2024	With the support of the Taipei Cultural Center in New York, Taiwanese picture book author Lian-En Lin (林廉恩) and translator Jenna Tang will participate in the 2024 Toronto International Festival of Authors (TIFA) on Sep. 21 and 22. This marks the sixth occasion that Taiwanese authors and translators have been featured at this prestigious event.	https://www.moc.gov.tw/global_outreach/News_Content2.aspx?n=532&s=223634	2024-09-05T17:00:00-07:00	
