Title	Description	Link	pubDate
🇱🇧🇮🇱⚡️- Israeli Broadcasting Corporation: -A number of settle...	🇱🇧🇮🇱⚡️- Israeli Broadcasting Corporation: -A number of settlements in the Western Galilee received instructions to reduce traffic and avoid gatherings-	https://t.me/rnintel/13809	2024-08-23T06:30:47-07:00
🇮🇱⚡- Since the beginning of the war: 695 soldiers have been kil...	🇮🇱⚡- Since the beginning of the war: 695 soldiers have been killed, 4,357 soldiers have been injured of which 645 were seriously injured and 185 soldiers are still receiving treatment – Galei Tzahal, IDF-funded radio.	https://t.me/rnintel/13808	2024-08-23T06:13:09-07:00
↩️ 🇷🇺⚡- Russian Special Forces have stormed the IK-19 penal col...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- -We are doing all this for the sake of Allah, for the sake of establishing Sharia, for the sake of the Muslim brothers who are sitting in Syria. We are for those brothers to whom they did this when all this happened in Crocus. This is revenge for all… 🇷🇺⚡- Russian Special Forces have stormed the IK-19 penal colony.	https://t.me/rnintel/13807	2024-08-23T06:01:06-07:00
↩️ 🇷🇺⚡- -We are doing all this for the sake of Allah, for the s...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- IK-19 terrorists claims their motives for today's attack: -Revenge for the killed [terrorists] who attacked Crocus in Moscow,- – SHOT, Russian media. 🇷🇺⚡- -We are doing all this for the sake of Allah, for the sake of establishing Sharia, for the sake of the Muslim brothers who are sitting in Syria. We are for those brothers to whom they did this when all this happened in Crocus. This is revenge for all the Muslim brothers,- – In a video released by the terrorists holding up at IK-19 penal colony.	https://t.me/rnintel/13806	2024-08-23T05:55:51-07:00
↩️ 🇺🇦🇮🇳⚡- -Together with the Prime Minister of India Modi, we...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇺🇦🇮🇳⚡- Indian Prime Minister Narendra Modi says he is -ready to personally play any role- to help -achieve peace- and -India is ready to contribute-. 🇺🇦🇮🇳⚡- -Together with the Prime Minister of India Modi, we commemorated the children whose lives were taken by Russian aggression. The children of every country deserve to be safe. We must make it possible,- – Ukrainian President, Volodymyr Zelenskyi.	https://t.me/rnintel/13805	2024-08-23T05:52:52-07:00
↩️ 🇷🇺⚡- IK-19 terrorists claims their motives for today's attac...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- In a new video released by the terrorists at IK-19 penal colony, they reject the claims they were demanding $2 million and a helicopter – Baza, Russian media. 🇷🇺⚡- IK-19 terrorists claims their motives for today's attack: -Revenge for the killed [terrorists] who attacked Crocus in Moscow,- – SHOT, Russian media.	https://t.me/rnintel/13804	2024-08-23T05:51:05-07:00
↩️ 🇷🇺⚡- In a new video released by the terrorists at IK-19 pena...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- Radicals who took hostages demand $2 million and a helicopter – Readovka, Russian media. 🇷🇺⚡- In a new video released by the terrorists at IK-19 penal colony, they reject the claims they were demanding $2 million and a helicopter – Baza, Russian media.	https://t.me/rnintel/13803	2024-08-23T05:45:20-07:00
↩️ 🇷🇺⚡- -It is unclear why these negotiations with criminals ar...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- The two confirmed to have been killed at IK-19 penal colony in Volgograd are the Head of the Colony and the Head of the Operational Unit – Mash, Russian media. 🇷🇺⚡- -It is unclear why these negotiations with criminals are necessary at all? To persuade them with kind words? To admonish them? After what these bandits have killed and done today? I emphasize: we must speak with criminals from a position of strength!- – Bata Kifah Mohamad, Mufti of the Russian Volgograd Central Spiritual Administration of Muslims, rejects negotiating with the terrorists.	https://t.me/rnintel/13802	2024-08-23T05:41:37-07:00
↩️ 🇺🇦🇮🇳⚡- Indian Prime Minister Narendra Modi says he is -rea...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇺🇦🇮🇳⚡- -Historic day in India's and Ukraine's relations. I felt a deep sense of friendship for you from our first meeting in 2021,- – Narendra Modi, Prime Minister of India, to Ukrainian President Volodymyr Zelenskyi. 🇺🇦🇮🇳⚡- Indian Prime Minister Narendra Modi says he is -ready to personally play any role- to help -achieve peace- and -India is ready to contribute-.	https://t.me/rnintel/13801	2024-08-23T05:26:06-07:00
↩️ 🇺🇦🇮🇳⚡- -Historic day in India's and Ukraine's relations. I...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇺🇦🇮🇳⚡- Narendra Modi, Prime Minister of India, has arrived in Kiev, Ukraine. 🇺🇦🇮🇳⚡- -Historic day in India's and Ukraine's relations. I felt a deep sense of friendship for you from our first meeting in 2021,- – Narendra Modi, Prime Minister of India, to Ukrainian President Volodymyr Zelenskyi.	https://t.me/rnintel/13800	2024-08-23T05:24:20-07:00
↩️ 🇷🇺⚡- The two confirmed to have been killed at IK-19 penal co...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- Four taken to hospital, conditions unknown. State media reports death toll at 2. 🇷🇺⚡- The two confirmed to have been killed at IK-19 penal colony in Volgograd are the Head of the Colony and the Head of the Operational Unit – Mash, Russian media.	https://t.me/rnintel/13799	2024-08-23T05:15:26-07:00
↩️ 🇷🇺⚡- Four taken to hospital, conditions unknown. State media...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- Radicals are associated with the Islamic State – Sapa, Russian media. 🇷🇺⚡- Four taken to hospital, conditions unknown. State media reports death toll at 2.	https://t.me/rnintel/13798	2024-08-23T05:13:34-07:00
↩️ 🇷🇺⚡- Radicals are associated with the Islamic State – Sapa, ...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- Radicals who took hostages demand $2 million and a helicopter – Readovka, Russian media. 🇷🇺⚡- Radicals are associated with the Islamic State – Sapa, Russian media.	https://t.me/rnintel/13797	2024-08-23T04:07:49-07:00
↩️ 🇷🇺⚡- Radicals who took hostages demand $2 million and a heli...	Rerum Novarum // Intel, Breaking News, and Alerts: 🇷🇺⚡- Death toll of prison guards currently at 3, feared to be much higher – Baza, Russian media. 🇷🇺⚡- Radicals who took hostages demand $2 million and a helicopter – Readovka, Russian media.	https://t.me/rnintel/13796	2024-08-23T04:07:03-07:00
