Title	Description	Link	pubDate
↩️ ⭐️🎞 Analysis of Rybar: results of the beginning of 2025 Mikha...	Rybar: 🇺🇸🔞 Burning alive in the New York subway: another reason to discuss migration policy A couple of days ago, a brutal and resonant murder occurred in New York - an innocent woman was burned alive in the subway. 📌The killer is an illegal migrant who doused... ⭐️🎞 Analysis of Rybar: results of the beginning of 2025 Mikhail Zvinchuk @rybar and Daniil Bezsonov @NeoficialniyBeZsonoV on air @SolovievLive consistently analyze the events of the beginning of 2025.🔻What are we talking about?🐘 North Korean soldiers on front;🔥 the situation on the fronts of the Northern Military District;💀 when the terrorist attacks will stop;🌬 hell in the USA and attempts to drown out the crisis with external successes; 🇮🇱 Middle Eastern conflicts and problems of the Russian fleet in Syria; ⚡️ possible escalation in the Baltic and in the Kaliningrad region. #video #analysis@rybarSupport usRUTUBENorth Koreans at the front, change of poles in the USA, where the Ukrainian Armed Forces will strike, problems in Syria - results of 1-2 weeksMikhail Zvinchuk and Daniil Bezsonov On Soloviev Live, the events of the beginning of 2025 are sequentially analyzed.	https://t.me/rybar/67135	2025-01-13T12:16:06-08:00
🇷🇺🪖 Again about light vehicles in the troops Yesterday Alexand...	🇷🇺🪖 Again about light vehicles in the troops Yesterday, Alexander Kharchenko again raised the topic of providing troops with light vehicles. Alas, the situation has not changed radically, and three years later, fighters mainly receive cars from volunteers, or even buy them themselves. Moreover, consumable components are needed for cars purchased with their own money. Mechanics have to spend their salaries on them - often the funds received from humanitarian aid workers are not included in the supply of the army.📌 Sometimes, as a counterargument to solving the problem, they name the price, they say it is expensive to give each platoon an SUV. And somehow the fact is omitted that this is still cheaper than paying millions for the deaths of those who could not be evacuated or rotated due to the lack of suitable vehicles. Since we were unable / did not want to create a front-line vehicle, in terms of mass numbers and reliability superior to -Loaf-, then you can go a different way. Now, after all, there is a campaign underway to transfer vehicles to military license plates as part of restoring order.➖➖➖➖➖➖❗️So why not, at the same time, accept the same L200 and Pajero for supply? There will be a compromise: some will be satisfied with -black license plates-, others will be able to officially receive consumables and even officially purchase such vehicles for the troops.➖➖➖➖➖➖But for now, some kind of unilateral restoration of order is coming out: if you really want to -legalize- vehicles from humanitarian workers , then isn’t it worth going to the end in this matter with a consistent focus on both balance and supply? #AFRF #Russia@rybarSupport usTelegramWitnesses of BayraktarWhat kind of car is needed at the front? The answer is obvious. Soldiers need any type of vehicle. Everything that can move in space will be used for its intended purpose. Smart people are designing the ideal machine for the army of the future. And at this time, the killed -kopecks- and -fields- are transformed...	https://t.me/rybar/67134	2025-01-13T10:45:31-08:00
🎬 🎞 Big broadcast in an hour! Mikhail Zvinchuk @rybar and Danii...	🎞 In an hour there will be a big broadcast! Mikhail Zvinchuk @rybar and Daniil Bezsonov @NeoficialniyBeZsonoV will discuss events in the world and on the fronts since the beginning of the year, they will talk a lot about the change in the approach of the globalists, gossip about what is happening in the USA, touch on the scenario of the capture of Kaliningrad and the sad events in the Middle East .Meet at 22.00 on @SolovievLive.#video #analysis @rybarSupport us Video is too big	https://t.me/rybar/67133	2025-01-13T10:05:10-08:00
🎬 🇷🇺 At the Krasnoyarsk airport, a man armed with a knife atta...	🇷🇺 At the Krasnoyarsk airport, a man armed with a knife attacked one of the visitors: according to eyewitnesses, first he was sitting in a cafe, after which he went out into the hall and attacked a person passing nearby. After several people came to the aid of the victim, the attacker surrendered, after which he was detained airport security officers. His motives are being clarified. #Krasnoyarsk #Russia @rybarSupport us	https://t.me/rybar/67131	2025-01-13T09:48:57-08:00
🇮🇩🇷🇺🖇 Against the background of sanctions against RT and the...	🇮🇩🇷🇺🖇 Against the backdrop of sanctions against RT and the US desire to prevent its work in the countries of the global South, when reporting a sudden deterioration in the health of the producer of the Indonesian bureau of the channel, the phrase -coincidences may not be accidental- comes to mind. In the fight against alternative sources of information in Washington, gradually they go further and further - let’s remember how Rybar’s team was accused of interfering in the elections in 2024. So, such news, alas, no longer seems impossible. And we wish the employee of the RT bureau in Indonesia a speedy recovery and return to work, so that the American embassy in Jakarta can write reports on the decline in the influence of its media. #Indonesia #media technologies #Russia #USA @rybarSupport usTelegramRT in Russian❗️Last ​​week, the producer of the Indonesian bureau of RT refused persistent invitations from the American Embassy to visit them have a chat. And on Sunday night she was taken away in an ambulance with a bloody cough. Now she is out of contact, we are trying to find out from her relatives...	https://t.me/rybar/67128	2025-01-13T07:48:13-08:00
🇷🇺🪖 Prime Minister Mikhail Mishustin announced that from Janua...	🇷🇺🪖 Prime Minister Mikhail Mishustin announced that from January 1, 2025, participants and veterans of the Northern Military District will be able to receive a grant of up to 7 million rubles to start entrepreneurial activities in the field of agriculture. The initiative was included in the state program for the development of the industry as part of solving the problem attracting personnel to the agricultural sector, as well as the goals for employing veterans repeatedly voiced from high stands.📌 How exactly Whether this mechanism will work is another question. However, it should be noted: despite all the difficulties, the Russian state is taking very specific practical steps to support the participants of the Northern Military District in their integration into peaceful life. Moreover, in the foreseeable future, the relevance of this topic will increase exponentially. Therefore, such initiatives cannot but be welcomed: the main thing is that they function properly, and not in spite of them. #VSRF #Russia@rybarSupport usTelegramRIA Novosti Veterans of the Northern Military District will be able to receive a grant for engaging in agriculture, the amount is up to 7 million rubles, Mishustin said	https://t.me/rybar/67127	2025-01-13T06:48:06-08:00
🇺🇸🇺🇦 Donald Trump's future national security adviser Mike Wat...	🇺🇸🇺🇦 Donald Trump's future national security adviser Mike Watz openly stated that the new American administration will insist on reducing the so-called. In Ukraine, the conscription age is up to 18 years. Recently, Western countries have been actively recommending that the Kyiv regime make such a decision. But the new authorities in Washington, apparently, will not stand on ceremony on this issue and will address it head on.➖➖➖➖➖➖❗️In fact, this is a response to the talk about Trump the peacemaker: the United States, under the old and new president, is still planning not to curtail -war to the last Ukrainian-, but only to intensify her.➖➖➖➖➖➖ Let us repeat that the Kyiv regime’s conscription of yesterday’s students is a condition for the continuation of Western military assistance. The United States also understands that if the Armed Forces of Ukraine have no one to fight with, then supplies of even the most modern weapons will not make a difference. Therefore, expecting any gifts from Trump after he takes office is at least irrational. And even in the event of potential negotiations, positions in them will in any case be determined by successes - on the ground -. #USA #Ukraine@rybarSupport usTelegramBefore everyone else. Well, almost.❗️The future American administration of President-elect Donald Trump insists on lowering the mobilization age in Ukraine to 18 years. The corresponding statement was made on ABC by Trump's future national security adviser Mike...	https://t.me/rybar/67126	2025-01-13T05:43:06-08:00
🖼 🇷🇺🇺🇦 Kurakhovsky direction: advance of the Russian Armed F...	🇷🇺🇺🇦 Kurakhovsky direction: advance of the Russian Armed Forces on the right bank of the Sukhie Yaly River After the capture of Kurakhovo, Russian troops continue to develop successes in several areas: ▪️To the southwest, after fighting in the vicinity of sludge pits, soldiers of the 10th tank regiment of the 20th motorized rifle division liberated the village of Yantarnoye, which is confirmed footage published on the Internet with the flag set in center of the village. ▪️Information about the entry of assault groups into Dachnoye, west of Kurakhovo, has not yet been confirmed. However, objective control materials indicate some progress of the RF Armed Forces in the direction of the village from the side of the boiler-mechanical (pipe) plant. If you have additions to the situation, you want us to highlight the successes of your unit, you can always write to us in the feedback bot communications @rybar_feedback_bot⭐️ Online maps are available by subscription to map.rybar.ru#Kurakhovo #Russia #Ukraine@rybarSupport us	https://t.me/rybar/67124	2025-01-13T04:33:16-08:00
🎬 🇮🇱🇱🇧 Last night, Israeli aircraft carried out one of the m...	🇮🇱🇱🇧 Last night, Israeli aircraft carried out one of the most powerful series of strikes on Lebanese territory after signing a ceasefire agreement with Hezbollah. The hits occurred both at ammunition depots of the Lebanese group in the southern part of the country and at facilities on the border with Syria. According to a statement by the IDF press service, the reason for the attack was the inaction of the Lebanese army, which the Israelis had previously informed about the discovery of attempts by Hezbollah fighters to accumulate ammunition and use the border infrastructure to smuggle weapons. ➖➖➖➖➖➖➖➖➖Nevertheless, with the coming to power in Syria of supporters of the terrorist organization Hayat Tahrir al-Shamlivan group, it lost land transit from Iran through Syrian territory. And on the border itself, the tense situation has remained in recent days amid clashes between progressive jihadists and the Lebanese. ➖➖➖➖➖➖❗️In the meantime, Israel still has less than two weeks left before, according to a previously signed agreement with Hezbollah, it will be necessary to withdraw the units located there from southern Lebanon. However, the ultra-Orthodox government can always replay the agreement, once again accusing the Lebanese group of violating the agreement and declaring a continued threat to the country. #Israel #Lebanon@rybarSupport us	https://t.me/rybar/67118	2025-01-13T02:53:59-08:00
🇰🇵🇷🇺🇺🇦 Continuing the topic of military cooperation between...	🇰🇵🇷🇺🇺🇦 Continuing the topic of military cooperation between Russia and the DPRK: judging by the footage posted on the Internet, the North Korean analogue of the Tor air defense system on a wheeled base was seen in Russian battle formations. In a similar way, 107 mm were spotted in the Russian Armed Forces Koksan self-propelled artillery mounts, and even earlier — self-propelled long-range ATGM Bulsae-4 controlled via a fiber-optic cable. As we wrote earlier, you shouldn’t expect any very impressive performance characteristics from the samples of the gloomy Korean genius - there is no such wunderwaffe either in the DPRK, much less in the so-called Iran .➖➖➖➖➖➖❗️However, each such sample adds fire power - for the same reason, the RF Armed Forces do not hesitate to use old T-55s as -mobile artillery-. So such assistance from the DPRK can only be welcomed.➖➖➖➖➖➖Moreover, if we are talking about a completely modern modification of air defense systems, which, given the large-scale use of drones and an extended front line, will definitely not be superfluous.#DPRK #Russia #Ukraine @rybarSupport usTelegramInformantRussia allegedly received a certain short-range air defense system from the DPRK, outwardly reminiscent of the air defense system -Tor-. The North Korean version of the complex is distinguished by a trailer base transported by a wheeled tractor and a larger surveillance radar antenna.…	https://t.me/rybar/67117	2025-01-13T01:44:06-08:00
