Title	Description	Link	pubDate	Image
New 'grumpy' fish species discovered	A new type of fish described as 'grumpy' by scientists has been found in the Arabian Red Sea.	https://news.sky.com/story/new-grumpy-fish-species-discovered-in-the-red-sea-13217205	2024-09-18T04:16:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-grumpy-fish-new-species_6689168.jpg?20240918110848
Why now? More questions than answers after pager attack	The day after the attack, there are still more questions than answers: how did Israel tamper with the pagers, how were the devices remotely detonated, and, most importantly as we look forward, why now?	https://news.sky.com/story/more-questions-than-answers-after-deadly-pager-attack-on-hezbollah-13217203	2024-09-18T04:16:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-pager-gold-apollo-hezbollah_6689225.jpg?20240918115916
Encrypted 'Ghost' platform dismantled in blow to organised crime	An encrypted communication platform called Ghost, which was allegedly used to traffic drugs, launder money and order killings, has been dismantled.	https://news.sky.com/story/encrypted-ghost-platform-dismantled-in-blow-to-organised-crime-13217190	2024-09-18T03:45:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-ghost-australia_6689255.jpg?20240918123736
The Budapest firm linked to explosive pagers	A firm in Hungary's capital has been linked to thousands of pagers that exploded in Lebanon, killing 12 people and seriously injuring thousands.	https://news.sky.com/story/the-budapest-firm-linked-to-explosive-pagers-that-killed-hezbollah-members-13217153	2024-09-18T02:47:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-budapest-lebanon-pagers_6689152.jpg?20240918105244
Minister sacked for alleged leak is new Senedd standards chair	A Welsh government minister who was sacked for allegedly leaking to the media has been appointed the new chair of the Senedd's standards committee.	https://news.sky.com/story/welsh-minister-hannah-blythyn-who-was-sacked-for-alleged-leak-is-new-senedd-standards-chair-13217149	2024-09-18T02:38:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-hannah-blythyn-wales_6689188.jpg?20240918112245
Ukraine drone attack causes huge blast as 'Russian weapons warehouse destroyed'	A drone attack has destroyed a Russian weapons arsenal storing missiles, bombs and ammunition, according to a Ukrainian security source.	https://news.sky.com/story/ukraine-drone-attack-causes-huge-blast-as-russian-weapons-and-ammo-warehouse-destroyed-in-tver-region-13217106	2024-09-18T01:27:00-07:00	https://e3.365dm.com/24/09/1920x1080/dcdf7492745d95d9f3e2ecb7d4bcaf422cd3f23ef33b8b70edc3b89149a86327_6689077.jpg?20240918090604
Zimbabwe to cull wild elephants to feed struggling communities during drought	Zimbabwe will cull 200 wild elephants to feed communities facing severe hunger during the worst drought in four decades, wildlife authorities have said.	https://news.sky.com/story/zimbabwe-to-cull-200-wild-elephants-to-feed-communities-facing-severe-hunger-during-drought-13217102	2024-09-18T01:04:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-hwange-elephant_6689128.jpg?20240918102041
Huw Edwards' 'lenient' sentence not eligible for review	The London Victims' Commissioner has called for it to be easier to appeal lenient sentences after it emerged the case of Huw Edwards cannot be reviewed.	https://news.sky.com/story/huw-edwards-sentence-not-eligible-for-review-as-mps-criticise-leniency-13217092	2024-09-18T01:00:00-07:00	https://e3.365dm.com/24/09/1920x1080/skynews-huw-edwards-bbc_6687709.jpg?20240916162054
The risk of all-out war	Sky News' deputy political editor Sam Coates and Politico's Jack Blanchard share their daily guide to the day ahead in politics in under 20 minutes.	https://news.sky.com/story/the-risk-of-all-out-war-13217051	2024-09-17T22:52:00-07:00	https://e3.365dm.com/24/08/1920x1080/2372408290941221407_6670260.png?20240902075319
Boxing champion Usyk released after being handcuffed at airport in Poland	Heavyweight world champion Oleksandr Usyk has thanked people for their 'concern' after he was detained at Poland's Krakow airport.	https://news.sky.com/story/ukrainian-boxer-oleksandr-usyk-released-after-being-detained-at-airport-in-poland-13217028	2024-09-17T19:59:00-07:00	https://e3.365dm.com/24/05/1920x1080/skynews-tyson-fury-v-oleksandr-usyk_6558942.jpg?20240519005637
