Title	Description	Link	pubDate
🖼 🚨 BREAKING: Multiple red alert sirens in Israel’s north. Deta...	🚨 BREAKING: Multiple red alert sirens in Israel’s north. Details to follow.	https://t.me/StandWithUsBreakingNews/4581	2024-08-17T02:03:59-07:00
🎬 WATCH: The IDF has identified and dismantled around 50 Hamas u...	WATCH: The IDF has identified and dismantled around 50 Hamas underground terror tunnel routes in the Philadelphi Corridor in Rafah, Gaza. 🎥: IDF	https://t.me/StandWithUsBreakingNews/4580	2024-08-15T07:10:48-07:00
IDF: Following the sirens that sounded at 14:10 in the area of th...	IDF: Following the sirens that sounded at 14:10 in the area of the Golan Heights, one suspicious aerial target was intercepted after crossing from Lebanon into Israeli territory. No injuries were reported. Additionally, approximately five projectiles were identified crossing from Lebanon into Israeli territory and falling in open areas in the area of Shamir. A siren was sounded in open areas according to protocol. No injuries were reported. Following the sirens that sounded at 14:29 in the area of the Upper Galilee, approximately 20 projectiles were identified crossing from Lebanon into Israeli territory. The majority were intercepted, and some fell in the area of Shamir, mostly in open areas. No injuries were reported.	https://t.me/StandWithUsBreakingNews/4579	2024-08-15T05:36:40-07:00
🎬 🚨BREAKING: Following multiple rockets fired by Hezbollah from...	🚨BREAKING: Following multiple rockets fired by Hezbollah from Lebanon toward northern Israel, several impacts in open fields were reported. A fire has erupted near Kibbutz Shamir in northern Israel. #israelunderattack	https://t.me/StandWithUsBreakingNews/4578	2024-08-15T05:19:11-07:00
🖼 On Tuesday, Hamas terrorists fired rockets from the Humanitari...	On Tuesday, Hamas terrorists fired rockets from the Humanitarian Route in Khan Yunis, Gaza, towards central Israel. Hamas not only endangers Israeli civilians but continues to strategically and purposefully position its military assets within humanitarian infrastructure and civilian-populated areas.	https://t.me/StandWithUsBreakingNews/4577	2024-08-14T02:09:11-07:00
IDF: A short while ago, a projectile that was identified crossing...	IDF: A short while ago, a projectile that was identified crossing from the Gaza Strip fell in the maritime space in central Israel. In accordance with protocol, no sirens were sounded.Simultaneously, an additional projectile that did not cross into Israeli territory was identified.	https://t.me/StandWithUsBreakingNews/4576	2024-08-13T06:17:57-07:00
🚨 BREAKING: At least 2 rockets fired from Gaza towards central I...	🚨 BREAKING: At least 2 rockets fired from Gaza towards central Israel. Large explosions heard in Tel Aviv. Reports indicate both rockets exploded in the sea. No physical injuries or damage reported.	https://t.me/StandWithUsBreakingNews/4575	2024-08-13T06:12:52-07:00
🎬 WATCH: An explosive attack drone fired by Hezbollah terrorists...	WATCH: An explosive attack drone fired by Hezbollah terrorists from Lebanon was intercepted by the IDF over northern Israel earlier this morning.	https://t.me/StandWithUsBreakingNews/4574	2024-08-13T04:36:24-07:00
IDF: A short while ago, a shooting attack occurred in the city of...	IDF: A short while ago, a shooting attack occurred in the city of Qalqilya during which a terrorist fired at an Israeli civilian who was in the city, injuring him and two Palestinians. The Israeli civilian was evacuated to a hospital to receive medical treatment.IDF forces conducted a pursuit after the terrorist and neutralized him adjacent to Qalqilya.	https://t.me/StandWithUsBreakingNews/4573	2024-08-12T11:25:29-07:00
🚨BREAKING: Suspected shooting terror attack in Qalqilya, the Wes...	🚨BREAKING: Suspected shooting terror attack in Qalqilya, the West Bank/Judea and Samaria. One person has been injured. The terrorist has been shot and killed. Details to follow.	https://t.me/StandWithUsBreakingNews/4572	2024-08-12T10:42:49-07:00
