Title	Description	Link	pubDate	Image
Noshki Bus Attack: The Baloch Liberation Army’s Evolving Suicide Attack Strategy	Days after a major train hijacking, the BLA targeted buses carrying Pakistani security forces. Both attacks highlight the BLA's new strategy of combining suicide attacks with conventional guerrilla warfare.	https://thediplomat.com/2025/03/noshki-bus-attack-the-baloch-liberation-armys-evolving-suicide-attack-strategy/	2025-03-18T06:27:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-132934.jpg
China’s 2 Sessions: Slow Growth Collides With Tech Supremacy	China faces a paradox: structural challenges and slowing growth associated with the old economy, and a high-tech, globally competitive industrial sector in the new economy.	https://thediplomat.com/2025/03/chinas-2-sessions-slow-growth-collides-with-tech-supremacy/	2025-03-18T05:51:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-125431.jpg
In the Face of Disengagement and Distrust: Civics Education in Australia Is Critical	A new report outlines the importance of strengthening civics education in Australia.	https://thediplomat.com/2025/03/in-the-face-of-disengagement-and-distrust-civics-education-in-australia-is-critical/	2025-03-18T05:29:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-123807.jpg
China Watches, Taiwan Learns: Ukraine’s War and the Indo-Pacific	Over the course of a year-long study, we analyzed the campaign in Ukraine, comparing it with Taiwan’s military strategies and defense posture. Here’s what we found.	https://thediplomat.com/2025/03/china-watches-taiwan-learns-ukraines-war-and-the-indo-pacific/	2025-03-17T12:29:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-17-193623.jpg
Cambodia’s Hun Sen, Myanmar Junta Celebrate Closure of US-Funded Media Outlets	The U.S.-funded broadcasters Radio Free Asia and Voice of America have long been a thorn in the side of the region's repressive governments.	https://thediplomat.com/2025/03/cambodias-hun-sen-myanmar-junta-celebrate-closure-of-us-funded-media-outlets/	2025-03-17T21:54:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-045816.jpg
Tensions Rising in the Philippines After Former President Duterte’s ICC Arrest	The ex-leader may finally face justice for his bloody -war on drugs-, but the country he leaves behind is increasingly divided.	https://thediplomat.com/2025/03/tensions-rising-in-the-philippines-after-former-president-dutertes-icc-arrest/	2025-03-17T17:31:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-045318.jpg
Cambodia Willing to Use Force to Defend Sovereignty Over Temple, PM Says	The disagreement bears a close similarity to the dispute over Preah Vihear temple, which led to armed clashes during 2008-2011.	https://thediplomat.com/2025/03/cambodia-willing-to-use-force-to-defend-sovereignty-over-temple-pm-says/	2025-03-17T17:45:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-18-004911.jpeg
China’s Dwindling Marriage Rate Is Fueling Demand for Brides Trafficked From Abroad	The question of who China’s leftover men will marry is becoming a pressing issue for Beijing. The government’s response will shape the country’s future for decades to come.	https://thediplomat.com/2025/03/chinas-dwindling-marriage-rate-is-fueling-demand-for-brides-trafficked-from-abroad/	2025-03-17T08:25:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2021/11/thediplomat_2021-11-10-180140.jpg
With Luxon Visit, India-New Zealand Ties Scale New Heights	Historically underemphasized, New Delhi-Wellington engagement is now gaining strategic and diplomatic prominence.	https://thediplomat.com/2025/03/with-luxon-visit-india-new-zealand-ties-scale-new-heights/	2025-03-17T07:47:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2025/03/thediplomat_2025-03-17-144914.jpg
Afghanistan, Pakistan Point Fingers Over Islamic State Presence	Each government is attempting to blame the other for the continued activities of ISKP. Meanwhile, the group continues to conduct attacks.	https://thediplomat.com/2025/03/afghanistan-pakistan-point-fingers-over-islamic-state-presence/	2025-03-17T07:23:00-07:00	https://images.thediplomat.com/v1/td-list-l-2/2023/04/thediplomat_2023-04-28-125653.jpg
