Title	Description	Link	pubDate	Image
Musk boasts about ‘thrashing bureaucracy’ in cosy joint interview with Trump – US politics live	Billionaire claims he is implementing ‘will of the people’ as he and US president praise each other so much, Sean Hannity says it is like ‘interviewing two brother’ Donald Trump and Elon Musk lavished praise on each other while defending the Doge overhaul in a joint interview on Fox News. Musk boasted of a -thrashing of the bureaucracy as we try to restore democracy and the will of the people- when asked about criticism of the so-called -department of government efficiency-. Donald Trump has signed an executive order to expand access to in vitro fertilization (IVF). The order directs the domestic policy council to make recommendations to -aggressively- reduce the costs for accessing IVF, according to a White House fact sheet. Trump criticized Ukrainian president Volodymyr Zelenskyy, appearing to blame Ukraine for the war with Russia after the Ukrainian leader complained about being left out of peace talks between the US and Russia. -Today I heard, ‘oh, well, we weren’t invited.’ Well, you’ve been there for three years ... You should have never started it. You could have made a deal,- Trump told reporters at his Mar-a-Lago resort in Florida when asked about the Ukrainian reaction. Zelenskyy responded to Trump’s comments by saying the US president -is living in this disinformation bubble-. Trump’s special envoy for Ukraine, Keith Kellogg is in Kyiv to meet with Zelenskyy - a day after top US and Russian diplomats held discussions in Saudi Arabia. New York City mayor Eric Adams will face the federal judge on Wednesday who will decide whether to grant the Justice Department’s request to dismiss corruption charges against him after lawyers explain the abrupt change in position just weeks before an April trial. US secretary of state Marco Rubio met with the leader of the United Arab Emirates. President Sheikh Mohammed bin Zayed Al Nahyan told Rubio on Wednesday that his country rejects a proposal to displace Palestinians from their land, the Emirati state news agency WAM reported. Top prosecutor, Denise Cheung, resigned on Tuesday after refusing to investigate a government contract awarded during Biden’s tenure, as Trump continues to attempt to exert tighter control over the Justice Department, an agency traditionally seen as independent of White House influence. Trump expanded his offensive against trading partners on Tuesday, threatening 25 percent tariffs on imported cars, and similar or higher duties on pharmaceuticals and semiconductors, AFP reports. Hundreds of Federal Emergency Management Agency (FEMA) employees were fired as part of a wave of terminations of federal workers over the holiday weekend and Tuesday, the Washington Post reports, adding the move could affect people struggling to rebuild and prepare for disasters. A Republican-led Senate committee is scheduled to hold a hearing today on Trump’s nominee for labor secretary, Lori Chavez-DeRemer. Chavez-DeRemer supported a bill called the PRO Act, a top priority of labor unions, and is endorsed by the Teamsters Union, NBC reports. An Israeli official said that prime minister Benjamin Netanyahu has appointed close confidant US-born Ron Dermer to lead negotiations for the second stage of the ceasefire with Hamas. Dermer previously served as Israel’s ambassador to the US and is a former Republican activist with strong ties to the Trump White House. One in five Americans have said they are -doom spending- - purchasing more items than usual - owing to concerns over Trump’s tariffs, reflecting heightened consumer anxiety over potential price hikes and economic uncertainty. Trump’s cuts threaten a -generation of scientists- as many weigh leaving US.	https://www.theguardian.com/us-news/live/2025/feb/19/trump-musk-ukraine-executive-orders-doge-politics-latest-updates	2025-02-19T04:56:30-08:00	https://i.guim.co.uk/img/media/68ac85dbaa840a285f71549f2fd377ae602fb6d8/0_392_4749_2851/master/4749.jpg?width=140&quality=85&auto=format&fit=max&s=96145d8c8e7110cc1f5d34eafe855580
Reagan-era Republicans aghast as Trump turns Russia policy on its head	Officials who served in 1980s say Trump is opposing friends and supporting enemies: ‘It makes me sick what’s going on’ Republicans who served under President Ronald Reagan during the cold war have condemned Donald Trump’s move to soften relations with Russia and undermine the 80-year-old transatlantic alliance. European leaders were left reeling last week when the US vice-president, JD Vance, told the Munich Security Conference that the greatest danger facing Europe was -the threat from within- and the -retreat from fundamental values-.	https://www.theguardian.com/us-news/2025/feb/19/trump-russia-ukraine-reagan-republicans	2025-02-19T04:47:59-08:00	https://i.guim.co.uk/img/media/58c2d146b9645a15470ffca8135c1822533aa970/0_147_4416_2650/master/4416.jpg?width=140&quality=85&auto=format&fit=max&s=5e477fff7375ff93f67aa9ce14848034
EU accused of leaving ‘devastating’ copyright loophole in AI Act	Architect of copyright law says EU is ‘supporting big tech instead of protecting European creative ideas’ An architect of EU copyright law has said legislation is needed to protect writers, musicians and creatives left exposed by an -irresponsible- legal gap in the EU’s Artificial Intelligence Act. The intervention came as 15 cultural organisations wrote to the European Commission this week warning that draft rules to implement the AI Act were -taking several steps backwards- on copyright, while one writer spoke of a -devastating- loophole.	https://www.theguardian.com/technology/2025/feb/19/eu-accused-of-leaving-devastating-copyright-loophole-in-ai-act	2025-02-19T04:13:58-08:00	https://i.guim.co.uk/img/media/4484f801af743854e9c3e2eaf2730aea2730eea2/0_168_4276_2565/master/4276.jpg?width=140&quality=85&auto=format&fit=max&s=a795b1474ca98f9cf910f949cf851a99
First Thing: Trump blames Ukraine over war with Russia – ‘you never should have started it’	President ‘disappointed’ with Volodymyr Zelenskyy’s complaint about being excluded from talks. Plus, clean energy contributed 10% to China’s GDP in 2024 Good morning. Donald Trump has blamed Kyiv for Russia’s invasion and said Ukraine could have -made a deal- to avoid war, as he criticized Volodymyr Zelenskyy for demanding to be included in peace talks. When will Trump and Vladimir Putin meet? Trump suggested they were likely to do so this month. What has Zelenskyy said? He has demanded -fair- talks with seats at the table for Ukraine, the European Union and Turkey. What were the charges? Adams was indicted late last year for allegedly accepting illegal campaign donations and travel perks in exchange for acting in the Turkish government’s favor. He denies the charges.	https://www.theguardian.com/us-news/2025/feb/19/first-thing-trump-blames-ukraine-over-war-with-russia	2025-02-19T04:10:43-08:00	https://i.guim.co.uk/img/media/52d556f498f3427ca3cefcd3815ae81997bf5279/0_0_6000_3601/master/6000.jpg?width=140&quality=85&auto=format&fit=max&s=d3fd98127082ab6e1abf964d9acf021d
Factchecking Donald Trump’s claims about the war in Ukraine	As US-Russia talks continue in Saudi Arabia, we look at the US president’s misleading and outright false statements The US president, Donald Trump, has made a number of at best controversial – and at worst outright false and misleading – statements about Ukraine and its president, Volodymyr Zelenskyy, while praising the progress made in US-Russia talks in Riyadh, Saudi Arabia. Here, we look at his claims.	https://www.theguardian.com/us-news/2025/feb/19/factchecking-donald-trump-claims-war-ukraine	2025-02-19T03:54:01-08:00	https://i.guim.co.uk/img/media/feef39d0106f2db1a4e569a4a7cbf879ccf8b477/0_60_3435_2061/master/3435.jpg?width=140&quality=85&auto=format&fit=max&s=36b2ebfcf8196020a58da488cf33400d
Columbine shooting survivor dies 26 years after being paralyzed in massacre	Anne Marie Hochhalter, ‘pillar of strength for ... so many’ after being shot in back in 1999, dies from natural causes A former Columbine high school student who only narrowly survived the deadly 1999 mass shooting there – and subsequently spent nearly three decades grappling with complications from her wounds in the attack – has died. Anne Marie Hochhalter, 44, died on Sunday from what were described as natural causes, according to a statement from the principal at Columbine when the shooting at the Colorado school occurred.	https://www.theguardian.com/us-news/2025/feb/19/columbine-anne-marie-hochhalter-death	2025-02-19T03:00:09-08:00	https://i.guim.co.uk/img/media/2bc47968d048bc574a554fc738c3024aa4d77fff/0_102_3828_2296/master/3828.jpg?width=140&quality=85&auto=format&fit=max&s=2b9b19ef59a6612eafb2180b952aa6df
Trump cuts threaten a ‘generation of scientists’ as many weigh leaving US	President’s call to ‘Make America Healthy Again’ has led to slashes in NIH funding – endangering jobs and vital research The Trump administration’s planned cuts to the National Institutes of Health (NIH) not only threaten essential biomedical research in the US, but the livelihoods of researchers – and some are seriously considering leaving the country. A 27 January memo from the Office of Management and Budget instructed federal agencies to pause funding allocations to ensure they serve Donald Trump’s goals, including -ending ‘wokeness’ and the weaponization of government, promoting efficiency in government, and Making America Healthy Again-.	https://www.theguardian.com/us-news/2025/feb/19/trump-nih-funding-scientists	2025-02-19T03:00:09-08:00	https://i.guim.co.uk/img/media/2bbd4cc1d1395eb28297cd58f770fced31e40d8e/0_539_3733_2241/master/3733.jpg?width=140&quality=85&auto=format&fit=max&s=e667dfc09a5b63b1a695722451b5d228
Leftwing activists less likely to work with political rivals than other UK groups, study finds	Exclusive: Lack of understanding by ‘progressive activists’ of other voting blocs has led to rise of far right, authors argue Leftwing activists in Britain are less likely to work with their political opponents than other groups and more likely to think those holding different views have been misled, a study has found. The study by the polling group More in Common finds that 8-10% of the population, whom they classify under the heading -progressive activists-, hold strikingly different views on a range of issues than the rest of Britain.	https://www.theguardian.com/politics/2025/feb/19/leftwing-activists-less-likely-work-political-rivals-other-uk-groups-study	2025-02-19T02:23:34-08:00	https://i.guim.co.uk/img/media/656ef290933840155afcff8adac908ae72fc382c/0_196_3562_2137/master/3562.jpg?width=140&quality=85&auto=format&fit=max&s=daacc3c65d3529f21e3fcba4c9ce7044
Industrial action on Sydney’s train network suspended until 1 July after Fair Work Commission ruling	Rail commuters granted temporary reprieve from work stoppages and strikes as unions and state government try to strike pay deal Sydney commuters have been granted a more than four-month reprieve from industrial action on the city’s train network, after the Fair Work Commission ordered rail union work stoppages be suspended until 1 July. On Wednesday evening, the Fair Work Commission announced that while it would not grant the six-month suspension that the New South Wales government had requested, it would temporarily halt all industrial action to help unions and the government strike a pay deal. Sign up for Guardian Australia’s breaking news email	https://www.theguardian.com/australia-news/2025/feb/19/industrial-action-on-sydneys-train-network-suspended-until-1-july-after-fair-work-commission-ruling	2025-02-19T01:34:03-08:00	https://i.guim.co.uk/img/media/c5f26f5fd2b0ea7eaa3fdb0ee6ba50f13eaf89a4/0_400_6000_3600/master/6000.jpg?width=140&quality=85&auto=format&fit=max&s=b802562f3b401f57799e70cc8b8b85a2
Knife crime strategy needs to focus on stopping supply as well as possession, says policing minister – UK politics live	Diana Johnson defends Labour’s knife crime plan amid crisis in prison capacity in England and Wales Liberal Democrat leader Ed Davey has said that the Labour government’s policies are causing the cost of living crisis started under the Conservatives to -drag on-. Reaction to the rise in inflation, Davey said: The chancellor’s misguided policies are putting us at risk of a new era of stagflation. The economy still isn’t growing, and now people are being hit in their pockets too. The Conservative government plunged Britain into a cost of living crisis, and Labour’s failures are just making the misery drag on and on. Well, look, we inherited a terrible situation from the previous government, and their failure to make sure that sufficient prison places were built. It is a disgrace. And unfortunately, that’s the inheritance we had. The lord chancellor had to take some really difficult decisions because of that. We are committed, obviously, to building the 14,000 additional places that we need. That’s coming online.	https://www.theguardian.com/politics/live/2025/feb/19/knife-crime-supply-possession-labour-pmqs-starmer-badenoch-uk-politics-latest	2025-02-19T01:29:11-08:00	https://i.guim.co.uk/img/media/4a4e6dfb4d267ade6a94469034204ab2560220b3/0_141_5118_3071/master/5118.jpg?width=140&quality=85&auto=format&fit=max&s=4f6a6fad049f748c2599f5349cc527c8
