Title	Description	Link	pubDate	Image
No Russian warships in Black, Azov Seas	There are no enemy ships in the Black and Azov Seas, and 3 Russian Kalibr missile carriers in the Mediterranean.	https://www.ukrinform.net/rubric-ato/3959454-no-russian-warships-in-black-azov-seas.html	2025-02-12T22:58:00-08:00	
Russian Army loses another 1,250 troops and two air defense syste...	The total combat losses of Russian troops in Ukraine from February 24, 2022, to February 13, 2025, amount to about 854,280 people, including 1,250 people over the past day.	https://www.ukrinform.net/rubric-ato/3959456-russian-army-loses-another-1250-troops-and-two-air-defense-systems-in-ukraine.html	2025-02-12T22:37:00-08:00	
Russians attack Kherson, injuring two	Russian troops attacked the central district of Kherson, two people were injured in the shelling.	https://www.ukrinform.net/rubric-ato/3959451-russians-attack-kherson-injuring-two.html	2025-02-12T22:02:00-08:00	
Netherlands to supply Ukraine with 25 armored vehicles for medica...	The Netherlands will transfer 25 tracked armored vehicles to Ukraine for the evacuation of the wounded.	https://www.ukrinform.net/rubric-ato/3959425-netherlands-to-supply-ukraine-with-25-armored-vehicles-for-medical-evacuation.html	2025-02-12T21:34:00-08:00	
‘Achilles’ regiment destroys two tanks and armored vehicle in Kha...	Soldiers of the 429th separate regiment of unmanned aerial systems 'Achilles' destroyed two tanks and an armored combat vehicle of the Russian invaders in the Kharkiv region.	https://www.ukrinform.net/rubric-ato/3959423-achilles-regiment-destroys-two-tanks-and-armored-vehicle-in-kharkiv-region.html	2025-02-12T21:02:00-08:00	
Over 300,000 civilians remain in Donetsk region: RMA on evacuatio...	About 301,000 civilians remain in Donetsk Oblast, and mandatory evacuation in the region continues.	https://www.ukrinform.net/rubric-ato/3959420-over-300000-civilians-remain-in-donetsk-region-rma-on-evacuation-progress.html	2025-02-12T20:31:00-08:00	
Over 300,000 civilians remain in Donetsk region: RMA on evacuatio...	About 301,000 civilians remain in Donetsk Oblast, and mandatory evacuation in the region continues.	https://www.ukrinform.net/rubric-society/3959420-over-300000-civilians-remain-in-donetsk-region-rma-on-evacuation-progress.html	2025-02-12T20:31:00-08:00	
Canadian military shows Ukrainian soldiers undergoing training in...	The Canadian Armed Forces showed how they help Ukrainian defenders to improve their tactical medicine skills.	https://www.ukrinform.net/rubric-ato/3959301-canadian-military-shows-ukrainian-soldiers-undergoing-training-in-tactical-medicine.html	2025-02-12T19:23:00-08:00	
Foreign military in Ukrainian army to undergo polygraph tests – D...	Foreigners and stateless persons wishing to serve in the Armed Forces of Ukraine, the State Special Transport Service and the National Guard will undergo psychophysiological testing. The Cabinet of Ministers approved the relevant Regulation developed by the Ministry of Defense.	https://www.ukrinform.net/rubric-ato/3959180-foreign-military-in-ukrainian-army-to-undergo-polygraph-tests-defense-ministry.html	2025-02-12T18:45:00-08:00	
Russia again disrupts IAEA rotation at Zaporizhzhia NPP	Following a traditional scheme of threats and provocations, Russia has once again deliberately disrupted the rotation of the experts of the International Atomic Energy Agency (IAEA) at Zaporizhzhia Nuclear Power Plant (NPP).	https://www.ukrinform.net/rubric-ato/3959252-russia-again-disrupts-iaea-rotation-at-zaporizhzhia-npp.html	2025-02-12T17:51:00-08:00	
Russia again disrupts IAEA rotation at Zaporizhzhia NPP	Following a traditional scheme of threats and provocations, Russia has once again deliberately disrupted the rotation of the experts of the International Atomic Energy Agency (IAEA) at Zaporizhzhia Nuclear Power Plant (NPP).	https://www.ukrinform.net/rubric-economy/3959252-russia-again-disrupts-iaea-rotation-at-zaporizhzhia-npp.html	2025-02-12T17:51:00-08:00	
USDA downgrades forecast for Ukraine’s wheat, corn exports in MY ...	The United States Department of Agriculture (USDA) has published a revised World Agricultural Production outlook for the marketing year 2024/2025, downgrading the estimated export values for Ukrainian wheat and corn. At the same time, production values remained the same.	https://www.ukrinform.net/rubric-economy/3959235-usda-downgrades-forecast-for-ukraines-wheat-corn-exports-in-my-20242025.html	2025-02-12T16:18:00-08:00	
Kuleba, EIB president discuss areas of cooperation on Ukraine's r...	Deputy Prime Minister and Minister for Restoration, Communities and Territories Development of Ukraine Oleksii Kuleba and President of the European Investment Bank (EIB) Nadia Calviño discussed joint projects and areas of cooperation, including road rehabilitation and social housing construction.	https://www.ukrinform.net/rubric-vidbudova/3959060-kuleba-eib-president-discuss-areas-of-cooperation-on-ukraines-recovery.html	2025-02-12T15:34:00-08:00	
Russian missile strike damages offices of FreeDom, Dim TV channel...	In Kyiv, as a result of a Russian missile strike on the morning of February 12, the offices of the Ukrainian foreign broadcasting channels FreeDom and Dim were damaged.	https://www.ukrinform.net/rubric-ato/3959172-russian-missile-strike-damages-offices-of-freedom-dim-tv-channels-in-kyiv.html	2025-02-12T14:42:00-08:00	
War update: 112 clashes on frontline, Russia’s major offensive ef...	There have been 112 combat clashes on the frontline, with the enemy concentrating its main offensive efforts in the Pokrovsk and Kursk sectors.	https://www.ukrinform.net/rubric-ato/3959410-war-update-112-clashes-on-frontline-russias-major-offensive-efforts-concentrated-in-two-sectors.html	2025-02-12T13:57:00-08:00	
Presidents of Ukraine, U.S. agree on immediate start of teams wor...	President of Ukraine Volodymyr Zelensky and President of the United States Donald Trump agreed during a phone conversation to immediately start the work of their two teams. The priority will be meetings between the Ukrainian side and U.S. Secretary of State Marco Rubio, White House National Security Advisor Mike Waltz, and U.S. Vice President J.D. Vance.	https://www.ukrinform.net/rubric-polytics/3959407-presidents-of-ukraine-us-agree-on-immediate-start-of-teams-work-yermak.html	2025-02-12T13:40:00-08:00	
Umerov: Ukraine's position on NATO membership remains unchanged	Ukraine, its armed forces, and its people are fighting against the Russian aggressor not only for their own security but also for the security of the entire European continent. Therefore, Ukraine's position remains unchanged – the country will be a NATO member and will become a European Union member.	https://www.ukrinform.net/rubric-polytics/3959401-umerov-ukraines-position-on-nato-membership-remains-unchanged.html	2025-02-12T13:20:00-08:00	
Germany to deliver about 100 IRIS-T missiles to Ukraine	Germany will soon deliver about 100 guided missiles for the IRIS-T air defense systems to Ukraine.	https://www.ukrinform.net/rubric-defense/3959398-germany-to-deliver-about-100-irist-missiles-to-ukraine.html	2025-02-12T13:04:00-08:00	
Russia spends EUR 1B annually on its media since 2014 – expert	Since 2014, Russia has been allocating at least one billion euros annually to develop its media infrastructure worldwide. However, Ukrainian society can build 'immunity' against Russian information-psychological operations (IPSO) under certain conditions.	https://www.ukrinform.net/rubric-society/3959394-russia-spends-eur1b-annually-on-its-media-since-2014-expert.html	2025-02-12T12:50:00-08:00	
Paris hosting Weimar+ meeting to support Ukraine	On Wednesday evening, a meeting in the Weimar+ format, focused on European defense issues and long-term support for Ukraine, is taking place in Paris at the level of foreign ministers, including Ukraine's Minister of Foreign Affairs, Andrii Sybiha.	https://www.ukrinform.net/rubric-polytics/3959388-paris-hosting-weimar-meeting-to-support-ukraine.html	2025-02-12T12:35:00-08:00	
Umerov summarizes aid packages following Ramstein meeting	Today's meeting of the Ukraine Defense Contact Group (the Ramstein format) was successful and confirmed the partners' continued commitment to supporting Ukraine in its fight against Russian aggression.	https://www.ukrinform.net/rubric-defense/3959384-umerov-summarizes-aid-packages-following-ramstein-meeting.html	2025-02-12T12:17:00-08:00	
Trump seeking to end war while ensuring Ukraine can protect its s...	U.S. President Donald Trump and his Administration are intentionally seeking a way to end the war in a manner that allows Ukraine to protect its sovereignty.	https://www.ukrinform.net/rubric-polytics/3959379-trump-seeking-to-end-war-while-ensuring-ukraine-can-protect-its-sovereignty-expert.html	2025-02-12T12:00:00-08:00	
Russian troops strike Zolochiv community with glide bombs damagin...	On Wednesday afternoon, the Russian forces struck a village in Zolochiv community of Kharkiv region with two glide bombs damaging at least ten residential buildings.	https://www.ukrinform.net/rubric-ato/3959374-russian-troops-strike-zolochiv-community-with-glide-bombs-damaging-10-houses.html	2025-02-12T11:46:00-08:00	
AFU representative claims 75% of channels with provocative videos...	Russia is conducting an information-psychological operation to disrupt mobilization in Ukraine. The enemy has managed to demonize the image of the Territorial Recruitment and Social Support Centers (TRC), creating a 'boogeyman' to scare Ukrainians.	https://www.ukrinform.net/rubric-society/3959370-afu-representative-claims-75-of-channels-with-provocative-videos-about-trc-have-russian-belarusian-registration.html	2025-02-12T11:30:00-08:00	
UK defense chief on stepping up support for Ukraine: 'We will do ...	British Defense Secretary John Healey says NATO allies in Europe are committed to continue supporting Ukraine and at the same time increasing pressure on Russia’s Vladimir Putin to bring him to the negotiating table.	https://www.ukrinform.net/rubric-polytics/3959364-uk-defense-chief-on-stepping-up-support-for-ukraine-we-will-do-more.html	2025-02-12T11:20:00-08:00	
Russians launch over 20 strikes at Nikopol district	Russian forces attacked Nikopol district in Dnipropetrovsk region over 20 times throughout the day, using strike drones and artillery. There were hits on an industrial enterprise and a gas station.	https://www.ukrinform.net/rubric-ato/3959360-russians-launch-over-20-strikes-at-nikopol-district.html	2025-02-12T11:00:00-08:00	
Zelensky, Trump discuss opportunities to achieve peace	A phone conversation occurred between President of Ukraine Volodymyr Zelensky and U.S. President Donald Trump.	https://www.ukrinform.net/rubric-polytics/3959357-zelensky-trump-discuss-opportunities-to-achieve-peace.html	2025-02-12T10:45:00-08:00	
Ukraine’s PM, U.S. Treasury Secretary discuss economic cooperatio...	Ukrainian Prime Minister Denys Shmyhal and U.S. Treasury Secretary Scott Bessent discussed economic cooperation and sanctions against Russia during a meeting in Kyiv.	https://www.ukrinform.net/rubric-economy/3959349-ukraines-pm-us-treasury-secretary-discuss-economic-cooperation-sanctions-against-russia.html	2025-02-12T10:31:00-08:00	
Healey on Ramstein meeting results: Ukraine will receive billions...	Following the 26th meeting of the Ukraine Defense Contact Group, all participants reaffirmed their commitment to supporting Ukraine and announced billions of U.S. dollars in military assistance for the Ukrainian Armed Forces.	https://www.ukrinform.net/rubric-ato/3959351-healey-on-ramstein-meeting-results-ukraine-will-receive-billions-in-aid.html	2025-02-12T10:25:00-08:00	
Trump, Putin have phone call: agreed to start negotiations to end...	U.S. President Donald Trump, during a phone conversation with Russian President Vladimir Putin on Wednesday, February 12, discussed, among other topics, the situation in Ukraine.	https://www.ukrinform.net/rubric-polytics/3959344-trump-putin-have-phone-call-agreed-to-start-negotiations-to-end-war.html	2025-02-12T10:16:00-08:00	
Ramstein meeting: Estonia calls for increased military aid to Ukr...	Ukraine has already received €50 billion in military aid. While this is significant, it remains insufficient.	https://www.ukrinform.net/rubric-defense/3959337-rammstein-meeting-estonia-calls-for-increased-military-aid-to-ukraine.html	2025-02-12T10:00:00-08:00	
Ukrainian forces repel Russian assault on Kursk front	Soldiers of the 61st Separate Mechanized Steppe Brigade successfully halted a Russian attack in Kursk region.	https://www.ukrinform.net/rubric-ato/3959330-ukrainian-forces-repel-russian-assault-on-kursk-front.html	2025-02-12T09:45:00-08:00	
U.S. Treasury Secretary brings Partnership Agreement to Kyiv – Ze...	U.S. Treasury Secretary Scott Bessent has brought a Partnership Agreement to Kyiv, which will include economic cooperation between the two countries.	https://www.ukrinform.net/rubric-polytics/3959323-us-treasury-secretary-brings-partnership-agreement-to-kyiv-zelensky.html	2025-02-12T09:28:00-08:00	
European NATO countries must provide overwhelming aid to Ukraine ...	Europe must take responsibility for maintaining peace on the continent and provide the overwhelming aid to Ukraine, as the U.S. faces a broader range of challenges requiring immediate attention.	https://www.ukrinform.net/rubric-polytics/3959321-european-nato-countries-must-provide-overwhelming-aid-to-ukraine-us-secdef.html	2025-02-12T09:10:00-08:00	
Russians strikes Sloviansk in Donetsk region: enterprise, houses ...	The Russian forces have shelled Sloviansk in Donetsk region, damaging an enterprise and two private houses.	https://www.ukrinform.net/rubric-ato/3959309-russians-strikes-sloviansk-in-donetsk-region-enterprise-houses-damaged.html	2025-02-12T08:40:00-08:00	
War update: 74 clashes on frontline since day-start, battles ongo...	Since the beginning of the day, as many as 74 combat clashes have taken place between the Defense Forces of Ukraine and the Russian troops, with the highest enemy activity recorded in the Pokrovsk, Novopavlivka, and Kursk sectors.	https://www.ukrinform.net/rubric-ato/3959302-war-update-74-clashes-on-frontline-since-daystart-battles-ongoing-in-eight-sectors.html	2025-02-12T08:21:00-08:00	
Pentagon chief says U.S. will not deploy its troops to Ukraine as...	U.S. Secretary of Defense Pete Hegseth has said that a potential peacekeeping mission that could be deployed to Ukraine as part of security guarantees will not include U.S. troops.	https://www.ukrinform.net/rubric-ato/3959290-pentagon-chief-says-us-will-not-deploy-its-troops-to-ukraine-as-part-of-peacekeeping-mission.html	2025-02-12T07:54:00-08:00	
UK announces £150M military aid package for Ukraine	The United Kingdom has announced the allocation of a new defense aid package to Ukraine, which will include tanks, artillery, missiles and other types of weapons, as well as contracts for the maintenance of previously supplied equipment.	https://www.ukrinform.net/rubric-ato/3959282-uk-announces-150m-military-aid-package-for-ukraine.html	2025-02-12T07:29:00-08:00	
NATO countries provided security assistance worth EUR 50B to Ukra...	Last year, NATO member countries provided Ukraine with security assistance for a total of EUR 50 billion, exceeding the commitments pledged at the Washington Summit.	https://www.ukrinform.net/rubric-polytics/3959266-nato-countries-provided-security-assistance-worth-eur-50b-to-ukraine-last-year-rutte.html	2025-02-12T06:58:00-08:00	
EIB to allocate EUR 2B for recovery projects under Ukraine Facili...	Representatives of the Ukrainian Finance Ministry, the European Investment Bank and the European Commission discussed the implementation of investment projects for Ukraine’s recovery, including projects under Pillar 2 of the Ukraine Facility.	https://www.ukrinform.net/rubric-economy/3959258-eib-to-allocate-eur-2b-for-recovery-projects-under-ukraine-facility.html	2025-02-12T06:39:00-08:00	
NATO Military Committee Chairman impressed with heroism of Ukrain...	Chairman of the NATO Military Committee, Admiral Giuseppe Cavo Dragone believes that the Ukrainian soldiers are an example of true heroism.	https://www.ukrinform.net/rubric-society/3959243-nato-military-committee-chairman-impressed-with-heroism-of-ukrainian-soldiers.html	2025-02-12T06:16:00-08:00	
Swiss volunteer dies fighting in Ukraine	For the first time since the start of the Russian invasion in 2022, a Swiss volunteer fighter has died on the front in Ukraine	https://www.ukrinform.net/rubric-ato/3959230-swiss-volunteer-dies-fighting-in-ukraine.html	2025-02-12T05:46:00-08:00	
Ukrainian defenders shoot down three enemy Zala reconnaissance UA...	In the Novopavlivka sector, attack drone operators from the unmanned systems battalion destroyed three Russian Zala reconnaissance UAVs.	https://www.ukrinform.net/rubric-ato/3959222-ukrainian-defenders-shoot-down-three-enemy-zala-reconnaissance-uavs-in-novopavlivka-sector.html	2025-02-12T05:24:00-08:00	
Rocket attack on Kyiv: rescuers dismantle building structures in ...	Rescuers continue to dismantle building structures in the Obolon district of Kyiv after a Russian missile strike on the morning of February 12.	https://www.ukrinform.net/rubric-ato/3959206-rocket-attack-on-kyiv-rescuers-dismantle-building-structures-in-obolon-district.html	2025-02-12T04:59:00-08:00	
UNESCO mission arrives in Odesa to check integrity of world cultu...	A joint mission of the UNESCO World Heritage Center and ICOMOS (International Council on Monuments and Sites) is on an official visit to Odesa.	https://www.ukrinform.net/rubric-society/3959201-unesco-mission-arrives-in-odesa-to-check-integrity-of-world-cultural-heritage.html	2025-02-12T04:41:00-08:00	
Zelensky: Elections unfair without military, TOT Ukrainians, and ...	President Volodymyr Zelensky noted that elections without the participation of the military, Ukrainians from the occupied territories and those abroad would not be fair.	https://www.ukrinform.net/rubric-polytics/3959187-zelensky-elections-unfair-without-military-tot-ukrainians-and-those-abroad.html	2025-02-12T04:21:00-08:00	
Zelensky: Without Ukraine, Europe will be totally occupied	Today, the Ukrainian army has 110 combat brigades, the Russian army has 220, and there are currently about 82 combat brigades in Europe. Therefore, without Ukraine, Europe will be totally occupied.	https://www.ukrinform.net/rubric-polytics/3959167-zelensky-without-ukraine-europe-will-be-totally-occupied.html	2025-02-12T03:59:00-08:00	
Drone attack in Kyiv region: woman injured by falling debris, des...	In Boryspil, Fastiv and Obukhiv districts of Kyiv region, an elderly woman was injured as a result of the fall of the wreckage of downed Russian drones.	https://www.ukrinform.net/rubric-ato/3959163-drone-attack-in-kyiv-region-woman-injured-by-falling-debris-destruction.html	2025-02-12T03:44:00-08:00	
Zelensky: No talks with Russia, they must be stopped or they’ll p...	President Volodymyr Zelensky called on European and American partners not to negotiate with Russian dictator Vladimir Putin but to take care of their own security.	https://www.ukrinform.net/rubric-ato/3959158-zelensky-no-talks-with-russia-they-must-be-stopped-or-theyll-push-forward.html	2025-02-12T03:22:00-08:00	
Man wounded in Sumy region after shelling of Esman community	A resident of the Esman community in Sumy region suffered from a Russian strike from a multiple rocket launcher system that took place on the evening of February 11.	https://www.ukrinform.net/rubric-ato/3959151-man-wounded-in-sumy-region-after-shelling-of-esman-community.html	2025-02-12T02:57:00-08:00	
Rocket attack on Kyiv: authorities verifying number of victims	A man born in 1985 was killed in Kyiv as a result of a morning rocket attack by Russian invaders.	https://www.ukrinform.net/rubric-ato/3959137-rocket-attack-on-kyiv-authorities-verifying-number-of-victims.html	2025-02-12T02:27:00-08:00	
DM of Ukraine starts work at Ramstein meeting	Defense Minister Rustem Umerov started his work in Brussels at a meeting of the Contact Group on Ukraine's Defense in the Ramstein format.	https://www.ukrinform.net/rubric-ato/3959130-dm-of-ukraine-starts-work-at-ramstein-meeting.html	2025-02-12T01:59:00-08:00	
Russians attack critical infrastructure facility in Chernihiv reg...	A fire broke out at a critical infrastructure facility in the Pryluky district of Chernihiv region during a nighttime Russian attack, injuring two people.	https://www.ukrinform.net/rubric-ato/3959090-russians-attack-critical-infrastructure-facility-in-chernihiv-region-two-wounded.html	2025-02-12T01:27:00-08:00	
Eight wounded in Kharkiv region due to Russian airstrikes and she...	Eight people were injured in Kharkiv region yesterday, February 11, as a result of Russian air strikes and shelling.	https://www.ukrinform.net/rubric-ato/3959085-eight-wounded-in-kharkiv-region-due-to-russian-airstrikes-and-shelling.html	2025-02-12T01:06:00-08:00	
Drone debris sparks fire at infrastructure facility in Mykolaiv r...	In Mykolaiv region, a fire broke out at an infrastructure facility as a result of the fall of wreckage from downed Russian drones.	https://www.ukrinform.net/rubric-ato/3959079-drone-debris-sparks-fire-at-infrastructure-facility-in-mykolaiv-region.html	2025-02-12T00:45:00-08:00	
AFU down six Russian Iskander-M missiles, 71 UAVs	The Ukrainian Defense Forces have shot down six Russian Iskander-M ballistic missiles and 71 drones.	https://www.ukrinform.net/rubric-ato/3959074-afu-down-six-russian-iskanderm-missiles-71-uavs.html	2025-02-12T00:22:00-08:00	
Zelensky on Russian night attack: ‘Putin is not preparing for pea...	Kremlin leader Vladimir Putin is not preparing for peace, only strong steps and pressure on Russia can stop terror, President of Ukraine Volodymyr Zelensky said on Facebook.	https://www.ukrinform.net/rubric-ato/3959069-putin-is-not-preparing-for-peace-zelensky-comments-on-russian-night-attack.html	2025-02-11T23:57:00-08:00	
Russians wound three residents of Donetsk region yesterday	Russian invaders injured three residents of Donetsk region yesterday, February 11.	https://www.ukrinform.net/rubric-ato/3959067-russians-wound-three-residents-of-donetsk-region-yesterday.html	2025-02-11T23:33:00-08:00	
Suspended USAID programs may cut assistance to Ukrainian water ut...	Having the programs of the United States Agency for International Development (USAID) suspended may reduce the total amount of humanitarian assistance provided to Ukrainian water utility companies by 20%.	https://www.ukrinform.net/rubric-economy/3959052-suspended-usaid-programs-may-cut-assistance-to-ukrainian-water-utility-companies-by-20-experts-opinion.html	2025-02-11T23:14:00-08:00	
War update: 95 combat clashes at front in past day, including 30 ...	On February 11, 95 combat engagements between the Ukrainian Defense Forces and Russian invaders were recorded along the frontlines.	https://www.ukrinform.net/rubric-ato/3959057-war-update-95-combat-clashes-at-front-in-past-day-including-30-in-pokrovsk-sector.html	2025-02-11T22:55:00-08:00	
Ukrainian team wins 16 medals at Invictus Games in one day	On Tuesday, the Ukrainian national team won 16 medals in winter sports at the Invictus Games in Canada.	https://www.ukrinform.net/rubric-sports/3959050-ukrainian-team-wins-16-medals-at-invictus-games-in-one-day.html	2025-02-11T22:34:00-08:00	
Russian army loses another 1,150 troops in Ukraine over past day	The Russian army’s combat losses in Ukraine from February 24, 2022 to February 12, 2025 amount to nearly 853,030 invaders, including another 1,150 troops killed or wounded in action in the past day.	https://www.ukrinform.net/rubric-ato/3959045-russian-army-loses-another-1150-troops-in-ukraine-over-past-day.html	2025-02-11T22:13:00-08:00	
Missile attack on Kyiv: One killed, four injured in Obolonskyi di...	A Russian missile attack in the early hours of February 12 killed one person and injured four others, including a child, in the Obolonskyi district of Kyiv.	https://www.ukrinform.net/rubric-ato/3959043-missile-attack-on-kyiv-one-killed-four-injured-in-obolonskyi-district.html	2025-02-11T21:54:00-08:00	
Three people injured in enemy strikes in Zaporizhzhia region	The Russian forces attacked the Zaporizhzhia region 448 times, with 13 settlements within the region being targeted. Three people were injured in the Polohy district.	https://www.ukrinform.net/rubric-ato/3959039-three-people-injured-in-enemy-strikes-in-zaporizhzhia-region.html	2025-02-11T21:35:42-08:00	
Russian nighttime attack damages houses, sparks fire in Kyiv regi...	On the night of February 12, the Kyiv region experienced enemy UAV and missile attacks that caused damage to houses and a vehicle and sparked fires in several districts.	https://www.ukrinform.net/rubric-ato/3959038-russian-nighttime-attack-damages-houses-sparks-fire-in-kyiv-region.html	2025-02-11T21:26:00-08:00	
One enemy Kalibr carrier remains on combat duty in Black Sea	As of 06:00 on February 12, there was one Russian Kalibr cruise missile carrier in the Black Sea with a total volley of up to four missiles.	https://www.ukrinform.net/rubric-ato/3959034-one-enemy-kalibr-carrier-remains-on-combat-duty-in-black-sea.html	2025-02-11T20:50:00-08:00	
At least one killed in Russian missile attack on Kyiv, child amon...	At least one person has been killed in a missile attack on Kyiv. There have been reports of injuries and fires in various districts of the city.	https://www.ukrinform.net/rubric-ato/3959031-at-least-one-killed-in-russian-missile-attack-on-kyiv-child-among-wounded.html	2025-02-11T20:31:00-08:00	
Ukrainian forces repel Russian armored assault in Lyman sector	Soldiers of the 60th Separate Mechanized Inhulets Brigade, in coordination with neighboring units, successfully repelled a mechanized assault by Russian forces in the Lyman sector.	https://www.ukrinform.net/rubric-ato/3958967-ukrainian-forces-repel-russian-armored-assault-in-lyman-sector.html	2025-02-11T19:25:00-08:00	
Regional chief says Mykolaiv region takes lead in terms of econom...	The Mykolaiv region has taken the lead in terms of economy deshadowing, and this is evidence that enterprises are changing approaches to their activities.	https://www.ukrinform.net/rubric-economy/3958903-regional-chief-says-mykolaiv-region-takes-lead-in-terms-of-economy-deshadowing.html	2025-02-11T18:16:00-08:00	
Ukraine’s State Special Communications Service reports decrease i...	Due to the ability of Russian hackers to adapt in cyber warfare, there has been a gradual decrease in the number of cyberattacks with high and critical levels in recent years.	https://www.ukrinform.net/rubric-society/3958894-ukraines-state-special-communications-service-reports-decrease-in-criticallevel-cyberattacks-by-russia.html	2025-02-11T17:37:00-08:00	
Russians relocating equipment in Crimea to hide it from Ukrainian...	In the temporarily occupied Crimea, near Kerch, the Russian forces are relocating important military equipment in an attempt to hide it from the Armed Forces Ukraine.	https://www.ukrinform.net/rubric-ato/3958841-russians-relocating-equipment-in-crimea-to-hide-it-from-ukrainian-forces-reports.html	2025-02-11T16:25:00-08:00	
Ukrainian forces destroy Russian Smerch-2 bomb launcher in Lyman ...	Soldiers from Ukraine's 63rd Mechanized Brigade have destroyed a rare piece of enemy military equipment -- a Smerch-2 naval bomb launcher -- in the Lyman sector.	https://www.ukrinform.net/rubric-ato/3958749-ukrainian-forces-destroy-russian-smerch2-bomb-launcher-in-lyman-sector.html	2025-02-11T15:27:00-08:00	
M777, Krab, Archer, ammo: MoD told about assistance from artiller...	During the work of the Coalition, Ukraine has received legendary M777, Caesar, Krab, Zuzana, Archer, PzH-2000 artillery systems, as well as a number of other systems and millions of shells.	https://www.ukrinform.net/rubric-ato/3958708-m777-krab-archer-ammo-mod-told-about-assistance-from-coalition-to-artillery.html	2025-02-11T14:41:00-08:00	
Trump administration links American's release in Russia to Ukrain...	The Trump administration secured the release of U.S. schoolteacher Marc Fogel from a Russian prison, claiming that this is a 'show of good faith' from Russia and signals progress toward ending the war in Ukraine.	https://www.ukrinform.net/rubric-polytics/3958996-trump-administration-links-americans-release-in-russia-to-ukraine-war-resolution.html	2025-02-11T13:58:00-08:00	
Ohryzko says shifting security guarantees for Ukraine to Europe i...	The United States bears responsibility for Ukraine's security, as stipulated in the Budapest Memorandum.	https://www.ukrinform.net/rubric-polytics/3958992-ohryzko-says-shifting-security-guarantees-for-ukraine-to-europe-is-unfair.html	2025-02-11T13:37:00-08:00	
Sybiha to visit Paris on Feb 12 to discuss sanctions against Russ...	Ukrainian Foreign Minister Andrii Sybiha will embark on a two-day visit to Paris, where he will participate in a meeting of foreign ministers from six European countries, along with senior representatives of the European Commission.	https://www.ukrinform.net/rubric-polytics/3958990-sybiha-to-visit-paris-on-feb-12-to-discuss-sanctions-against-russia-european-security.html	2025-02-11T13:15:00-08:00	
Ohryzko: Russia entering phase of stagnation, its economy resembl...	Russia is already entering a phase of stagnation, and its economy is beginning to resemble the chaos of the 1990s. However, the Kremlin continues its propaganda efforts, attempting to convince the West of its 'strength' to push for concessions.	https://www.ukrinform.net/rubric-polytics/3958987-ohryzko-russia-entering-phase-of-stagnation-its-economy-resembles-chaos-of-1990s.html	2025-02-11T12:53:00-08:00	
Ukraine's defense minister: One-year contracts approved for volun...	The Cabinet of Ministers of Ukraine has approved a new one-year contract system for military volunteers aged 18 to 24, with a potential annual income of up to UAH 2 million.	https://www.ukrinform.net/rubric-society/3958981-ukraines-defense-minister-oneyear-contracts-approved-for-volunteers-aged-1824.html	2025-02-11T12:30:00-08:00	
New Ukraine lend-lease bill introduced in U.S. Congress	Republican Congressman Joe Wilson has introduced a bill in the U.S. House of Representatives to grant the president expanded authority to provide Ukraine with military assistance through a lend-lease program.	https://www.ukrinform.net/rubric-polytics/3958963-new-ukraine-lendlease-bill-introduced-in-us-congress.html	2025-02-11T12:08:00-08:00	
U.S. treasury secretary to visit Ukraine for talks on rare earth ...	U.S. Treasury Secretary Scott Bessent is set to travel to Ukraine this week to meet President Volodymyr Zelensky as part of U.S. efforts to resolve the war and secure access to critical minerals.	https://www.ukrinform.net/rubric-economy/3958959-us-treasury-secretary-to-visit-ukraine-for-talks-on-rare-earth-minerals-bloomberg.html	2025-02-11T11:42:00-08:00	
NATO defense ministers to discuss 'ambitious targets,' support fo...	At a meeting in Brussels on February 13, NATO defense chiefs will discuss 'ambitious targets' for the military alliance's security and capabilities and further assistance to Ukraine, NATO's press service has told Ukrinform.	https://www.ukrinform.net/rubric-polytics/3958949-nato-defense-ministers-to-discuss-ambitious-targets-support-for-ukraine-on-feb-13.html	2025-02-11T11:20:00-08:00	
Ukraine, Albania coordinate efforts to counter Russian shadow fle...	Prime Minister Denys Shmyhal and his Albanian counterpart Edi Rama discussed defense cooperation and strengthening sanctions pressure on Russia, including efforts to counter the Russian shadow fleet.	https://www.ukrinform.net/rubric-polytics/3958955-ukraine-albania-coordinate-efforts-to-counter-russian-shadow-fleet-pm.html	2025-02-11T10:59:00-08:00	
Zelensky confident Ukraine will overcome USAID funding suspension	President Volodymyr Zelensky said that Ukraine will find a way out of the situation in connection with the US government's decision to cut off USAID funding.	https://www.ukrinform.net/rubric-economy/3958940-zelensky-confident-ukraine-will-overcome-usaid-funding-suspension.html	2025-02-11T10:28:00-08:00	
