Title	Description	Link	pubDate	Image
Сибига отреагировал на заявление Трампа относительно членства Укр...	Сибига ответил Трампу относительно вступления Украины в НАТО / коллаж УНИАН, фото УНИАН, ua.depositphotos.comРоссийская Федерация не изменила свою позицию и в дальнейшем стремится уничтожить Украину, считает министр иностранных дел Украины Андрей Сибига. Как передает корреспондент УНИАН, об этом он сказал на пресс-конференции с действующим главой ОБСЕ, министром иностранных дел Финляндии Элиной Валтонен. В частности, Сибига прокомментировал заявление избранного президента США Дональда Трампа о том, что американский лидер якобы понимает нежелание Российской Федерации, чтобы Украина присоединилась к НАТО. 'Я точно знаю, что общий интерес трансатлантического сообщества - это достижение устойчивого, справедливого, всеобъемлющего мира. Я точно могу вам сказать, что Россия стремится к войне и уничтожению Украины. Я точно могу вам сказать, что Россия не изменила свою риторику - риторику капитуляции и ультиматумов', - подчеркнул министр. При этом, по его убеждению, лучшим форматом обмена мнениями между президентами Украины и США является формат прямого общения. 'Поэтому мы чрезвычайно заинтересованы в активном диалоге, в том числе на уровне лидеров, и именно этот формат позволяет очень действенно обмениваться мнениями как о причинах, так и о последствиях', - сказал Сибига. Заявление Трампа относительно членства Украины в НАТО Как известно, 7 января на пресс-конференции Трамп сказал, что Россия еще задолго до прихода Владимира Путина к власти говорила, что Украина никогда не будет членом НАТО. В то же время, по словам республиканца, нынешний президент США Джо Байден выступал за то, чтобы Украина имела возможность присоединиться к Альянсу. И поэтому, отметил Трамп, он понимает чувства россиян. Вас также могут заинтересовать новости: День армейской авиации: Зеленский подписал указ о новом государственном празднике Мобилизация работников с 'броней': в ТЦК дали разъяснения, возможно ли это В феврале заканчивается бронирование для всех мужчин: нардеп объяснил, что будет дальше	https://www.unian.net/politics/vstuplenie-ukrainy-v-nato-sibiga-otreagiroval-na-zayavlenie-trampa-12877914.html	2025-01-08T08:35:00-08:00	https://images.unian.net/photos/2025_01/1736353570-2699.jpg
Думаю, это не последняя встреча': нардеп назвал причину, почему ...	Рамштайн' достаточно удобен для оказания помощи Украине, считает Мережко / коллаж УНИАН, фото Минобороны, УНИАН, Таня ПоляковскаяФормат контактной группы по вопросам обороны Украины 'Рамштайн', к которому привлечены более 50 стран, является довольно удобным для оказания помощи Украине, считает народный депутат от 'Слуги народа', председатель Комитета Верховной Рады Украины по вопросам внешней политики и межпарламентского сотрудничества Александр Мережко. Как передает корреспондент УНИАН, об этом он сказал во время брифинга. Отвечая на вопрос о том, что якобы 'Рамштайн' 9 января может стать последним в таком формате, он выразил надежду, что 'это не последняя встреча'. 'На этой встрече речь будет о том, чтобы, так сказать, застраховать Украину на будущее, чтобы Украина получала стабильно военно-техническую помощь в течение следующего года. Даже на несколько лет. Возможно, речь идет об этом', - сказал депутат. Мережко выразил надежду, что этот формат будет продолжен по той причине, что он удобен для оказания помощи Украине. 'Если говорить о Соединенных Штатах, новом президенте, я очень надеюсь, что этот формат будет продолжен. По одной простой причине: это очень удобно. И уже, знаете, нет смысла разрушать то, что уже дает результаты, что является довольно удобным форматом для оказания помощи Украине. То есть я думаю, что это не последняя встреча', - сказал нардеп. Что говорит о будущем 'Рамштайн' министр обороны Польши Как сообщалось ранее, министр обороны Польши Владислав Косиняк-Камыш отметил, что заседание контактной группы по вопросам обороны Украины на авиабазе 'Рамштайн' в Германии 9 января может стать последней встречей такого типа. По его словам, скорее всего, администрация избранного президента США Дональда Трампа предложит 'другую форму этих мероприятий', ведь создателем нынешнего формата является действующий министр обороны США Ллойд Остин. Вас также могут заинтересовать новости: 'Выживает сильнейший': во Франции спрогнозировали, может ли Трамп вторгнуться в Гренландию Заявление Трампа об окончании войны в Украине за полгода: экс-посол объяснил, что с ним не так В случае Трампа что-то прогнозировать невозможно, из-за Гренландии и Канады он вообще может забыть о Путине и Украине, - эксперт	https://www.unian.net/world/kontaktnaya-gruppa-ramshtayn-deputat-merezhko-o-vazhnosti-formata-12877881.html	2025-01-08T08:10:00-08:00	https://images.unian.net/photos/2025_01/1736351637-7000.jpg
Украина сосредотачивает внимание на других тревогах': Зеленский ...	Зеленский прокомментировал последние скандальные заявления Маска / коллаж УНИАН, скриншотПрезидент Украины Владимир Зеленский заявил, что Украина сосредотачивает внимание на других тревогах, и в частности, которые звучат из-за угрозы российских ракетных атак, а не тех, которые звучат со стороны америеанского миллиардера Илона Маска. Как передает корреспондент УНИАН, об этом Зеленский сказал во время встречи с действующим председателем ОБСЕ, министром иностранных дел Финляндской Республики Элиной Валтонен. В частности, у президента спросили, вызывают ли у него тревогу заявления Илона Маска, который в последнее время пытается вмешиваться в политику европейских стран и поддерживать силы, которые предположительно критически относятся к Украине, в частности, не вызывает ли это беспокойство относительно продолжения поддержки Украины. 'Украина почти три года в войне. И мы за эти три года построили очень сильные и прочные отношения со странами не только Европейского Союза, а со странами мира, всей Европы', - сказал Зеленский. Президент отметил, что Украина имеет большую финансовую поддержку. 'Мы говорим о десятках миллиардов евро на поддержку как нашего бюджета, так и нашей армии, и о гуманитарной поддержке', - сказал Зеленский. При этом, сейчас глава государства сосредотачивает внимание на других тревогах. Зеленский отметил: 'Зимой, я концентрируюсь, извините, на других тревогах, которые, к сожалению, звучат пока в украинском небе, и поэтому, мы концентрируемся на усилении нашей противовоздушной обороны. Мы базируемся на контрактах, не на эмоциях. На контрактах через наши сильные договоренности со странами мира'. Он напомнил, что Украина уже заключила двусторонние соглашения по безопасности с 27 странами. В этих соглашениях есть конкретные годовые финансовые показатели. 'И сегодня мы говорим о конкретном уже 2025-й год и там есть конкретные суммы на что тот или иной процент идет', - сказал Зеленский и добавил, что основывается на доверии и на договоренностях с этими странами. Также в этих соглашениях есть базовые договоренности по украинской армии. А в соответствии с решением Еврокомиссии будут выделяться средства на зарплаты украинцев. 'Там серьезное решение по финансовой поддержке на 50 млрд, а также по российским замороженным активам есть большая доля других 50 млрд, которую мы можем использовать для наших гуманитарных, социальных потребностей поддержки Украины в этом году', - сказал Зеленский. Президент очень рад, что за 2024 год 'наработан хороший вход в 2025'. Скандальные заявления Маска Как сообщал УНИАН, 6 января американский миллиардер Илон Маск, который должен войти в состав президентской администрации Дональда Трампа, предложил идею чтобы США 'освободили народ Британии от их тиранического правительства'. В декабре Маск выразил свою поддержку ультраправой партии 'Альтернатива для Германии' (АдГ). Вас также могут заинтересовать новости: Макрон раскритиковал Илона Маска за вмешательство в европейскую политику Биограф Илона Маска заявил, что миллиардер сходит с ума и становится опасным для Америки Разборки за Канаду: Маск назвал Трюдо 'девочкой', ведущий Fox News заговорил о 'вторжении'	https://www.unian.net/world/zelenskiy-prokommentiroval-poslednie-skandalnye-zayavleniya-ilona-maska-12877872.html	2025-01-08T07:59:00-08:00	https://images.unian.net/photos/2025_01/1736351875-6462.jpg
Не делайте быстрых выводов': Зеленский отреагировал на заявление...	Зеленский ответил на заявление Трампа о вступлении Украины в НАТО / скриншот иллюстративныйУкраина хочет получить от США и других западных союзников 'конкретные гарантии безопасности', и об этом Киев будет разговаривать с избранным главой Белого дома Дональдом Трампом. Об этом заявил президент Украины Владимир Зеленский. Он, в частности, прокомментировал вчерашнее заявление Трампа о возможности вступления Украины в НАТО. 'Не делайте сразу те или иные выводы относительно политики США. Помните, украинцам говорили, что системы Patriot могут быть и есть только в странах НАТО... Ну, или мы с вами уже давно в НАТО, или не надо делать быстрых выводов. Так было у нас и с Patriot, так у нас было и с ракетными системами, и с другим оружием НАТО', - напомнил глава государства. В то же время он отметил, что сейчас Украина не является членом НАТО из-за позиции США, Германии, Венгрии и Словакии. 'Нас там не видят. И я считаю, что это одна из причин, почему у нас война. Потому что не боялись, что Украина будет с кем-то. То есть Путин понимал, что за Украину никто не вступится. Он понимал, что его армия больше и он может нас уничтожить. Но украинская армия сильных людей, наш народ, они поразили весь мир. И сегодня мы говорим и хотим этого', - сказал Зеленский. Заявление Трампа относительно вступления Украины в НАТО Накануне избранный президент США Дональд Трамп заявил, что 'может понять чувства' России в связи с тем, что действующий глава Белого дома Джо Байден якобы нарушил 'соглашение' об отказе принимать Украину в НАТО. Как сказал Трамп, 'большей частью проблемы было то, что Россия много лет, задолго до Путина, говорила, что НАТО не должно быть в Украине, это было, как будто, высечено в камне'. Также Трамп сделал заявление о сроках завершения войны в Украине и переговорах с РФ. По его словам, ситуация может обостриться в дальнейшем. Вас также могут заинтересовать новости: В Польше предупредили о давлении относительно сделки с Кремлем Трамп-младший посетил Гренландию, на которую его отец выдвинул претензии Британия и союзники привлекли ИИ к отслеживанию теневого флота России, - Business Insider	https://www.unian.net/politics/ne-delayte-bystryh-vyvodov-zelenskiy-o-zayavlenii-trampa-otnositelno-ukrainy-v-nato-12877860.html	2025-01-08T07:44:00-08:00	https://images.unian.net/photos/2025_01/1736350737-1025.jpg
Украина имеет право требовать сильных гарантий безопасности': Зе...	Зеленский ответил Трампу относительно членства Украины в НАТО / коллаж УНИАН, фото president.gov.ua, REUTERSПрезидент Украины Владимир Зеленский подчеркивает, что Украина имеет право требовать сильных гарантий безопасности, чтобы Россия больше не смогла напасть на Украину. Как передает корреспондент УНИАН, об этом Зеленский сказал во время встречи с действующим председателем ОБСЕ, министром иностранных дел Финляндской Республики Элиной Валтонен. В частности, глава государства прокомментировать последние заявления избранного президента США Дональда Трампа о том, что Украину якобы никогда не видели в НАТО и что новый президент понимает россиян в этом вопросе. 'Я скажу вам откровенно, мы никогда не были в НАТО, и для меня ничего нового нет в том, что Украина, к сожалению, не была защищена серьезным союзом гарантеров безопасности', - сказал Зеленский. Президент Украины отметил, что те страны, которые являются членами Альянса, не имеют войны. В то же время, Украина не была в НАТО и на нее напала Россия. 'Если честно, я считаю, что мы имеем право требовать от мира, который постоянно претендует на лидерство, и от стран, которые претендуют на мир в мире - я считаю, что мы имеем право требовать серьезные, сильные гарантии безопасности', - подчеркнул Зеленский. Он добавил, что говорил об этом с Трампом во время его первой президентской каденции, затем с президентом Джо Байденом, и теперь снова говорит с Трампом, который готовится 20 января вернуться в Белый дом. Зеленский добавил: 'Я постоянно поднимал вопрос гарантий безопасности. К сожалению, зависит это не только от Соединенных Штатов, а и от союзнической позиции в Европе. И скажу вам честно, к сожалению, при всем уважении ко всем странам Европы и к Соединенным Штатам, и при всем уважении к тому объему [помощи], что нам предоставлялся с начала войны, но в НАТО не было общей поддержки у Соединенных Штатов со всеми союзниками в Европе'. Глава государства напомнил, что есть страны, которые выступали против членства Украины в НАТО. 'И это была Америка, и это была Германия, и это была Венгрия, и это были словаки. И это факт. И если мы говорим открыто, то надо обратить внимание и сказать честно - нас там не видят. И я считаю, что это одна из причин, почему у нас война', - убежден Зеленский. Он считает, что россияне не боялись, что Украина будет с кем-то. 'То есть, Путин понимал, что за Украину никто не вступится. Он понимал, что его армия больше, он может нас уничтожить. Но украинская армия сильных людей и наш народ - они поразили весь мир. И сегодня мы говорим и хотим этого, и я поднимал этот вопрос с президентом Трампом, что мы хотим, чтобы это не повторилось', - подчеркнул Зеленский. По его мнению, самое главное, чтобы украинцы вернулись из-за границы, из разных стран. 'Потому что можно в Европе говорить, что мы хотели бы, чтобы украинцы возвращались, а при этом - не поддерживать гарантии безопасности для Украины. Это как-то не объединяется. По крайней мере в моей голове и, я думаю, у каждого украинца, который хочет вернуться в Украину и иметь гарантии безопасности для своей семьи. Иметь что-то конкретное. Вот что мы хотим - мы хотим конкретных гарантий безопасности. И мы просим об этом от союза Америки и Европы. И я буду об этом говорить с президентом Соединенных Штатов Америки', - подчеркнул Зеленский. При этом, президент Украины призывает не делать сразу те или иные выводы. 'Не делайте сразу выводов относительно политики Соединенных Штатов Америки', - призвал Зеленский. Он напомнил, как раньше Украине говорили, что системы Patriot могут быть и есть только в странах НАТО, но со временем это изменилось. Зеленский подчеркнул: 'Не надо делать быстрых выводов. Так было у нас с 'Петриотами', так у нас было с ракетными системами и с другим оружием образца НАТО. Надо проработать и надо делать все, чтобы Украина получила достойные, достойные наших людей гарантии безопасности, которые могли бы остановить Путина. Над этим будем работать'. Отдельно президент Украины отметил, что раньше никто не верил, что однажды Финляндия станет членом НАТО, а сегодня Украина очень рада, что эта страна получила членство. Вступление Украины в НАТО - позиция Трампа Как известно, недавно Трамп сказал, что Россия еще задолго до прихода Владимира Путина к власти говорила, что Украина никогда не будет членом НАТО. В то же время, по словам Трампа, президент Джо Байден выступал за то, чтобы Украина имела возможность присоединиться к Альянсу. И поэтому, как отметил Трамп, он понимает чувства россиян. Вас также могут заинтересовать новости: Договориться (не)возможно: Fox News о том, чего Трампу ожидать от Путина в вопросе Украины Трамп сделал заявление о сроках завершения войны в Украине и переговорах с РФ Заявление Трампа об окончании войны в Украине за полгода: экс-посол объяснил, что с ним не так	https://www.unian.net/world/ukraina-imeet-pravo-trebovat-silnyh-garantiy-bezopasnosti-zelenskiy-otvetil-trampu-o-nato-12877851.html	2025-01-08T07:35:00-08:00	https://images.unian.net/photos/2024_11/1731006158-9567.jpg
РФ нанесла удары по Запорожью: есть погибший и раненые	РФ ударила по Запорожью / фото Запорожской ОВАРоссийская армия сегодня обстреляла Запорожье - известно об одном погибшем и шести раненых. Об этом сообщил глава Запорожской ОВА Иван Федоров. Около 15:17 в Запорожской области была объявлена воздушная тревога из-за угрозы применения управляемых авиационных бомб и баллистических ракет. Впоследствии сообщалось о взрывах. Позже Федоров сообщил, что враг атаковал промышленную инфраструктуру в Запорожье. По его данным, в результате атаки один человек погиб, еще трое - ранены. Позже он заявил, что количество пострадавших увеличилось до шести. Новость дополняется...	https://www.unian.net/war/rf-nanesla-udary-po-zaporozhyu-est-pogibshiy-i-ranenye-12877782.html	2025-01-08T06:41:35-08:00	https://images.unian.net/photos/2025_01/1736347123-4505.jpg
Рамштайн' 9 января может стать последним в таком формате, - Мино...	Косиняк-Камыш считает, что 'Рамштайн' 9 января может стать последним в таком формате / коллаж УНИАН, скриншот, фото - ВикипедияЗаседание контактной группы по вопросам обороны Украины на авиабазе 'Рамштайн' в Германии 9 января может стать последней встречей такого типа, сообщил на пресс-конференции министр обороны Польши Владислав Косиняк-Камыш. Об этом пишет 300 Polityka. По его словам, скорее всего, администрация избранного президента США Дональда Трампа предложит 'другую форму этих мероприятий', ведь создателем нынешнего формата является действующий министр обороны Соединенных Штатов Ллойд Остин. 'Возможно, это последняя встреча такого типа, потому что новая администрация, видимо, предложит другую форму этих мероприятий. Я считаю, что НАТО должно взять на себя большее бремя, как сейчас', - сказал Косиняк-Камыш. Чиновник также сообщил, что в понедельник, 13 января, он будет обсуждать с министрами обороны Германии, Франции, Великобритании и Италии, а также с министром обороны Украины Рустемом Умеровым возможные изменения, которые произойдут в связи с 'будущей инаугурацией президента Трампа'. 'Рамштайн' 9 января: что известно Как сообщал ранее УНИАН, следующий 'Рамштайн' состоится 9 января. Это будет 25-е заседание Контактной группы по вопросам обороны Украины на авиабазе 'Рамштайн' в Германии. На нем обсудят дальнейшую поддержку Украины. Военный аналитик, майор запаса Алексей Гетьман рассказал, чего ожидать от заседания 'Рамштайна'. Он сказал, что вряд ли стоит ожидать решения о каком-то новейшем оружии для Украины, но позитив будет. 'Там будут согласовываться логистические пути, сроки поставки оружия, возможности его принять', - сообщил эксперт. В Пентагоне рассказали, как поддержат Украину на заседании 'Рамштайн': встреча будет сосредоточена на необходимости обеспечения непрерывной поставки ключевых возможностей, включая системы ПВО, артиллерийские боеприпасы и бронетехнику, а также усилиями по укреплению оборонной промышленной базы. Вас также могут заинтересовать новости: Разборки за Канаду: Маск назвал Трюдо 'девочкой', ведущий Fox News заговорил о 'вторжении' Беларусь проведет военные учения у границы с Украиной 'Выживает сильнейший': во Франции спрогнозировали, может ли Трамп вторгнуться в Гренландию	https://www.unian.net/world/kontaktnaya-gruppa-ramshtayn-zasedanie-9-yanvarya-mozhet-byt-poslednim-v-etom-formate-12877764.html	2025-01-08T06:36:00-08:00	https://images.unian.net/photos/2025_01/1736346409-5219.jpg
Беларусь проведет военные учения у границы с Украиной	Беларусь проведет военные сборы у границы с Украиной / t.me/modmilbyБеларусь анонсировала проведение военных сборов недалеко от границы с Украиной. Они продлятся до 31 января, сообщило Минобороны Беларуси. Военные учения стартуют 8 января под руководством председателя Гомельского районного исполнительного комитета. В Минобороны называют это 'учебным сбором с военнообязанными территориальных войск'. Военные сборы предусматривают: прием военнообязанных территориальных войск и их всестороннее обеспечение с задействованием местной базы мобилизационного развертывания; восстановление навыков командного состава территориальных войск в управлении подчиненными; подготовку военнообязанных к выполнению задач, в частности совместно с инженерными подразделениями Вооруженных Сил. Угроза с территории Беларуси Как известно, с начала полномасштабной войны самопровозглашенный президент Беларуси Александр Лукашенко уверяет, что для его страны якобы существует угроза вторжения. В начале декабря на территории бывшего 41-го авиационного полигона, недалеко от украинской границы, состоялись испытания новой зенитной управляемой ракеты для комплекса 'Бук-МБ2'. По данным проекта 'Беларускі Гаюн', в период с 23 декабря по 5 января Беларусь нарастила военное присутствие в украинском пограничье. Вас также могут заинтересовать новости: Путин начинает 2025 год с уверенностью в победе, - аналитик Atlantic Council 'Для защиты свободного мира': в NYT объяснили, зачем на самом деле Трампу Гренландия Разборки за Канаду: Маск назвал Трюдо 'девочкой', ведущий Fox News заговорил о 'вторжении'	https://www.unian.net/world/belarus-provedet-voennye-ucheniya-u-granicy-s-ukrainoy-12877482.html	2025-01-08T03:23:00-08:00	https://images.unian.net/photos/2023_04/1682252986-9575.jpg
Скандал со 155-й бригадой: командующий Сухопутными войсками сдела...	Драпатый прояснил ситуацию с скандальной 155-й бригадой / коллаж УНИАН, фото 24 бригада, facebook.com/MykhailoDrapatyiВыявленные недостатки при формировании 155-й отдельной механизированной бригады (155 ОМБр) имени Анны Киевской присущи любому новосозданному подразделению, которое сразу применяют в боевых действиях, заявил командующий Сухопутными войсками ВСУ, генерал-майор Михаил Драпатый. Свое мнение по этому поводу он высказал в Facebook, отметив, что сейчас большинство системных недостатков проанализированы, им дана оценка, по отдельным вопросам уже реализуются решения. 'Эти проблемы будут присущи любому вновь созданному подразделению, если его сразу после формирования применять в боевых действиях. Высшее командование должно это осознавать и учитывать. Однако и причины, почему так происходит, тоже всем понятны', - отметил Драпатый. Он акцентировал, что формирование и вооружение 'с нуля' новой бригады совместно с иностранным государством происходило впервые и в довольно сжатые сроки - всего за несколько месяцев. Никто не имел такого опыта раньше, поэтому невозможно было предусмотреть все нюансы и детали этого процесса, считает генерал. При этом Драпатый отметил, что французская сторона полностью выполнила свои обязательства перед Украиной, указав, на каком уровне возникли проблемы: 'Во время генерации новой бригады имело место формальное отношение со стороны ответственных лиц: это и ненадлежащее управление и контроль за всем процессом; и ошибки при комплектовании, и не всегда взвешенные решения по управлению личным составом бригады; несовершенное планирование подготовкой как в Украине, так и за рубежом; и запоздалая реакция высшего командования на проблемы, возникавшие в процессе создания и приобретения возможностей новой боевой единицей Сухопутных войск'. Он отметил, что 155-я бригада на фронте меньше месяца, и это тот период, когда проявляются все недостатки в комплектовании и подготовке личного состава. Вместе с тем, как отметил генерал, бригада продолжает выполнять боевые задачи: 'Я очень благодарен бойцам, которые адаптируются к непростым условиям и воюют. Несмотря на все сложности, бригада заняла полосу, выполняет боевые задачи, держит позиции, и параллельно - работает над устранением ошибок и улучшением боеспособности. Это происходит в трех направлениях: подготовка и боевой дух; обеспечение; управление и управляемость личным составом'. По его информации, новому командиру бригады оказывается поддержка руководства Сухопутных войск. Фокус при этом направлен на комплектовании бригады опытными офицерами и командирами всех звеньев. 'СОЧ. Ситуация непростая. Главный вызов, с которым столкнулась бригада - это низкая эффективность и мотивация командиров среднего звена, которые непосредственно руководят людьми... Здесь нет простого рецепта - надо работать над решением всех проблемных моментов, которые обусловливают СОЧ, не только в Сухопутных войсках, но в целом в Вооруженных силах. Количество СОЧ в бригаде будет уменьшаться пропорционально решениям, которые будут влиять на боеспособность и мотивацию личного состава. Это - общая задача органов власти и Сил Обороны и все ответственные получили указания', - отметил Драпатый. Он добавил, что лично занимается поиском офицеров, которых будет рекомендовать комбригу. Также работает горячая линия командующего Сухопутных войск для военных 155-й бригады. 'Кроме официальных ежедневных докладов, хочу иметь прямой контакт и слышать бойца, понимать, насколько наши решения влияют на его мотивацию и реальное положение дел', - написал генерал. 'И напоследок. Считаю, что 155-я бригада имени Анны Киевской - перспективная и еще проявит себя. Да, нужно время и усилия многих для исправления ошибок, допущенных при формировании. Но украинская новосозданная бригада имени Анны Киевской может и должна стать настоящим 'гальским петухом' - символом Франции: гордой, несокрушимой, и готовой к бою за свободу', - резюмировал командующий Сухопутными войсками. Скандал со 155-й бригадой - что сообщалось ранее Как писал УНИАН, в начале января Forbes обнародовало материал о том, что новосозданная 155-я механизированная бригада имени Анны Киевской, которая проходила подготовку во Франции и должна была усилить позиции ВСУ на Покровском направлении, начала 'разваливаться', не доехав до фронта. После появления информация о массовом дезертирстве бойцов 155-й бригады офицер подразделения на условиях анонимности рассказал СМИ, что основная часть военнослужащих в бригаде были необученными мобилизованными. По словам военного, у него самого до зачисления в бригаду не было никакой подготовки, однако, несмотря на это, его назначили на должность командира взвода в подразделении инженерного обеспечения бригады. Он утверждает, что ни соответствующих знаний военного дела, ни необходимых навыков - не имел. К тому же, по его словам, если солдаты проходили курс базовой военной подготовки, то он его не проходил ввиду того, что уже имел офицерское звание. Вас также могут заинтересовать новости: Скандал с 'развалившейся' 155-й бригадой: часть бойцов остаются под Покровском, - Le Monde Смогут ли ВСУ улучшить позиции на фронте: эксперт назвал ключевой фактор Стратегия Украины по преодолению самой большой проблемы в войне не работает, - BI	https://www.unian.net/war/skandal-so-155-y-brigadoy-komanduyushchiy-suhoputnymi-voyskami-sdelal-novoe-zayavlenie-12877449.html	2025-01-08T03:06:00-08:00	https://images.unian.net/photos/2025_01/1736333875-1476.jpg
