Title	Description	Link	pubDate
↩️ 📢 Overcome threats.	Air Force of the Armed Forces of Ukraine: ⚠Respect! ☄️ Threat of stagnation of ballistic armor&nbsp; from the street direction directly. 📢 Defeat threats.	https://t.me/kpszsu/18065	2024-08-21T11:40:29-07:00
⚠Respect! ☄️ Threat of stagnation of ballistic formation from ext...	⚠Respect!☄️ Threat of stagnation of ballistic armor&nbsp; from the street direction directly.	https://t.me/kpszsu/18064	2024-08-21T11:18:35-07:00
🚀KAB launches with tactical aviation in Sumy region!	🚀KAB launches with tactical aviation in Sumy region!	https://t.me/kpszsu/18063	2024-08-21T11:02:35-07:00
⚠ Respect! 🛫 Active tactical aviation activity on the direct rou...	⚠ Respect!🛫 The activity of the enemy’s tactical aviation is on the ground! 🚀The threat of stagnation of aviation security!	https://t.me/kpszsu/18062	2024-08-21T07:12:36-07:00
🔁🎬 ✈️ After the devastated Russian authorities evacuated the ci...	Forwarded From Commander of the Military Forces Mikola Oleshchuk ✈️ After the evacuation of the civilian population from the border of the Kursk region, shocked by the Russian authorities, the enemy is actively occupying civilian areas of the population to conduct defense operations points. We understand everything, we know everything. Our high-precision bombs will reach you here! Thanks to the pilots of the tactical aviation of the Air Force for effective strikes against the enemy’s areas, equipment and positions of the occupiers.🇺🇦 Together - to victory!➖➖➖ ➖➖➖➖➖➖➖🦅 Commander of the Military Forces, Lieutenant General Mikola Oleschuk Video is too big	https://t.me/kpszsu/18061	2024-08-21T06:49:49-07:00
🛬 Warfare tactical aviation activity in a similar direction!	🛬 The activity of enemy tactical aviation is in a similar direction!	https://t.me/kpszsu/18060	2024-08-21T05:56:40-07:00
↩️ 📢 Overcome threats.	Air Force of the Armed Forces of Ukraine: 🛸 Dnipropetrovsk region - PPO robot for reconnaissance UAVs! 📢 Defeat threats.	https://t.me/kpszsu/18059	2024-08-21T05:15:43-07:00
🛸 Dnipropetrovsk region - PPO robot for reconnaissance UAVs!	🛸 Dnipropetrovsk region - PPO robot for reconnaissance UAVs!	https://t.me/kpszsu/18058	2024-08-21T05:02:17-07:00
🛬 The activity of enemy tactical aviation on a direct route.	🛬 The activity of enemy tactical aviation on a direct route.	https://t.me/kpszsu/18057	2024-08-21T04:53:10-07:00
↩️ 📢 Overcome threats.	Povitryani Forces of the Armed Forces of Ukraine / Air Force of the Armed Forces of Ukraine: Stay safe! 📢 Defeat threats.	https://t.me/kpszsu/18056	2024-08-21T04:11:25-07:00
↩️ Stay in ukritty!	Air Force of the Armed Forces of Ukraine: 🛵 Ivano-Frankivsk - attack UAV directly on site! Stay in ukritty!	https://t.me/kpszsu/18055	2024-08-21T04:05:41-07:00
🛵 Ivano-Frankivsk - attack UAV directly on site!	🛵 Ivano-Frankivsk - attack UAV directly on site!	https://t.me/kpszsu/18054	2024-08-21T03:59:11-07:00
↩️ Heading towards Ivano-Frankivsk region!	Air Force of the Armed Forces of Ukraine: 🛵 UAV from Khmelnytskyi region heading for Ternopil region! Heading towards Ivano-Frankivsk region!	https://t.me/kpszsu/18053	2024-08-21T03:51:03-07:00
🛵 UAV from Khmelnytskyi region heading towards Ternopil region!	🛵 UAV from Khmelnytskyi region heading towards Ternopil region!	https://t.me/kpszsu/18052	2024-08-21T03:25:22-07:00
↩️ 🛵 UAV in Vinnytsia heading towards approach.	Air Force of the Armed Forces of Ukraine: 🛵 On the border of the Kiev region and the Cherkash region at the exit direction. 🛵 UAV in Vinnytsia heading for approach.	https://t.me/kpszsu/18051	2024-08-21T02:09:26-07:00
↩️ 🛵 On the border of the Kiev region and the Cherkash region at...	Povitryani Forces of the Armed Forces of Ukraine / Air Force of the Armed Forces of Ukraine: 🛵 UAV from Poltava region heading towards Cherkassy region. 🛵 On the border of the Kiev region and the Cherkash region at the entrance.	https://t.me/kpszsu/18050	2024-08-21T01:42:55-07:00
🔁🖼 ⚡️ 50 UAV AND AIRCRAFT MISSILE ➖➖➖➖➖➖➖➖➖➖ KILLED OUT on the ...	Forwarded From Commander of the Military Forces Mykola Oleshchuk⚡️ 50 UAVs AND AIRCRAFT MISSILE KILLED➖➖➖➖➖➖➖➖➖➖On September 21, 2024, the Russian occupiers struck Ukraine has two ballistic missiles -Iskander-M-/KN-23 from Voronezk region, a ceramic X-59/X-69 aircraft missile from the expanse of the Kursk region, and 69 attack UAVs of the -Shahed- type (launch areas - Primorsko-Akhtarsk, Yeisk, Kursk - Russian Federation). Zagalom radiotech by the nightly revolutions of the Revolutionary Forces a total of 72 targets were detected. The enemy's repeated attacks were repelled by aviation, anti-aircraft missile forces, radio-electronic warfare of the Airborne Forces and the destruction of mobile fire groups of the Ukrainian Defense Forces.💥 As a result of the anti-aircraft battle, 51 targets were shot down: one armored aircraft missile X-59/ X-69 and 50 attack UAVs -Shahed-131/136- near Khmelnitskaya, Poltava, Cherkasy, Kiev, Vinnytsia, Ivano-Frankivsk, Dnipropetrovsk, Mykolayiv, Odeska, Kherson , Donetsk, Kirovograd, Sumy and Chernihiv regions. 16 more guards The UAV was lost locally - it seemed to have fallen under the influx of radio-electronic agents from the virus. Information is being clarified. In addition, an attack drone detected a crossing of the sovereign cordon with the Republic of Belarus near the Chernihiv region, another Russian UAV turned back to its homeland - near the Belgorod region. One dangerous drone is found in the windy expanse of Cherkasy region. The battle robot is thrilling. I thank all the sky for the result!	https://t.me/kpszsu/18049	2024-08-21T01:31:45-07:00
🛵 UAV from Poltava region heading towards Cherkasy region.	🛵 UAV from Poltava region heading towards Cherkasy region.	https://t.me/kpszsu/18048	2024-08-21T00:54:42-07:00
🛬 Warfare tactical aviation activity in a similar direction!	🛬 The activity of enemy tactical aviation is in a similar direction!	https://t.me/kpszsu/18047	2024-08-21T00:41:27-07:00
🛵 Rukh of attack UAVs: 1. UAVs in Rivne region, course - late. 2...	🛵 Rukh of attack UAVs: 1. UAVs in Rivne region, course - outgoing.2. UAV on the surface of the Chernihiv region near the surface direction.3. UAV at night in the Dnipropetrovsk region heading towards the Poltava region.	https://t.me/kpszsu/18046	2024-08-20T23:50:15-07:00
