Title	Description	Link	pubDate	Image
President-elect Trump has sought Orban's take on Ukraine war, sources say	U.S. President-elect Donald Trump has held multiple phone conversations with Hungarian Prime Minister Viktor Orban since winning the November 5 presidential election, according to sources who spoke to RFE/RL’s Hungarian Service. Hungarian government sources said Trump has sought Orban’s opinion on ending the Ukraine war, which has continued to drag on since Russia’s full-scale invasion of its neighbor in February 2022. On the campaign trail, Trump criticized the billions of dollars that the United States has poured into Ukraine since Russia launched its invasion. He has also said he could end the war within 24 hours of retaking the White House, a statement that some have interpreted as meaning that Ukraine would have to surrender territory that Russia now occupies. Orban, who has maintained friendly ties with Russian President Vladimir Putin and Trump, has been critical of EU aid for Ukraine and has obstructed the bloc’s sanctions regime against Moscow. Preparations reportedly are under way for Orban to take a second crack at a peace mission in December to bookend Hungary’s rotating EU presidency after his first attempt in July when Budapest’s tenure started. In a move criticized by several EU leaders, Orban traveled to Moscow to meet Putin in July after a trip to Kyiv with a mystery ceasefire proposal for Ukrainian President Volodymyr Zelenskyy. He then traveled to China and finally the United States to meet Trump, who was then on the presidential campaign trail. Details of a potential peace mission in December are not clear, but sources suggested to RFE/RL’s Hungarian Service that it may involve delivering Trump’s messages to Zelenskyy, Putin, and Chinese President Xi Jinping.	https://www.voanews.com/a/president-elect-trump-has-sought-orban-s-take-on-ukraine-war-sources-say/7882921.html	2024-11-30T18:24:37-08:00	
Trump set to nominate former prosecutor to head FBI	WASHINGTON — Republican President-elect Donald Trump announced on Saturday night that he will nominate former National Security official and loyalist Kash Patel to lead the FBI, signaling an intent to replace the bureau's current director, Christopher Wray. Patel, who during Trump's first term advised both the director of national intelligence and the secretary of defense, has previously called for stripping the FBI of its intelligence-gathering role and purging its ranks of any employee who doesn’t support Trump's agenda. 'The biggest problem the FBI has had has come out of its intel shops. I'd break that component out of it. I'd shut down the FBI Hoover building on day one and reopen it the next day as a museum of the deep state,' Patel said in a September interview on the conservative 'Shawn Ryan Show.' 'And I'd take the 7,000 employees that work in that building and send them across America to chase down criminals. Go be cops. You're cops. Go be cops.' With the nomination of Patel, Trump is signaling that he is preparing to carry out his threat to oust Wray, a Republican first appointed by Trump, whose 10-year term at the FBI does not expire until 2027. FBI directors by law are appointed to 10-year terms as a means of insulating the bureau from politics. Wray, whom Trump tapped after firing James Comey in 2017 for investigating his 2016 campaign, has been a frequent target of Trump's supporters' ire. During Wray's tenure, the FBI carried out a court-approved search at Trump's Mar-a-Lago estate to look for classified documents. He has also faced criticism for his oversight role of a directive by Attorney General Merrick Garland aimed at working to protect local school boards from violent threats and harassment. Special Counsel Jack Smith, who led the two federal prosecutions against Trump for his role in subverting the 2020 election and retaining classified documents, on November 25 asked the judges overseeing those cases to dismiss them before Trump takes office on January 20, citing a Justice Department policy of not prosecuting a sitting president. Wray had previously signaled no intention of stepping down early and was busy planning events well into his 2025 calendar, according to a person familiar with the matter. Patel, 44, who previously worked as a federal public defender and a federal prosecutor, emerged as a controversial figure during Trump's first term in the White House. He was instrumental in working to lead the House Republicans' probe into the FBI's 2016 investigation into contacts between Trump's 2016 campaign and Russia during his time as an aide to former House Intelligence Committee Chair Devin Nunes. Later, during Trump's first impeachment trial, ex-National Security Council official Fiona Hill told House investigators she was concerned that Patel was secretly serving as a back channel between Trump and Ukraine without authorization. Patel denied those allegations. After Trump left office in January 2021, Patel was one of several people Trump designated as a representative for access to his presidential records. He was one of the few former Trump administration officials who claimed, without evidence, that Trump had declassified all the records in question. He was later subpoenaed to appear before a grand jury in connection with the probe. As a private citizen, Patel wrote a book called 'Government Gangsters' which Trump in 2023 declared would be used as a 'roadmap to end the Deep State's Reign.' Patel's nomination is likely to garner pushback from Senate Democrats and possibly even some Republicans, though Patel has received public support from some high-profile Republicans such as Texas Attorney General Ken Paxton.	https://www.voanews.com/a/trump-set-to-nominate-former-prosecutor-to-head-fbi-/7882917.html	2024-11-30T18:06:35-08:00	
Namibia opposition leader says party will not recognize vote	WINDHOEK, NAMIBIA — Namibia's top opposition presidential candidate, Panduleni Itula, said Saturday that his party would not recognize the results of a controversially extended election marred by chaos and allegations of foul play. Speaking just before the close of polls on the final day of voting, Itula, whose Independent Patriots for Change (IPC) is hoping to end 34 years of rule by the South West Africa People's Organization (SWAPO), said that no matter the result, 'the IPC shall not recognize the outcome of that election.' 'The rule of law has been grossly violated, and we cannot call these elections by any means or measure as free, fair and legitimate,' said Itula, who finished second in the 2019 vote. With just 10 of the country's 121 constituencies counted, partial results showed SWAPO's candidate, Vice President Netumbo Nandi-Ndaitwah, leading with 48% of the vote, followed by Itula with 29%. Electoral authorities decided to prolong voting in the presidential and legislative polls, after the original election day — Wednesday — was marred by logistical and technical failures that led to hours-long queues, which some voters eventually abandoned. Opposition parties have complained about the chaos and alleged voter suppression by the authorities in the face of a strong turnout for the ruling party's rivals. An organization of southern African human rights lawyers serving as election monitors said that the delays at the ballot box were intentional and widespread. 'There were deliberate delays of voting processes in more than 63% of the total polling stations across the country,' the lawyers said in a report. Itula said that the IPC would 'fight... to nullify the elections through the processes that are established within our electoral process,' calling on Namibia's President Nangolo Mbumba to call a cabinet meeting 'to determine exactly what should be done.' On Saturday, hundreds of people queued up at the sole polling station in the capital Windhoek, where some 2,500 voters had cast their ballots Friday. Sielfriedt Gowaseb, 27, managed to vote in less than 30 minutes Saturday but was critical of the arrangements. 'They should have set up at least another polling station where the majority of Namibians live. We would have needed more venues, one in the suburbs. Most Namibians don't live in the central business district,' he said. Namibia's opposition is hoping to unseat SWAPO, which is facing its toughest challenge ever as disenchanted younger voters across southern Africa reject traditionally dominant liberation-era parties. SWAPO has governed Namibia since leading it to independence from apartheid South Africa in 1990, but high youth unemployment and enduring inequalities have eroded its support. Around 42% of the 1.5 million registered voters are aged under 35. Naita Hishoono, executive director of the Namibia Institute for Democracy, a nonpartisan group, echoed popular dissatisfaction. 'It would have been helpful to open more than 36 polling stations... each constituency should have at least one polling station open to accommodate everybody. Every voter should only stay half an hour to an hour in line and the whole voting process should take no more than 15 minutes,' she said. SWAPO's Nandi-Ndaitwah, 72, could become the first woman to lead the country if she is elected. But she is facing a fierce challenge from Itula, who said that Namibia had been 'betrayed' by the electoral authority's incompetence. The Electoral Commission of Namibia (ECN) has admitted to failures in the organization of the vote, including a shortage of ballot papers and the overheating of electronic tablets used to register voters. Itula, a former dentist and lawyer, came second in the last presidential election with 29% of the vote while standing as an independent. That performance was all the more remarkable for the fact it reduced SWAPO leader Hage Geingob's vote share to just 56%. Geingob, who died in February, had won nearly 87% of the vote five years before that.	https://www.voanews.com/a/namibia-opposition-leader-says-party-will-not-recognize-vote/7882916.html	2024-11-30T17:45:12-08:00	
Biden makes historic first visit by US president to Angola	THE WHITE HOUSE — U.S. President Joe Biden is 'excited' to make his first trip to the African continent next week and will first stop briefly in the small island nation of Cabo Verde before making landfall in the Southwest African nation of Angola, a top White House official told VOA Friday. 'He is excited and really looking forward to the trip,' Frances Brown, senior director for African affairs at the National Security Council, told VOA at the White House. 'I think the president really sees this as a way to sum up all that he's tried to put forward during this administration on our Africa strategy.' While there, she said, he will work on three objectives: on bolstering regional security, notably in the neighboring Democratic Republic of Congo; on growing economic opportunities in the region; and on improving technological and scientific cooperation. 'He sees Angola as the perfect place for this,' she said. Some analysts say the fulfillment of Biden's vow to visit Africa — made in 2022 — is well overdue. Biden originally planned to visit Angola in October; he postponed that trip because Hurricane Milton was bearing down on the eastern United States. 'I think coming, as it does, at the very tail end of his administration, without much to, I think, really celebrate in terms of his involvement in Africa, that I think the visit will ring rather hollow,' Cameron Hudson, a senior fellow in the Africa Program at the Center for Strategic and International Studies, told VOA. The main attraction of the short visit is a major U.S.-financed development project: the 1,300-kilometer Lobito rail corridor, which connects the mineral-rich African interior to the southwestern port. The U.S. says it has pulled together more than $4 billion in U.S. investment on the project. When asked by VOA if Biden will attempt to discuss Angola's many documented human rights problems, Brown repeated a refrain often voiced by Biden administration officials, saying: 'he never shies away from talking about democracy and human rights issues with counterparts.' The short stop in the island nation of Cabo Verde could be seen as a way to balance this concern, Michael Walsh, a visiting researcher at the Lasky Center of the Ludwig Maximilian University of Munich, told VOA. 'They're trying to, you know, add a stop that provides an opportunity for the Biden administration to say, look, we actually are visiting a flawed democracy as well as a hybrid regime,' he said. He added, 'That provides them with an opportunity to try to, I guess, mitigate some of the criticism that would be forthcoming during the visit by saying that the Biden administration isn't just stopping in one African country. They actually stopped in two and one of those is on the other side of the democracy spectrum.' Angola's president, Joao Lourenco, is a prominent figure on the African continent, using his status as leader of a subcontinental oil giant to build his influence and to work to settle conflicts near and far, both in neighboring Congo and in the West African 'coup belt.' This, Brown said, ties into one of Biden's core beliefs as he prepares to leave office: That the U.S. sees African nations as partners and problem-solvers. While there, she said, Biden plans to deliver remarks on how he sees the future of relations between Washington and the continent. 'I think he wants to leave behind his recognition that African leadership for solving some of these challenges is essential, and that's why he'll be amplifying Angola's role mediating in the Democratic Republic of Congo and elsewhere,' she said. 'And I think he wants to convey the remarkable evolution of the U.S.-Angolan partnership, which is in many ways the story of the remarkable evolution of the U.S.-African relationship over many centuries.'	https://www.voanews.com/a/biden-makes-historic-1st-visit-by-us-president-to-angola/7882003.html	2024-11-30T17:29:46-08:00	
Biden to make historic first visit by US president to Angola	President Joe Biden’s visit to Angola – the first by a U.S. president to the southwest African nation – centers on a rail corridor for transportation of valuable minerals from the heart of the continent to a burgeoning Angolan port. VOA White House Correspondent Anita Powell reports from Washington.	https://www.voanews.com/a/biden-to-make-historic-first-visit-by-us-president-to-angola/7881948.html	2024-11-30T17:28:50-08:00	
Trump names pardoned real estate developer Charles Kushner for US ambassador	WEST PALM BEACH, FLORIDA — President-elect Donald Trump said Saturday he intends to nominate real estate developer Charles Kushner father of Trump’s son-in-law Jared Kushner, to serve as ambassador to France. Trump made the announcement in a Truth Social post, calling Charles Kushner 'a tremendous business leader, philanthropist, & dealmaker.' Kushner is the founder of Kushner Companies, a real estate firm. Jared Kushner is a former White House senior adviser to Trump who is married to Trump’s eldest daughter, Ivanka. The elder Kushner was pardoned by Trump in December 2020 after pleading guilty years earlier to tax evasion and making illegal campaign donations. Prosecutors alleged that after Charles Kushner discovered his brother-in-law was cooperating with federal authorities in an investigation, he hatched a scheme for revenge and intimidation. Kushner hired a prostitute to lure his brother-in-law, then arranged to have the encounter in a New Jersey motel room recorded with a hidden camera and the recording sent to his own sister, the man’s wife, prosecutors said. Kushner eventually pleaded guilty to 18 counts including tax evasion and witness tampering. He was sentenced in 2005 to two years in prison — the most he could receive under a plea deal, but less than what Chris Christie, the U.S. attorney for New Jersey at the time and later governor and Republican presidential candidate, had sought. Christie has blamed Jared Kushner for his firing from Trump’s transition team in 2016, and has called Charles Kushner’s offenses 'one of the most loathsome, disgusting crimes that I prosecuted when I was U.S. attorney.' Trump and the elder Kushner knew each other from real estate circles and their children were married in 2009.	https://www.voanews.com/a/trump-names-pardoned-real-estate-developer-charles-kushner-for-us-ambassador/7882913.html	2024-11-30T17:20:41-08:00	
Clashes erupt outside Georgia parliament between police, pro-EU protesters	TBILISI, GEORGIA — Violent clashes erupted on Saturday outside Georgia's parliament between police and demonstrators protesting the government's decision to delay European Union membership talks amid a post-election crisis, Agence France-Presse reporters witnessed. Thousands of people gathered in Georgia's capital, Tbilisi, on Saturday for a third night of protests that saw dozens of protesters arrested. The Black Sea nation has been rocked by turmoil since the ruling Georgian Dream party claimed victory in an October 26 parliamentary election that the pro-European opposition said was fraudulent. Masked police in riot gear fired rubber bullets, tear gas and water cannons as they moved in to disperse protesters hurling fireworks, while flames were seen coming from a window of the parliament building. Demonstrators erected barricades on Tbilisi's main avenue. 'I am afraid — I won't hide it — that many people will get injured, but I am not afraid to stand here,' 39-year-old Tamar Gelashvili told AFP near the parliament building earlier in the day. Protests were also reported in numerous cities across Georgia. 'The actions of some individuals present at the protest became violent shortly after the demonstration began,' said the interior ministry. 'Police will respond appropriately and in accordance with the law to every violation.' More than 100 people have been arrested over the last two days, when law enforcement cracked down on protesters, firing water cannon and tear gas at demonstrators. Prime Minister Irakli Kobakhidze's announcement on Thursday that Georgia would not seek accession talks with the EU until 2028 ignited a furious reaction from the opposition. Critics accuse Georgian Dream, in power for more than a decade, of having steered the country away from the EU in recent years and of moving closer to Russia, an accusation it denies. Hundreds of public servants, including from the ministries of foreign affairs, defense and education, as well as a number of judges, issued joint statements protesting Kobakhidze's decision. Some 160 Georgian diplomats criticized the move as contradicting the constitution and leading the country 'into international isolation.' A number of Georgia's ambassadors resigned in protest. On Friday, AFP reporters saw riot police fire water cannon and tear gas at pro-EU protesters gathered outside parliament who tossed eggs and fireworks. Clashes broke out later between protesters and police, who moved in to clear the area, beating demonstrators — some of whom threw objects — and journalists, deliberately targeting those identified as members of the media. Georgia's special investigation service said it had opened a probe into 'allegations of abuse of official authority through violence by law enforcement officers against protesters and media representatives.' More than 100 schools and universities suspended academic activities in protest. Pro-Western opposition parties are boycotting the new parliament, while President Salome Zurabishvili, who is at loggerheads with Georgian Dream, has sought to annul the election results through the country's constitutional court. In an exclusive interview to AFP on Saturday, Zurabishvili said she will not step down until last month's contested parliamentary elections are re-run. The Paris-born former French diplomat said on Saturday that she had set up a 'national council' — consisting of opposition parties and civil society representatives — that will ensure 'stability in this country.' 'I will be the representative of this legitimate, stable transition.' After the October vote, a group of Georgia's leading election monitors said they had evidence of a complex scheme of large-scale electoral fraud. Brussels has demanded an investigation into what it said were serious irregularities reported by election monitors. Georgian Dream MPs voted unanimously on Thursday for Kobakhidze to continue as prime minister, even as the opposition boycotted parliament, deepening a serious legitimacy crisis at the legislature and the government. The crackdown on protests has provoked international condemnation. 'We condemn excessive force used against Georgians exercising their freedom to protest and have suspended our Strategic Partnership with Georgia,' U.S. State Department spokesman Matthew Miller said on Saturday. 'Georgian Dream's decision to suspend EU accession is a betrayal of the Georgian constitution.' France, Britain, Ukraine, Poland, Sweden and Lithuania were among the countries to voice concern. The human rights office of the Organization for Security and Cooperation in Europe (OSCE) said: 'The action of law enforcement officials while policing peaceful protests in Georgia is of deep concern and a serious breach of the right to freedom of peaceful assembly.'	https://www.voanews.com/a/clashes-erupt-outside-georgia-parliament-between-pro-eu-protesters-police-/7882908.html	2024-11-30T17:12:19-08:00	
Activists: Mexico breaks up 2 migrant caravans heading to US	TAPACHULA, Mexico — Mexican immigration authorities have broken up two small migrant caravans headed to the U.S. border, activists said Saturday. Some migrants were bused to cities in southern Mexico, and others were offered transit papers. The action comes a week after U.S. President-elect Donald Trump threatened to slap 25% tariffs on Mexican products unless the country does more to stem the flow of migrants to the U.S. border. On Wednesday, Trump wrote that Mexican President Claudia Sheinbaum had agreed to stop unauthorized migration across the border into the United States. Sheinbaum wrote on her social media accounts the same day that 'migrants and caravans are taken care of before they reach the border.' Migrant rights activist Luis Garcia Villagran said the breaking-up of the two caravans appeared to be part of 'an agreement between the president of Mexico and the president of the United States.' The first of the caravans started out from the southern Mexico city of Tapachula, near the border with Guatemala, on November 5, the day Trump was elected. At its height it had about 2,500 people. In almost four weeks of walking, it had gone about 270 miles (430 kilometers) to Tehuantepec in the state of Oaxaca. In Tehuantepec, Mexican immigration officials offered the tired migrants free bus rides to other cities in southern or central Mexico. 'They took some of us to Acapulco, others to Morelia, and others from our group to Oaxaca city,' said Barbara Rodriguez, an opposition supporter who left her native Venezuela after that country's contested presidential elections earlier this year. Rodriguez said by telephone she later caught a bus on her own to Mexico City. The second caravan of about 1,500 migrants set out on November 20 and made it about 140 miles (225 kilometers) to the town of Tonala, in Chiapas state. There, authorities offered a sort of transit visa that allows travel across Mexico for 20 days. Sheinbaum has said she is confident that a tariff war with the United States can be averted. But her statement — the day after she held a phone call with Trump — did not make clear who had offered what. Apart from the much larger first caravans in 2018 and 2019 — which were provided buses to ride part of the way north — no caravan has ever reached the U.S. border walking or hitchhiking in any cohesive way, though some individual members have made it. For years, migrant caravans have often been blocked, harassed or prevented from hitching rides by Mexican police and immigration agents. They have also frequently been rounded up or returned to areas near the Guatemalan border.	https://www.voanews.com/a/activists-mexico-breaks-up-2-migrant-caravans-heading-to-us-/7882905.html	2024-11-30T16:52:51-08:00	
Snow blankets parts of US during busy holiday travel weekend	BUFFALO, NEW YORK — The first big snowfall of the season blanketed towns along Lake Erie on Saturday in the middle of the hectic holiday travel and shopping weekend. Numbing cold and heavy snow are forecast to persist into next week and cause hazards in the Great Lakes, Plains and Midwest regions. The heavy snow led to a state of emergency declaration in parts of New York and a disaster declaration in Pennsylvania, with officials warning of dangerous conditions for Thanksgiving travelers trying to return home. 'Travel will be extremely difficult and hazardous this weekend, especially in areas where multiple feet of snow may accumulate very quickly,' the National Weather Service said. Part of I-90 in Pennsylvania was closed, as were westbound lanes of the New York Thruway heading toward Pennsylvania. Nearly 2 feet (61 centimeters) of snow fell in parts of New York, Ohio and Michigan, and 29 inches (73 centimeters) was recorded in Pennsylvania's northwestern tip. With roads in some parts impassable in northwestern Pennsylvania, scores of people took refuge overnight in the lobby and hallways of a fully booked Holiday Inn near I-90. Hotel staffer Jeremiah Weatherley said dozens of people rolled in as the snow piled up, and workers opened the conference room and gave them blankets to sleep on the floor. 'It was hard to manage, but we had no choice,' he said. 'They just showed up, and we don't want to turn people away.' Weatherley was handing out bagels, juice and cereal Saturday morning as people helped one another dig out their cars from the snow. 'Everyone helped each other,' he said. 'It was pretty cool.' This week's blast of Arctic air also brought temperatures of 10 to 20 degrees Fahrenheit below average to the Northern Plains, the weather service said, prompting cold advisories for parts of North Dakota. Frigid air was expected to move over the eastern third of the United States by Monday, with temperatures about 10 degrees below average. Parts of Michigan were battered by lake-effect snow, which happens when warm, moist air rising from a body of water mixes with cold dry air overhead. Bands of snow that have been rolling off Lake Superior for the past three days buried parts of the Upper Peninsula under 2 feet (61 centimeters) or more, said Lily Chapman, a meteorologist with the National Weather Service's office in Marquette, Michigan. Twenty-seven inches (69 centimeters) of snow was on the ground just northeast of Ironwood, in the Upper Peninsula's western reaches, she said. Another 2 feet (61 centimeters) fell in Munising, in the eastern part of the peninsula. Chapman said continued lake-effect snow could add more than a foot (30.5 centimeters) over the eastern Upper Peninsula through Monday morning, with 6 to 10 inches (15 to 25 centimeters) or higher to the west. Meanwhile steady winds that trained snow bands Friday on Gaylord, Michigan, dumped 24.8 inches (63 centimeters), setting a new single-day record for the city, which sits in a region dotted by ski resorts, said Keith Berger, a meteorologist with the weather service's Gaylord office. The previous record of 17.0 inches (43 centimeters) was from March 9, 1942. The snowfall was good news for Treetops Resort, which features 80 acres (32 hectares) of ski hill terrain among its 2,000 acres (809 hectares), said Doug Hoeh, the resort's director of recreation. It boosted the base that snowmaking machines will be adding to in the coming days before the resort opens for the season next weekend. 'Obviously when you get that much snowfall, it's great for the snow hills, but it's bad for the parking lots, so we're kind of digging out,' Hoeh said. 'But we're close to being ready to pull the trigger on skiing, and the natural snowfall definitely helps.' In Pennsylvania, Governor Josh Shapiro signed a proclamation of disaster emergency and said parts of Erie County in the state's northwest had already received nearly 2 feet (1 meter) of snow with more expected through Monday night. State Police responded to nearly 200 incidents during the 24-hour period from 6 a.m. Friday to 6 a.m. Saturday, officials said.	https://www.voanews.com/a/snow-blankets-parts-of-us-during-busy-holiday-travel-weekend-/7882903.html	2024-11-30T16:35:37-08:00	
9 killed in Ethiopia Oromia region attack	ADDIS ABABA, ETHIOPIA — Residents and relatives say at least nine people were killed during an attack in the Arsi Zone of the Oromia region of Ethiopia on Thursday. Adebebu Workineh is a resident of the Shirka Woreda — or district — in the Arsi Zone, about 250 kilometers southeast of Addis Ababa. He told VOA his younger brother, Haile Workineh, was among the nine victims. 'The perpetrators called him from his house and later killed him at a nearby river alongside others,' Workineh said in Amharic. Among the dead were women and elders, he added. 'During the raid I heard [about] the abduction by phone, but I thought they would ask for ransom as usual. They were carrying rifles, and we were afraid to confront them at the time,' he said in Amharic. A second resident of Shirka, who would not give his name because of fear for his safety, said most of the victims were Christians. The whereabouts of four other people who were abducted are not known, he told VOA. Social media sites published purported video of nine bodies wrapped in white clothes being buried together. VOA was not able to independently verify the video. The Arsi Zone, a region known for agriculture, is now marred by violence and killing. Residents blamed the Oromo Liberation Army, an outlawed rebel group fighting against the Ethiopian government army, for the killings. Jiregna Gudeta, an adviser to the OLA commander, told VOA he has no detailed information about the incident and denied OLA was involved. Residents say local authorities do little to protect civilians. The ENAT Party, one of the opposition political parties in Ethiopia, has condemned the attack. 'Our concern is not the dead ones, we [are] reaching out to the state officers for the people who are about to be the victim of such killing, we immediately call for the state to act,' said Getnet Worku, secretary-general of the party. Oromia regional authorities declined to comment on the attack. Peace rallies were held in six zones in the Oromia region in mid-November. Participants of the demonstrations said the aim was to condemn OLA and demand peace in the region. Oromia region spokesperson Hailu Adugna said at the time that the rallies were organized by the local communities and that government officials had no role. But some witnesses told VOA that government officials were urging people to participate in the demonstrations. Jiregna, reacting to the demonstrations in mid-November, said their group is ready to resolve conflicts peacefully. He said it is doubtful whether the people or the government organized the rally for peace. A previous round of peace talks last year between Ethiopia's federal government and the OLA in Tanzania's semi-autonomous island of Zanzibar — has failed to end the violence. The two sides blamed each other for the failure of the talks. The government cited 'unrealistic demands' by the armed group while OLA accused the government of failing to address 'fundamental problems' facing the country, according to Reuters. This story originated in VOA's Horn of Africa Service.	https://www.voanews.com/a/killed-in-ethiopia-oromia-region-attack/7882733.html	2024-11-30T15:36:38-08:00	
