Title	Description	Link	pubDate
María Corina Machado rejects the idea of ​​new elections in Venez...	María Corina Machado rejects the idea of new elections in Venezuela and offers the CNE records collected by opposition witnesses. She assures that the support for Edmundo González Urrutia is clear. https://cutt.ly/XdWqll09El PitazoMaría Corina Machado rechaza nuevas elecciones y ofrece actas del CNE recaudadas por testigos opositoresMaría Corina Machado rechaza la celebración de unas nuevas elecciones y ofrece las actas electorales en posesión de la oposición.	https://t.me/VenezuelaNetwork/12339	2024-08-11T21:03:54-07:00
🖼 Tocuyito Prison: workers and machinery at full speed to receiv...	Tocuyito Prison: workers and machinery at full speed to receive hundreds of detaineesHundreds of workers are deployed inside and outside the Tocuyito prison, working and moving machinery at full speed to comply with the order to leave the penitentiary in optimal conditions, in order to receive the detainees during the protests.During the tour of the exterior of the Tocuyito Prison, located in the Libertador municipality, the El Carabobeño team was unable to see the arrival of detainees or the presence of family members outside. So far, what could be observed is the conditioning of the entrance and the initial pavilion, which is already painted white and gray. In the rest of the pavilions, workers are working on the plastering.According to Nicolás Maduro, there are currently 2,229 people detained throughout the country, whom he described as -terrorists.-	https://t.me/VenezuelaNetwork/12335	2024-08-11T18:06:25-07:00
🖼 Cloudfront blocked by CANTV	Cloudfront blocked by CANTV	https://t.me/VenezuelaNetwork/12334	2024-08-11T17:47:26-07:00
Minister of Transport denounces hacking against CONVIASA and the ...	Minister of Transport denounces hacking against CONVIASA and the Caracas Metro subway system	https://t.me/VenezuelaNetwork/12333	2024-08-11T17:46:27-07:00
🖼 In their campaign of censorship, CANTV blocks the access of HB...	In their campaign of censorship, CANTV blocks the access of HBO MAX and Disney +	https://t.me/VenezuelaNetwork/12331	2024-08-11T15:30:48-07:00
Prosecutor's Office refused to accept a complaint for the forced ...	Prosecutor's Office refused to accept a complaint for the forced disappearance of Williams Dávila because -it was the weekend-More than 48 hours have passed since the forced disappearance of former deputy and former governor Williams Dávila, leader of AD in resistance, and neither his family nor his lawyers know of his whereabouts.Despite being told that the leader is being held in El Helicoide, they have not been able to verify this information because they are being denied entry, reported Génesis Dávila, president of the NGO Defiende Venezuela.The human rights organization went with its team of lawyers to file a complaint at the Prosecutor's Office on Saturday 10th, but they responded that -because it is the weekend they do not receive complaints of human rights violations.-	https://t.me/VenezuelaNetwork/12330	2024-08-11T13:53:34-07:00
🎖️🇻🇪The problem with venezuelan military. Have you ever though...	🎖️🇻🇪The problem with venezuelan military.Have you ever thought why venezuelan military has not acted like it should? Everybody knows about the existence of 'Cartel de los Soles', a drug trafficking organization ruled by Nicolás Maduro and FANB generals. But even thinking like if we were venezuelan generals, why not just killing Maduro, talk in private with María Corina telling her -don't mess with our business and we don't mess with politics-. Is it so hard?The reason why that does not happen is because paradoxically the military power in Venezuela is diluted. How? To give you an idea let's talk about how many generals have neighboring countries and superpowers.🇨🇴Colombia: around 100 generals. A little bit less since Petro is president.🇧🇷 Brazil: during Bolsonaro the country had around 130 generals. Of course, bigger country.🇲🇽México: the exact number by 2017 was 541 generals. Big number if we note that is not the largest army in Latin America🇺🇸USA: uncle Sam's armed forces count around 900 generals.🇷🇺 Russia: sources estimate that the number of russian generals is around 1.200.Venezuela🇻🇪 in the other hand many sources had claimed that the number of venezuelan generals rise to 2.000, and maybe more. The questions start:Who has more power, one general of Colombia or one in Venezuela? How many generals have to agree in Venezuela to make a coup and how possible is to actually get in that number? How many generals would sell the others to climb closer to the top?When you see it with that perspective and start asking this questions, you understand why nothing like a coup (excluding isolated middle and low rank uprisings like Caguaripano's) has not happened.	https://t.me/VenezuelaNetwork/12329	2024-08-11T13:34:51-07:00
The United States demands that Maduro put aside his threats becau...	The United States demands that Maduro put aside his threats because they -isolate Venezuela-https://elpublicotv.com/estados-unidos-exige-a-maduro-que-deje-a-un-lado-las-amenazas-porque-aislan-a-venezuela/El Publico TVEstados Unidos exige a Maduro que deje a un lado las amenazas porque -aíslan a Venezuela-A través de un mensaje publicado en la red social X, la embajada de los EEUU para Venezuela, exigió el cese inmediato de la represión en Venezuela y además que se pongan en libertad a los dirigentes políticos de la oposición.	https://t.me/VenezuelaNetwork/12328	2024-08-11T11:42:04-07:00
🖼 Daily reminder. This Is the actual Venezuelan Supreme Court pr...	Daily reminder. This Is the actual Venezuelan Supreme Court president	https://t.me/VenezuelaNetwork/12327	2024-08-11T11:32:03-07:00
🖼 WSJ 👀	WSJ 👀	https://t.me/VenezuelaNetwork/12326	2024-08-11T11:28:51-07:00
🎬 Guiria, Sucre	Guiria, Sucre	https://t.me/VenezuelaNetwork/12323	2024-08-10T20:07:14-07:00
