Title	Description	Link	pubDate	Image
Yahya Sinwar was a key figure who united the fields against zioni...	Yahya Sinwar was a key figure who united the fields against zionism, to the people of Yemen, he said: -I also extend my salute to the great Yemeni people, who have always stood by our Palestinian people and their just cause throughout history- and in regards to Lebanon and Iraq he said, -The unification of our efforts with you and our brothers in the valiant resistance in Lebanon and the Islamic Resistance in Iraq will break this enemy and bring about its defeat, paving the way for its expulsion from our land.-His legacy will live on in the hearts of every revolutionary. Thousands will rise after him to continue the path towards liberation. The martyrdom of our resistance leaders will not weaken the resolve of the masses, as history has shown that while martyrs leave this world, their ideas remain immortal guiding those after them. These enduring ideas, deeply rooted in the people of Palestine, will drive the struggle forward until the zionist entity is dismantled, in a free Palestine, within our lifetime.(3/3)	https://t.me/wolpalestine/693	2024-10-17T21:41:54-07:00	
Now as the Al-Aqsa Flood battle sparked on October 7, Yahya Sinwa...	Now as the Al-Aqsa Flood battle sparked on October 7, Yahya Sinwar fought to keep his promise to liberate the thousands of Palestinian prisoners who remain in the occupation's dungeons.&nbsp;We remember and honor Yahya Sinwar as a fierce leader who did not waver, but advanced the struggle until his very last breath. In the 2021 war on Gaza, the occupation forces bombed his home in an attempted assassination attempt, but with pride, he returned home, sat on his furniture, and took a picture of himself humiliating the zionist entity.&nbsp;(2/3)	https://t.me/wolpalestine/692	2024-10-17T21:41:45-07:00	
🖼 Yahya Sinwar, also known as -Abu Ibrahim-, the leader of the P...	Yahya Sinwar, also known as -Abu Ibrahim-, the leader of the Palestinian resistance movement, and the commander fighting alongside his people in Gaza has ascended to martyrdom. Yahya Sinwar was martyred in the heart of Gaza, amongst his people leading them to the front lines. He did not cower away, but instead, he fought, led, and inspired thousands of revolutionaries to stand against genocide, in defense of the honorable Palestinian people.&nbsp;Yahya Ibrahim Hassan Sinwar ascended to martyrdom on the 17th of October, and he was born on the 19th of October in the Khan Younis Refugee Camp as his family was displaced from the city of Majdal Asqalan in 1948 during the ongoing Nakba. It was on the 18th of October, 2011 that Yahya Sinwar was released in the -Wafa al-Ahrar- prisoner exchange deal that liberated 1,027 prisoners held in the occupation's dungeons. (1/3)	https://t.me/wolpalestine/691	2024-10-17T21:41:11-07:00	
🖼 Via ANONYMOUS: All out to court for Jordan Neely. October 21st...	Via ANONYMOUS: All out to court for Jordan Neely. October 21st and every day of the trial. Manhattan Criminal Court 100 Centre. Part 54 Judge Wiley. 8 AM SHARP. #showoutforjordan	https://t.me/wolpalestine/690	2024-10-17T15:40:02-07:00	
🖼 -Child body parts are scattered everywhere..We will witness mo...	-Child body parts are scattered everywhere..We will witness more massacres like this as long as the world leaders sit back and watch.-These are the words of the 174th journalist to be murdered in Gaza, Wafa Aludaini. She was also mother of 3, married, a great friend, and someone who deeply believed in freedom for her people.&nbsp; We pay tribute to Wafa, we hold her and her martyred family, as we honor all the martyrs of Palestine.&nbsp; We invite the community to keep this memorial site going, and to confront AOC and all so-called progressive politicians who act as agents of empire.UPDATE: The memorial, which contained mourning art and photos of martyred children contributed by community members AOC represents, was taken down first thing this morning and shoved in the trash by AOC's staff. AOC's office has chosen to erase the memory of Palestinians. She continues to prioritize the imperial interests of Israeli apartheid over the basic Palestinian right to life.(5/5)	https://t.me/wolpalestine/689	2024-10-17T11:06:08-07:00	
🖼 Guess what? We don’t condemn Hamas! We condemn politicians who...	Guess what? We don’t condemn Hamas! &nbsp;We condemn politicians who think they get to play with people’s lives. We condemn empire, which uses any made up justification at all to drop apartment blocks on people’s heads to further imperial expansion.-'Israel' made the desert bloom.- Kamala Harris, who AOC campaigns for, recently repeated this racist zionist adage.&nbsp; A client told a Native comrade the week of indigenous people’s day: -it was impossible to grow watermelons before -Israel- because it was a desert.-&nbsp; Zionists really think that there was no agriculture done by indigenous peoples of the entire levant, in the famed -fertile crescent- before they began their campaign to colonize Palestine.&nbsp; This, while teenagers and children in Gaza are using shards of plastic and wire to construct tiny greenhouses for their seedlings, so that the people around them may have a bite of freshness to keep their spirits strong amidst US-backed forced famine and genocide.(4/5)	https://t.me/wolpalestine/688	2024-10-17T11:05:53-07:00	
🎬 AOC ran point on spreading the propaganda that led to this gen...	AOC ran point on spreading the propaganda that led to this genocide, including signing House Res 966 -condemning rape and sexual violence by Hamas- on October 7th. &nbsp;That was debunked, but has been weaponized to justify mass lynching of Palestinians ever since.-Hamas is a terrorist organization- Ocasio-Cortez said, as she signed resolution 888 declaring -Israel- a jewish ethnosupremacist homeland. -Hamas are terrorists,- she repeated over and over as she maligned NYC-based Palestinian, Arab and Muslim organizing, where they are targeted/beaten/doxxed/surveilled/threatened with murder—for refusing to condemn resistance to colonization by any means necessary. Harris and Biden -are working tirelessly for a ceasefire- she said as they send more than 8.7 billion in September 2024, rounding out an unprecedented year of money to -Israel- in full military support of its genocide (17.9 billion). &nbsp;(3/5)	https://t.me/wolpalestine/687	2024-10-17T11:05:38-07:00	
🖼 COMMUNIQUE: AOC: Ain't Our Comrade Astoria NY: AOC your hands ...	COMMUNIQUE:AOC: Ain't Our ComradeAstoria NY:&nbsp;AOC your hands are red, over 200,000 dead!&nbsp; We charge you with genocide, and for openly working with genocidal war criminals Butcher Biden and Holocaust Harris.&nbsp; We are disgusted by your zionism; how you continue to defend -Israel's- right to exist as a settler colony on top of Palestine -as a jewish homeland.- We are a multi ethnic crew including anti zionist jews, and know that anyone who equates jews with -Israel- is not to be trusted. -Israel- is immoral and will be dismantled. &nbsp;On Wednesday night, a group of actionists gathered&nbsp;outside AOC’s Astoria office to create an ongoing public memorial site of those lost in -Israel’s-&nbsp;American-funded genocide of Palestine and invasion of Lebanon, especially highlighting child martyrs. We also redecorated surrounding areas to share the kind of treachery the politician has been involved in.(2/5)	https://t.me/wolpalestine/685	2024-10-17T11:05:20-07:00	
🖼 Last night, activists took action to protest AOC at her Astori...	Last night, activists took action to protest AOC at her Astoria office by holding a vigil for the martyrs of Palestine after over a year of lies about supporting a ceasefire as she continues to co-opt progressive politics to run cover for Biden, Harris, and the Democratic Party's genocide in Gaza. The memorial featured Shaban Al-Dalou, the young Palestinian who was filmed burning to death after the occupation bombed refugee tents next to Al-Aqsa Martyrs Hospital. AOC has shamelessly already torn down the memorial this morning, hoping to hide the blood on her hands as she desecrates any attempt to honor the over 300k Palestinians murdered with our taxes. We call on all New Yorkers in solidarity with Palestine to continue taking creative action to confront all those complicit and responsible for the annihilation of our people. Read the actionists communique here: (1/5)	https://t.me/wolpalestine/684	2024-10-17T11:05:03-07:00	
Within Our Lifetime joins the National Lawyers Guild in condemnin...	Within Our Lifetime joins the National Lawyers Guild in condemning the US and Canada's attack on Samidoun and the escalating crackdown on Palestine:-The National Lawyers Guild is outraged by the expanded use of anti-terrorism laws to attack social movements. Like the L.A. 8, this targeting of Samidoun, Khaled Barakat and the Palestinian liberation movement is also an embarrassment to the rule of law, and we call on all peoples of conscience to stand with us as we defend human rights advocates and social movements that practice their constitutional right to freedom of speech, against the genocide of the Palestinian people. We must fight back before it is too late. An attack on one is an attack on all!-Read the NLG's full statement here: nlg.org/nlg-condemns-t…National Lawyers Guild - -Human rights over property interests-NLG Condemns the State’s Unwillingness to Disrupt White Supremacy; Looks Beyond the Justice System for Meaningful Change - National…The National Lawyers Guild (NLG) is outraged by the events taking place in the concurrent trials of Kyle Rittenhouse and the murderers of Ahmaud Arbery. It is once again extremely clear that the state will maintain its investment in fascism, anti-Blackness…	https://t.me/wolpalestine/683	2024-10-16T16:23:19-07:00	
This city is killing us slowly. What’s it gonna take to make spac...	This city is killing us slowly. What’s it gonna take to make space to breathe? It’s gonna take us recognizing ourselves as a people. It’s gonna take new practices of logistics of care and protection of each other for us, by us: the Black Brown Indigenous &amp; Migrant New Yorkers that bear the brunt of all the ways this city suffocates us in our lives. Who bear the brunt of all of its agencies and entities that are ALSO the police. ITS GONNA TAKE US PRACTICING FREEDOM. THE PEOPLE FIGHT BACK!(2/2)	https://t.me/wolpalestine/682	2024-10-16T06:34:23-07:00	
🎬 From @ thepeople.fightback on Instagram: We are tired of this....	From @ thepeople.fightback on Instagram:We are tired of this. Tired of eviction notices and housing court. Tired of the shelter system. Tired of chasing the social worker. Tired of submitting paperwork. Tired of not qualifying. Tired of the waiting list. Tired of the bullshit job. Tired of the promises of a better job. Tired of the negative balance in our account. Tired of thinking of ways to get money and coming up short. Tired of the end of the month when rent is due. Tired of the groceries not lasting to the first of the month. Tired of the threat of ICE coming around. Tired of cops jumping out on us and humiliating us on the block. Tired of catching a summons or jail time or a bullet for not having train money.. WE ARE FUCKING TIRED. (1/2)	https://t.me/wolpalestine/681	2024-10-16T06:33:47-07:00	
🖼 ⁨🚨🇵🇸ALL OUT TODAY with NYC Healthcare Workers For Palestine...	⁨🚨🇵🇸ALL OUT TODAY with NYC Healthcare Workers For Palestine &amp; Doctors Against Genocide!EMERGENCY RALLYBrooklyn Borough HallMonday 10/14 6PMWe will honor all our martyrs.Bring flowers, candles, and flags.⁩	https://t.me/wolpalestine/679	2024-10-14T08:47:36-07:00	
After witnessing all of the hospital bombings israel has conducte...	After witnessing all of the hospital bombings israel has conducted in the past year, it is easy to forget how the US media worked so diligently to make us believe that they would never do such a thing after the occupation forces bombed Al-Ahli hospital nearly one year ago today on October 17, 2023. We in the US bear responsibility for this genocide as our government and mainstream institutions have been funding and manufacturing consent for the annihilation of our people. Those of us in the belly of the beast, who continue to fund these atrocities with our tax dollars, must not normalize this violence. The time to act is now. Rise and Resist.(2/2)	https://t.me/wolpalestine/678	2024-10-13T19:51:41-07:00	
🎬 As the zionist entity grows increasingly desperate to delay it...	As the zionist entity grows increasingly desperate to delay its inevitable collapse, it has escalated the genocidal aggression against the people of Gaza beyond comprehension. Hours ago the occupation forces bombed Palestinians seeking refuge around Al-Aqsa Martyrs Hospital in Deir Al-Balah, central Gaza, burning them alive in the tents where they were sleeping. This attack followed a successful operation by the resistance in neutralizing military forces. Attacking critical health infrastructure has been a consistent part of the occupation’s strategy to destroy life in Gaza and carry out this genocide.(1/2)	https://t.me/wolpalestine/677	2024-10-13T19:51:02-07:00	
🖼 For the ninth day in a row, occupation forces have continued t...	For the ninth day in a row, occupation forces have continued their siege of the Jabalia refugee camp in northern Gaza. This continued siege comes as part of the enemy's plan to displace Palestinians in Jabalia camp. As green-lighted by the United States, the occupation’s primary partner I n facilitating this ongoing genocide, it is clear that this is a coordinated plan to starve, displace, and massacre as many Palestinians in Jabalia as possible.For the past year, the zionist entity has aimed to destabilize the resistance in Jabalia, after failing to defeat the resistance in northern Gaza, particularly in the camp. The IOF have again resorted to cowardly tactics through horrific airstrikes targeting schools, hospitals, and residential areas. Over the past nine days alone, at least 300 Palestinians have been martyred during the ongoing siege of Jabalia. Yet even in the face of this unthinkable violence, our people declare: -Long live the camp, and long live the invincible spirit of Jabalia.-	https://t.me/wolpalestine/675	2024-10-13T17:50:50-07:00	
🎬 Flood New York City For Palestine. October 7th 2024. Freedom, ...	Flood New York City For Palestine. October 7th 2024. Freedom, Justice &amp; Return Within Our Lifetime By Any Means Necessary.⏳🇵🇸Within Our Lifetime🇵🇸Twitter/X &amp; TikTok: @wolpalestine Telegram: t.me/wolpalestinewolpalestine.com	https://t.me/wolpalestine/674	2024-10-12T17:45:16-07:00	
🖼 We are asking all workers across Brooklyn Navy Yard to join wo...	We are asking all workers across Brooklyn Navy Yard to join workers around the world for a series of escalating labor actions in solidarity with Palestine every Monday including October 7, October 21, November 4, and beyond until the demilitarization of Brooklyn Navy Yard, the end of occupation in Palestine, and the end of imperialism throughout the world. FROM BROOKLYN TO GAZA, DISMANTLE FASCIST TECH!(2/2)	https://t.me/wolpalestine/672	2024-10-10T08:48:13-07:00	
