Title	Description	Link	pubDate	Image
כך הושמדו אמצעי הלחימה: תיעוד מפעילות צה'ל בטול כרם	צה'ל פרסם היום (חמישי) תיעודים מפעילות גדוד שמשון בטולכרם: השמדת מחסן אמצעי לחימה ומעבדות מאולתרות לייצור מטענים ורחפנים. במהלך המבצע לסיכול טרור בצפון השומרון, לוחמי גדוד שמשון שבחטיבת כפיר איתרו והשמידו מעבדה מאולתרת לייצור מטענים ומחסן אמצעי לחימה ובתוכו כ-100 מטעני צינור, שמונה מטעני גחון ומערכת להפעלת מטענים.	https://news.walla.co.il/item/3732420	2025-03-06T07:52:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/2/3862124-46.jpg
דיווח: חיל האוויר תקף ברצועת עזה	לפי כלי תקשורת ברצועה, התקיפה כוונה לעבר אזור שמזרחית לשכונת א-שוג'אעיה, הנמצאת מזרחית לעיר עזה. בתקיפה נהרג אדם אחד ונפצעו כמה נוספים	https://news.walla.co.il/item/3732396	2025-03-06T06:41:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/2/9/4/9/2949022-46.jpg
אלוף תמיר ידעי נכנס לתפקידו כסגן הרמטכ'ל: 'יש דברים גדולים שצריך ...	טקס חילופים מיוחד נערך בקריה בראשות הרמטכ'ל ובהשתתפות חברי פורום מטכ'ל. הסגן היוצא, האלוף אמיר ברעם, מונה לתפקיד מנכ'ל משרד הביטחון: 'אם הייתי חוזר אחורה, הייתי בוחר בדיוק אותו דבר'	https://news.walla.co.il/item/3732344	2025-03-06T04:33:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861993-46.jpeg
איתות לאיראן? מטוסים ישראליים בתרגיל עם חיל האוויר האמריקני | תיע...	מטוסי F-35i ו-F-15i ישראליים ערכו טיסה משותפת עם מפציץ B52 אמריקני השבוע. 'שיתוף הפעולה בין צה'ל וצבא ארצות הברית משקף את הברית האסטרטגית והקשר ההדוק בין הצבאות'	https://news.walla.co.il/item/3732340	2025-03-06T03:52:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861971-46.jpeg
עדיין לא התקיימו תחקירים על אירועי הצפון': ראש המועצה בפנייה דחו...	דוד אזולאי שלח מכתב לרא'ל אייל זמיר בו ביקש ממנו וממערכת הביטחון שלא להחזיר את תושבי מטולה לבתיהם בפזיזות: 'תכנית ההגנה על הישוב עדיין לא גובשה', כתב, והסביר כי לא קיימת מדיניות מסודרת הנוגעת לכיתת הכוננות של היישוב	https://news.walla.co.il/item/3732300	2025-03-06T02:11:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/1/2/3812606-46.jpeg
תשובת חמאס לאולטימטום החדש של טראמפ	אחרי האולטימטום החדש לחמאס שהציב אמש נשיא ארצות הברית, שקרא לשחרור מיידי של כל החטופיםהישראלים, דובר ארגון הטרור חאזם קאסם ענה לדונלד טראמפ והאשים אותו בכך שהוא 'עוזר לנתניהו להתחמק מההסכם'	https://news.walla.co.il/item/3732283	2025-03-06T01:38:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861641-46.png
סוף השבוע הראשון של הרמדאן: אלו הכבישים שייחסמו כדי לאפשר מעבר של...	כ-3,000 שוטרים יפעלו החל ממחר ברחבי ירושלים - כדי לאבטח את התפילות בהר הבית, אליהן צפויים להגיע עשרות אלפי מאמינים. המשטרה תפעל בייחוד במזרח העיר ובסמטאות העיר העתיקה כדי לאבטח ולאפשר את מעבר בטוח. הדרג המדיני אישר את המלצות המשטרה על הגבלות הכניסה	https://news.walla.co.il/item/3732260	2025-03-06T00:42:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/7/4/9/3749563-46.png
בתום דיוני השיבוצים הלילה: אלו המינויים החדשים של אייל זמיר	לאחר הדיון הרחב שנערך אתמול, הוכרזה שורה ארוכה של מינויים במטכ'ל. מינויים בולטים במיוחד הם מפקד יחידת יהל'ם הבא, שמינויו עוכב בשל תחקירי 7 באוקטובר, מינוי סא'ל אפרת לוי-קייקוב למפקדת עוצבת 'תקומה', ומינויו של מח'ט מנשה הנוכחי לראש מחלקת המבצעים	https://news.walla.co.il/item/3732255	2025-03-06T00:38:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861638-46.png
ביומו הראשון כרמטכ'ל: אייל זמיר ייפגש עם ראשי הרשויות בעוטף	מיקום או עיתוי הפגישה טרם פורסמו. עם כניסתו לתפקיד, זמיר השתתף בדיוני שיבוצים בצמרת צה'ל, הוא הציג את עיקרי הכיוונים וההחלטות שקיבל	https://news.walla.co.il/item/3732234	2025-03-05T23:36:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861637-46.jpg
ניצחון והכרעת האויב - זו משימתנו': הפקודה הראשונה של הרמטכ'ל החד...	הרמטכ'ל ה־24 של צה'ל, רב-אלוף אייל זמיר, נכנס לתפקידו בנאום תקיף ומלא נחישות. בפנייתו לחיילים ולמפקדים הדגיש את המחויבות להכרעת האויב, השבת החטופים, והפקת הלקחים מהעבר: 'לא נשוב עד כלותם, ולא נשקוט עד שובם של אחינו ממנהרות השבי'	https://news.walla.co.il/item/3732219	2025-03-05T22:00:00-08:00	https://images.wcdn.co.il/f_auto,q_auto,w_300/3/8/6/1/3861595-46.jpg
