Title	Description	Link	pubDate	Image
Who is Ibrahim Aqil, the Hezbollah leader the IDF says it killed?	Aqil is a Hezbollah leader who sits on the group’s military council. Hezbollah has not confirmed that any of its leaders were killed in Friday’s Israeli strike.	https://www.washingtonpost.com/world/2024/09/20/ibrahim-aqil-hezbollah-commander/	2024-09-20T13:39:55-07:00	
Israel, Hezbollah exchange strikes as U.N. Security Council to di...	The U.N. Security Council is due to meet after Lebanon filed a complaint over the attacks on Hezbollah pagers, radios and other communications devices.	https://www.washingtonpost.com/world/2024/09/20/israel-lebanon-strikes-hezbollah-security-council/	2024-09-20T05:08:29-07:00	
E.U. to loan Ukraine up to $39 billion backed by frozen Russian a...	The Group of Seven nations originally promised at least $50 billion in funding using frozen Russian assets, but there were differences between the United States and the E.U. over implementation.	https://www.washingtonpost.com/world/2024/09/20/ukraine-eu-europe-loan-von-der-leyen/	2024-09-20T04:45:43-07:00	
Women’s soccer players, muscled and sweaty, are a new kind of inf...	Mexican soccer players are attracting millions of social media followers while challenging gender norms in the traditionally macho country.	https://www.washingtonpost.com/world/2024/09/20/mexico-womens-soccer-tigres-amazonas-influencers/	2024-09-20T03:00:40-07:00	
Washington and the West struggle for a way forward with Putin’s R...	In the United States and Europe, there is growing uncertainty about how to counter Putin’s aggression without stoking a direct conflict with Russia.	https://www.washingtonpost.com/world/2024/09/20/russia-global-west-political-future/	2024-09-20T03:00:20-07:00	
The Chinese economy is faltering — and that means more trade tens...	Growth in the world’s second-largest economy is slowing and stock markets are in decline, but the Chinese government remains reluctant to act.	https://www.washingtonpost.com/world/2024/09/20/chinese-economy-slowdown-real-estate-crisis/	2024-09-20T02:00:01-07:00	
Middle East conflict live updates: Israel strikes Lebanon after H...	The attacks on Hezbollah rocket launchers and infrastructure follow the group’s vow to respond after deadly detonations of electronic devices across the country.	https://www.washingtonpost.com/world/2024/09/20/israel-lebanon-hezbollah-hamas-war-news-gaza-palestine/	2024-09-19T22:13:58-07:00	
A broader Israel-Lebanon war now seems inevitable	This week’s pager explosions in Lebanon represent a tactical victory for Israel. They also appear likely to lock the region into an escalatory spiral.	https://www.washingtonpost.com/world/2024/09/20/hezbollah-pager-attacks-israel-lebanon-war/	2024-09-19T21:00:00-07:00	
Israel’s clash with Hezbollah strains U.S. effort to prevent wide...	The absence of a full-blown war in Lebanon has been touted as a core U.S. achievement, but now Washington’s grip on the crisis appears more tenuous than ever.	https://www.washingtonpost.com/national-security/2024/09/19/us-influence-lebanon-israel-hezbollah-attacks/	2024-09-19T17:02:47-07:00	
Exploding pager attacks in Lebanon, and fears of a wider war	Hezbollah’s leader called two days of deadly blasts in Lebanon this week an 'act of war' by Israel. Today, on 'Post Reports,' what we know about how the attacks unfolded – and whether they could escalate to all-out war.	https://www.washingtonpost.com/podcasts/post-reports/exploding-pager-attacks-in-lebanon-and-fears-of-a-wider-war/	2024-09-19T14:50:41-07:00	
