Title	Description	Link	pubDate	Image
Rockets target the Central Galilee region		https://www.ynetnews.com/article/sj1585ilyx	2024-10-27T02:31:49-07:00	
Sirens sound in Metula, northern Israel	Rocket sirens sounded in Mtula located in northern Israel on Sunday.	https://www.ynetnews.com/article/sjmsm5oxyl	2024-10-27T02:15:24-07:00	
Netanyahu says Israel's strike on Iran was precise and powerful	Prime Minister Benjamin Netanyahu said on Sunday that Israel's strike on Iran was precise and powerful and the forces achieved all of its goals. Speaking at the national memorial commemorating the victims of the October 7 2023 Hamas massacre and the fallen soldiers in the war, Netanyahu said Israel targeted the Iranian regime and not the people of Iran. He said Israel was fighting for its existence and will continue to go after those seeking to destroy it.	https://www.ynetnews.com/article/byypwcixke	2024-10-27T02:13:54-07:00	
Rockets target Metula in the Upper Galilee		https://www.ynetnews.com/article/b1wgb9jeje	2024-10-27T02:08:30-07:00	
IDF releases names of 4 reserve soldiers killed in Lebanon clashe...	Major (res.) Eliav Amram Abitbol, Captain (res.) Rabbi Avraham Yosef Goldberg, Captain (res.) Amit Chayut and Master Sergeant (res.) Gilad Elmaliach all served at the 8207th Battalion The IDF Spokesperson's Unit reported on Sunday that four reserve soldiers were killed in action in southern Lebanon as part of Israel's ground operation against Hezbollah. They are: Major (res.) Eliav Amram Abitbol, 36, from Eitan, a Company Deputy Commander in the 8207th Battalion, 228th Brigade; Captain (res.) Rabbi Avraham Yosef Goldberg, 43, from Jerusalem, a Military Rabbi in the 8207th Battalion, 228th Brigade; Captain (res.) Amit Chayut, 29, from Haifa, a Platoon Commander in the 8207th Battalion, 228th Brigade and Master Sergeant (res.) Gilad Elmaliach, 30, from Jerusalem, a soldier in the 8207th Battalion, 228th Brigade. Three additional reserve soldiers and one soldier in compulsory service from the 8207th Battalion were severely injured, alongside a combat engineering officer from the 228th Brigade. 'The soldiers fell and were injured in a battle with terrorists in southern Lebanon. The details of the battle are under investigation,' The IDF said in a statement. 'Amit was a wonderful person with a heart of gold' Captain (Res.) Amit Hayut, 29, from Haifa, was killed in a battle in southern Lebanon. 'Our hearts are broken; Amit was a wonderful person with a heart of gold, a cheerful, responsible and noble man. He was always surrounded by friends,' his brother Dvir said. Amit was the son of Tzippi and Yehoshua and the youngest in his family. After his studies, he attended a year-and-a-half-long pre-military program and enlisted in the Golani Brigade. He completed a commanders' course with honors. Amit had a partner named Shiri, also a resident of Haifa, and his family said that the couple planned to get married. 'He completed over 300 days in the reserves. He had been serving in the north since October 7 and we knew he was now in southern Lebanon,' his brother said. 'The last time we talked with him was when he took a short break during Sukkot a week and a half ago. He returned on Saturday and we hadn't heard from him since he entered Lebanon,' he recounted. A day after Rosh Hashanah, Captain (res.) Rabbi Avraham Yosef Goldberg, wrote on his Facebook page: 'Everyone has left their families and children, eager to go out to Your war, fighting to save brothers from the threat of murder. How many tears and hearts and souls and eyes have been poured out to You! Approaching the Holy Ark, filled with awe, with an incredible sense of mission and You will hear their cry from the heavens and their plea for help.' 'Their cries are here, calling out before You, and You will fight their battles for them, that they may not falter with their weapons, nor fail in their running, nor be frightened by the fire of the enemy and You will uproot the government of evil from the land!' The Hesder Yeshiva of Sderot published a statement mourning the loss of Master Sergeant (res.) Gilad Elmaliach, saying: 'The Hesder Yeshiva of Sderot, its rabbis, students and alumni mourn the death of our alumnus Gilad Elmaliach, in the battle for the revival of Israel and in defense of the northern border. Our hearts and prayers go out to his wife, children and family.' Get the Ynetnews app on your smartphone: Google Play: Apple App Store: >	https://www.ynetnews.com/article/syyszfoeyg	2024-10-27T02:00:17-07:00	https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/10/27/rkjneKig1x/rkjneKig1x_0_0_850_479_0_small.jpg
Driver in truck ramming-attack near Glilot named	Israeli authorities on Sunday said Rammi Natur, an Arab citizen of Qalansawe in central Israel, was the driver who rammed his truck into a bus stop near the Glilot military base injuring at least 37.	https://www.ynetnews.com/article/rkaohtse1g	2024-10-27T01:51:56-07:00	
Israel miscalculates will of Iranians, supreme leader says	In his first response to the Israeli attack on Iran's military targets including its aerial defenses, Al Khamenei says the response must be determined by the best interests of the Iranian people people Iran's Supreme Leader Ali Khamenei said on Sunday that Israel made a mistake when it attacked Iran. Speaking for the first time since the Israeli strike on Iranian military targets early on Saturday, Khamenei said Israel miscalculated and must understand the will of the Iranian people. 'The evil committed by the Zionist regime (Israel) two nights ago should neither be downplayed nor exaggerated', Khamenei said. He said Iran's power should be demonstrated to Israel, adding that the way to do so should be 'determined by the officials and that which is in the best interest of the people and the country should take place.' An Iranian official told the Hezbollah-affiliated Al Akhbar newspaper that Iran maintains the right to defend itself against any aggression. 'Whether its response would be immediate is unclear and the decision will be made based on security and political considerations and the conditions in the region,' the official said adding that Iran prefers to preserve its territorial integrity rather than engaging with Israel's plans to alter the regional order and break up the 'axis of resistance.' The security cabinet is scheduled to meet later on Sunday to discuss the strike on Iran, its results and a possible Iranian response. Get the Ynetnews app on your smartphone: Google Play: Apple App Store: >	https://www.ynetnews.com/article/s164ptjgkl	2024-10-27T01:43:25-07:00	https://ynet-pic1.yit.co.il/picserver5/crop_images/2024/10/27/By2x9til1e/By2x9til1e_0_0_2295_1530_0_small.jpg
37 injured in ramming attack, including 5 seriously	Magen David Adom CEO Eli Bin reports that 37 people were injured in the truck ramming incident near the military base in Glilot, including five seriously.	https://www.ynetnews.com/article/rjjhukogkg	2024-10-27T01:34:35-07:00	
IDF announces 4 soldiers who fell in battle in southern Lebanon	The IDF announced on Sunday morning the names of four soldiers who fell in battle in southern Lebanon. They are: Capt. (Res.) Avraham Yosef Goldberg, 43, from Jerusalem, a military rabbi in Battalion 8207, Alon Brigade (228); Major (res.) Gilad Elmaliach, 30, from Jerusalem, a soldier in Battalion 8207, Alon Brigade (228); Captain (res.) Amit Chayut, 29, from Haifa, platoon commander in the 8207th battalion, Alon brigade (228); Major (res.) Eliav Amram Abitbol, ​​36, from Eitan, deputy company commander in Battalion 8207, Alon Brigade (228).	https://www.ynetnews.com/article/b1q9a00iejl	2024-10-27T00:48:22-07:00	
Sirens sound in Misgav Am, northern Israel	Sirens sounded in Misgav Am located in northern Israel on Sunday amid suspected drone infiltration in the area.	https://www.ynetnews.com/article/hyelc00ixjx	2024-10-27T00:47:47-07:00	
