Title	Description	Link	pubDate	Image
중국, 자국 AI 기업인·전문가에 미국 여행 피하라고 지시'	(서울=연합뉴스) 권수현 기자 = 미국과 중국의 기술 경쟁이 격해지는 가운데 중국 당국이 자국의 인공지능(AI) 관련 기업인과 연구자들에게 미국...	https://www.yna.co.kr/view/AKR20250301040800009	2025-03-01T00:05:08-08:00	https://img.yna.co.kr/photo/etc/xi/2025/02/17/PXI20250217026701009_P2.jpg
野 '崔대행, 내란 세력과 같은 편 먹으면서 통합 운운 말라'	(서울=연합뉴스) 김영신 기자 = 더불어민주당은 1일 최상목 대통령 권한대행 부총리 겸 기획재정부 장관이 삼일절 기념사에서 '통합'을 강조한 데...	https://www.yna.co.kr/view/AKR20250301040900001	2025-02-28T23:53:54-08:00	https://img.yna.co.kr/photo/yna/YH/2025/03/01/PYH2025030101760001300_P2.jpg
이철규 '자식 불미스러운 일 송구…수사 성실히 임하도록 조치'	(서울=연합뉴스) 안채원 기자 = 국민의힘 이철규 의원은 1일 '자식이 불미스러운 일에 연루돼 심히 송구스럽다'고 밝혔다.	https://www.yna.co.kr/view/AKR20250301038300001	2025-02-28T23:49:36-08:00	https://img.yna.co.kr/photo/yna/YH/2024/10/17/PYH2024101715050005700_P2.jpg
광화문·여의도 탄핵반대 집결 경찰추산 12만…촉구집회도 시작	(서울=연합뉴스) 이동환 이영섭 홍준석 김준태 최윤선 기자 = 제106주년 3·1절인 1일 서울 도심은 윤석열 대통령의 탄핵 찬반 여부를 놓고 ...	https://www.yna.co.kr/view/AKR20250301039200004	2025-02-28T23:47:20-08:00	https://img.yna.co.kr/photo/yna/YH/2025/03/01/PYH2025030104930001300_P2.jpg
[북한단신] 강동·장연·부령군 등에서 지방공업공장 착공	(서울=연합뉴스) ▲ '지방발전 20x10 정책'에 따라 평양시 강동군, 황해남도 장연군, 함경북도 부령군, 양강도 김정숙군에서 지방공업공장 건...	https://www.yna.co.kr/view/AKR20250301041000504	2025-02-28T23:46:19-08:00	
충북도, 제106주년 3·1절 기념식 개최	(청주=연합뉴스) 천경환 기자 = 충북도는 1일 제106주년 삼일절을 맞아 청주예술의전당에서 기념식을 열고 순국선열들의 애국정신을 기렸다.	https://www.yna.co.kr/view/AKR20250301040300064	2025-02-28T23:26:51-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301040300064_01_i_P2.jpg
與의원 37명, 여의도 '탄핵반대' 집회 참석…'정답은 탄핵 기각'	(서울=연합뉴스) 안채원 기자 = 국민의힘 의원들이 삼일절인 1일 서울에서 열린 대규모 탄핵 반대 집회에서 윤석열 대통령의 탄핵 기각을 촉구했다...	https://www.yna.co.kr/view/AKR20250301040000001	2025-02-28T23:19:12-08:00	https://img.yna.co.kr/photo/yna/YH/2025/03/01/PYH2025030103800001301_P2.jpg
감사원 '선관위 사무총장, 2022년 세컨드폰으로 정치인들과 연락'	(서울=연합뉴스) 홍국기 기자 = 중앙선거관리위원회 전 사무총장이 재임 시절 2022년 대선과 지방선거를 앞두고 선관위 명의의 '세컨드 폰'을 ...	https://www.yna.co.kr/view/AKR20250301038800001	2025-02-28T23:11:33-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301038800001_03_i_P2.jpg
쿠르드족 분리' PKK '튀르키예 정부와 휴전'…무장투쟁 40년만	(서울=연합뉴스) 고동욱 기자 = 쿠르드족 분리주의 무장단체인 쿠르드노동자당(PKK)이 튀르키예와의 휴전을 선언했다고 로이터, AFP 통신이 1...	https://www.yna.co.kr/view/AKR20250301039100009	2025-02-28T22:50:22-08:00	https://img.yna.co.kr/photo/reuters/2025/02/28/PRU20250228311301009_P2.jpg
日언론 '崔대행, 3·1절에 역사문제로 비판 안해…통합 강조'	(도쿄=연합뉴스) 박상현 특파원 = 일본 언론은 1일 최상목 대통령 권한대행 부총리 겸 기획재정부 장관이 3·1절 기념사에서 일본에 대한 비판을...	https://www.yna.co.kr/view/AKR20250301039000073	2025-02-28T22:40:52-08:00	https://img.yna.co.kr/photo/yna/YH/2025/03/01/PYH2025030103410001300_P2.jpg
세계의 날씨(3월1일)	(15:00)	https://www.yna.co.kr/view/AKR20250301036900009	2025-02-28T22:00:44-08:00	
日호위함, 지난달 초 대만해협 통과…작년 9월 이후 두번째	(도쿄=연합뉴스) 박상현 특파원 = 일본 해상자위대 호위함 '아키즈키'가 지난 2월 초순 대만해협을 통과했다고 요미우리신문과 NHK가 1일 보도...	https://www.yna.co.kr/view/AKR20250301036000073	2025-02-28T20:59:33-08:00	https://img.yna.co.kr/photo/etc/epa/2018/04/13/PEP20180413129601003_P2.jpg
中 2월 제조업 PMI 50.2…'경기 확장' 국면 전환(종합)	(서울=연합뉴스) 권수현 기자 = 중국의 경기 동향을 보여주는 제조업 구매관리자지수(PMI)가 한 달 만에 '경기 확장' 국면으로 돌아섰다.	https://www.yna.co.kr/view/AKR20250301030851009	2025-02-28T20:33:45-08:00	https://img.yna.co.kr/photo/etc/af/2025/02/26/PAF20250226156301009_P2.jpg
울산시, 106주년 3·1절 기념식…독립유공자 3명에 포상 전수	(울산=연합뉴스) 장지현 기자 = 울산시는 1일 울산문화예술회관 대공연장에서 '제106주년 3·1절 기념식'을 개최했다.	https://www.yna.co.kr/view/AKR20250301035500057	2025-02-28T20:32:52-08:00	https://img.yna.co.kr/photo/cms/2025/03/01/09/PCM20250301000009990_P2.jpg
美, 이스라엘에 항공폭탄 등 4조4천억원 무기 판매 승인	(서울=연합뉴스) 황철환 기자 = 미국이 이스라엘에 대한 도합 30억 달러(약 4조4천억원) 규모의 무기판매를 승인했다.	https://www.yna.co.kr/view/AKR20250301035300009	2025-02-28T20:29:40-08:00	https://img.yna.co.kr/photo/reuters/2025/02/17/PRU20250217162401009_P2.jpg
대전·세종·충남, 3·1절 기념식서 애국지사 희생정신 기려(종합)	(대전=연합뉴스) 김준호 기자 = 대전시와 세종시, 충남도는 1일 제106주년 3·1절 기념식을 개최하고, 독립을 위해 헌신한 애국지사들의 희생...	https://www.yna.co.kr/view/AKR20250301028951063	2025-02-28T20:24:08-08:00	https://img.yna.co.kr/photo/yna/YH/2025/02/28/PYH2025022815360006300_P2.jpg
안덕근, 트럼프 관세참모 접촉 '최소한 타국보다 불리해선안돼'(종합)	(세종·워싱턴=연합뉴스) 차대운 기자 김동현 특파원 = 통상 수장인 안덕근 산업통상자원부 장관이 트럼프 2기 행정부 들어 처음으로 미국 핵심 고...	https://www.yna.co.kr/view/AKR20250301020151003	2025-02-28T20:23:50-08:00	https://img.yna.co.kr/photo/yna/YH/2025/02/28/PYH2025022801460001300_P2.jpg
대구·경북 곳곳서 제106주년 3·1절 기념행사	(대구·안동=연합뉴스) 한무선 기자 = 제106주년 3·1절을 맞아 기념행사가 1일 대구·경북 곳곳에서 열렸다.	https://www.yna.co.kr/view/AKR20250301035200053	2025-02-28T20:15:05-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301035200053_01_i_P2.jpg
삼일절 기념식서 만난 권영세·이재명, '반도체법' 이견만 확인	(서울=연합뉴스) 김영신 안채원 기자 = 여·야·정 국정협의회가 마은혁 헌법재판관 후보자 임명 문제로 무산된 이튿날인 1일 여야 대표와 최상목 ...	https://www.yna.co.kr/view/AKR20250301032400001	2025-02-28T20:14:06-08:00	https://img.yna.co.kr/photo/yna/YH/2025/03/01/PYH2025030102420001300_P2.jpg
트럼프 반대' 독일 바이올린 거장 '미국 공연 취소·보이콧'	(서울=연합뉴스) 임화섭 기자 = 독일의 유명 바이올리니스트 크리스티안 테츨라프(58)가 도널드 트럼프 행정부의 정책에 항의하는 뜻으로 올해 봄...	https://www.yna.co.kr/view/AKR20250301033900009	2025-02-28T20:08:24-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301033900009_01_i_P2.jpg
트럼프와 파국에 사과 거부한 젤렌스키…美국무 '사과하라' 압박(종합2보)	(서울=연합뉴스) 이신영 기자 = 미국과 우크라이나 간 정상회담이 28일(현지시간) 고성 끝에 파국으로 끝난 가운데 볼로디미르 젤렌스키 대통령이...	https://www.yna.co.kr/view/AKR20250301018752009	2025-02-28T20:05:25-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301018752009_01_i_P2.jpg
권성동, 野 '탄핵 찬성' 집회에 '헌재 독립성 침해'	(서울=연합뉴스) 안채원 기자 = 국민의힘 권성동 원내대표는 1일 더불어민주당 등 야(野) 5당이 헌법재판소가 있는 서울 종로구 안국동에서 윤석...	https://www.yna.co.kr/view/AKR20250301032500001	2025-02-28T20:04:15-08:00	https://img.yna.co.kr/photo/yna/YH/2025/02/27/PYH2025022711390001300_P2.jpg
젤렌스키에 할말 해줬다' vs '트럼프, 독재자 푸틴 편들어'	(서울=연합뉴스) 이신영 기자 = 기대를 모았던 도널드 트럼프 미국 대통령과 볼로디미르 젤렌스키 우크라이나 대통령 간 정상회담이 예기치 않게 요...	https://www.yna.co.kr/view/AKR20250301032800009	2025-02-28T19:24:29-08:00	https://img.yna.co.kr/photo/etc/up/2025/03/01/PUP20250301005601009_P2.jpg
태국, '위구르족 中 강제송환'에 테러 우려 커져…'경보 발령'	(자카르타=연합뉴스) 박의래 특파원 = 태국이 위구르족 40명을 중국으로 강제 송환하자 미국 등 주요국이 태국 내 자국민들에게 테러 위험이 있다...	https://www.yna.co.kr/view/AKR20250301033100104	2025-02-28T19:22:51-08:00	https://img.yna.co.kr/photo/etc/epa/2025/02/28/PEP20250228010001009_P2.jpg
中 기술차르' 진좡룽 공업정보화부 장관, 부패 조사설 속 낙마	(서울=연합뉴스) 권수현 기자 = 중국의 '기술굴기'를 이끄는 공업정보화부 수장이 부패 혐의 조사설 속에 두 달여 간 자취를 감췄다가 결국 낙마...	https://www.yna.co.kr/view/AKR20250301031800009	2025-02-28T19:18:45-08:00	https://img.yna.co.kr/photo/etc/epa/2024/03/25/PEP20240325097901009_P2.jpg
中·러, 머스크발 대량해고에 불만품은 美공무원 포섭 시도'	(서울=연합뉴스) 황철환 기자 = 도널드 트럼프 미국 대통령의 측근인 일론 머스크테슬라 최고경영자(CEO)의 과격한 연방정부 구조조정을 기회 삼...	https://www.yna.co.kr/view/AKR20250301031600009	2025-02-28T19:05:59-08:00	https://img.yna.co.kr/photo/reuters/2025/02/28/PRU20250228164301009_P2.jpg
日, 중성원자 양자컴퓨터 올해 가동…'2030년에 1만 큐비트'	(도쿄=연합뉴스) 박상현 특파원 = 일본 분자과학연구소와 히타치제작소, 오사카대 등이 개발한 신형 양자컴퓨터가 연내 가동된다고 니혼게이자이신문(...	https://www.yna.co.kr/view/AKR20250301032000073	2025-02-28T19:01:50-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301032000073_01_i_P2.jpg
젤렌스키에 작정하고 훈계…'노딜' 몰아간 미국 부통령	(서울=연합뉴스) 임화섭 기자 = JD 밴스(40) 미국 부통령이 지난달 28일(현지시간) 백악관 정상회담 자리에서 볼로디미르 젤렌스키 우크라이...	https://www.yna.co.kr/view/AKR20250301030500009	2025-02-28T18:36:12-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301030500009_01_i_P2.jpg
트럼프, 7일 '가상화폐 서밋' 주최…'진흥책' 밝힐듯	(워싱턴=연합뉴스) 조준형 특파원 = 미국 백악관은 오는 3월 7일(현지시간) 가상화폐 업계의 창업자, 최고경영자(CEO), 투자자 등이 참석하...	https://www.yna.co.kr/view/AKR20250301031300071	2025-02-28T18:27:16-08:00	https://img.yna.co.kr/etc/inner/KR/2025/03/01/AKR20250301031300071_01_i_P2.jpg
인도 경제, 작년 10∼12월 6.2% 성장…반등했지만 예상보단 부진	(자카르타=연합뉴스) 박의래 특파원 = 지난해 마지막 분기 인도 경제가 6%대 성장률을 기록하며 반등에 성공했지만 당초 전망보다는 부진한 모습을...	https://www.yna.co.kr/view/AKR20250301030700104	2025-02-28T18:20:52-08:00	https://img.yna.co.kr/photo/etc/af/2025/02/28/PAF20250228323601009_P2.jpg
미끼 조심' 충고에도 파국…'트럼프 '매복'에 젤렌스키 당했다'	(서울=연합뉴스) 이신영 기자 = 미국과 우크라이나 간 정상회담이 고성 끝에 파국으로 끝난 가운데 볼로디미르 젤렌스키 대통령이 도널드 트럼프 대...	https://www.yna.co.kr/view/AKR20250301027200009	2025-02-28T18:19:36-08:00	https://img.yna.co.kr/photo/etc/af/2025/03/01/PAF20250301163101009_P2.jpg
3·1절 맞아…與 '자유민주주의 수호' 野 '헌법 수호, 내란종식'	(서울=연합뉴스) 김영신 안채원 기자 = 제106주년 삼일절인 1일 여야 정치권은 일제히 순국선열의 숭고한 정신을 계승하자면서도 탄핵 정국의 해...	https://www.yna.co.kr/view/AKR20250301028100001	2025-02-28T18:12:47-08:00	https://img.yna.co.kr/photo/yna/YH/2025/02/28/PYH2025022802160001300_P2.jpg
中 2월 제조업 PMI 50.2…'경기 확장' 국면 전환	(서울=연합뉴스) 권수현 기자 = 중국의 경기 동향을 보여주는 제조업 구매관리자지수(PMI)가 한 달 만에 '경기 확장' 국면으로 돌아섰다.	https://www.yna.co.kr/view/AKR20250301030800009	2025-02-28T18:10:59-08:00	https://img.yna.co.kr/photo/etc/af/2025/02/26/PAF20250226156301009_P2.jpg
