Title	Description	Link	pubDate
🖼 Two years ago, Russia delivered the first massive blow to the ...	Two years ago, Russia struck the first massive blow against Ukrainian energy. October 10, 2022 is a rainy day that energy workers will remember forever. We thank everyone who eliminated the consequences of the arrivals in their place and continues to do so now. For two years, we have been living in the conditions of the largest-scale attacks on energy facilities in world history. Only since the beginning of 2024, Russia has used more than 1,000 missiles and drones, trying to plunge Ukraine into darkness. Thanks to the heroic efforts of the air defense, DSNS and energy workers, the enemy cannot implement his plans. We continue round-the-clock to restore the destroyed and prepare for winter. We do everything possible to provide warmth and light to Ukrainian families.	https://t.me/dtek_ua/1889	2024-10-09T23:34:46-07:00
🖼 🏭 UAH 2.3 billion was invested by DTEK in repairs and restora...	🏭 UAH 2.3 billion DTEK has invested in repairs and restoration of damaged thermal power plants since the beginning of the year. We will remind, only in 2024 the enemy managed to destroy or damage about 90% of thermal and hydro generation. This year, DTEK plans to invest approximately UAH 3.9 billion in repairs and restoration of thermal power plants. We do everything possible to ensure that Ukrainian homes have light and warmth in winter. #BatvaZaSvitlo continues. 🇺🇦	https://t.me/dtek_ua/1888	2024-10-09T01:10:35-07:00
🖼 💪DTEK returns the light: in a week, the power industry restor...	💪DTEK restores the light: in a week, energy workers restored power to 246,000 families in 347 settlements after Russian shelling. residents of Odesa. We continue to do everything possible to maintain the reliable operation of the Ukrainian energy system. The battle for light continues 🇺🇦	https://t.me/dtek_ua/1887	2024-10-07T06:17:31-07:00
🎬 💔What extraordinary beauty! We sincerely thank the Kyiv Opera...	💔What an extraordinary beauty! We sincerely thank the Kyiv Opera and Ballet Theater for this fantastic choreography in the background of the installation -Battle for light-. Every movement is a reminder that despite the endless attacks of the Russians on the energy system, Ukrainians continue the battle for light. We would like to once again invite everyone who is in Kyiv to Kontraktova Square - to look at the 40-ton transformer destroyed by the enemy. So you will not only be able to see with your own eyes what our colleagues have been seeing for the last 2.5 years. Video is too big	https://t.me/dtek_ua/1886	2024-10-05T02:28:16-07:00
🖼 🇺🇦💪DTEK is a leader among the best employers in Ukrainian e...	🇺🇦💪DTEK is a leader among the best employers in Ukrainian energy! Great news for our big team! We entered the prestigious rating - Top 50 best places to work - according to the version of NV together with Odgers Berndtson Ukraine. Ukrainian companies were evaluated according to three key criteria: 🔵support of veterans🔵motivation of the team🔵care for the well-being of employees We are proud that DTEK is recognized as one of the leaders of this rating among the energy companies of Ukraine. We continue to work around the clock, because the battle for light continues!	https://t.me/dtek_ua/1885	2024-10-04T06:28:20-07:00
🎬 Why repair destroyed thermal power plants, if you can build ne...	Why repair destroyed thermal power plants, if you can build new ones? Let's explain in simple words Video is too big	https://t.me/dtek_ua/1884	2024-10-04T00:53:49-07:00
🎬 Why don't energy companies buy air defense systems? We explain...	Why do not energy companies buy anti-aircraft defense? Let's explain in simple words	https://t.me/dtek_ua/1883	2024-10-02T00:14:59-07:00
🎬 🇺🇦 Congratulations on the Day of defenders of Ukraine! Thank...	🇺🇦 Happy Defender of Ukraine Day! Thank you to everyone who defends our land from the Russian invaders. We thank our colleagues - more than 4,000 DTEK employees who serve in the ranks of the Defense Forces of Ukraine. Special words of thanks to the air defense soldiers who protect the Ukrainian sky around the clock. Energy officials across the country greatly appreciate all you do to protect critical infrastructure. Ukrainian warriors are superheroes who today inspire the whole world. It is you who inspire confidence that Ukraine will definitely stand up and win. Kudos to each of you! Glory to the heroes!	https://t.me/dtek_ua/1882	2024-09-30T22:03:07-07:00
🖼 ❗️Dnipropetrovsk region: DTEK energy workers came under fire A...	❗️Dnipropetrovsk region: DTEK energy workers came under fire Another difficult day for our colleagues from Dnipropetrovsk region. A repair crew was working near the front line, restoring damaged overhead lines. At that moment, the enemy attacked her with drones. 🙏Fortunately, the energy workers managed to take cover and remained unharmed. The drone of the Russian occupiers hit the official car and completely destroyed it. Our colleagues were successfully evacuated from the place of shelling. Despite the daily danger, energy workers continue to do their best to carry the light even in the midst of hostilities. The battle for light continues.	https://t.me/dtek_ua/1881	2024-09-30T06:05:27-07:00
🖼 📚Kyiv: we invite you to -Book Country-, where the exhibition ...	📚Kyiv: we invite you to -Book Country-, where the exhibition -Dare to carry the light is presented - Sunday is the perfect time to visit the book festival. We are proud to present the photobook -Courage to carry the light- at Bookland, which collected photos of the most famous Ukrainian photographers. The publication tells about the struggle of Ukrainians for light in the winter of 22/23 and our life during blackouts. Photos presented at the exhibition and in the book , have already become an important document of the war that the whole world saw. These works inspire and remind us that even in the darkest times, the battle of Ukrainians for light continues. We are waiting for you at VDNG in pavilion #1.	https://t.me/dtek_ua/1875	2024-09-29T01:36:33-07:00
